"IUID","MDACov_2000","MDACov_2001","MDACov_2002","MDACov_2003","MDACov_2004","MDACov_2005","MDACov_2006","MDACov_2007","MDACov_2008","MDACov_2009","MDACov_2010","MDACov_2011","MDACov_2012","MDACov_2013","MDACov_2014","MDACov_2015","MDACov_2016","MDACov_2017","MDACov_2018","MDACov_2019","MDACov_2020","MDACov_2021","MDACov_2022"
"GIN22616","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","00x.xxx","65A.xIA","65A.xIA","00x.xxx"
"GIN22638","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","00x.xxx","65A.xIA","65A.xIA","65A.xIA"
"GIN22604","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","00x.xxx","65A.xIA","65A.xIA","00x.xxx"
"GIN22614","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"GIN22632","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","65A.xIA","00x.xxx","65A.xIA","65A.xIA","00x.xxx"
"GIN22641","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"GIN22618","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","00x.xxx","65A.xIA","65A.xIA","00x.xxx"
"GIN22615","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","00x.xxx","65A.xIA","65A.xIA","65A.xIA"
"GIN22622","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","00x.xxx","65A.xIA","65A.xIA","00x.xxx"
"GIN22607","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","65A.xIA","00x.xxx","65A.xIA","65A.xIA","65A.xIA"
