"IUID","Region"
"GIN22616",1
"GIN22638",1
"GIN22604",1
"GIN22632",1
"GIN22618",1
"GIN22615",1
"GIN22622",1
"GIN22607",1
"GIN22630",1
"GIN22611",1
"GIN22625",1
"GIN22629",1
"GIN22631",1
"GIN22623",1
"GIN22639",1
"GIN22612",1
"GIN22620",1
"GIN22640",1
"GIN22606",1
"GIN22621",1
"GIN22610",1
"GIN22627",1
"GIN22636",1
"GIN22608",1
"GNB23744",1
"GNB23705",1
"GNB23660",1
"GNB23727",1
"GNB23682",1
"GNB23657",1
"GNB23650",1
"GNB23688",1
"GNB23743",1
"GNB23701",1
"GNB23656",1
"GNB23681",1
"GNB23738",1
"GNB23694",1
"GNB23709",1
"GNB23732",1
"GNB23662",1
"GNB23745",1
"GNB23742",1
"GNB23669",1
"GNB23726",1
"GNB23735",1
"GNB23719",1
"GNB23659",1
"GNB23734",1
"GNB23692",1
"GNB23721",1
"GNB23680",1
"GNB23658",1
"GNB23666",1
"GNB23661",1
"GNB23668",1
"GNB23663",1
"GNB23665",1
"GNB23664",1
"GNB23667",1
"GNB23646",1
"GNB23647",1
"GNB23686",1
"GNB23689",1
"GNB23695",1
"GNB23690",1
"GNB23700",1
"GNB23696",1
"GNB23691",1
"GNB23687",1
"GNB23702",1
"GNB23685",1
"GNB23725",1
"GNB23724",1
"GNB23728",1
"GNB23713",1
"GNB23723",1
"GNB23715",1
"GNB23712",1
"GNB23711",1
"GNB23722",1
"GNB23710",1
"GNB23714",1
"GNB23716",1
"GNB23717",1
"GNB23739",1
"GNB23737",1
"GNB23731",1
"GNB23733",1
"GNB23736",1
"GNB23730",1
"GNB23707",1
"GNB23704",1
"GNB23708",1
"GNB23706",1
"GNB23740",1
"GNB23741",1
"GNB23746",1
"GNB23674",1
"GNB23643",1
"GNB23670",1
"GNB23673",1
"GNB23676",1
"GNB23677",1
"GNB23671",1
"GNB23672",1
"GNB23679",1
"GNB23645",1
"GNB23655",1
"GNB23683",1
"GNB23684",1
"GNB23698",1
"GNB23697",1
"GNB23693",1
"GNB23699",1
"GNB23649",1
"GNB23720",1
"LBR26819",1
"LBR26821",1
"LBR26822",1
"LBR26823",1
"LBR26824",1
"LBR26825",1
"LBR26826",1
"LBR26827",1
"LBR26828",1
"LBR26829",1
"LBR26831",1
"LBR26830",1
"LBR26832",1
"SEN40214",1
"SEN40188",1
"SEN40190",1
"SEN40210",1
"SEN40179",1
"SEN40198",1
"SEN40176",1
"SEN40223",1
"SEN40185",1
"SEN40191",1
"SEN40230",1
"GNB23761",1
"SLE42256",1
"CIV15419",2
"CIV15443",2
"CIV15441",2
"CIV15436",2
"CIV15344",2
"CIV15330",2
"CIV15406",2
"CIV15408",2
"CIV15407",2
"CIV15360",2
"CIV15395",2
"CIV15449",2
"CIV15450",2
"CIV15400",2
"CIV15455",2
"CIV15464",2
"CIV15424",2
"CIV15425",2
"CIV15420",2
"CIV15366",2
"CIV15343",2
"CIV15405",2
"CIV15453",2
"CIV15452",2
"CIV15451",2
"CIV15442",2
"CIV15401",2
"CIV15463",2
"CIV15364",2
"CIV15454",2
"CIV15433",2
"GHA21392",2
"GHA21430",2
"GHA21503",2
"GHA21521",2
"GHA21541",2
"GHA21547",2
"GHA21552",2
"GHA21554",2
"GHA21587",2
"BFA05331",2
"BFA05329",2
"BFA05348",2
"BFA05374",2
"BFA53007",2
"BFA05326",2
"BFA05371",2
"BFA05322",2
"NER35354",3
"NGA36751",3
"NGA36752",3
"NGA36753",3
"NGA36754",3
"NGA36755",3
"NGA36757",3
"NGA36756",3
"NGA36463",3
"NGA36771",3
"NGA36772",3
"NGA36773",3
"NGA36774",3
"NGA36775",3
"NGA36776",3
"NGA36777",3
"NGA36778",3
"NGA36779",3
"NGA36780",3
"NGA36781",3
"NGA36782",3
"NGA36783",3
"NGA36785",3
"NGA36786",3
"NGA36787",3
"NGA36788",3
"NGA36789",3
"NGA36790",3
"NGA36791",3
"NGA36802",3
"NGA36792",3
"NGA36793",3
"NGA36794",3
"NGA36795",3
"NGA36796",3
"NGA36797",3
"NGA36799",3
"NGA36350",3
"NGA36352",3
"NGA36353",3
"NGA36635",3
"NGA36939",3
"NGA36942",3
"NGA36943",3
"NGA36944",3
"NGA36945",3
"NGA36946",3
"NGA36947",3
"NGA36949",3
"NGA36950",3
"NGA36951",3
"NGA36952",3
"NGA36953",3
"NGA36954",3
"NGA36955",3
"NGA36957",3
"NGA36958",3
"NGA36959",3
"NGA36960",3
"NGA36961",3
"NGA36962",3
"NGA36963",3
"NGA36964",3
"NGA36965",3
"NGA36967",3
"NGA36966",3
"NGA36634",3
"NGA36633",3
"NGA36575",3
"NGA36576",3
"NGA36443",3
"NGA36444",3
"NGA36445",3
"NGA36447",3
"NGA36827",3
"NGA36341",3
"NGA36342",3
"NGA36343",3
"NGA36344",3
"NGA36345",3
"NGA37062",3
"NGA37064",3
"NGA37065",3
"NGA37105",3
"NGA37106",3
"NGA37107",3
"NGA37108",3
"NGA36497",3
"NGA36482",3
"NGA36484",3
"NGA36486",3
"NGA36487",3
"NGA36569",3
"NGA36893",3
"NGA36894",3
"NGA36895",3
"NGA36896",3
"NGA36898",3
"NGA36899",3
"NGA36900",3
"NGA36901",3
"NGA36721",3
"NGA36722",3
"NGA36723",3
"NGA36724",3
"NGA36725",3
"NGA36759",3
"NGA36760",3
"NGA36761",3
"NGA36762",3
"NGA36579",3
"NGA36581",3
"NGA36582",3
"NGA36583",3
"NGA36584",3
"NGA36585",3
"NGA36580",3
"NGA36586",3
"NGA36587",3
"NGA36588",3
"NGA36589",3
"NGA36590",3
"NGA36591",3
"NGA36592",3
"NGA36593",3
"NGA36594",3
"NGA36596",3
"NGA36597",3
"NGA36598",3
"NGA36599",3
"NGA36600",3
"NGA36601",3
"NGA36603",3
"NGA36604",3
"NGA36605",3
"NGA36606",3
"NGA36607",3
"NGA36608",3
"NGA36609",3
"NGA36610",3
"NGA36500",3
"NGA36501",3
"NGA36502",3
"NGA37055",3
"NGA37056",3
