"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"BFA05331","2000","0.259273","0.402985","0.36269","0.288732","0.291353","0.275491","0.312805","0.256812","0.280728","0.346736","0.278505","0.276015","0.288881","0.27527","0.280695","0.235076","0.278005","0.425168","0.319896","0.427266","0.323202","0.25464","0.279199","0.359003","0.282383","0.261308","0.325453","0.234264","0.46077","0.281994","0.36495","0.291728","0.28785","0.321375","0.326652","0.324831","0.185502","0.429896","0.32065","0.3","0.365399","0.323573","0.320252","0.244264","0.23549","0.295597","0.367438","0.240646","0.432902","0.268003","0.37373","0.346311","0.287416","0.290775","0.277367","0.322823","0.302214","0.400598","0.229937","0.431606","0.36803","0.279104","0.406043","0.293921","0.278731","0.289068","0.321678","0.320503","0.291353","0.233624","0.43826","0.365392","0.337528","0.379129","0.351382","0.344635","0.297378","0.355945","0.278148","0.279319","0.371237","0.289737","0.297681","0.259094","0.305142","0.34411","0.293701","0.238077","0.346442","0.361647","0.361781","0.252792","0.27817","0.386567","0.414025","0.293253","0.263728","0.438862","0.353691","0.339059","0.387702","0.284015","0.214126","0.30569","0.30607","0.362991","0.245087","0.268173","0.304641","0.266716","0.270623","0.325735","0.359003","0.251589","0.245011","0.328721","0.348224","0.220605","0.258582","0.30303","0.328353","0.365772","0.275514","0.274561","0.312083","0.277489","0.263988","0.240892","0.322059","0.465918","0.191356","0.397026","0.340672","0.29252","0.409108","0.383247","0.303221","0.239405","0.19291","0.218716","0.362861","0.292737","0.198889","0.414948","0.306488","0.242682","0.329752","0.360698","0.277654","0.340985","0.261619","0.356052","0.367144","0.26774","0.246677","0.220452","0.351652","0.393894","0.347729","0.28491","0.232327","0.285127","0.45404","0.441964","0.351852","0.378017","0.361929","0.358455","0.244238","0.258185","0.237902","0.415652","0.368834","0.315554","0.444157","0.352768","0.350187","0.372447","0.323638","0.313101","0.280715","0.278128","0.394688","0.359492","0.253505","0.33032","0.28529","0.261834","0.346901","0.297991","0.234258","0.234531","0.261376","0.338137","0.317454","0.280878","0.249907","0.360958","0.376289","0.301837"
"BFA05331","2001","0.264312","0.406495","0.365599","0.287941","0.292637","0.276934","0.314822","0.266941","0.271364","0.353094","0.277715","0.277283","0.288563","0.277194","0.286138","0.237225","0.276525","0.432232","0.327997","0.437225","0.327172","0.247492","0.28455","0.351796","0.288268","0.265191","0.335682","0.233859","0.456121","0.288419","0.362723","0.288305","0.286521","0.325973","0.329482","0.329204","0.189219","0.432463","0.313356","0.301731","0.367316","0.32119","0.32102","0.244763","0.235229","0.303166","0.369508","0.244297","0.434313","0.270401","0.38088","0.347435","0.281611","0.286992","0.272761","0.332334","0.310751","0.40381","0.241327","0.436499","0.364684","0.276923","0.414471","0.299702","0.28427","0.290513","0.328247","0.328524","0.289723","0.232794","0.432122","0.364925","0.339518","0.389014","0.352521","0.345954","0.302656","0.363297","0.280164","0.286406","0.375518","0.287681","0.306077","0.259204","0.306776","0.34578","0.287834","0.230741","0.340593","0.369822","0.372049","0.259851","0.279096","0.382804","0.414077","0.29478","0.255064","0.451458","0.349981","0.34189","0.394835","0.275823","0.215265","0.30775","0.313733","0.366318","0.250653","0.275668","0.310705","0.268932","0.275875","0.327421","0.367477","0.24785","0.241494","0.331094","0.347554","0.221684","0.259955","0.309274","0.33683","0.366804","0.281004","0.278879","0.309294","0.287254","0.266741","0.248317","0.32693","0.461481","0.192279","0.397316","0.3352","0.290624","0.412669","0.395358","0.307001","0.2379","0.19356","0.228529","0.367089","0.293874","0.196276","0.414941","0.306542","0.232704","0.339173","0.36108","0.276222","0.33994","0.253927","0.357036","0.363939","0.266519","0.243453","0.226557","0.360582","0.4006","0.349266","0.293785","0.235839","0.288722","0.451805","0.442629","0.350241","0.380899","0.364576","0.347175","0.250093","0.263295","0.244346","0.41","0.37101","0.327381","0.44879","0.358491","0.347207","0.373835","0.324194","0.310931","0.28037","0.282787","0.394007","0.34703","0.251226","0.333957","0.292421","0.259683","0.351271","0.302377","0.231433","0.230883","0.265695","0.335434","0.320868","0.284696","0.252232","0.357567","0.374401","0.311469"
"BFA05331","2002","0.26801","0.403687","0.366455","0.282593","0.297409","0.283096","0.316441","0.273553","0.271014","0.352159","0.276444","0.275694","0.28448","0.283955","0.286992","0.247376","0.279881","0.431285","0.325355","0.436947","0.338794","0.250093","0.281966","0.355564","0.291448","0.273411","0.343762","0.228893","0.458119","0.288598","0.365972","0.28806","0.283012","0.325442","0.3306","0.339333","0.191791","0.431262","0.298513","0.298272","0.377024","0.3233","0.322974","0.246758","0.228996","0.300971","0.373247","0.243993","0.440966","0.27525","0.390875","0.344127","0.279925","0.293585","0.276272","0.330327","0.315496","0.40904","0.23985","0.439703","0.362043","0.267095","0.409576","0.303404","0.285286","0.294948","0.327826","0.33321","0.285714","0.235782","0.439252","0.375423","0.347181","0.396461","0.350019","0.352898","0.306054","0.367889","0.281379","0.28789","0.377828","0.287155","0.299129","0.258185","0.307263","0.349224","0.289855","0.230396","0.349456","0.372222","0.384989","0.260178","0.285501","0.396577","0.417228","0.30139","0.254532","0.454512","0.353118","0.349366","0.405629","0.275617","0.217664","0.304869","0.321214","0.369026","0.252921","0.27955","0.30901","0.273871","0.283582","0.328513","0.376422","0.25539","0.238148","0.333707","0.349464","0.228763","0.256102","0.318012","0.340346","0.369403","0.290093","0.284489","0.308092","0.286193","0.271199","0.244494","0.331725","0.462491","0.193393","0.403214","0.338318","0.28966","0.422859","0.392495","0.307952","0.23994","0.189746","0.231054","0.374208","0.286517","0.2","0.420935","0.302691","0.234944","0.34306","0.364925","0.283683","0.344078","0.255295","0.358265","0.359822","0.268646","0.242379","0.224474","0.366028","0.409006","0.351615","0.296617","0.23696","0.292296","0.461281","0.439405","0.361307","0.375326","0.358736","0.34755","0.24505","0.264816","0.245431","0.41419","0.364528","0.331224","0.450893","0.35656","0.347989","0.375516","0.32365","0.322388","0.292256","0.281238","0.39812","0.349343","0.249341","0.336449","0.294096","0.267502","0.346847","0.298285","0.247915","0.231341","0.275216","0.325417","0.318917","0.279323","0.25308","0.359416","0.391095","0.311654"
"BFA05331","2003","0.150526","0.252434","0.222181","0.202663","0.223976","0.171963","0.196868","0.144213","0.149338","0.216992","0.166542","0.17253","0.216642","0.173034","0.174888","0.169242","0.165481","0.273273","0.217766","0.289346","0.200448","0.138806","0.159024","0.228269","0.165476","0.197827","0.208084","0.129977","0.288285","0.167991","0.262547","0.177177","0.181438","0.20355","0.206437","0.190672","0.102737","0.336874","0.172748","0.220371","0.238113","0.214472","0.21503","0.137546","0.13105","0.206432","0.242966","0.134715","0.27994","0.162574","0.241484","0.226551","0.16193","0.180508","0.1718","0.188537","0.1991","0.273103","0.14452","0.292359","0.212528","0.148331","0.263275","0.177395","0.173538","0.185725","0.196992","0.198587","0.182997","0.164968","0.300485","0.233459","0.23031","0.287382","0.211336","0.264444","0.183766","0.222306","0.162835","0.181341","0.220833","0.168661","0.196734","0.144708","0.24147","0.226571","0.170459","0.119776","0.232882","0.247854","0.259328","0.162393","0.171991","0.262234","0.279218","0.24065","0.153672","0.296089","0.263138","0.233346","0.242606","0.17837","0.132293","0.196684","0.182982","0.226204","0.14527","0.214232","0.19688","0.174189","0.166604","0.224042","0.256741","0.148134","0.147157","0.19121","0.226701","0.121667","0.152117","0.236438","0.219595","0.222181","0.176295","0.163977","0.188672","0.167475","0.175254","0.134178","0.211617","0.316047","0.116859","0.25994","0.186612","0.181373","0.297216","0.241729","0.186576","0.129685","0.149529","0.123466","0.276286","0.155864","0.145598","0.289424","0.183835","0.142484","0.203662","0.23215","0.224048","0.241893","0.144097","0.223187","0.226337","0.164609","0.149981","0.127355","0.209381","0.273652","0.233883","0.17561","0.137387","0.193979","0.322329","0.276237","0.234059","0.217228","0.225541","0.214981","0.146751","0.150131","0.145107","0.271881","0.207053","0.251502","0.280433","0.238307","0.200827","0.241314","0.19248","0.196469","0.167225","0.159371","0.254244","0.204964","0.150752","0.204648","0.211488","0.145872","0.219595","0.178263","0.144415","0.128454","0.16399","0.196276","0.17888","0.173454","0.14444","0.228228","0.25","0.183427"
"BFA05331","2004","0.0973783","0.16459","0.144879","0.138662","0.169479","0.112146","0.121235","0.0942029","0.0962406","0.140377","0.0995118","0.108851","0.163227","0.110778","0.11107","0.126798","0.10459","0.188906","0.139613","0.19514","0.135378","0.0902312","0.0971344","0.140909","0.107721","0.141629","0.136723","0.088964","0.17619","0.1059","0.188041","0.121337","0.123293","0.130598","0.124675","0.125463","0.0633908","0.262095","0.111194","0.156893","0.153415","0.140835","0.150695","0.0864521","0.0818692","0.141513","0.15553","0.0808905","0.186672","0.108361","0.155849","0.155775","0.105597","0.118921","0.11169","0.126276","0.130795","0.18616","0.091967","0.194135","0.129526","0.0968726","0.164062","0.120813","0.102333","0.11517","0.125946","0.134723","0.113472","0.111278","0.195333","0.146425","0.152555","0.200302","0.132154","0.196049","0.121667","0.138111","0.1","0.112988","0.139773","0.101942","0.131309","0.101745","0.184962","0.14837","0.109824","0.0744482","0.160661","0.157037","0.182941","0.109952","0.103001","0.176207","0.187383","0.186064","0.0918367","0.197535","0.201574","0.161254","0.154709","0.115702","0.0877193","0.133333","0.107332","0.13694","0.0903592","0.154511","0.13037","0.116349","0.107955","0.159032","0.172112","0.0997385","0.103269","0.118377","0.150203","0.0683953","0.0985075","0.177577","0.140338","0.142803","0.109996","0.106792","0.123596","0.103435","0.114048","0.0842655","0.134473","0.204135","0.0839866","0.172816","0.115154","0.108597","0.198716","0.155347","0.113464","0.0847076","0.119684","0.0838323","0.203013","0.0851782","0.109898","0.187806","0.11187","0.0972792","0.135075","0.156506","0.177068","0.154762","0.0953101","0.146982","0.143869","0.104805","0.0955606","0.0853152","0.13662","0.18065","0.153846","0.109146","0.0900492","0.124002","0.226464","0.163548","0.153673","0.134903","0.13633","0.133558","0.0986497","0.097432","0.0933485","0.176426","0.122814","0.188976","0.174794","0.163487","0.119245","0.139412","0.118352","0.128109","0.112355","0.104018","0.160424","0.125285","0.102941","0.132104","0.156145","0.0871028","0.146186","0.121407","0.0926829","0.0806207","0.108704","0.117713","0.114662","0.112628","0.101336","0.144144","0.164476","0.126225"
"BFA05331","2005","0.0722117","0.104927","0.102132","0.101266","0.12238","0.0817091","0.0874907","0.058197","0.0739065","0.101701","0.0679174","0.0789573","0.12406","0.0808879","0.0796394","0.0966882","0.0812641","0.13258","0.0969787","0.131905","0.0980098","0.0670641","0.070632","0.109615","0.0807243","0.104968","0.0976533","0.0678222","0.118625","0.080486","0.125378","0.0808157","0.0858336","0.0930408","0.0866318","0.0840149","0.0429702","0.20395","0.077728","0.114242","0.10265","0.0958801","0.103643","0.0649496","0.0632722","0.0972953","0.103357","0.0552033","0.125617","0.0771547","0.106767","0.10863","0.072971","0.0868411","0.0837087","0.0898159","0.0897289","0.12448","0.0683953","0.132937","0.091452","0.0674543","0.101487","0.0816635","0.0701952","0.0790855","0.0889992","0.0966418","0.0787072","0.0761402","0.139692","0.0981061","0.110446","0.146882","0.100825","0.147982","0.0874669","0.0953271","0.0677064","0.0783427","0.0948438","0.0697324","0.0887709","0.0762047","0.147059","0.101208","0.076144","0.0573585","0.107196","0.105185","0.128587","0.0805545","0.0718785","0.11809","0.126177","0.140549","0.0667673","0.141892","0.15028","0.113645","0.101758","0.0756208","0.0598958","0.0976533","0.0766313","0.0895073","0.0653247","0.115298","0.0843328","0.085283","0.071838","0.121723","0.122674","0.0735624","0.0707635","0.0786517","0.110493","0.0482837","0.0701425","0.132253","0.0968586","0.0977894","0.0790558","0.074848","0.0852102","0.0667166","0.0792935","0.0586477","0.084486","0.144252","0.0647834","0.114426","0.0779318","0.0739477","0.141441","0.107531","0.0789771","0.0599925","0.096956","0.0626415","0.148608","0.0590448","0.0820166","0.135238","0.0688737","0.0727341","0.094078","0.111277","0.141992","0.113679","0.0686016","0.0948438","0.104003","0.077824","0.0678733","0.0598258","0.0895015","0.121703","0.109981","0.0757919","0.0693333","0.0865275","0.153617","0.117406","0.106295","0.0891791","0.101618","0.100299","0.0752527","0.0683631","0.0714826","0.120858","0.0831435","0.14452","0.123065","0.116567","0.0818182","0.100862","0.0823928","0.0856281","0.0813039","0.0745039","0.108787","0.0856816","0.0722576","0.0973318","0.106677","0.0606742","0.11069","0.0908063","0.074088","0.06","0.0788785","0.0747384","0.0793233","0.080736","0.0755771","0.0928144","0.106335","0.0880574"
"BFA05331","2006","0.0560572","0.0719397","0.0815563","0.069985","0.0922385","0.0604354","0.0640504","0.043379","0.049701","0.0736333","0.0498688","0.0556818","0.0910788","0.0597744","0.0621469","0.0654312","0.0611632","0.0852187","0.0748882","0.0914934","0.0760542","0.0555556","0.0519432","0.0776923","0.0543191","0.0701299","0.0667673","0.0543478","0.0826232","0.0592281","0.0922039","0.0569382","0.0590462","0.0697234","0.0652742","0.063154","0.0339751","0.149849","0.0533835","0.0852273","0.0734082","0.0691989","0.0752162","0.0507384","0.0458784","0.0677395","0.0725291","0.0384615","0.0950585","0.0550528","0.0764331","0.0763158","0.0521804","0.0674708","0.0618209","0.0665163","0.0633588","0.089225","0.0425373","0.0938427","0.064006","0.0514762","0.0799257","0.0583584","0.0554299","0.0543478","0.0683989","0.0663418","0.0569909","0.0528501","0.100112","0.0720755","0.0830827","0.104112","0.0772388","0.106954","0.0687831","0.0620097","0.0529902","0.0536659","0.0685393","0.0522529","0.0639667","0.0611712","0.104511","0.0732257","0.0539419","0.045813","0.0782772","0.0706542","0.0879733","0.0621723","0.0536913","0.0829596","0.0915599","0.107277","0.0513208","0.0988636","0.107927","0.0813953","0.0706542","0.0596002","0.0419633","0.0744239","0.0535041","0.0684051","0.0438895","0.08349","0.065111","0.0594022","0.0553435","0.0854478","0.0886606","0.0597907","0.0488355","0.0566392","0.0777241","0.0335849","0.0540744","0.0918675","0.0664686","0.0664427","0.0552445","0.0576413","0.0643583","0.0485693","0.0574109","0.0439024","0.0599851","0.103734","0.0458992","0.0755705","0.0578078","0.0515813","0.0969836","0.0779026","0.057873","0.0459164","0.0802562","0.047152","0.109857","0.0428784","0.0616773","0.0971429","0.054427","0.0593316","0.0703649","0.0822785","0.116571","0.0815721","0.0523343","0.0643472","0.0785928","0.0606631","0.0529902","0.0404798","0.0682335","0.0828625","0.0802538","0.0567752","0.0606407","0.059488","0.10987","0.0853522","0.0790768","0.0619403","0.0690566","0.0717775","0.0563063","0.0540643","0.0544012","0.0901207","0.0658638","0.103136","0.088402","0.0828625","0.0634441","0.0748783","0.0552632","0.0643696","0.060015","0.0578295","0.077454","0.0642202","0.0582269","0.0730231","0.0826786","0.0467395","0.0802587","0.0690566","0.0565185","0.0475292","0.055994","0.0579439","0.0583804","0.0629921","0.0556178","0.0693143","0.080226","0.0672205"
"BFA05331","2007","0.0382142","0.0529279","0.0639252","0.0494197","0.0690691","0.0472264","0.0468808","0.0341127","0.0377147","0.0540338","0.0367454","0.0443854","0.0645282","0.0456969","0.0484962","0.0565755","0.0490821","0.0616541","0.0567718","0.0639667","0.0588015","0.039567","0.035822","0.0616858","0.0465815","0.0516921","0.0516202","0.0433483","0.0672612","0.0480515","0.07076","0.0406015","0.0452659","0.0546075","0.0495868","0.0484598","0.0256604","0.116479","0.0384181","0.060906","0.0525531","0.0459641","0.0512627","0.0392157","0.0338668","0.0502437","0.052138","0.0282699","0.0688623","0.0432473","0.052295","0.0566179","0.0415575","0.0535714","0.0501508","0.0503026","0.0508153","0.0666667","0.0315315","0.0652985","0.0470987","0.040271","0.0621723","0.0434783","0.041871","0.0414179","0.0464055","0.0498697","0.0424886","0.0383603","0.0699511","0.0575322","0.0671952","0.0777652","0.0555142","0.0780599","0.0535104","0.0475477","0.0435599","0.0432802","0.0512533","0.0400302","0.046538","0.0456587","0.0801198","0.0578358","0.0379985","0.0383603","0.0615847","0.0532633","0.0654206","0.0493595","0.042243","0.0592229","0.0671217","0.0846125","0.0368144","0.0687951","0.0774963","0.0628528","0.0533781","0.0433962","0.0320151","0.0554299","0.0370232","0.0505511","0.0323917","0.0627125","0.0486709","0.0449011","0.0399391","0.0648669","0.0640394","0.0446864","0.033145","0.0401802","0.0564426","0.0268838","0.0435926","0.0689914","0.0465896","0.0493037","0.0410083","0.0439894","0.0471342","0.0348485","0.0441452","0.0327191","0.0434457","0.0806938","0.0346908","0.0574841","0.0425209","0.0416509","0.0698823","0.057873","0.0437406","0.0364188","0.0662352","0.0363774","0.084682","0.0303826","0.0515813","0.0711864","0.0403071","0.0470852","0.051885","0.0629863","0.086973","0.0601419","0.0401802","0.0475306","0.0593727","0.0470102","0.0382022","0.0299625","0.0546551","0.0573801","0.0555348","0.0421846","0.0447077","0.0443943","0.0839213","0.0640835","0.0574887","0.0496269","0.0530504","0.0537715","0.040135","0.0397898","0.0429379","0.0708333","0.0423221","0.0751511","0.0667421","0.0605144","0.0438232","0.057879","0.0376223","0.0456776","0.0435926","0.0446864","0.0585758","0.0462185","0.0447537","0.0579985","0.0572278","0.0331076","0.0560394","0.0508858","0.0444444","0.0350811","0.0440512","0.0456587","0.0455904","0.0456416","0.0422588","0.0510204","0.0542462","0.0499812"
"BFA05331","2008","0.030566","0.0421211","0.0472054","0.035982","0.0529851","0.0340696","0.0329996","0.0241564","0.0261682","0.03659","0.0268156","0.0321848","0.0493781","0.0309551","0.0326822","0.0438366","0.0387193","0.0477444","0.0415276","0.0477983","0.0480089","0.0292135","0.0298226","0.0420455","0.0333959","0.0392377","0.0319789","0.0322339","0.0516274","0.035206","0.0490706","0.0301659","0.0336994","0.0392898","0.0352673","0.0370648","0.0185185","0.0836445","0.0292025","0.0480878","0.0393996","0.0347664","0.0401953","0.0328426","0.0256792","0.0361038","0.0406716","0.0193109","0.0542462","0.0310724","0.039379","0.0396114","0.0284218","0.0389513","0.0399543","0.0366591","0.0398346","0.0472233","0.0206224","0.0449438","0.0348353","0.0276842","0.0459127","0.0315434","0.0330703","0.0331966","0.0339954","0.037449","0.0310724","0.0299513","0.0500188","0.0389267","0.048716","0.0521542","0.0407477","0.0538491","0.0404079","0.0308619","0.0307231","0.0325265","0.039223","0.029985","0.034172","0.0329959","0.0611632","0.0403135","0.0239521","0.0286576","0.0469974","0.0398807","0.052021","0.0362401","0.0323795","0.0403013","0.0476911","0.0653153","0.0302691","0.0487619","0.0555139","0.0441343","0.0440463","0.0324406","0.023045","0.0402104","0.0269764","0.0392082","0.022281","0.04131","0.0352985","0.0328426","0.032855","0.044486","0.0472561","0.0327381","0.0214689","0.0314254","0.0427509","0.0200302","0.0317164","0.0500753","0.0366081","0.0368698","0.0308968","0.0332075","0.0340651","0.0260181","0.0309586","0.0260672","0.0357009","0.0619102","0.0272212","0.0424581","0.0305577","0.0324773","0.0499055","0.043152","0.0333583","0.0243346","0.0550528","0.0295008","0.0603774","0.0224299","0.0346386","0.055409","0.0282443","0.0376164","0.0372024","0.0498891","0.068769","0.0425772","0.0285178","0.0362963","0.0461481","0.03386","0.0339299","0.01988","0.0429055","0.0420578","0.0411215","0.0297104","0.0374046","0.0316862","0.061848","0.0430746","0.042868","0.0383459","0.0394238","0.0395227","0.0307692","0.0284199","0.0329588","0.0546697","0.0333333","0.057873","0.0500376","0.0423121","0.0321361","0.0451324","0.0283768","0.0358491","0.0339111","0.033421","0.0487899","0.0320856","0.0346908","0.0445375","0.0448598","0.0236842","0.0420295","0.0379985","0.0350743","0.0263852","0.0344436","0.0331718","0.0346111","0.0338728","0.0338092","0.0372041","0.0383327","0.0410392"
"BFA05331","2009","0.0238365","0.0326577","0.0372058","0.0310396","0.0390244","0.0232384","0.0267559","0.0171887","0.0229065","0.0271698","0.0178108","0.0245654","0.0353383","0.0258912","0.0252544","0.0351665","0.0292593","0.0346255","0.0302013","0.0343396","0.0372578","0.0236842","0.0207704","0.0340136","0.0255447","0.0315671","0.0246914","0.0228893","0.0369115","0.0248494","0.0339426","0.0235741","0.0227618","0.0296465","0.0273452","0.0289148","0.0144267","0.0605607","0.0223881","0.0315671","0.0269663","0.0247006","0.0288931","0.0225056","0.0183589","0.0262664","0.0333209","0.0125047","0.0408087","0.0249811","0.0299583","0.0295548","0.022941","0.0289148","0.0301067","0.0245933","0.0325234","0.0358761","0.0154659","0.0320417","0.0259594","0.021237","0.0348968","0.0251219","0.0259691","0.0232908","0.0260574","0.0281481","0.0219864","0.024033","0.0345995","0.026455","0.0356196","0.0399848","0.0316027","0.0386217","0.0281155","0.0245376","0.023143","0.0260574","0.0277778","0.0250842","0.0269663","0.024006","0.0414025","0.0311328","0.0175439","0.0188679","0.0359013","0.028238","0.0378987","0.0285929","0.0256798","0.0285929","0.0337377","0.0483508","0.0241726","0.0377574","0.0411369","0.0316384","0.0309586","0.0226757","0.0181887","0.0311796","0.0195049","0.0290409","0.0169428","0.0331101","0.0271982","0.0226672","0.0256507","0.0337331","0.037376","0.0294118","0.0176692","0.024024","0.031883","0.0139992","0.0262566","0.0375235","0.0253448","0.0273613","0.022941","0.0251124","0.0267319","0.0211082","0.0235162","0.0199849","0.0286252","0.0434783","0.0220281","0.0305742","0.0235652","0.0239453","0.039818","0.0350679","0.0255543","0.0170713","0.0434451","0.0219033","0.0470455","0.0179305","0.0288822","0.0362401","0.0241875","0.0314019","0.029368","0.0379888","0.0560213","0.0335343","0.0220974","0.0310513","0.0299625","0.0265918","0.0283265","0.0138681","0.0307231","0.0310396","0.0300188","0.0259594","0.0273349","0.0248963","0.0487439","0.0336072","0.0300038","0.0302001","0.0294007","0.0302126","0.0247934","0.0211002","0.023282","0.0396376","0.026926","0.0427447","0.0378419","0.0327437","0.027516","0.0313901","0.0225141","0.0270982","0.0265152","0.0233258","0.0366692","0.0274181","0.025641","0.030349","0.0342492","0.0201417","0.0329296","0.0310629","0.0267789","0.0210526","0.0283768","0.0241996","0.0256125","0.0218127","0.0241692","0.027027","0.0296406","0.0319549"
