"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"CAF09662","2000","0.620625","0.590757","0.454883","0.710145","0.579941","0.586156","0.503701","0.423306","0.570318","0.561286","0.652142","0.49682","0.40347","0.345318","0.312175","0.54747","0.496329","0.57064","0.453938","0.520646","0.314212","0.499629","0.397158","0.329161","0.442129","0.420779","0.631148","0.530325","0.496501","0.45178","0.718378","0.378838","0.488227","0.449575","0.552583","0.451613","0.495338","0.567214","0.383377","0.723894","0.491682","0.442393","0.43097","0.654854","0.595202","0.371142","0.504405","0.526962","0.611028","0.758481","0.422214","0.399627","0.433309","0.467013","0.394619","0.649869","0.490956","0.529674","0.527953","0.475803","0.678703","0.431497","0.56533","0.5","0.552985","0.391564","0.504804","0.49907","0.511012","0.458828","0.789629","0.482554","0.521788","0.40304","0.695177","0.606116","0.415004","0.513158","0.787454","0.630152","0.619417","0.558736","0.483859","0.510789","0.546065","0.524218","0.561048","0.338536","0.422776","0.783196","0.605136","0.599558","0.398814","0.460996","0.49037","0.421616","0.46904","0.463596","0.551967","0.535928","0.729699","0.699368","0.497392","0.648478","0.739874","0.539245","0.603524","0.533309","0.490969","0.479762","0.487661","0.455696","0.363908","0.338312","0.50094","0.506885","0.75341","0.661743","0.503695","0.586682","0.444694","0.6","0.68209","0.358974","0.702713","0.521174","0.580861","0.624954","0.435907","0.371704","0.531915","0.610526","0.620149","0.67633","0.47818","0.609098","0.468156","0.633259","0.53823","0.410064","0.465703","0.712566","0.490385","0.526632","0.27963","0.614132","0.557414","0.49572","0.569004","0.55189","0.556134","0.509071","0.579985","0.558747","0.560948","0.631402","0.36276","0.531238","0.723277","0.590384","0.607129","0.349236","0.366518","0.569996","0.532912","0.679303","0.674298","0.530075","0.646733","0.418027","0.639865","0.567219","0.414126","0.47167","0.424907","0.693787","0.298846","0.48459","0.49814","0.777654","0.557095","0.450587","0.361901","0.554275","0.600449","0.718357","0.663433","0.445301","0.455926","0.434621","0.451963","0.422231","0.535372","0.753383","0.742625","0.562897","0.236871","0.682918","0.646816","0.578399"
"CAF09662","2001","0.62328","0.585011","0.461795","0.714179","0.580477","0.586851","0.507743","0.429792","0.571957","0.56439","0.657418","0.49626","0.404744","0.343446","0.308697","0.555351","0.498891","0.573442","0.456278","0.524578","0.312107","0.502051","0.403443","0.32976","0.440534","0.423249","0.634292","0.538978","0.498894","0.449722","0.718483","0.37963","0.491319","0.451984","0.547107","0.454715","0.495131","0.567985","0.381273","0.726186","0.492365","0.446336","0.433532","0.663555","0.594056","0.367718","0.509259","0.528753","0.613518","0.76268","0.422222","0.402985","0.435137","0.467412","0.39444","0.646378","0.48244","0.53614","0.530467","0.474112","0.678439","0.432311","0.580015","0.502044","0.553056","0.389117","0.503879","0.497396","0.524272","0.460993","0.797337","0.486225","0.522355","0.401422","0.691473","0.606363","0.414752","0.518805","0.785185","0.632523","0.615699","0.5522","0.484404","0.508582","0.542601","0.528684","0.560685","0.342634","0.418944","0.777027","0.604276","0.597197","0.40149","0.462748","0.489841","0.417773","0.474077","0.460164","0.552602","0.53201","0.727068","0.700973","0.501304","0.65","0.740962","0.535041","0.599706","0.530635","0.490015","0.479321","0.493166","0.452177","0.360625","0.334953","0.499239","0.509328","0.758059","0.660517","0.505185","0.588695","0.45295","0.598505","0.679866","0.360759","0.700186","0.524272","0.586387","0.626443","0.431417","0.373926","0.533234","0.610341","0.625511","0.675358","0.475761","0.610619","0.47013","0.633882","0.542513","0.410554","0.464035","0.711807","0.493497","0.522573","0.276453","0.61142","0.560793","0.491651","0.571269","0.553783","0.554145","0.513574","0.582179","0.556383","0.561747","0.631064","0.361401","0.530522","0.720616","0.593996","0.604363","0.347181","0.364626","0.571215","0.529346","0.677492","0.677815","0.529367","0.652577","0.416512","0.636738","0.566274","0.414579","0.469523","0.425967","0.693128","0.298774","0.485693","0.501496","0.783383","0.552189","0.449379","0.367141","0.550816","0.595857","0.725746","0.668544","0.43819","0.452921","0.436704","0.457487","0.422619","0.532887","0.748404","0.741341","0.571055","0.236842","0.684448","0.642192","0.575746"
"CAF09662","2002","0.61804","0.583115","0.467164","0.710821","0.577009","0.592233","0.508154","0.426181","0.577704","0.56006","0.659993","0.495499","0.414435","0.345996","0.317164","0.558287","0.501675","0.571589","0.462172","0.525901","0.327516","0.50824","0.402385","0.334076","0.442991","0.42772","0.640987","0.537286","0.49703","0.454074","0.719135","0.390625","0.487606","0.457143","0.548123","0.457443","0.495905","0.571913","0.385827","0.727509","0.495688","0.449552","0.431622","0.662328","0.591523","0.372754","0.508895","0.528358","0.606825","0.767468","0.42587","0.402104","0.434137","0.469992","0.385709","0.649794","0.493333","0.539587","0.532404","0.477757","0.679012","0.440165","0.583396","0.502055","0.548931","0.385827","0.501497","0.493799","0.526806","0.463633","0.799335","0.486729","0.522064","0.407033","0.687964","0.611193","0.417745","0.522744","0.78789","0.627157","0.625986","0.547976","0.492879","0.504659","0.541526","0.522516","0.563197","0.338284","0.412663","0.77961","0.600075","0.594955","0.405547","0.455196","0.496837","0.417972","0.473586","0.455364","0.551841","0.530331","0.723699","0.708617","0.504289","0.649195","0.737294","0.529279","0.607024","0.524554","0.487027","0.474954","0.495552","0.452506","0.356313","0.342932","0.492039","0.504862","0.759005","0.664704","0.501305","0.587883","0.460389","0.601204","0.674916","0.352679","0.696663","0.518685","0.590004","0.626537","0.429381","0.376072","0.527158","0.616018","0.62152","0.678135","0.478032","0.613821","0.469154","0.632402","0.537387","0.410841","0.466321","0.708444","0.499075","0.52806","0.272591","0.613765","0.558174","0.490875","0.576418","0.548351","0.549981","0.515637","0.579065","0.556264","0.558026","0.63243","0.364246","0.531875","0.722727","0.590465","0.612268","0.347907","0.364528","0.570788","0.525588","0.681476","0.6746","0.538259","0.648176","0.411435","0.634393","0.566877","0.414734","0.468336","0.425809","0.704112","0.300743","0.490284","0.504906","0.783935","0.558988","0.451444","0.368165","0.554606","0.590533","0.735537","0.666667","0.435022","0.45183","0.441462","0.458459","0.426647","0.533284","0.744063","0.737037","0.570362","0.24972","0.681818","0.642222","0.575363"
"CAF09662","2003","0.616413","0.581697","0.464916","0.709043","0.579261","0.590858","0.506844","0.431351","0.574382","0.560332","0.668403","0.493767","0.416885","0.353668","0.322364","0.556551","0.500373","0.564925","0.466317","0.526674","0.339279","0.509782","0.39723","0.328619","0.44577","0.435237","0.644993","0.538779","0.497953","0.445063","0.712319","0.400903","0.485746","0.457728","0.553485","0.462406","0.5","0.572072","0.38201","0.720835","0.50188","0.452363","0.427659","0.663422","0.591913","0.378754","0.508588","0.532003","0.603537","0.777984","0.424254","0.398267","0.43449","0.470899","0.388408","0.654456","0.503896","0.535501","0.536549","0.47646","0.673371","0.448045","0.585247","0.506372","0.552976","0.383717","0.497935","0.495685","0.521966","0.466841","0.810609","0.483714","0.519368","0.408666","0.684972","0.612951","0.411677","0.525704","0.792305","0.630075","0.631638","0.542056","0.492285","0.499441","0.547592","0.517956","0.562477","0.334951","0.413587","0.783065","0.597602","0.596714","0.407463","0.450379","0.504655","0.41676","0.473882","0.453826","0.552592","0.527374","0.72306","0.707002","0.503161","0.648932","0.734694","0.51824","0.604773","0.522549","0.489903","0.469449","0.497773","0.454853","0.354669","0.353096","0.490451","0.503351","0.762329","0.668766","0.505051","0.588103","0.465692","0.596859","0.668293","0.353513","0.707197","0.514008","0.588456","0.625698","0.432187","0.377885","0.524645","0.608793","0.621855","0.674358","0.478868","0.61223","0.473274","0.630004","0.531674","0.4088","0.47425","0.707289","0.50688","0.530125","0.266941","0.613594","0.561103","0.495701","0.576909","0.545218","0.545659","0.517891","0.579422","0.556013","0.556933","0.62782","0.373168","0.533607","0.713311","0.588612","0.613449","0.338757","0.368501","0.573458","0.525009","0.677698","0.673986","0.549849","0.648992","0.407631","0.635988","0.572704","0.421728","0.470762","0.425967","0.702206","0.298226","0.491945","0.509826","0.782544","0.557621","0.459955","0.364079","0.554976","0.583302","0.740685","0.668282","0.431718","0.458986","0.446642","0.461191","0.428571","0.529037","0.744721","0.744125","0.571322","0.254682","0.684725","0.643201","0.579596"
"CAF09662","2004","0.618182","0.589497","0.464018","0.705949","0.577528","0.593668","0.506523","0.432131","0.582117","0.56137","0.666418","0.488521","0.418367","0.362062","0.327307","0.552985","0.502797","0.565819","0.463687","0.525264","0.345278","0.515472","0.392267","0.322714","0.444486","0.43609","0.653731","0.541447","0.488607","0.452434","0.704961","0.403463","0.485513","0.461279","0.56027","0.472993","0.502048","0.577242","0.382086","0.712313","0.5017","0.454134","0.425084","0.665789","0.583646","0.377358","0.506401","0.527882","0.603039","0.774363","0.432791","0.399096","0.435802","0.472085","0.393653","0.648169","0.513069","0.536292","0.53546","0.483035","0.674766","0.451529","0.58532","0.505457","0.551479","0.377117","0.495821","0.49229","0.520958","0.467856","0.814522","0.48392","0.524062","0.412538","0.68329","0.618868","0.40877","0.531379","0.802165","0.635782","0.633358","0.53497","0.490827","0.493823","0.550609","0.523915","0.559578","0.328475","0.408582","0.778908","0.5954","0.591607","0.414015","0.449545","0.506542","0.42125","0.474335","0.451759","0.557303","0.521984","0.724021","0.717714","0.494249","0.645527","0.732479","0.510702","0.612903","0.517717","0.49192","0.464847","0.499629","0.450189","0.351148","0.360996","0.486538","0.497035","0.760757","0.670741","0.50263","0.591282","0.471157","0.59933","0.667545","0.34755","0.705211","0.509476","0.586038","0.61757","0.435539","0.381006","0.524841","0.608174","0.624485","0.672285","0.467797","0.610075","0.473488","0.636056","0.537149","0.406498","0.484328","0.701476","0.514811","0.526833","0.265398","0.609053","0.569011","0.495892","0.581914","0.54729","0.55447","0.514607","0.585054","0.555472","0.555099","0.62774","0.379284","0.536961","0.715207","0.581168","0.608302","0.331121","0.371146","0.571107","0.525731","0.685757","0.674748","0.54778","0.648852","0.404328","0.630132","0.573239","0.417607","0.471004","0.432544","0.702703","0.300483","0.487613","0.513043","0.782138","0.563569","0.45953","0.354621","0.552769","0.580669","0.742911","0.670272","0.422593","0.451516","0.448703","0.454237","0.427338","0.525843","0.752932","0.748399","0.572556","0.257057","0.679894","0.647495","0.590146"
"CAF09662","2005","0.616154","0.591905","0.459226","0.705971","0.580877","0.594646","0.499814","0.426811","0.584425","0.564449","0.663185","0.485682","0.41556","0.363362","0.331573","0.55122","0.506002","0.563766","0.462313","0.529145","0.351028","0.517945","0.392938","0.320932","0.443943","0.437571","0.655597","0.529589","0.488922","0.462175","0.706191","0.409281","0.492515","0.462321","0.558289","0.479519","0.5","0.577761","0.385081","0.712206","0.501324","0.457391","0.42578","0.662137","0.579775","0.376687","0.513973","0.527894","0.605733","0.78046","0.437689","0.400152","0.42905","0.466288","0.390372","0.64819","0.524738","0.531875","0.536384","0.482197","0.66968","0.450279","0.585779","0.504286","0.549232","0.379401","0.496947","0.488696","0.532083","0.472532","0.816736","0.480849","0.526495","0.413871","0.681025","0.615472","0.402307","0.53072","0.7997","0.636432","0.637255","0.537369","0.490064","0.496249","0.556017","0.527218","0.556142","0.321843","0.409226","0.774775","0.591976","0.590637","0.418445","0.444824","0.512232","0.425283","0.473803","0.451173","0.553771","0.522343","0.724709","0.722371","0.491951","0.63242","0.730755","0.505066","0.61858","0.508197","0.489497","0.461046","0.49776","0.445788","0.343656","0.362264","0.484227","0.489933","0.759522","0.673256","0.501134","0.588235","0.48334","0.59317","0.656262","0.343211","0.701373","0.504662","0.583616","0.614921","0.437785","0.384356","0.523953","0.606704","0.626168","0.684289","0.462204","0.610068","0.47217","0.630804","0.536446","0.40861","0.488914","0.704305","0.52006","0.53099","0.264806","0.60971","0.585805","0.499064","0.580083","0.552523","0.54812","0.505051","0.582894","0.559354","0.554396","0.623867","0.379932","0.543609","0.714716","0.581763","0.601657","0.328797","0.372511","0.574548","0.521049","0.68522","0.670313","0.544536","0.65512","0.398257","0.632115","0.574644","0.417798","0.467869","0.433296","0.705271","0.303651","0.479345","0.516534","0.791275","0.57052","0.464552","0.354167","0.553016","0.578652","0.733484","0.671284","0.420857","0.453383","0.4553","0.460521","0.425645","0.528947","0.754067","0.748776","0.573789","0.264385","0.680197","0.642539","0.599254"
"CAF09662","2006","0.616357","0.593971","0.455888","0.706477","0.578749","0.600302","0.500186","0.422314","0.581526","0.564595","0.662709","0.48298","0.420792","0.364528","0.335596","0.547156","0.503731","0.55985","0.474916","0.527725","0.365348","0.514318","0.388535","0.314124","0.449417","0.437714","0.658346","0.523738","0.484091","0.466994","0.708444","0.412813","0.491379","0.46006","0.561217","0.486872","0.501306","0.581832","0.387048","0.705487","0.494701","0.449281","0.424094","0.661049","0.576404","0.382309","0.512269","0.53093","0.606729","0.785714","0.438887","0.402369","0.428784","0.461946","0.386194","0.650379","0.529346","0.527485","0.538174","0.481946","0.669431","0.456206","0.588722","0.507068","0.551672","0.375046","0.492537","0.482331","0.53936","0.475","0.8125","0.483201","0.522348","0.421229","0.683091","0.618615","0.405446","0.529764","0.794217","0.634485","0.636159","0.538233","0.49736","0.493799","0.556775","0.521643","0.553167","0.315988","0.403333","0.777485","0.592523","0.590943","0.424416","0.438253","0.516298","0.429058","0.475218","0.447438","0.552788","0.518644","0.718844","0.714833","0.487467","0.627986","0.724784","0.5","0.616981","0.505212","0.497938","0.461132","0.491939","0.447597","0.334714","0.366679","0.482785","0.478163","0.764927","0.673767","0.500189","0.588806","0.485122","0.589466","0.655639","0.337813","0.695585","0.506173","0.584181","0.610986","0.437382","0.389054","0.523578","0.60725","0.627239","0.674645","0.459602","0.608255","0.472243","0.634238","0.534288","0.411809","0.487439","0.701206","0.521368","0.532756","0.269231","0.606834","0.581177","0.500376","0.583774","0.548567","0.54812","0.503919","0.58299","0.565854","0.549385","0.620534","0.382795","0.544423","0.712782","0.582422","0.602333","0.321336","0.368762","0.573038","0.519351","0.684468","0.669181","0.550356","0.648043","0.398337","0.622491","0.578413","0.416573","0.465537","0.437781","0.705267","0.30157","0.47774","0.517254","0.782984","0.570628","0.471354","0.354839","0.553806","0.579656","0.72045","0.667039","0.423994","0.448147","0.457583","0.456874","0.42246","0.530399","0.753143","0.753771","0.571805","0.268797","0.678396","0.643734","0.596096"
"CAF09662","2007","0.616822","0.588674","0.451748","0.699925","0.574596","0.604111","0.498883","0.426487","0.584362","0.561823","0.662435","0.481161","0.425419","0.369894","0.341071","0.54753","0.504074","0.556052","0.482874","0.53177","0.367447","0.519427","0.386621","0.31577","0.450709","0.437524","0.65997","0.526097","0.480436","0.465099","0.709592","0.421093","0.490432","0.452766","0.561858","0.494201","0.504293","0.582612","0.386124","0.702479","0.498297","0.445783","0.431595","0.653138","0.576822","0.382908","0.513831","0.522891","0.605026","0.784211","0.440481","0.400379","0.422097","0.464272","0.389761","0.649981","0.532885","0.521854","0.546407","0.483176","0.665163","0.462687","0.588524","0.500374","0.550075","0.372024","0.486651","0.480524","0.545829","0.477188","0.808245","0.477949","0.523106","0.422734","0.684546","0.616292","0.404207","0.52972","0.79925","0.635644","0.634933","0.536685","0.497921","0.490181","0.558122","0.518959","0.549413","0.309274","0.40328","0.771053","0.585704","0.58635","0.424254","0.445071","0.519641","0.436908","0.472714","0.450379","0.55057","0.520061","0.714393","0.726437","0.480646","0.618092","0.724747","0.499811","0.614776","0.495146","0.493084","0.458886","0.483545","0.44825","0.330451","0.371642","0.4836","0.479565","0.766517","0.667795","0.50132","0.58572","0.482278","0.583551","0.652482","0.34119","0.694837","0.500187","0.579204","0.609959","0.440942","0.390736","0.519267","0.609234","0.625511","0.67312","0.46064","0.607062","0.469182","0.631302","0.529346","0.411257","0.487132","0.7009","0.527293","0.537448","0.26717","0.599701","0.586727","0.501124","0.583084","0.550466","0.542405","0.503187","0.586973","0.565299","0.551878","0.621246","0.383804","0.556226","0.713585","0.576303","0.596183","0.323902","0.36673","0.572398","0.511351","0.691642","0.669829","0.559595","0.649203","0.391467","0.620925","0.57594","0.414846","0.47032","0.433658","0.710123","0.300299","0.474119","0.513595","0.787833","0.571109","0.47268","0.355522","0.553812","0.575311","0.725776","0.670404","0.421741","0.449346","0.454855","0.457895","0.415431","0.535111","0.752266","0.75272","0.570298","0.272045","0.679217","0.643871","0.594093"
"CAF09662","2008","0.622571","0.590361","0.45248","0.695991","0.569324","0.604625","0.498325","0.424663","0.587505","0.563977","0.659774","0.478555","0.4283","0.368958","0.350113","0.546922","0.505572","0.554853","0.48764","0.519534","0.371979","0.519087","0.39302","0.315789","0.447834","0.435343","0.664557","0.515026","0.478756","0.465556","0.703202","0.426682","0.483402","0.448887","0.558565","0.494946","0.494378","0.576475","0.389678","0.703119","0.503982","0.445981","0.421531","0.651813","0.574548","0.38373","0.513043","0.518783","0.606447","0.782836","0.445819","0.402894","0.422172","0.461799","0.386652","0.644042","0.534521","0.525188","0.540935","0.476083","0.660889","0.468373","0.593419","0.502252","0.553248","0.371642","0.48937","0.482357","0.547699","0.477383","0.803477","0.478804","0.525047","0.427296","0.680883","0.614568","0.402929","0.530467","0.799251","0.630705","0.634615","0.550075","0.499053","0.490166","0.557823","0.518104","0.552901","0.308818","0.40156","0.770998","0.592105","0.582174","0.42541","0.437267","0.5273","0.441165","0.469588","0.445537","0.551915","0.520198","0.719292","0.729008","0.479909","0.622248","0.722305","0.500938","0.615874","0.496457","0.489155","0.455821","0.484015","0.446496","0.319789","0.373279","0.48619","0.478408","0.768024","0.673012","0.507576","0.587272","0.484334","0.577628","0.649103","0.337954","0.698823","0.501873","0.576054","0.615791","0.438325","0.387435","0.524701","0.606323","0.626542","0.664196","0.456015","0.605036","0.466817","0.630378","0.531707","0.41419","0.492348","0.696349","0.52961","0.541168","0.267898","0.605174","0.58443","0.50357","0.586181","0.54481","0.544218","0.507629","0.587594","0.565981","0.549327","0.617349","0.382298","0.552075","0.713745","0.584685","0.598434","0.324022","0.35997","0.571643","0.505786","0.696226","0.666411","0.572126","0.638847","0.389224","0.61727","0.575461","0.418832","0.462942","0.430399","0.707244","0.302836","0.467718","0.513973","0.786142","0.578322","0.471423","0.35283","0.553104","0.574556","0.724087","0.670782","0.416009","0.450356","0.457089","0.452265","0.419232","0.535513","0.749812","0.758209","0.568457","0.271155","0.677225","0.649169","0.593336"
"CAF09662","2009","0.61699","0.581448","0.448054","0.68757","0.56553","0.596987","0.486759","0.417199","0.577053","0.554258","0.654964","0.472507","0.426788","0.362004","0.349325","0.544223","0.500558","0.553984","0.473074","0.516455","0.367664","0.507306","0.389015","0.311194","0.440812","0.428786","0.659955","0.511891","0.474043","0.457414","0.693901","0.425975","0.475177","0.44291","0.549601","0.491058","0.49588","0.573463","0.385762","0.703078","0.495091","0.44088","0.421774","0.640707","0.566251","0.385185","0.503985","0.513534","0.598287","0.776047","0.443105","0.400911","0.411985","0.456864","0.384615","0.641667","0.529499","0.517254","0.53197","0.474474","0.655224","0.460038","0.587543","0.495113","0.541336","0.363192","0.476766","0.47862","0.539873","0.469624","0.795258","0.470522","0.515379","0.422535","0.669907","0.603025","0.395542","0.518519","0.79349","0.620455","0.624434","0.54419","0.492378","0.484552","0.553464","0.506372","0.544251","0.30658","0.39955","0.762999","0.575803","0.570946","0.424046","0.434313","0.522846","0.431106","0.464746","0.441088","0.545421","0.508878","0.715199","0.722308","0.467547","0.612976","0.714606","0.494543","0.613483","0.490086","0.485746","0.450869","0.480848","0.443564","0.310319","0.370398","0.472582","0.473406","0.756838","0.661798","0.503774","0.577886","0.477255","0.566378","0.637757","0.332583","0.681715","0.495665","0.57191","0.608154","0.431912","0.383664","0.521364","0.599475","0.625843","0.658247","0.457659","0.594747","0.460413","0.61853","0.524541","0.409428","0.49","0.687734","0.517897","0.530582","0.262721","0.597144","0.572228","0.498495","0.579401","0.538261","0.530011","0.500747","0.581465","0.56093","0.549813","0.611277","0.381149","0.545866","0.704837","0.579027","0.594625","0.321469","0.353273","0.563507","0.501312","0.683893","0.66208","0.563507","0.628171","0.381006","0.609105","0.569277","0.418209","0.46019","0.42123","0.699926","0.296728","0.462832","0.505851","0.773783","0.575307","0.469526","0.346847","0.549343","0.559668","0.711359","0.658473","0.407338","0.450093","0.448211","0.447576","0.413273","0.53012","0.738542","0.745549","0.559245","0.268274","0.670455","0.642966","0.589394"
