"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"CIV15436","2000","0.000371747","0.00409531","0.00551673","0.00487988","0.00371333","0.00707899","0.0097269","0.00557828","0.0108736","0.0033358","0.0104128","0.00411061","0.0145035","0.00701625","0.019754","0.00782998","0.0137088","0.0108655","0.00334821","0.010709","0.012254","0.0137342","0.0100372","0.0162182","0.00520059","0.018615","0.00737735","0","0.0104051","0.00819367","0.0081663","0.00853432","0.0288714","0.00752445","0.0052064","0.00933184","0.00628234","0.014017","0.00813609","0.0145631","0.0115156","0.00483811","0.00405904","0.00769231","0.00260902","0.0137957","0.0169679","0.0137088","0.010833","0.0097269","0.00147601","0.00784167","0.000373413","0.00482733","0.00789177","0.0103973","0.00483631","0.00442804","0.00671141","0.0160268","0.0122313","0.00971236","0.0149254","0.00296296","0.01044","0.0222305","0.00446097","0.00892525","0.00785634","0.00260902","0.00857249","0.0129822","0.00772911","0.00448766","0.0159614","0.00772627","0.00516987","0.00968343","0.0101086","0.0108169","0","0.0138163","0.00370233","0.00372995","0.00926612","0.0130208","0.00704748","0.0048166","0.00555144","0.00975976","0.00481125","0.0106775","0.0100484","0.00481303","0.00479528","0.00931446","0.00516034","0.0119448","0.0185943","0.00333087","0.0153846","0.0110011","0.00337584","0.0104128","0.00519673","0.00700332","0.00970149","0.00847458","0.00810612","0.0103093","0.0265619","0.00634092","0.0100822","0.0056243","0.00962606","0.010355","0.00863363","0.00863039","0.0115456","0.0156833","0.0178042","0.0140793","0.00786517","0.0145251","0.00591716","0.00485981","0.00673401","0.00560538","0.00785047","0.00553301","0.00663472","0.00855337","0.011473","0.0105026","0.0133581","0.00446595","0.0100709","0.00257922","0.00744325","0.00479882","0.0108249","0.00855655","0.0044843","0.0033358","0.00334324","0.0100559","0.0104673","0.00780959","0.0110947","0.0187362","0.00701884","0.00557828","0.0118125","0.0103207","0.0126913","0.00812408","0.0104322","0.0060173","0.00890208","0.0171578","0.00704225","0.0150293","0.0238717","0.0099963","0.00293363","0.011782","0.00819672","0.0137546","0.0128629","0.00739372","0.0103283","0.009273","0.00706845","0.0152077","0.0118959","0.00781541","0.0120301","0.018931","0.00741015","0.0110457","0.0128535","0.0174656","0.00744325","0.0158555","0.00773196","0.0118343","0.0052064","0.00110619","0.00956586","0.00111441","0.00483811","0.00562219","0.0127103","0.0118827","0.0165563","0.0162722","0.0115715","0.0111607","0.0132694","0.00923873"
"CIV15436","2001","0.000371333","0.00409989","0.00554939","0.00487074","0.00371885","0.00743494","0.0101199","0.00558659","0.0100822","0.00334076","0.0104439","0.00337838","0.0141054","0.0071028","0.0211896","0.0093633","0.0144498","0.011236","0.00445765","0.0107647","0.0114772","0.01149","0.0108411","0.0148258","0.00561167","0.0168982","0.00812108","0","0.0104634","0.00970149","0.0081754","0.0085693","0.0285291","0.00789177","0.00522778","0.00897868","0.00589971","0.0137546","0.00816024","0.0137393","0.0112191","0.00521415","0.00411677","0.00696226","0.00298842","0.013463","0.0163751","0.0144712","0.0107487","0.00929023","0.00148093","0.00786222","0.000373413","0.00445104","0.00680787","0.0100972","0.00524148","0.00405455","0.0063599","0.0156366","0.0111317","0.00929368","0.0133383","0.00333333","0.0111773","0.0218195","0.00408466","0.00864337","0.00745434","0.00411523","0.00864987","0.011865","0.00849335","0.00447094","0.0148038","0.00849335","0.0055638","0.0100671","0.0108736","0.0107727","0","0.0142056","0.00335071","0.00447928","0.00926956","0.0130597","0.00671141","0.00446429","0.00593692","0.0105026","0.00447261","0.0108048","0.0100859","0.00483451","0.00484532","0.00938086","0.00484171","0.0115628","0.0201568","0.0040877","0.016791","0.0114138","0.00339623","0.00962606","0.00634328","0.0062777","0.00938791","0.00805566","0.00851852","0.0111193","0.0247006","0.00564759","0.0100409","0.00639579","0.00925583","0.011169","0.0090566","0.00864337","0.0115156","0.0178306","0.0181751","0.0122677","0.00859813","0.0142056","0.00631735","0.00484894","0.00716711","0.00525131","0.00672394","0.00589319","0.00740192","0.00816327","0.0111029","0.00863039","0.0137649","0.00484894","0.00859492","0.00296406","0.00779799","0.00482196","0.0108007","0.00892857","0.00373692","0.00337584","0.00336826","0.00860135","0.012003","0.00923873","0.0108088","0.0180147","0.00739645","0.00597238","0.0118299","0.00961894","0.0115672","0.00781541","0.00899888","0.00636704","0.00814513","0.0171067","0.0062963","0.0143594","0.0222469","0.0111773","0.00257542","0.0118431","0.00787697","0.0145414","0.0128629","0.00738552","0.0107447","0.00858209","0.00785634","0.0143911","0.0115156","0.0074129","0.0143288","0.0177318","0.00670641","0.0118475","0.01256","0.0163144","0.00667408","0.015544","0.00813008","0.0103665","0.00597907","0.0018546","0.00962963","0.0011194","0.00524541","0.00489827","0.0134228","0.0115242","0.0165807","0.0159792","0.0115845","0.0115931","0.0125276","0.00929714"
"CIV15436","2002","0.000740192","0.0037092","0.00520253","0.00676946","0.00443459","0.0063244","0.0104556","0.0060173","0.00898204","0.00372024","0.0100297","0.00300865","0.0148313","0.00715631","0.0215854","0.00895522","0.0148313","0.0100671","0.00408922","0.0102752","0.0119269","0.0114349","0.0096332","0.0163934","0.00521804","0.0167046","0.00852799","0.00113464","0.0101313","0.0101466","0.00819672","0.00819367","0.029773","0.00716981","0.00447928","0.00966543","0.00703443","0.0141159","0.0077548","0.0141474","0.0116585","0.00593252","0.00449102","0.00661278","0.00261194","0.0142429","0.0176692","0.0133978","0.0122585","0.0100037","0.00148644","0.0063599","0.000373552","0.00447094","0.00608134","0.00973783","0.00299289","0.00445104","0.00592812","0.015625","0.0111815","0.00892193","0.0133829","0.00408466","0.0100822","0.0227606","0.00445765","0.0093985","0.00711877","0.0037679","0.00865964","0.0122677","0.00812408","0.00409226","0.0158965","0.00855019","0.00557207","0.0101657","0.0105303","0.00927988","0.000369959","0.0130646","0.00299513","0.00412913","0.0100186","0.0142803","0.00706582","0.00445765","0.00557828","0.0108614","0.00372301","0.0100859","0.0100784","0.00446263","0.00523952","0.00908403","0.00373134","0.011976","0.0184419","0.00447261","0.0174786","0.0121816","0.00303375","0.0103742","0.0059657","0.00556586","0.00820896","0.00735294","0.00708691","0.0116018","0.0224299","0.00527307","0.0107967","0.00641994","0.00995575","0.0119225","0.00910816","0.00901917","0.012715","0.0181347","0.0164118","0.0111607","0.00931446","0.0137598","0.00668151","0.00409683","0.00871542","0.00562852","0.0074599","0.00590842","0.00962606","0.00702923","0.0119003","0.00902935","0.0144444","0.00489642","0.00963677","0.00298063","0.00742942","0.0037092","0.0115628","0.00823662","0.00374532","0.00338855","0.00337584","0.0082243","0.0128593","0.0100409","0.0101542","0.017401","0.00781832","0.00557","0.0100484","0.00965825","0.0104634","0.00749625","0.00790068","0.00711877","0.00557","0.0185185","0.00595238","0.0137444","0.0223881","0.0127055","0.00257827","0.0104012","0.00935629","0.0141211","0.0132402","0.006684","0.0104361","0.00902595","0.00826757","0.0141897","0.0118959","0.00781832","0.0135237","0.0162903","0.00705795","0.0103781","0.0122677","0.0152643","0.00593032","0.0144928","0.00854383","0.0104089","0.0063742","0.00186846","0.00930406","0.00149925","0.00485618","0.00449775","0.0134479","0.0115028","0.0171322","0.0141527","0.0127436","0.0111773","0.0144338","0.00854066"
"CIV15436","2003","0.000738825","0.00446263","0.00596792","0.00562641","0.00519095","0.00561377","0.0109064","0.00529501","0.00934579","0.00374672","0.00939496","0.00301545","0.0151739","0.00794852","0.0212528","0.00938791","0.0155268","0.0101199","0.00410295","0.00956938","0.0130988","0.0099963","0.00898876","0.0160568","0.00522193","0.0178707","0.00820283","0.00227877","0.00981873","0.0108533","0.00897196","0.00865312","0.0295548","0.00679758","0.00448934","0.00856611","0.00666173","0.0145143","0.00739645","0.0126113","0.0135237","0.00561167","0.00448934","0.00701625","0.00296296","0.0146617","0.0179641","0.0127293","0.0127103","0.00930752","0.00186359","0.00714286","0.000374532","0.00557207","0.0068156","0.0116235","0.00262271","0.00483991","0.00590624","0.015219","0.0108574","0.00782123","0.0138473","0.00409989","0.00971236","0.0239323","0.00483991","0.0102002","0.00748783","0.00414469","0.00868252","0.0111773","0.00929023","0.00372301","0.018945","0.00967982","0.0051756","0.00986343","0.0101887","0.00823662","0.00260999","0.0120527","0.00260902","0.00414625","0.0100484","0.0146232","0.00670141","0.00371747","0.00559284","0.0113336","0.00410908","0.0094162","0.00930752","0.00560957","0.00678477","0.00832073","0.00374392","0.0120437","0.0169683","0.00413534","0.0183246","0.0103283","0.00265453","0.0103436","0.00528501","0.00518903","0.00827068","0.00810015","0.00748783","0.010931","0.0209816","0.00488355","0.0107887","0.00641026","0.0099926","0.0119895","0.00912548","0.00898876","0.0133879","0.0188959","0.013915","0.0115801","0.0104244","0.0145577","0.00597684","0.00484532","0.00990099","0.00563063","0.0078125","0.00482017","0.00931793","0.00741015","0.0119895","0.00904295","0.0141159","0.00451128","0.00921829","0.00298954","0.0074239","0.00260514","0.0123596","0.00790068","0.00334324","0.00338473","0.00339367","0.00748503","0.015891","0.0107847","0.0102623","0.0140845","0.00823662","0.00595903","0.0104244","0.0104361","0.0109146","0.00712411","0.00755287","0.00750751","0.00593032","0.0174981","0.00591716","0.0144712","0.0220149","0.0131184","0.00223297","0.0093006","0.0100935","0.0126629","0.012939","0.00631735","0.0104556","0.00980392","0.00828313","0.0118871","0.0112108","0.00860456","0.0135389","0.0159259","0.0063599","0.0103474","0.0134328","0.0156716","0.00519866","0.0151964","0.00937383","0.0100446","0.00634092","0.00186846","0.00971599","0.00224383","0.0052064","0.00447594","0.0135237","0.0115327","0.0186498","0.0107887","0.013148","0.0130305","0.0149142","0.00892525"
"CIV15436","2004","0.000745156","0.00409989","0.00558243","0.00638858","0.00485075","0.00640543","0.0116235","0.00719697","0.0093423","0.00448263","0.0112952","0.00300865","0.0149087","0.00868252","0.0204994","0.00902595","0.0140845","0.010181","0.00562852","0.00852483","0.0127964","0.0108169","0.00902595","0.0170519","0.00635514","0.0156429","0.00931793","0.00418092","0.00948767","0.0127628","0.0102079","0.00865638","0.0261976","0.00642965","0.0045403","0.0104751","0.00630564","0.0141685","0.0070632","0.0119448","0.0143018","0.00596347","0.00451467","0.00667656","0.00297177","0.0127676","0.0161533","0.0119537","0.0131086","0.00893855","0.00262861","0.00681044","0.000373692","0.00562641","0.00602864","0.0116498","0.00188324","0.00524148","0.00629397","0.0152303","0.0105026","0.00673905","0.0131579","0.00411985","0.00901578","0.0241009","0.00560748","0.00905319","0.00672143","0.00411677","0.00947688","0.0111317","0.00891862","0.00441664","0.016835","0.0105224","0.00482554","0.00833649","0.00944822","0.00781541","0.003367","0.011257","0.00336952","0.00449944","0.00978547","0.0146782","0.00782706","0.00488722","0.00560538","0.0112613","0.00450113","0.00868908","0.00892193","0.00525526","0.00603091","0.00757576","0.00300526","0.0101657","0.0159574","0.00373134","0.017636","0.0110906","0.00340909","0.0107169","0.0060629","0.00483451","0.00748783","0.00665927","0.00679502","0.0121075","0.021862","0.00523364","0.0112108","0.00640543","0.0112024","0.0120391","0.00833965","0.0093985","0.0133432","0.0181751","0.0128934","0.0112655","0.0112233","0.0146451","0.00565824","0.00486163","0.00910816","0.00676946","0.0078446","0.00369276","0.00938438","0.00668896","0.0128109","0.00986717","0.0119181","0.00489642","0.00924898","0.00261976","0.0071161","0.00337331","0.0123735","0.00940911","0.00263952","0.00340522","0.00340393","0.005997","0.0171494","0.00933184","0.0102975","0.0145903","0.00828313","0.00668151","0.0093668","0.011194","0.0112528","0.00716981","0.00795756","0.00787992","0.00595238","0.0171898","0.00483631","0.0134983","0.0220067","0.0138837","0.00187477","0.00973054","0.0101048","0.0131283","0.0123318","0.00708163","0.0122997","0.0101542","0.00789771","0.0130402","0.0115758","0.00788584","0.0127341","0.0166052","0.00564122","0.0107847","0.013153","0.0153157","0.00521999","0.0149198","0.0109434","0.0108492","0.00672897","0.00186776","0.0104908","0.00262074","0.00558659","0.00444774","0.0135084","0.0112024","0.0180045","0.00965466","0.0127532","0.0108696","0.014536","0.00749906"
"CIV15436","2005","0.000749064","0.00447594","0.00526118","0.00599251","0.00487622","0.00748783","0.013915","0.00757002","0.0090566","0.00486709","0.0101887","0.00302343","0.0137803","0.00866943","0.0204994","0.00832387","0.0137957","0.00976342","0.00564759","0.00934929","0.0142911","0.0100935","0.0106343","0.0167428","0.0060173","0.0156489","0.00751033","0.00649847","0.00906687","0.0143342","0.00983731","0.00976709","0.0245444","0.00488171","0.00417141","0.0112444","0.00628466","0.0127103","0.00560119","0.0100784","0.0146177","0.00635752","0.00488171","0.0067441","0.00298619","0.0135389","0.0185115","0.0101389","0.0131332","0.00823045","0.0022633","0.00687285","0.000376932","0.00529501","0.00526712","0.0134933","0.00150263","0.00563063","0.00705795","0.01566","0.0100897","0.0060241","0.0124014","0.00375094","0.0090566","0.0241996","0.00599925","0.00935629","0.00786812","0.00450113","0.00874192","0.0112233","0.00972326","0.00447094","0.016202","0.0109187","0.00518903","0.00867597","0.00901578","0.00632676","0.00412913","0.0109724","0.00263753","0.00413534","0.0094697","0.0143613","0.00747105","0.00639579","0.00602637","0.011215","0.00487256","0.00835549","0.00855973","0.00491865","0.00530303","0.00720516","0.00304414","0.0101275","0.0159514","0.00374672","0.0165538","0.0107767","0.00451467","0.00997783","0.00643939","0.00447427","0.00899213","0.0063197","0.00646634","0.0110057","0.0203774","0.00488355","0.0101313","0.00711877","0.0104634","0.0120527","0.00866616","0.0093633","0.012254","0.0186498","0.0102467","0.0105382","0.0112024","0.015083","0.00525526","0.0044927","0.0090566","0.00674663","0.00864337","0.00410908","0.0101351","0.00670891","0.012835","0.0102311","0.0112066","0.00563698","0.00967622","0.00224803","0.00677456","0.00337205","0.0116585","0.00944109","0.00302686","0.00378788","0.00342075","0.00671642","0.0178504","0.00860778","0.0106911","0.0158371","0.00833649","0.00597238","0.00865312","0.0108696","0.0112613","0.0075358","0.00910816","0.00825206","0.00561377","0.0176825","0.00598578","0.0142696","0.0243628","0.0135593","0.00189394","0.00912201","0.0105581","0.0112697","0.0134731","0.00673149","0.0116061","0.010181","0.00792154","0.0138681","0.0108736","0.00719152","0.0123827","0.0144231","0.00604002","0.0104322","0.0128157","0.0150038","0.0052592","0.0143018","0.0125619","0.0108452","0.00820896","0.00187547","0.00902595","0.0022531","0.00599475","0.0052064","0.0140205","0.0108818","0.0183383","0.00782414","0.0127916","0.0117469","0.0139045","0.00716711"
"CIV15436","2006","0.000745156","0.00487256","0.00560957","0.00714286","0.0045045","0.00717252","0.0127676","0.00715092","0.00903274","0.00524148","0.0108818","0.00302343","0.0149981","0.00860778","0.0180451","0.00904636","0.0142003","0.00757002","0.00489274","0.00895857","0.0147392","0.0108655","0.011056","0.0163436","0.0067441","0.0151286","0.00870553","0.00842266","0.00753864","0.0146837","0.00908403","0.00933184","0.0241456","0.00673653","0.00416036","0.0104712","0.0066642","0.0126253","0.00674157","0.0116105","0.0138993","0.0063742","0.00487074","0.00677711","0.00335821","0.013463","0.0172608","0.0101542","0.0112824","0.00787992","0.00227445","0.00840336","0.000377074","0.00567108","0.00488171","0.0146561","0.00149981","0.00527108","0.00632205","0.0160688","0.0108169","0.00567537","0.0113895","0.00413534","0.0082925","0.0227103","0.00675422","0.00899213","0.00713481","0.00415879","0.00907029","0.0108411","0.00938438","0.00525131","0.0170004","0.01059","0.00518135","0.00937383","0.00934579","0.00710015","0.00378072","0.00981502","0.00188822","0.00489274","0.00949127","0.015867","0.00786222","0.00602183","0.00605831","0.0127293","0.00451297","0.00755572","0.00819062","0.004561","0.0048909","0.00757576","0.00302001","0.00974148","0.0140952","0.00377074","0.0158073","0.00897196","0.0052691","0.0104012","0.00529101","0.00482733","0.00863688","0.00487988","0.0060652","0.0114373","0.0202551","0.0045045","0.00982244","0.00746826","0.00977811","0.0136467","0.00788288","0.00940911","0.0115242","0.0183246","0.00911854","0.0113122","0.0123503","0.0153386","0.00524738","0.00525328","0.00903955","0.00636943","0.00674916","0.0045045","0.0108371","0.00488538","0.0129376","0.0110182","0.0105105","0.00643696","0.00966184","0.00187406","0.00676183","0.00299513","0.0116323","0.0097561","0.00376506","0.00377074","0.00339239","0.00637899","0.0196375","0.00869565","0.0102234","0.0136106","0.00796662","0.00635514","0.00980023","0.01089","0.013936","0.00791855","0.00755858","0.00903614","0.00638618","0.0180791","0.00598355","0.0151","0.0246914","0.0138681","0.00191131","0.00913242","0.0101657","0.0117291","0.0131184","0.00673401","0.0111649","0.0108777","0.00825206","0.0146782","0.0105026","0.00607903","0.0138785","0.0145251","0.00603774","0.00969787","0.0124247","0.0146561","0.0056391","0.0139939","0.0129032","0.0101542","0.0070922","0.00149477","0.00861746","0.00262172","0.00524345","0.00406805","0.0129524","0.0113208","0.0161715","0.00554529","0.0130988","0.010582","0.0135389","0.00524934"
"CIV15436","2007","0.00111441","0.00529301","0.00676946","0.00675422","0.00529101","0.00677201","0.0135338","0.00788288","0.00939496","0.00565398","0.00982244","0.00340265","0.0150094","0.00976709","0.017557","0.00790068","0.013463","0.00833333","0.00528302","0.00825516","0.0138629","0.0113293","0.0115385","0.0155421","0.00675169","0.0146782","0.00869894","0.00917431","0.00824897","0.0143396","0.00833649","0.00935279","0.0262477","0.00709485","0.00414781","0.0113507","0.00701625","0.0111899","0.0071161","0.0101161","0.0134731","0.00600601","0.00488906","0.00678733","0.00337331","0.0145685","0.0187126","0.0101542","0.0127628","0.00902595","0.00226843","0.00843558","0.000378501","0.00603546","0.00412294","0.0147281","0.000748223","0.00490566","0.00631501","0.0154077","0.0127103","0.00603774","0.0113336","0.00415408","0.0075643","0.0215694","0.00632911","0.0093668","0.00714554","0.003386","0.00831758","0.0104712","0.00938086","0.0045283","0.01514","0.00976342","0.00592373","0.00928333","0.0100671","0.00744602","0.00491308","0.00870882","0.00226586","0.00450958","0.00990099","0.0158073","0.00744048","0.00791855","0.00647372","0.0134228","0.00488355","0.00791557","0.00897196","0.0045819","0.00489827","0.00831758","0.00264151","0.0100972","0.0163002","0.00380373","0.0123272","0.00858209","0.0045403","0.0104244","0.00528701","0.00483811","0.00904636","0.00413068","0.00643208","0.0102779","0.0208566","0.00414001","0.0101124","0.00670641","0.0102157","0.0136415","0.0078534","0.00981502","0.0133284","0.0187547","0.0068781","0.0116279","0.0134429","0.0146341","0.00564334","0.00449102","0.00900225","0.00672143","0.00750188","0.00525131","0.0104556","0.00489458","0.0129524","0.0110015","0.0120437","0.00676183","0.0100484","0.00186637","0.00638378","0.00263059","0.0120256","0.00935629","0.0037679","0.00380228","0.00376932","0.00674663","0.0204623","0.00791557","0.00901917","0.0143288","0.00646388","0.00602637","0.00901578","0.0112782","0.0146727","0.00866943","0.00831758","0.00934929","0.00524738","0.016202","0.00560329","0.0154251","0.024972","0.0124153","0.00191205","0.00914286","0.0101848","0.0117158","0.012758","0.0070975","0.0111317","0.0101086","0.00829563","0.0156833","0.0122404","0.00529501","0.0128496","0.0152757","0.00680787","0.00976342","0.0121029","0.0142322","0.00488906","0.0136519","0.0124764","0.0105224","0.00711344","0.00150376","0.00900225","0.00373832","0.00527307","0.00371333","0.0137195","0.00950932","0.0155244","0.00443623","0.0130695","0.00944465","0.0134882","0.00638618"
"CIV15436","2008","0.00185736","0.00568182","0.00603774","0.00788881","0.00568613","0.0075188","0.013915","0.00792154","0.00863039","0.00602183","0.0105224","0.00340265","0.0161654","0.00900563","0.0194102","0.00720243","0.0127676","0.00910816","0.00376223","0.00714823","0.0124014","0.01208","0.0110224","0.0136003","0.00528103","0.0149813","0.00869565","0.0121673","0.00786222","0.0139517","0.0106141","0.00969064","0.0281169","0.00602183","0.00337965","0.0109228","0.00741015","0.0108048","0.00753296","0.0101427","0.0138473","0.00596792","0.0060241","0.0071997","0.00338728","0.0168602","0.0215582","0.011308","0.0105422","0.00825516","0.00264151","0.00726022","0.000376223","0.00569909","0.00448598","0.0147448","0.000373832","0.00455408","0.00638138","0.0150038","0.0142322","0.00642236","0.0116454","0.00413068","0.00716711","0.0231862","0.00597684","0.00931793","0.00716711","0.00376648","0.00941974","0.00940203","0.00900225","0.00566465","0.0147003","0.0112528","0.00632676","0.00888889","0.00856292","0.00855973","0.00416194","0.00827068","0.0022779","0.00490011","0.00908403","0.0167848","0.00891199","0.00901917","0.00682335","0.0129678","0.0056243","0.00789474","0.00864012","0.00418729","0.00523364","0.00873197","0.00338728","0.0104439","0.01514","0.00381388","0.0104283","0.00820896","0.00528103","0.0104361","0.00564334","0.00560957","0.00972326","0.00413068","0.00643208","0.00986717","0.0208644","0.00414625","0.00973783","0.00593912","0.00989346","0.0139887","0.00781832","0.00864987","0.0133383","0.0176294","0.0045854","0.0119269","0.0152985","0.0141897","0.00523952","0.00488906","0.0085693","0.00561587","0.00637899","0.00487074","0.0100334","0.00490751","0.012538","0.0113379","0.0123642","0.00676437","0.00931446","0.00186776","0.00644428","0.00225479","0.0127916","0.00901239","0.00379363","0.00382409","0.00377644","0.00751597","0.0199548","0.00833333","0.00974148","0.0146617","0.00722433","0.00485981","0.00830502","0.0112444","0.0142965","0.00794251","0.0079096","0.0101199","0.00488171","0.0154193","0.00601278","0.0147225","0.025307","0.014717","0.00190985","0.00874525","0.010598","0.0117069","0.0131678","0.00672897","0.0103436","0.0101124","0.00820283","0.0164856","0.0129199","0.00527506","0.0135644","0.0168099","0.00676946","0.00979284","0.0117826","0.0146287","0.00523756","0.0144049","0.0132026","0.0105501","0.00603546","0.00150602","0.00859813","0.00372301","0.00529301","0.00373274","0.0117469","0.00991609","0.0159453","0.0033358","0.0131283","0.00943752","0.013915","0.00714286"
"CIV15436","2009","0.0018546","0.0064688","0.00603091","0.00753864","0.00528103","0.00750188","0.0131381","0.00792453","0.00895857","0.00681818","0.0101124","0.00379219","0.0142803","0.00859171","0.0213723","0.00720516","0.0124014","0.00682594","0.0037594","0.00717252","0.0119537","0.0123827","0.011056","0.0130988","0.00530303","0.013363","0.00905319","0.0121812","0.00821815","0.0146451","0.0101925","0.0104712","0.0271275","0.00750751","0.00337205","0.00981502","0.00703964","0.0107447","0.00831444","0.0108492","0.0142911","0.00601052","0.00679502","0.00870553","0.00302343","0.017222","0.0199623","0.011641","0.0105026","0.00788288","0.00263158","0.00760746","0.00037679","0.00570994","0.00487074","0.0138785","0","0.00454545","0.00604002","0.0153558","0.0142589","0.00678733","0.0112275","0.00524738","0.00638618","0.0220974","0.00671892","0.00707108","0.00677966","0.00264051","0.00829563","0.0086858","0.00893855","0.00570125","0.0135849","0.0108411","0.00560957","0.0096332","0.00781832","0.00933881","0.00341426","0.00935979","0.00190404","0.00487988","0.00828002","0.0152587","0.00899213","0.00902595","0.00567108","0.0129199","0.0052691","0.00757289","0.0093985","0.00491865","0.00525328","0.00874525","0.00337965","0.0104128","0.01661","0.0030581","0.0103973","0.00894521","0.00525723","0.00974513","0.00600375","0.00487622","0.0101275","0.00300188","0.00564334","0.00987092","0.0192807","0.00531511","0.00971236","0.00560119","0.00982987","0.013308","0.00710015","0.00863688","0.0130063","0.0165476","0.00417299","0.0126253","0.0142216","0.0134579","0.0048166","0.00410142","0.00782706","0.00563275","0.00598131","0.00529701","0.011865","0.00417933","0.0140791","0.012003","0.012012","0.00640301","0.0100634","0.00188041","0.00642965","0.00226074","0.0135237","0.00974513","0.00377216","0.00381534","0.00340136","0.00783582","0.0209268","0.00790365","0.0104948","0.014195","0.00870223","0.00523756","0.00756144","0.012806","0.0154834","0.00834915","0.00787402","0.0105263","0.00561377","0.0146341","0.00565398","0.0149925","0.0249163","0.0157954","0.00188893","0.00910816","0.0101887","0.0109475","0.0111857","0.00599027","0.0107887","0.00932488","0.0071617","0.0172738","0.0149254","0.00450281","0.0128205","0.0165414","0.00641509","0.00982615","0.0125666","0.0146451","0.00488171","0.0150716","0.0139465","0.00938438","0.00603091","0.00113422","0.0100822","0.00485981","0.0060652","0.00485075","0.011355","0.00991988","0.0150376","0.00260514","0.0131579","0.0109724","0.013544","0.0071161"
