"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"COD14281","2000","0","0","0.00662495","0.00297508","0.000370645","0.00447761","0.00411985","0.00444115","0.00111359","0.00185529","0","0","0.000371747","0.000756716","0.00593472","0.00410908","0.000376223","0","0.00592812","0.00779221","0.00074129","0.00553301","0.00518327","0","0.00222883","0","0.000737191","0.00681818","0","0.00112024","0.00366838","0.000739645","0.0018546","0.00186359","0.00559284","0.00444115","0.00185667","0.00298285","0.00525526","0.00223714","0.00559701","0.00183891","0.00149031","0.000374813","0.00334324","0.00149869","0","0.00408466","0.000742115","0.00403966","0","0.00811509","0.00225479","0.00445104","0.00514706","0.000372439","0.00147984","0.00588019","0.000742115","0.00518903","0.0011066","0.0037092","0.00148148","0.00370782","0.000370233","0.00149421","0","0.00148093","0.00110701","0.00259259","0.00260805","0.000744602","0.00223464","0.004858","0","0.00224972","0.0100935","0.00559701","0","0.00112655","0.00881705","0","0.000740466","0.000371747","0","0.00516796","0.00225394","0.00110051","0","0.0014881","0.000372578","0.0011194","0","0.00335696","0.00220994","0.0036914","0.000738007","0.00262566","0","0.00480947","0.000371885","0.000747943","0.00517751","0.0018546","0.00519095","0.00671391","0.00373692","0.00260223","0.00149477","0","0.00220994","0.00296846","0.000741565","0.00298842","0.000747664","0.00036846","0.00111607","0","0.00296956","0.000372301","0.00182749","0.00149254","0.00486163","0.00109729","0.00111732","0.0018546","0.00663717","0.00257922","0.00630096","0.00261487","0.0121951","0.00518519","0.00258112","0.002228","0.00257637","0.00036914","0","0.00482554","0.00222387","0.00557828","0.00260805","0","0.00331126","0.00110457","0.00527903","0.000742115","0","0.00447928","0.00297619","0.00149365","0.00445765","0.000364964","0.00444939","0.00224299","0.000742115","0.000733945","0.000369822","0.00336952","0.0025878","0","0","0.00633619","0.00225819","0.00516796","0.00223131","0.00372717","0.0014881","0","0","0.00405605","0.00261878","0.00520253","0.00446263","0.00406654","0.00372024","0.0011257","0.00074184","0.00371195","0.000743218","0.00222305","0","0.00369004","0","0.00111193","0.00447261","0.00150376","0.00374111","0.00258017","0.00185322","0.00665927","0","0.00297177","0.000749625","0.00445269","0.00743771","0.00296846","0.000745434","0.00889548","0","0.00261487"
"COD14281","2001","0","0","0.00662495","0.00261487","0.000369959","0.00446429","0.00374532","0.00408163","0.00148313","0.00148423","0","0","0.000374672","0.00075815","0.00521415","0.00409378","0.000376364","0","0.00703443","0.00743494","0.00111193","0.00595017","0.00447261","0","0.00223214","0","0.00074184","0.00720243","0","0.00112486","0.00405904","0.000744325","0.00222305","0.00223797","0.00524345","0.00485618","0.00185805","0.00336449","0.00482912","0.00261584","0.00484894","0.00148313","0.00222965","0.000376364","0.00335821","0.00188041","0","0.00259837","0.000746269","0.00333828","0","0.00774908","0.0022531","0.00447094","0.00515274","0.000373413","0.00148203","0.0063033","0.000747943","0.00480769","0.00110824","0.00369822","0.00148699","0.00298507","0.000372301","0.00148478","0","0.00149087","0.00110947","0.00221076","0.00259933","0.000745712","0.00260805","0.00486891","0.000369549","0.00300978","0.00935629","0.00632205","0","0.00112909","0.00773481","0.000372024","0.000371195","0.000371471","0.000372439","0.00518519","0.00227101","0.00146789","0","0.00148478","0.000371333","0.000375235","0","0.00261584","0.0018457","0.00368053","0.000738825","0.00263653","0","0.00481481","0.000371058","0.00112317","0.00521804","0.00186081","0.00445434","0.00593912","0.003367","0.00260805","0.00149533","0","0.00221729","0.00298619","0.000748503","0.00261682","0.000747664","0.000737191","0.00111317","0","0.00296187","0.000372856","0.00182749","0.00149925","0.00488355","0.000366972","0.00149757","0.0022338","0.00591497","0.00297619","0.00594796","0.00223547","0.0137444","0.00482912","0.00259644","0.0022338","0.00259259","0.00110701","0","0.00445434","0.0025974","0.00592373","0.00260902","0","0.00404412","0.00110783","0.00563275","0.000746547","0","0.00449775","0.00260805","0.00187688","0.00447928","0.000365631","0.0044428","0.00260999","0.000746269","0.00110132","0.000372717","0.00374392","0.0026178","0.000373692","0","0.00825206","0.00262074","0.0044428","0.0022338","0.00371747","0.00149477","0","0","0.00369413","0.00224299","0.00524541","0.00371609","0.00405157","0.00372162","0.00112952","0.000743494","0.00334448","0.000741565","0.00148976","0","0.00519095","0","0.00111193","0.00447094","0.00150038","0.00412139","0.00184775","0.00223797","0.00666667","0","0.0026475","0.00112108","0.00411061","0.00710015","0.00336826","0.000749625","0.00854066","0","0.00261292"
"COD14281","2002","0.00037092","0","0.00627075","0.00299177","0.000372162","0.00521415","0.00376364","0.00407407","0.00148313","0.00260223","0","0","0.000375375","0.000758725","0.00558867","0.00260708","0.000373692","0","0.00632205","0.00708427","0.00073692","0.00599925","0.00299738","0","0.00259355","0","0.000751315","0.00642236","0","0.0011308","0.00485981","0.000755287","0.00223714","0.00150207","0.00485618","0.00525526","0.00222387","0.00299963","0.00521804","0.00262861","0.00599925","0.00112191","0.0018615","0.000753864","0.00336323","0.00149701","0","0.00296296","0.000749064","0.00259067","0","0.00736106","0.00149198","0.0045283","0.00477064","0.000374953","0.00149477","0.00668151","0.000750469","0.00448766","0.0011215","0.00334946","0.00223964","0.00299625","0.000749906","0.00148588","0","0.00112191","0.0011169","0.00222469","0.00222305","0.000747105","0.00224803","0.00525131","0","0.00376364","0.00897196","0.00598578","0","0.0011257","0.00665434","0.000374111","0.000372578","0.000373134","0.000372717","0.00484713","0.00188466","0.00146628","0","0.00148368","0.000372995","0.000374953","0.000370096","0.00298619","0.00187056","0.00369822","0.00036914","0.00302343","0","0.00485981","0.000372439","0.00112402","0.00559284","0.00259933","0.00408315","0.00634328","0.00374532","0.00260902","0.00149477","0","0.0022338","0.00262369","0.00113293","0.00260999","0.000744048","0.00073828","0.00111483","0","0.00260417","0","0.00221076","0.00149142","0.00416351","0.000367107","0.000751315","0.00224383","0.00557","0.00299401","0.00597907","0.00185736","0.0118212","0.00488722","0.00298619","0.0026178","0.00259451","0.00184298","0","0.00447928","0.00261292","0.00519673","0.00260805","0","0.00332471","0.00111483","0.00600375","0.000755287","0.00074129","0.00411831","0.00296736","0.00187547","0.00447928","0.000366838","0.00409226","0.00262664","0.000748223","0.000738825","0.000377644","0.00340393","0.00297619","0.000372856","0","0.00828937","0.00262369","0.00557621","0.00224972","0.00370782","0.0014892","0","0","0.00333828","0.00260999","0.00560748","0.00406654","0.00404709","0.00373274","0.00113507","0.000744879","0.00337838","0","0.00149813","0","0.00560957","0","0.00111607","0.00483271","0.00149477","0.00374532","0.00223048","0.00226074","0.00744325","0.000372024","0.0026465","0.000745156","0.00451637","0.00673653","0.00410142","0.0011257","0.00782998","0","0.00263356"
"COD14281","2003","0.000370782","0","0.00631735","0.00375799","0.000372856","0.00595903","0.00377358","0.00370645","0.00148313","0.002228","0","0","0.000373552","0.000757289","0.00561377","0.00297287","0.000376648","0","0.00744325","0.00673401","0.000739372","0.00487622","0.00301318","0","0.00299177","0","0.000379219","0.0071888","0","0.000758438","0.00525131","0.000759878","0.00223714","0.0015083","0.00488722","0.00523364","0.00223797","0.00263356","0.00525723","0.00264951","0.00525723","0.00151458","0.00261097","0.000753864","0.00337584","0.00150319","0","0.00184775","0.000373552","0.00261292","0","0.00669145","0.00149477","0.00415408","0.00516224","0.000375094","0.0011215","0.00744602","0.000747384","0.00414781","0.00149198","0.00298396","0.00186846","0.00262566","0.000749906","0.0018615","0","0.00111732","0.00111982","0.0026003","0.00185529","0.000749064","0.00187266","0.00560538","0","0.00342466","0.00826446","0.00522388","0","0.000750188","0.00486527","0.00037594","0.000376081","0.000373134","0.00037037","0.00526514","0.00186776","0.00147113","0","0.00148976","0.000372578","0.000375094","0.000372717","0.00298396","0.00149589","0.00332594","0.000740192","0.00302343","0","0.00447928","0.000372717","0.000757002","0.00561377","0.00185667","0.00336826","0.00706582","0.00374953","0.00224131","0.00149421","0","0.00265152","0.00261487","0.00112909","0.00335946","0.00112233","0.00074129","0.00111317","0","0.00261194","0","0.00222965","0.00224467","0.00340651","0.000369549","0.00113208","0.0022531","0.00557207","0.00300752","0.00635039","0.00111815","0.00888889","0.00450958","0.00297508","0.00225141","0.00259837","0.00147929","0","0.00526118","0.00263158","0.00594354","0.00260999","0","0.00299065","0.00149477","0.00561798","0.000753296","0.00148699","0.00413223","0.00296846","0.00188111","0.00413068","0.000369822","0.00410601","0.00263455","0.000750469","0.00111152","0.000379363","0.00340651","0.00300188","0.000372301","0","0.00792154","0.00261389","0.00557828","0.00225649","0.00413534","0.00149813","0.000374672","0","0.00263356","0.00224467","0.00491493","0.00332471","0.00407407","0.0040877","0.00113122","0.00112191","0.00416351","0","0.00149421","0","0.00522973","0","0.00148699","0.00556586","0.000748503","0.0045045","0.0018615","0.00303145","0.00858209","0.000745434","0.00227877","0.000747943","0.00492051","0.00599027","0.00412139","0.00112528","0.0078329","0","0.00225904"
"COD14281","2004","0.000740192","0","0.00595681","0.00337458","0.000372856","0.00486891","0.00453001","0.00372717","0.00148644","0.00223797","0","0","0.000371471","0.000760167","0.00560119","0.0022531","0.000376364","0","0.00710546","0.00673149","0.000745712","0.00451977","0.00226415","0","0.00302115","0","0.000380518","0.0071888","0","0.000766871","0.00489458","0.000761615","0.00186637","0.00188679","0.00450958","0.00450789","0.0022531","0.0022531","0.00524934","0.0026435","0.00529902","0.00188893","0.00225734","0.000755002","0.00300526","0.00151114","0","0.00223131","0.000375375","0.00225989","0","0.0055991","0.00111815","0.00416351","0.00633147","0.000374672","0.00112024","0.0067441","0.000742666","0.00374392","0.00149087","0.00223797","0.00187056","0.00226159","0.000757002","0.00223547","0","0.00149198","0.00112697","0.00223464","0.00260514","0.000752729","0.00225989","0.00563275","0","0.00304762","0.00717252","0.00560329","0","0.00075188","0.00411061","0.000376364","0.000755572","0","0.000373134","0.00525328","0.00186498","0.00148038","0.0011169","0.00148976","0.000371333","0.000747943","0.000374672","0.00300978","0.00150263","0.004456","0.000375657","0.00302916","0","0.00412603","0.000744325","0.00114373","0.00561798","0.00259837","0.00374532","0.00672646","0.00374953","0.00224467","0.000746269","0","0.00189825","0.00337458","0.00112952","0.00372301","0.00112444","0.000746826","0.00149198","0","0.00187547","0","0.0022338","0.00225056","0.00341556","0.000371471","0.000753864","0.00188111","0.00524934","0.00264951","0.00604002","0.00112191","0.00636466","0.00378072","0.00410601","0.00225394","0.00297508","0.00148423","0","0.00487805","0.00265353","0.00520446","0.00225141","0","0.003003","0.00112952","0.0064006","0.000755287","0.00187126","0.00377358","0.00297508","0.00187688","0.00417299","0.000742115","0.00450789","0.00262172","0.000753296","0.00112191","0.000765404","0.0034338","0.00336072","0.000373692","0","0.00828937","0.00224215","0.00559493","0.00263852","0.0037594","0.00149981","0.000374251","0.000370096","0.00301205","0.00224551","0.00415094","0.00334324","0.00410448","0.00557207","0.00150659","0.00113636","0.00381971","0.000376081","0.00187899","0","0.00521804","0","0.00111193","0.00481303","0.000749344","0.00489827","0.00224048","0.00340651","0.00822737","0.000742942","0.00190186","0.000746826","0.00492238","0.00600601","0.0037679","0.00112233","0.00785928","0","0.00188608"
"COD14281","2005","0.000742666","0","0.00598802","0.00300075","0.000374251","0.00488538","0.00490196","0.00338092","0.00149757","0.002228","0","0","0.000368868","0.000761325","0.00450113","0.00225394","0.000377501","0","0.00711877","0.00639819","0.000746269","0.00491865","0.00340265","0","0.0030326","0","0","0.00713481","0","0.000381679","0.00341556","0.00075815","0.00224719","0.00188964","0.00452318","0.00416036","0.00187899","0.00150319","0.00451297","0.00265655","0.00642479","0.0015163","0.00226074","0.000757576","0.00300978","0.0015163","0","0.00298174","0.000374532","0.00227273","0","0.00524934","0.00149757","0.00341556","0.00710546","0.000373413","0.000744048","0.00641752","0.000745712","0.00409531","0.00112824","0.003003","0.00300075","0.00227015","0.000759301","0.00225225","0","0.00225056","0.00112994","0.003386","0.00222387","0.000757576","0.00226159","0.00601956","0","0.00265655","0.00718608","0.00487622","0","0.000755002","0.00262172","0.000379795","0.000761035","0.000749064","0.000374251","0.00527108","0.00225141","0.00148865","0.00075188","0.00149645","0.000373134","0.0014881","0.000376506","0.00264151","0.00151114","0.00370508","0.000378215","0.00263158","0","0.003367","0.000748503","0.00114329","0.00599027","0.0022363","0.0037594","0.00633147","0.00413845","0.00224635","0.000749625","0","0.00189753","0.00377358","0.00150376","0.00333087","0.00112233","0.000754717","0.00148478","0","0.0018797","0","0.00298063","0.00224719","0.00340136","0.000752445","0.000750469","0.00150716","0.00560119","0.00189897","0.00569692","0.0011236","0.00375516","0.00375516","0.00410754","0.00227187","0.00262467","0.00111982","0","0.00450113","0.00304067","0.00557","0.00300526","0","0.00227531","0.00149254","0.00636943","0.000758438","0.00301545","0.00413378","0.00338346","0.00150716","0.00532522","0.000748783","0.00337584","0.00263554","0.000752729","0.00112275","0.000766284","0.00344168","0.00299065","0.000374813","0","0.00799695","0.00149087","0.00558243","0.00225989","0.00376364","0.00150319","0.000376081","0.000372024","0.00340393","0.00225394","0.00417457","0.00296956","0.00335196","0.00450113","0.00150602","0.00114373","0.0034496","0.000374392","0.00150376","0","0.00484713","0","0.00186289","0.00556793","0.000375516","0.00567322","0.00225649","0.00341815","0.00826136","0.000747943","0.00190694","0.000752445","0.00528701","0.00636466","0.00416351","0.000751597","0.00750751","0","0.00190042"
"COD14281","2006","0.000744325","0","0.00562219","0.00338473","0.000376932","0.00598131","0.00452148","0.00375516","0.00150319","0.00187126","0","0","0.000368868","0.00075643","0.00449775","0.0026296","0.000375094","0","0.00564122","0.00606061","0.00112697","0.00601956","0.00225479","0","0.00379507","0","0","0.0075188","0","0","0.00302801","0.00114286","0.00187547","0.00188679","0.00451637","0.00415408","0.00227359","0.00150376","0.00376932","0.00228311","0.00565611","0.00189825","0.00189322","0.000378215","0.00301432","0.0011325","0.000372162","0.0029873","0.000375516","0.0011274","0","0.00564759","0.00149925","0.00342466","0.00859171","0.000374813","0.000748783","0.00564972","0.000746269","0.00373274","0.00189107","0.00262763","0.0029873","0.00226672","0.00075358","0.00264051","0","0.00264951","0.000750469","0.0030349","0.00260708","0.00113593","0.00302229","0.00636943","0","0.00227187","0.00721884","0.00452659","0","0.00113208","0.00299738","0.000377929","0.000757576","0.000755287","0","0.00412913","0.00186428","0.00149254","0.0011257","0.00150376","0.000747943","0.00148478","0.000378072","0.00263455","0.00191058","0.00296736","0.000378072","0.00224131","0","0.003367","0.000750469","0.00114679","0.00598355","0.00223297","0.00336826","0.00560119","0.00413534","0.0026178","0.000749064","0","0.00189107","0.00374392","0.00149869","0.00333704","0.00112867","0.000377501","0.00074184","0","0.00150716","0","0.00261194","0.00186567","0.00337205","0.000751597","0.000746547","0.00150038","0.00563275","0.00188608","0.00570994","0.00112613","0.00339495","0.00412913","0.00447261","0.0026435","0.00263059","0","0","0.00413534","0.00418092","0.00560119","0.00299177","0","0.00190404","0.00149757","0.00637899","0.000755858","0.00337331","0.00487074","0.00337965","0.00187617","0.00533333","0.000750751","0.00374251","0.00340393","0.000753296","0.00112952","0.00075959","0.00342727","0.00260805","0.000374532","0","0.008","0.00187477","0.00599027","0.0022633","0.00376932","0.00226843","0.000375375","0.000374251","0.00341297","0.00226244","0.00414625","0.00336574","0.00297952","0.00450113","0.00150094","0.00152207","0.00344564","0.000375235","0.00150319","0","0.00486163","0","0.00112108","0.00523952","0.000374392","0.00530504","0.00188253","0.0026455","0.00749344","0.000744879","0.00151976","0.000751315","0.00528302","0.00634565","0.00339367","0.000755287","0.0060241","0","0.00228833"
"COD14281","2007","0.000745156","0","0.00559701","0.00301773","0.000378788","0.00486345","0.00487805","0.00451297","0.00113165","0.0018622","0","0","0.000367918","0.000758438","0.00447594","0.00225479","0.000376223","0","0.00569044","0.00568397","0.00112528","0.00598802","0.00187758","0","0.00344696","0","0","0.00717252","0","0.000377074","0.003386","0.00113422","0.00149589","0.00189251","0.00452318","0.00451467","0.00227704","0.00149142","0.0037594","0.00302572","0.00677966","0.00227445","0.00188608","0.000376506","0.00300978","0.00113507","0.000739645","0.00335696","0.000376648","0.00225141","0","0.00527506","0.00150038","0.00381243","0.00901917","0.000373692","0.0011236","0.00642236","0.00074599","0.00442968","0.00187477","0.00225394","0.0025974","0.00224888","0.000755287","0.00264151","0","0.00228659","0.000751033","0.00301318","0.00224635","0.00113852","0.0037679","0.00676692","0","0.00226074","0.00759301","0.00417774","0","0.00113122","0.00188111","0","0.000378358","0.000750469","0.000374392","0.00449438","0.00149869","0.00150319","0.00113422","0.00150943","0.000745712","0.0018622","0.000380084","0.00300526","0.00191131","0.00298842","0.000379507","0.00260611","0","0.00373692","0.000747105","0.00114112","0.00561798","0.00259548","0.00337079","0.00598131","0.00411831","0.00262172","0.000747105","0","0.00113679","0.00372717","0.00149421","0.00335696","0.00113636","0.000378358","0.000750188","0","0.00150546","0","0.00262664","0.00149701","0.00334821","0.00075358","0.000747105","0.0018615","0.0056391","0.00186986","0.00570776","0.000753296","0.0026465","0.00410142","0.00484352","0.00225225","0.00263257","0","0","0.00522973","0.00418251","0.00562641","0.00261682","0","0.00152497","0.00151057","0.00601504","0.000755002","0.00452318","0.0052592","0.00337584","0.00187758","0.00498849","0.000755287","0.00224803","0.0026435","0.000753296","0.00113208","0.000755572","0.00340393","0.00224467","0.000749064","0","0.00684411","0.00149589","0.00598578","0.00301773","0.00377074","0.00226672","0.000375235","0.000376364","0.00379075","0.00265353","0.00455754","0.00299065","0.00261487","0.00524934","0.00150263","0.00153139","0.00382117","0.000373413","0.00151114","0","0.00373552","0","0.00112191","0.00415408","0.000375235","0.00568397","0.00263059","0.00337079","0.00597684","0.000750751","0.00189394","0.000752729","0.00525328","0.00562641","0.00302801","0.000379363","0.00640784","0","0.00265856"
"COD14281","2008","0.000744879","0","0.00599925","0.00265051","0.000376648","0.00453001","0.00486891","0.0037594","0.0011308","0.00224383","0","0","0.000368324","0.000753296","0.00410295","0.00226159","0.000372717","0","0.00646388","0.00494485","0.00111483","0.0063742","0.00187266","0","0.0034338","0","0","0.00713481","0.000374813","0.000374111","0.00339111","0.00151057","0.00150659","0.00187547","0.00414938","0.00413534","0.0026445","0.0011169","0.00297619","0.00301318","0.00834281","0.00224215","0.00187688","0.000376081","0.0029985","0.00113122","0.00111317","0.00372717","0.000379219","0.00224972","0","0.00484713","0.00149589","0.00419527","0.00907029","0.000374111","0.000376364","0.00564759","0.000745434","0.00445434","0.00150207","0.00187758","0.00297066","0.00186986","0.00075358","0.00263952","0","0.00306513","0.000748783","0.00302457","0.00223048","0.00113507","0.00339495","0.00754717","0","0.00186706","0.00761615","0.00342335","0","0.000763942","0.00150546","0","0.000752162","0.000752729","0","0.00375235","0.00150263","0.00150546","0.00112824","0.00150489","0.000748223","0.00224048","0.000381243","0.00339879","0.0019084","0.00299625","0.000378501","0.00299963","0","0.00373134","0.000747384","0.0011355","0.00560329","0.00223297","0.00301432","0.0060241","0.00413068","0.00300978","0.000374532","0","0.00149701","0.00373274","0.00187547","0.00336323","0.000377216","0.000379795","0.000751315","0","0.00189107","0","0.0026178","0.00224215","0.0033557","0.000754148","0.00112024","0.00186428","0.00564122","0.00298285","0.0045283","0.000377074","0.00226159","0.00371747","0.00525526","0.00224383","0.00263356","0","0","0.00449607","0.00456274","0.00605373","0.00299513","0","0.00114068","0.00151114","0.00639098","0.000754432","0.00491308","0.00565185","0.00339111","0.00149813","0.00420811","0.000755572","0.00299289","0.00340265","0.000754717","0.00112994","0.000757863","0.00339239","0.00149477","0.00112486","0","0.00572519","0.00187477","0.00605144","0.00264251","0.0037594","0.00263952","0.000373832","0.000377786","0.00262467","0.00189538","0.00378931","0.00337584","0.00221648","0.00604915","0.00150659","0.00152672","0.00380662","0.000375375","0.00151343","0","0.00413068","0","0.00112824","0.00530504","0.000375657","0.00642965","0.00263753","0.00335946","0.00559284","0.00075188","0.00189681","0.0011215","0.00555967","0.00527704","0.00302801","0.000761905","0.00640543","0.000378072","0.00265957"
"COD14281","2009","0.000742942","0","0.00638378","0.00264851","0.000376648","0.00451128","0.00490381","0.00339239","0.00113037","0.00223964","0","0","0.000742666","0.000373692","0.00448934","0.00262271","0.000375235","0","0.00682853","0.00453686","0.00111566","0.00712678","0.00149365","0","0.00304183","0","0","0.00638138","0.000373972","0.000740741","0.004561","0.00150886","0.000751597","0.00150207","0.0037679","0.00488355","0.0026296","0.00112066","0.00261878","0.00300978","0.00795455","0.00186359","0.00149421","0.000377074","0.00300639","0.00113379","0.00111649","0.00370508","0.000753012","0.00297287","0","0.00484532","0.00112317","0.00341038","0.00903614","0.000372717","0.000756144","0.00526316","0.000745712","0.00486163","0.00188395","0.00187056","0.00295967","0.00260805","0.000750751","0.00263356","0","0.00381098","0.000372717","0.00304414","0.00223714","0.00113982","0.00377644","0.00715092","0","0.00187758","0.00757289","0.00379363","0","0.000761035","0.00150038","0","0.000374813","0.000752445","0","0.00414781","0.00187758","0.00150207","0.0011325","0.00150546","0.000753012","0.00149701","0.000381098","0.00340522","0.0019084","0.00298954","0.000377501","0.00223714","0","0.00371747","0.000750751","0.00112824","0.00558036","0.00185598","0.00301659","0.00639579","0.00411369","0.00300752","0.00113422","0","0.000742666","0.00374953","0.00188608","0.00374953","0.000752445","0.000376648","0.000748503","0","0.00187758","0","0.00301773","0.00187758","0.00335445","0.000753296","0.00111483","0.00112066","0.00485981","0.00223547","0.00486527","0.000379219","0.00112528","0.00299738","0.00487988","0.00300413","0.00263059","0","0","0.00488722","0.00417299","0.00643939","0.00260805","0","0.000760746","0.00187406","0.00598355","0.000755858","0.00415094","0.00598355","0.0037594","0.00149869","0.00456795","0.0011325","0.00373692","0.00342596","0.00112952","0.00112994","0.00112528","0.00337584","0.00187617","0.00112066","0","0.00495616","0.00187477","0.00494109","0.00262074","0.00338983","0.00226672","0.000373134","0.00037594","0.00225904","0.00189179","0.00266059","0.00301205","0.00223214","0.00641752","0.00149813","0.00151573","0.00379075","0.000752162","0.000753296","0","0.00563698","0","0.00112528","0.0045819","0.000754717","0.00599925","0.0026465","0.00374251","0.0052592","0.000748783","0.00302686","0.0015083","0.00483451","0.00528501","0.00226929","0.000765404","0.00718065","0.000376223","0.00228484"
