"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"COG12836","2000","0.0148644","0.0231085","0.0259163","0.00374672","0.0167473","0.0244898","0.0271275","0.0180859","0.0155556","0.0085693","0.0174074","0.0110538","0.010355","0.0178505","0.01305","0.0226345","0.0186882","0.00855019","0.026055","0.0088463","0.00813309","0.0123549","0.00819978","0.0305372","0.0056243","0.00889548","0.0051756","0.0187196","0.0381906","0.0104322","0.00897868","0.0263158","0.0141159","0.0126866","0.00523364","0.0238361","0.0117907","0.00743771","0.0114433","0.019666","0.0108411","0.0121547","0.0111317","0.017222","0.0133531","0.00965466","0.0167224","0.0100111","0.0118299","0.0177187","0.00733945","0.0295106","0.0137139","0.0111483","0.0276345","0.00927988","0.0126113","0.0211975","0.0203402","0.0103283","0","0.0200074","0.0193237","0.0125138","0.00597907","0.0141107","0.0137189","0.00519481","0.00857889","0.0319584","0.010709","0.00969426","0.0513011","0.0170055","0.0126582","0.0171067","0.00849649","0.0189591","0.0200743","0.00970511","0.00599027","0.00484894","0.0298396","0.0144018","0.00882677","0.0347924","0.006684","0.0302248","0.023711","0.0108088","0.0107011","0.0215213","0.00965466","0.0252039","0.0172098","0.0162817","0.0197173","0.0143594","0.00826136","0.0144444","0.0145958","0.01305","0.0208256","0.0171706","0.0129774","0.00739919","0.0224761","0.00333704","0.00823045","0.0174851","0.0277059","0.00557414","0.00630564","0.0138733","0.0269273","0.0110497","0.0225508","0.0108249","0.00744602","0.0106853","0.0248056","0.0133531","0.00406504","0.0191317","0.0103858","0.0178174","0.0114054","0.0264609","0.0126206","0.01114","0.0198502","0.0114096","0.0122494","0.0228529","0.00931099","0.00819978","0.00894855","0.0123134","0.00111899","0.0126866","0.0151908","0.0178042","0.0108777","0.0107927","0.0134178","0.0205993","0.0197026","0.0121951","0.0074239","0.0222387","0.0111029","0.00935979","0.0210877","0.00966543","0.00704225","0.0156308","0.0156775","0.0119048","0.015253","0.00929023","0.0335696","0.0163326","0.0190228","0.0199849","0.00814815","0.00669892","0.00824588","0.0104167","0.0191882","0.00261487","0.00849335","0.0257175","0.0200669","0.0151403","0.0308387","0.0165624","0.00293794","0.0106422","0.0116018","0.00702663","0.00630564","0.0246545","0.0142803","0.0100521","0.0173881","0.00777778","0.0111732","0.00675169","0.0169237","0.0260417","0.0125786","0.0103283","0.0208644","0.0145577","0.0172802","0.0135186","0.00560329","0.0103781","0.00975976","0.00557621"
"COG12836","2001","0.0152814","0.0218924","0.0278707","0.00300639","0.0145631","0.023525","0.0262467","0.0188253","0.0145306","0.00785047","0.0167535","0.0114603","0.0115028","0.0167411","0.0133779","0.0225342","0.0172604","0.0074239","0.025046","0.00847145","0.00744048","0.0123874","0.00746826","0.0311573","0.00490937","0.0089153","0.00593252","0.0199925","0.035648","0.0104322","0.00970874","0.0297841","0.0134028","0.012318","0.00486527","0.0220726","0.0110497","0.0070975","0.0103397","0.0186776","0.010181","0.0121681","0.0119181","0.0179843","0.0137803","0.0107407","0.0175242","0.00890869","0.0129726","0.0162903","0.00887574","0.0295991","0.0144498","0.0108007","0.027881","0.00895522","0.0130402","0.0215854","0.0204157","0.0104439","0","0.0207792","0.0216176","0.0117388","0.00597684","0.0118959","0.0141738","0.00521999","0.00894855","0.0291807","0.0107051","0.00969787","0.0515888","0.0178571","0.013463","0.0148038","0.00923873","0.0201342","0.0184843","0.00901917","0.0052356","0.00522193","0.0294666","0.014733","0.00883327","0.0329588","0.00706845","0.0294996","0.0236753","0.00895188","0.0112108","0.0222552","0.00971599","0.0222222","0.016538","0.0155775","0.0186428","0.0144391","0.00826446","0.0151403","0.0154077","0.0136986","0.0194465","0.0190654","0.0131135","0.00782123","0.0222469","0.00334076","0.00821202","0.0183796","0.029368","0.00554119","0.00670141","0.0146837","0.0295438","0.0107847","0.0218357","0.0104556","0.0078534","0.00991189","0.0243453","0.0145522","0.00446263","0.0207024","0.0107607","0.0181818","0.01263","0.0274176","0.0133929","0.0100634","0.0197983","0.011372","0.0142536","0.0211346","0.00965108","0.00784167","0.00819062","0.0130743","0.00111773","0.0127246","0.0156076","0.0185874","0.00984103","0.0107288","0.0141791","0.0213323","0.0192807","0.0122722","0.00967262","0.023525","0.0104167","0.00858209","0.0202728","0.0111899","0.0063033","0.0149198","0.0152643","0.0123735","0.015219","0.00891199","0.0304282","0.0162182","0.0175047","0.0198949","0.00892525","0.00707108","0.00821202","0.011194","0.0192735","0.00299625","0.00777202","0.0264827","0.0208955","0.0147493","0.0305776","0.0177187","0.00331736","0.0109971","0.0127055","0.00670641","0.00663717","0.0209346","0.0134429","0.0115542","0.0178571","0.0100446","0.0115585","0.00720516","0.0168856","0.0248148","0.0126582","0.0107527","0.021237","0.0149421","0.0165103","0.0131086","0.004858","0.0107328","0.010101","0.00522193"
"COG12836","2002","0.0130939","0.0226177","0.0264235","0.00300075","0.0144659","0.0223797","0.0268456","0.0172673","0.0152303","0.00787106","0.0194976","0.0116541","0.0100409","0.0176958","0.0137649","0.0232988","0.0187915","0.00750751","0.0254801","0.0088659","0.0086629","0.0135952","0.00788881","0.0316574","0.00527704","0.00895522","0.0059657","0.0196597","0.0358879","0.0104869","0.00974513","0.0292573","0.0127916","0.0112233","0.0052064","0.0206767","0.0114772","0.0082397","0.0108696","0.0198205","0.0106222","0.0133432","0.0111982","0.017222","0.0119048","0.0103781","0.0161533","0.00892193","0.0142536","0.0189029","0.00893189","0.0306428","0.0137037","0.011456","0.0264827","0.00966902","0.0138008","0.0201493","0.0193165","0.00975976","0.00149198","0.0181549","0.0213803","0.0121951","0.00559701","0.0119895","0.0153788","0.00522388","0.00825826","0.0267118","0.0110783","0.0100897","0.0474589","0.0177778","0.0123781","0.015219","0.00816327","0.0212449","0.0185391","0.0100784","0.00601956","0.00448934","0.0285071","0.0152416","0.00926269","0.0326332","0.00705271","0.0311562","0.0240421","0.00823045","0.0100972","0.0227103","0.00819367","0.0222717","0.0158379","0.015855","0.0184211","0.0138266","0.00710812","0.0144444","0.0149981","0.013373","0.0194976","0.0176162","0.0126818","0.00667161","0.0227867","0.00372024","0.0081754","0.0192018","0.032006","0.00556793","0.00675929","0.0149757","0.0294007","0.0115456","0.0234027","0.00860135","0.00711877","0.0107607","0.0236949","0.0142696","0.00561587","0.0197026","0.0104361","0.0163265","0.0126724","0.027249","0.0127198","0.0104051","0.0179372","0.0114349","0.0126866","0.0217391","0.0119136","0.00788584","0.00898876","0.0128157","0.00111899","0.013148","0.0149087","0.0175898","0.010586","0.0103781","0.0127676","0.0211738","0.0186359","0.0123596","0.0101086","0.023979","0.0112444","0.00784753","0.0203779","0.00976709","0.00628466","0.0143072","0.0150094","0.0116717","0.0158613","0.0093214","0.0287009","0.0158906","0.0156541","0.0208955","0.00964034","0.00744602","0.0100784","0.0115585","0.0208256","0.00338219","0.00816327","0.0290936","0.0205377","0.014881","0.0272212","0.0166482","0.0033321","0.0125461","0.0115542","0.00598131","0.00665927","0.0193813","0.013915","0.0131283","0.0188679","0.0100484","0.012318","0.00755572","0.0190797","0.0253353","0.0115156","0.0107447","0.0228123","0.0138421","0.016129","0.0112066","0.00489458","0.0111111","0.00969064","0.00562852"
"COG12836","2003","0.0127964","0.0216095","0.0273511","0.00299625","0.0145849","0.023569","0.0269966","0.0169555","0.0145685","0.00827379","0.0208799","0.010566","0.0107967","0.0180791","0.0146727","0.0248886","0.0199852","0.00679245","0.025","0.00924556","0.00794251","0.012392","0.00749906","0.0336197","0.0052691","0.00824279","0.00593032","0.0185185","0.0348576","0.0104751","0.0109187","0.0310629","0.0120573","0.00935279","0.00559284","0.0210764","0.0114943","0.00899888","0.0101466","0.0198651","0.0102584","0.0138473","0.0119626","0.0172673","0.0125926","0.00900563","0.0151229","0.0085885","0.0139992","0.0173176","0.00820283","0.0321616","0.0123549","0.0114391","0.0254077","0.0093633","0.0145414","0.0202779","0.0219087","0.0101848","0.00223214","0.0202504","0.020362","0.0152134","0.00559284","0.0120075","0.0172738","0.00600375","0.00900563","0.0300978","0.010355","0.0104987","0.0435109","0.0164118","0.0123967","0.0148644","0.00819978","0.0235426","0.0185805","0.00823353","0.00488722","0.00448766","0.0280584","0.0153443","0.00929023","0.031203","0.00599251","0.0288282","0.023979","0.00904977","0.00933184","0.0223714","0.00891862","0.0223048","0.0147929","0.0150489","0.0183796","0.0120618","0.00636704","0.0151236","0.0151172","0.0138733","0.0190797","0.016202","0.0119626","0.0063033","0.0229151","0.004858","0.00817844","0.0199774","0.0298396","0.00635277","0.00601504","0.0157717","0.0280091","0.0108614","0.0248886","0.00824588","0.00675676","0.0111607","0.0248609","0.0158371","0.00522388","0.0191011","0.0097269","0.0160748","0.0108614","0.0290936","0.0135389","0.0108169","0.0183109","0.0126724","0.0123364","0.0194465","0.01089","0.00756716","0.00893522","0.0128157","0.00111773","0.0131381","0.0153214","0.0183865","0.0109269","0.00894855","0.0116805","0.0197173","0.0177646","0.0124481","0.0100972","0.0244821","0.0101048","0.00858209","0.0209111","0.0112655","0.00672394","0.0128496","0.0161959","0.0127868","0.0161468","0.00900901","0.0298677","0.0160628","0.016129","0.0209816","0.00980023","0.00745434","0.0100897","0.0115758","0.0225649","0.00340393","0.00746269","0.0306428","0.0205531","0.0134479","0.0267521","0.0163751","0.00370096","0.0125415","0.0100784","0.00636704","0.0063244","0.0176294","0.0139255","0.0134579","0.0189029","0.010026","0.0117202","0.00677966","0.0193885","0.0261976","0.0119403","0.0114518","0.0205531","0.011215","0.0156775","0.0108209","0.00489274","0.0115758","0.0104089","0.00596347"
"COG12836","2004","0.0132526","0.0205377","0.0290895","0.00264051","0.0146287","0.0220974","0.0276739","0.0172932","0.0149309","0.00865964","0.0208101","0.0109848","0.010829","0.0172349","0.0138525","0.0269058","0.0189099","0.00717794","0.0234987","0.00925926","0.00828313","0.0135952","0.00790068","0.0363977","0.00492238","0.0075358","0.00672394","0.0162509","0.0364525","0.00975244","0.0105263","0.029985","0.0136364","0.00973054","0.00484171","0.0208967","0.012715","0.00824588","0.00862069","0.0198131","0.00986343","0.0134983","0.0126771","0.0179439","0.0108048","0.00901578","0.0147392","0.00748503","0.0136364","0.0193885","0.00865312","0.0314607","0.013153","0.011066","0.025398","0.0101351","0.0159555","0.0203237","0.0208333","0.0121951","0.0026032","0.0206186","0.0192453","0.0130792","0.00526712","0.0124764","0.0172673","0.00605602","0.0101313","0.0282592","0.0099963","0.0112066","0.041698","0.0157421","0.0135338","0.0138369","0.00863363","0.024006","0.0194175","0.00863688","0.00601504","0.00486891","0.0274953","0.0152757","0.00859813","0.0302686","0.00600375","0.02855","0.0219903","0.00985222","0.00822737","0.0235867","0.00782998","0.0231343","0.0140897","0.0153731","0.018018","0.0116541","0.00641752","0.0162542","0.0157598","0.0123549","0.0168792","0.0158431","0.0124575","0.00671141","0.0229323","0.00488722","0.00849963","0.02118","0.0340441","0.00711877","0.00529902","0.0157658","0.0283768","0.00901917","0.0246453","0.00821815","0.00561377","0.0123457","0.0234027","0.0151114","0.00598355","0.019238","0.00901917","0.0149421","0.0106141","0.025833","0.0116893","0.0112275","0.0175177","0.0119895","0.0115888","0.01963","0.012806","0.00798176","0.00865638","0.0116498","0.000747105","0.012021","0.0165041","0.0177024","0.00904295","0.00940203","0.0125285","0.0201267","0.017075","0.0132225","0.0100559","0.0241783","0.0109064","0.00823662","0.0214608","0.0109393","0.0060173","0.0135287","0.0135593","0.0142643","0.0148203","0.00791557","0.0305891","0.0179775","0.0142216","0.019697","0.0105461","0.00749625","0.010582","0.011537","0.025","0.00342596","0.00748783","0.0284751","0.0213643","0.0137957","0.0246867","0.0146782","0.00373972","0.0130015","0.0101275","0.00639819","0.00632205","0.01656","0.0150376","0.0149869","0.0192024","0.00822123","0.0120482","0.00640543","0.0194684","0.0271289","0.010479","0.0104517","0.0212687","0.00970149","0.0163996","0.0119626","0.00488906","0.0123134","0.00968703","0.00565611"
"COG12836","2005","0.0120937","0.0209659","0.0296465","0.00302916","0.0146672","0.0210289","0.0273408","0.0177358","0.0153673","0.00862716","0.0198651","0.0102818","0.0120165","0.0180045","0.0141264","0.0280269","0.0200669","0.00645406","0.0243628","0.0103627","0.00827379","0.014717","0.00905319","0.0364388","0.00456969","0.00830502","0.00638378","0.0143994","0.0349014","0.00975976","0.0116805","0.0301901","0.0136778","0.00901239","0.00485437","0.0220784","0.0142536","0.00935979","0.00902935","0.0207","0.00943396","0.0135084","0.0125523","0.0173062","0.010026","0.00861746","0.0140631","0.0075358","0.0139623","0.0194757","0.00911508","0.0326454","0.013148","0.0103436","0.0247808","0.0112824","0.0153099","0.0176493","0.0235778","0.0115207","0.00371885","0.0192237","0.0208729","0.012782","0.00564972","0.0136519","0.01693","0.00604915","0.00976342","0.026742","0.00891862","0.00978547","0.0429217","0.0164547","0.0142482","0.0145197","0.00869894","0.0242057","0.019295","0.0075643","0.0064006","0.00526118","0.0312147","0.0149087","0.00908059","0.0300752","0.00564546","0.0290456","0.0224888","0.0102389","0.00825206","0.0257283","0.0086858","0.0226244","0.0134429","0.0148754","0.0194175","0.0132275","0.00677966","0.0181683","0.0161898","0.0130743","0.0180045","0.0161959","0.012806","0.00599475","0.020857","0.00485981","0.00782998","0.0223147","0.0332075","0.00712144","0.00494673","0.0154542","0.0287988","0.0101887","0.0254777","0.00857569","0.0052691","0.0116235","0.0239431","0.0159453","0.00563486","0.0199473","0.00937383","0.015402","0.0102311","0.0270778","0.0124014","0.0116366","0.0177844","0.0124669","0.013915","0.0185115","0.0139098","0.00796662","0.00829876","0.011994","0.000753864","0.0113336","0.0158371","0.0192235","0.00981502","0.00903614","0.0106626","0.0209346","0.0171131","0.0124905","0.0100859","0.0227187","0.00982244","0.00859492","0.0199699","0.0112782","0.0064006","0.0135287","0.0127293","0.0146013","0.0137393","0.00901239","0.0302686","0.0172414","0.0131037","0.0185185","0.0101542","0.00674916","0.0113208","0.0120346","0.0266565","0.00456969","0.00828313","0.0281849","0.0206379","0.0157895","0.024381","0.0150376","0.00412603","0.0127676","0.00986343","0.0071888","0.00634565","0.015891","0.0146782","0.015748","0.0171067","0.00855973","0.0109393","0.00604915","0.0199699","0.0264151","0.010594","0.0116585","0.0219494","0.00860778","0.0156775","0.0127484","0.00486527","0.0120573","0.0101199","0.0060015"
"COG12836","2006","0.0113982","0.0228379","0.0266261","0.00377358","0.0153214","0.0212687","0.0257655","0.0169364","0.0149421","0.00823045","0.0193596","0.00987842","0.0112909","0.0167973","0.0131283","0.0285071","0.0190441","0.00567967","0.0242447","0.0100859","0.00747943","0.0149757","0.00793051","0.0377429","0.00453515","0.00717523","0.00712411","0.0135798","0.0352406","0.00897868","0.0110015","0.0281273","0.0128886","0.0082769","0.00523952","0.0238636","0.0124575","0.00864662","0.0105342","0.0204082","0.00864662","0.0125047","0.0129327","0.0177158","0.0104051","0.00867597","0.0140364","0.00680529","0.0165041","0.0209502","0.0102467","0.0320151","0.0124528","0.0099926","0.0258261","0.0112444","0.0149309","0.0176426","0.0246821","0.0121951","0.00414157","0.0207638","0.0213822","0.0136209","0.00603318","0.0128983","0.0172414","0.0060241","0.00935979","0.0265619","0.00853116","0.010158","0.0369672","0.0160448","0.0127341","0.012003","0.00795756","0.0253884","0.0186916","0.00833018","0.00636704","0.00529501","0.0295567","0.0141844","0.00836184","0.0308039","0.0048909","0.0274436","0.0221555","0.011738","0.00786812","0.025076","0.00869565","0.0207861","0.0127868","0.0140689","0.0171195","0.0128399","0.00564546","0.0178306","0.0142803","0.0135491","0.0176096","0.0173128","0.0149925","0.00598355","0.0227015","0.00451807","0.00859171","0.0217147","0.0347563","0.00717523","0.00454545","0.0154542","0.0275264","0.0109434","0.0265818","0.00931099","0.0056926","0.0116498","0.0252069","0.0148289","0.00524148","0.0188041","0.0104712","0.0143559","0.010235","0.0290566","0.0124153","0.0123364","0.0152247","0.0121766","0.0130792","0.0191729","0.0143126","0.00757002","0.0075643","0.0108696","0.000376223","0.0102506","0.0161776","0.0190259","0.00904977","0.00912895","0.0114329","0.0206922","0.0167598","0.0131926","0.00973054","0.0223485","0.0101657","0.00939144","0.0213964","0.00979284","0.00640301","0.0139887","0.0123688","0.0138837","0.0145522","0.00898204","0.0297216","0.020339","0.012696","0.0192598","0.0101351","0.00601956","0.0124528","0.0112824","0.0242792","0.0045403","0.00868252","0.0293785","0.0216337","0.0154659","0.0239453","0.0155185","0.00488538","0.0133029","0.00982244","0.00717523","0.00672143","0.0155362","0.0139465","0.0160868","0.0178704","0.0078446","0.0117114","0.00600826","0.0215013","0.0271084","0.0116585","0.0120437","0.0220808","0.00711877","0.0134882","0.0127628","0.00448598","0.0113766","0.00940911","0.00635752"
"COG12836","2007","0.0113336","0.0210764","0.0262058","0.00378358","0.0154251","0.0206922","0.0254968","0.0166604","0.0138733","0.00711877","0.0198057","0.0101887","0.0113293","0.0161109","0.0135747","0.0280164","0.0201945","0.00675929","0.0238628","0.0104556","0.00778354","0.0153099","0.00716711","0.0372578","0.00566893","0.00714286","0.00746269","0.0124434","0.0347432","0.00705533","0.0106141","0.0294985","0.0125285","0.0086858","0.0056391","0.0263852","0.0124294","0.00907716","0.00931793","0.0199398","0.00863688","0.0128886","0.0121534","0.0172802","0.0100111","0.0095057","0.0133333","0.00602637","0.0163265","0.0221305","0.0113593","0.0333458","0.0124481","0.0100409","0.0265554","0.0101351","0.0147225","0.0176758","0.0262763","0.0125142","0.00375799","0.0193309","0.0197944","0.0132979","0.00604458","0.0125","0.0146232","0.0060423","0.00940911","0.0260805","0.00854701","0.0100897","0.0325843","0.0153962","0.0146122","0.0134781","0.00839695","0.0246119","0.0188182","0.00840657","0.00672897","0.00492051","0.0310724","0.0156716","0.00839374","0.0293123","0.00451977","0.0284538","0.0195122","0.012913","0.00864987","0.0265252","0.00903955","0.01988","0.0112697","0.0126441","0.015219","0.0128302","0.00604915","0.0151796","0.0139412","0.0131876","0.0164425","0.0165913","0.0131037","0.00672897","0.0222558","0.00414157","0.0086727","0.0231776","0.0328426","0.00756716","0.00415408","0.0144103","0.027423","0.0109393","0.0277778","0.00931446","0.00641994","0.0116498","0.0260279","0.0152555","0.00521804","0.0184003","0.0109187","0.0140578","0.0101925","0.026296","0.0104634","0.0127293","0.0157186","0.0117158","0.0135287","0.0195122","0.0167237","0.00751597","0.00757002","0.0112655","0.000376223","0.011355","0.0146837","0.0197418","0.0086858","0.010274","0.0118456","0.0226843","0.0160328","0.0128447","0.0108777","0.021862","0.0101199","0.0101351","0.0195931","0.0108777","0.00679502","0.0146782","0.0127772","0.014158","0.0142162","0.00897196","0.0311796","0.017803","0.0119805","0.0189251","0.0112952","0.00678989","0.0124434","0.0110182","0.0256895","0.00568613","0.00719697","0.0272831","0.0228037","0.014881","0.0223994","0.0152381","0.00489827","0.0140899","0.0109187","0.00678989","0.00749625","0.0143234","0.0138266","0.0163873","0.0184557","0.00780379","0.0116761","0.00599475","0.0212685","0.0277674","0.0093985","0.0112994","0.0243263","0.00676183","0.0138111","0.0131086","0.00485256","0.0106181","0.00833018","0.00708691"
"COG12836","2008","0.0116849","0.0226672","0.0265856","0.00377786","0.0157954","0.02118","0.0281215","0.0166604","0.0131827","0.00712678","0.0199699","0.00941974","0.0128837","0.0173454","0.01208","0.0268156","0.0198279","0.0067441","0.0238361","0.0104595","0.00668896","0.0141369","0.00871542","0.0373972","0.0060675","0.00711877","0.00705795","0.0125095","0.0350282","0.00673401","0.00945537","0.031994","0.0124905","0.00981502","0.00597461","0.0274333","0.0120709","0.00872203","0.0104673","0.0207234","0.00942685","0.01359","0.012519","0.0179104","0.0100634","0.00754717","0.0136312","0.00564759","0.0162722","0.0242516","0.0128447","0.0341207","0.0123503","0.0082243","0.0267521","0.00895857","0.0147951","0.0156716","0.027516","0.0125142","0.00377501","0.019483","0.020053","0.0144103","0.00568182","0.0128642","0.0157776","0.00531309","0.00908403","0.025804","0.0070632","0.0101657","0.0316456","0.0158014","0.0153846","0.0127964","0.00797872","0.0220197","0.0184697","0.010274","0.005997","0.0045403","0.0299356","0.0153214","0.00911162","0.0290347","0.0034078","0.0264925","0.0188395","0.013544","0.00870553","0.0261166","0.00900225","0.0180045","0.0116366","0.011107","0.0156134","0.0131827","0.00681044","0.0153501","0.0146287","0.0127676","0.0162632","0.0154542","0.0164363","0.00673653","0.0225479","0.00413534","0.00869237","0.0244354","0.0332703","0.00679758","0.00489458","0.0136054","0.0302691","0.0116541","0.0273204","0.0100409","0.00603091","0.0101618","0.0254366","0.0128788","0.00526316","0.0197835","0.0101618","0.0132576","0.0109599","0.0277986","0.0108533","0.0122814","0.0146672","0.0116849","0.0135491","0.0206456","0.0174308","0.00711078","0.00719424","0.011194","0.000378215","0.00948047","0.0143667","0.0204159","0.00941974","0.0110266","0.0106262","0.021862","0.0168666","0.0116893","0.00941974","0.0191946","0.0109393","0.00940911","0.0209268","0.0105145","0.00714286","0.0146782","0.0116366","0.0147059","0.0127676","0.0082243","0.031734","0.0176096","0.0115542","0.0188182","0.0110988","0.00454373","0.0127724","0.0102273","0.0242356","0.00567967","0.0075815","0.0254366","0.0209502","0.0152871","0.0213822","0.0136364","0.00491679","0.0133537","0.01208","0.00638618","0.00786812","0.0156366","0.0145577","0.0167473","0.0191298","0.00782706","0.0122585","0.00640301","0.0212041","0.0272388","0.00983359","0.0113679","0.023525","0.00491308","0.0135644","0.0134529","0.00595017","0.00947688","0.00798176","0.0063599"
"COG12836","2009","0.0108777","0.0234937","0.0275264","0.00376648","0.0159091","0.0209364","0.0279035","0.0170519","0.01359","0.00866943","0.0162694","0.00904295","0.0125237","0.016711","0.0120846","0.0253542","0.0201643","0.00597907","0.0227952","0.00932488","0.00598131","0.0145794","0.00947329","0.0371622","0.00604458","0.0070922","0.00820283","0.0132375","0.0307923","0.00637899","0.0101772","0.0318233","0.0132275","0.0101772","0.0060015","0.0259789","0.0127628","0.00873528","0.0101237","0.0210605","0.00907372","0.0132576","0.0121442","0.0176825","0.0103858","0.00943396","0.0144542","0.00638858","0.0167038","0.024519","0.0139728","0.0342389","0.0128253","0.00750751","0.0278824","0.00746269","0.0144707","0.0153157","0.0282061","0.0124153","0.00378358","0.0200076","0.0201521","0.0146837","0.0060173","0.0109973","0.0153788","0.00566465","0.00834598","0.025833","0.00742115","0.00937383","0.0274991","0.0169683","0.0150773","0.013463","0.0102118","0.0215664","0.0199098","0.0117826","0.00483631","0.00528701","0.0294896","0.0158252","0.0101772","0.0271391","0.00416509","0.0261584","0.0196375","0.0139255","0.00789771","0.0274333","0.00786222","0.0153904","0.0116937","0.0111029","0.0151739","0.0129081","0.00758438","0.0154135","0.0136157","0.012758","0.0158073","0.0147783","0.0148423","0.00489458","0.022281","0.0037679","0.00873197","0.0244716","0.0345351","0.00531309","0.00490196","0.013544","0.0288606","0.010158","0.0287421","0.00894521","0.00638378","0.0104869","0.0274286","0.0131827","0.00492984","0.0181064","0.0112952","0.0128496","0.0113037","0.0244545","0.0116192","0.0126913","0.0150546","0.0123874","0.012012","0.0200968","0.0181887","0.00789177","0.00787992","0.0104478","0.000377358","0.00906344","0.0154077","0.0184836","0.00864987","0.01059","0.00982987","0.0224131","0.0160868","0.0131579","0.0075643","0.0183589","0.0116541","0.0101772","0.0198205","0.0108696","0.00674663","0.0140471","0.0127532","0.01514","0.0142857","0.0078329","0.0328798","0.0176426","0.0101124","0.0191946","0.0107927","0.00531108","0.0122631","0.0103093","0.0238539","0.00569692","0.00948047","0.0245747","0.0216985","0.0147003","0.0228746","0.0127724","0.00487805","0.0141546","0.0124107","0.00639098","0.00864012","0.0167348","0.015015","0.017145","0.0181132","0.00825206","0.0122768","0.0071617","0.0219947","0.0285502","0.00950209","0.0113122","0.0235426","0.00339751","0.0135747","0.0131628","0.00486709","0.00834281","0.00567967","0.00632676"
