"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"ETH18714","2000","0.0215854","0.0314001","0.0443951","0.0362075","0.0235554","0.00787992","0.00518519","0.033321","0.096313","0.0417128","0.0389466","0.0915493","0.0282949","0.0265024","0.0553685","0.0153271","0.0275093","0.0393258","0.0411721","0.023394","0.0472618","0.0201493","0.0252226","0.022685","0.048907","0.0122268","0.0255366","0.00904977","0.0146232","0.118348","0.00741565","0.0366667","0.00786222","0.0280961","0.0130063","0.0133482","0.03367","0.0261878","0.0705105","0.0217793","0.0358993","0.00443951","0.090301","0.0307978","0.0615836","0.0370782","0.00705533","0.0352811","0.14819","0.0312268","0.0164979","0.0167848","0.0325599","0.0244444","0.0281849","0.0677903","0.0337788","0.0542435","0.0226935","0.0131037","0.0363705","0.0141002","0.0324245","0.0228037","0.0348794","0.0242537","0.041543","0.0320776","0.0252694","0.0378619","0.0198576","0.0242086","0.0259163","0.0205993","0.032963","0.0321856","0.053418","0.0623616","0.0114645","0.026032","0.0344062","0.0282699","0.0203084","0.0185874","0.0180113","0.0420509","0.0185928","0.0212054","0.0449981","0.0581266","0.0333457","0.0527892","0.0246414","0.0687247","0.0322342","0.0407407","0.0237125","0.0479882","0.0333457","0.0162362","0.0212528","0.0541836","0.0492775","0.0262172","0.0110988","0.0125647","0.00183419","0.0500552","0.0230312","0.00712678","0.0191529","0.0268256","0.0137291","0.0181347","0.0144338","0.0597403","0.0252976","0.0309817","0.0164425","0.0244716","0.00963677","0.0071028","0.0450683","0.0168666","0.0107727","0.0207177","0.0427286","0.01592","0.0227782","0.0486726","0.189329","0.0417755","0.0121771","0.0381024","0.0146232","0.0398362","0.00480059","0.0299289","0.0369679","0.0312849","0.0203102","0.0410807","0.0201869","0.0242356","0.0479376","0.0277257","0.00632205","0.0100484","0.0192735","0.049424","0.0444527","0.0167848","0.0171386","0.0288675","0.0329264","0.0221157","0.0331718","0.0189732","0.0242809","0.0189873","0.0217712","0.0378058","0.0180316","0.0248148","0.0416667","0.0225009","0.0229545","0.0571322","0.0141159","0.0271476","0.00672646","0.0318114","0.0122313","0.0154696","0.0114772","0.0217799","0.0206534","0.00967982","0.0218843","0.0293353","0.0246821","0.0365127","0.0215533","0.0286033","0.0327869","0.0193237","0.0292268","0.00521999","0.0155613","0.0581439","0.0317578","0.0155498","0.0246914","0.0556579","0.0440134","0.0301003","0.0576923","0.0210177","0.0129726","0.0499815"
"ETH18714","2001","0.0225926","0.0321865","0.0432692","0.034275","0.0236424","0.00899213","0.0055638","0.0345212","0.0995492","0.0404453","0.0382189","0.0932488","0.0298285","0.0268057","0.0523738","0.0160388","0.0286245","0.0407782","0.0387337","0.0225842","0.0450484","0.0207869","0.0263255","0.0222222","0.0501497","0.0119092","0.0239234","0.00757289","0.0150432","0.118977","0.00782123","0.0350354","0.0082769","0.0286458","0.0104089","0.0122677","0.032963","0.0259106","0.0710565","0.0201117","0.0359526","0.0037037","0.0901975","0.0312036","0.0637906","0.0356745","0.00749906","0.0321627","0.144732","0.0336072","0.0168792","0.0182631","0.0319069","0.0241098","0.0294896","0.0682671","0.0374074","0.0519528","0.0214656","0.013089","0.0366492","0.01263","0.0332963","0.0244821","0.0348148","0.0243082","0.0419139","0.0321135","0.0242356","0.0369955","0.0201945","0.0246177","0.0241187","0.019403","0.0337287","0.0319789","0.0513686","0.0619666","0.0108859","0.0253637","0.0353686","0.0290676","0.0206534","0.0164302","0.017603","0.0434298","0.020228","0.0221638","0.0438499","0.0578635","0.0341373","0.0488988","0.0239852","0.0688379","0.0311342","0.0415739","0.0239611","0.0512917","0.0333952","0.0159141","0.0209895","0.0557","0.0489614","0.0261878","0.0114985","0.0144391","0.00147384","0.0497217","0.0233766","0.00670391","0.0185874","0.0287635","0.0141422","0.017791","0.0125647","0.0584295","0.0241546","0.0326822","0.0176825","0.0230912","0.00888889","0.00786517","0.0435424","0.0157658","0.0108533","0.0207947","0.0414643","0.014881","0.0230655","0.0480947","0.192436","0.0405253","0.0118562","0.0393848","0.0131184","0.043203","0.00482554","0.0307116","0.0366355","0.0288931","0.0203704","0.0425532","0.0189591","0.026178","0.0472822","0.0270068","0.00594133","0.0108088","0.0177253","0.0502045","0.0430873","0.017636","0.0149813","0.0297619","0.0295217","0.022443","0.0343668","0.0201794","0.0246729","0.0197393","0.0206948","0.0387193","0.0181132","0.0218438","0.0385746","0.0221402","0.0230483","0.0547226","0.0141159","0.0268156","0.00671892","0.0336826","0.0115284","0.016369","0.0111607","0.0214447","0.0209738","0.00935279","0.022997","0.0299177","0.0244898","0.0362481","0.0204994","0.0303142","0.0320776","0.0182224","0.0299625","0.00448598","0.0152134","0.0555348","0.0310996","0.0194976","0.0254682","0.0548554","0.0408852","0.0272083","0.0587366","0.0233074","0.0126066","0.0486989"
"ETH18714","2002","0.0211581","0.0303929","0.0438306","0.036405","0.0248148","0.0109228","0.00521027","0.0350485","0.0981873","0.0432213","0.0368441","0.0890566","0.0290611","0.023988","0.0529701","0.0145306","0.0278914","0.039039","0.0374813","0.022214","0.0464072","0.019245","0.0279018","0.0204765","0.0476369","0.0112108","0.0221402","0.00682594","0.0155127","0.121314","0.00597015","0.0343925","0.00786222","0.0290936","0.01044","0.0133581","0.03233","0.0268533","0.0663418","0.0209816","0.036131","0.00410601","0.0919283","0.0308321","0.063244","0.0399701","0.00831444","0.0329752","0.142001","0.0372995","0.016994","0.0179238","0.0310724","0.0245536","0.0268736","0.0686792","0.0351331","0.0505908","0.0219821","0.012392","0.0336952","0.0130988","0.0364719","0.0230276","0.0336197","0.0254777","0.0433807","0.0328535","0.0245902","0.0381308","0.0206534","0.0227527","0.0231171","0.0201945","0.0305173","0.0308968","0.0493274","0.0598291","0.010582","0.0276119","0.0369955","0.0290676","0.0211241","0.0178638","0.0160868","0.0398956","0.0196733","0.0231776","0.0456416","0.0574198","0.0350615","0.0512821","0.0239499","0.0710565","0.0301901","0.0430586","0.0232471","0.051885","0.0343028","0.0144338","0.0207156","0.051244","0.0483991","0.0290456","0.0122951","0.0170623","0.00149031","0.0516729","0.0223464","0.00707108","0.0165041","0.0309933","0.0138369","0.0186428","0.0111276","0.0566319","0.0240741","0.0318786","0.0180927","0.0224215","0.00815721","0.00818452","0.0417128","0.0165476","0.00976342","0.0185667","0.0404343","0.0126818","0.0237378","0.0469274","0.186968","0.0472087","0.0119181","0.0399552","0.0130208","0.042117","0.00523756","0.0304719","0.035861","0.030303","0.0185805","0.0411523","0.0220231","0.0257381","0.0455054","0.0259496","0.00593472","0.0115888","0.0196807","0.0488527","0.0415575","0.0157658","0.015891","0.0283794","0.0287528","0.0200743","0.0348576","0.0215934","0.0220726","0.0204233","0.0186428","0.038774","0.0174441","0.0217391","0.0389321","0.0216176","0.0229545","0.0539528","0.0137444","0.027881","0.0074599","0.0345345","0.0108007","0.014275","0.0100746","0.0207312","0.0205224","0.00903614","0.0231862","0.0280164","0.0242266","0.0362752","0.0197909","0.0306386","0.0304833","0.0179506","0.0289583","0.00410601","0.0134278","0.0549738","0.0322461","0.0207","0.0247748","0.0560297","0.040702","0.0269562","0.0580621","0.0200669","0.0123272","0.0498501"
"ETH18714","2003","0.0201417","0.0283688","0.0438144","0.0362127","0.0257463","0.0132225","0.00409226","0.0373832","0.0961322","0.0438336","0.0349099","0.0866112","0.0267658","0.0264051","0.054732","0.0134831","0.0282213","0.0381737","0.0392964","0.0235162","0.0469043","0.0185322","0.0272795","0.0206379","0.0457467","0.0119805","0.0237213","0.00760746","0.0152033","0.118416","0.00638618","0.0340441","0.00789771","0.0273613","0.0104322","0.0144981","0.03415","0.0249245","0.0655367","0.0205377","0.0360225","0.00334324","0.0915204","0.0298396","0.0604027","0.0391791","0.00720243","0.0327381","0.135561","0.0354081","0.0174507","0.0180248","0.0304855","0.0238184","0.0257186","0.0673946","0.039508","0.0499249","0.0219739","0.0139202","0.0333959","0.0126724","0.0358075","0.0248681","0.0319069","0.0239163","0.0459164","0.0318991","0.0237288","0.0374953","0.0202855","0.0220396","0.0220314","0.0198205","0.0300445","0.0290128","0.0478147","0.0620561","0.0109848","0.0290395","0.0361401","0.0293564","0.0203543","0.0164856","0.0171195","0.0387655","0.0206147","0.0221305","0.0457271","0.0548048","0.0338855","0.0502981","0.0243632","0.0733259","0.0295438","0.0412486","0.0237646","0.051435","0.0319309","0.0141527","0.0200076","0.0489251","0.0481883","0.0282592","0.0115845","0.017824","0.00149533","0.0546816","0.0227188","0.00779799","0.0159212","0.0288931","0.0134831","0.0167224","0.0112402","0.0551181","0.0235778","0.0314632","0.0158311","0.023143","0.00889548","0.00787992","0.0408618","0.0172285","0.00973054","0.0163084","0.0402985","0.0127389","0.0225649","0.0472087","0.18824","0.0469219","0.011985","0.0379271","0.0130015","0.0427286","0.00413534","0.0264629","0.0359551","0.0308968","0.0171067","0.0415575","0.0207078","0.0279245","0.0428089","0.0269041","0.00558659","0.0116235","0.0204918","0.0468981","0.0428733","0.0156716","0.015885","0.0264334","0.026742","0.0209189","0.0345345","0.0220314","0.0221388","0.0181886","0.0178971","0.0372856","0.0177492","0.0194611","0.0392817","0.021666","0.0228529","0.0546139","0.0115413","0.027933","0.00777202","0.0342105","0.00896861","0.0146727","0.00897532","0.0200454","0.0195415","0.00943752","0.0224551","0.027933","0.0233506","0.0351665","0.0187196","0.0315399","0.0318352","0.0149925","0.0284199","0.00524934","0.0127341","0.0538519","0.0331348","0.0205636","0.0255831","0.0552671","0.0380881","0.0306886","0.059696","0.0183865","0.0115628","0.0472087"
"ETH18714","2004","0.0208722","0.0277778","0.0437523","0.0338983","0.0246914","0.0142643","0.00336072","0.0343008","0.091898","0.0442708","0.0329959","0.0878788","0.0273101","0.0266817","0.0519136","0.0142322","0.0313667","0.0385335","0.0374392","0.0265818","0.0452506","0.0164609","0.0258524","0.0193402","0.0438066","0.0105026","0.0226597","0.00684671","0.0136415","0.115067","0.00604002","0.0355406","0.00790068","0.0252354","0.00973418","0.0138681","0.0335821","0.0251502","0.06574","0.0191226","0.037594","0.00371885","0.0911145","0.0295327","0.0580475","0.0405355","0.00683112","0.033421","0.129977","0.0374532","0.0173323","0.0187406","0.0297104","0.0237288","0.0272109","0.0671445","0.0402256","0.0507137","0.0203478","0.0135798","0.0331842","0.0123457","0.036131","0.0240692","0.0331076","0.0225394","0.0456776","0.031355","0.022357","0.0357412","0.0203084","0.0224215","0.0205147","0.0209502","0.030506","0.0263059","0.0461365","0.0605155","0.0106222","0.0290936","0.0353686","0.026296","0.0193036","0.0167848","0.0165929","0.0369672","0.0213803","0.0222642","0.0448718","0.0558069","0.0320997","0.0498512","0.0241546","0.0740045","0.0300978","0.039223","0.0234582","0.0503949","0.0311913","0.0142803","0.0194064","0.049369","0.0514071","0.0273511","0.012012","0.0176162","0.00149757","0.0548872","0.0224635","0.00819672","0.0162694","0.0281849","0.0124434","0.0164979","0.0119895","0.0542373","0.0232908","0.0307985","0.0151343","0.0243263","0.00823045","0.00893855","0.0382309","0.0158371","0.00977076","0.017145","0.0383756","0.013683","0.0236931","0.0462859","0.188104","0.0508982","0.012806","0.0386057","0.0126629","0.0403926","0.00375375","0.025641","0.0376506","0.0308851","0.0186776","0.0404798","0.0198874","0.027704","0.0430351","0.0261067","0.00564334","0.00902256","0.0201568","0.0463306","0.040962","0.0138421","0.0152149","0.0270068","0.0247934","0.0209268","0.0326332","0.0221057","0.0213723","0.019754","0.0179104","0.0359147","0.01812","0.0198131","0.04","0.0217554","0.0218195","0.0544703","0.0127198","0.0272591","0.00810015","0.0319789","0.00640543","0.0153962","0.00824588","0.0200227","0.0161533","0.00723534","0.0224888","0.0265719","0.0247415","0.0343915","0.0206379","0.0312733","0.031883","0.0150943","0.0302229","0.00451637","0.0127341","0.0491803","0.0358343","0.0209205","0.0259009","0.0549369","0.0367454","0.0281532","0.058209","0.0174242","0.012003","0.0472973"
"ETH18714","2005","0.0198131","0.0266917","0.0400299","0.0329795","0.0256121","0.0169875","0.00339111","0.0372601","0.0894126","0.04472","0.0317401","0.0852035","0.0258621","0.0260083","0.0532477","0.013148","0.0294447","0.0378703","0.0377853","0.0259398","0.043886","0.015855","0.0260574","0.019436","0.0426415","0.0105422","0.0232036","0.00759013","0.0134882","0.110278","0.0052691","0.0341079","0.00898204","0.027683","0.010026","0.0123874","0.0351928","0.0254586","0.0670686","0.0185676","0.0377358","0.00484532","0.0878176","0.0284964","0.0553464","0.0394144","0.00645651","0.0319669","0.131099","0.035461","0.0180383","0.0200227","0.0301773","0.0221555","0.0269562","0.0619102","0.0386782","0.0498301","0.0204613","0.0135491","0.0326409","0.0123226","0.0332955","0.0250842","0.030566","0.0226415","0.0466516","0.0311211","0.0213496","0.0339495","0.0188324","0.0229842","0.02","0.0187056","0.0282528","0.024033","0.0490269","0.0616541","0.010989","0.0280374","0.0341207","0.0243355","0.0203008","0.0145522","0.0178971","0.0367007","0.0212282","0.0199173","0.044927","0.055196","0.0316623","0.0454204","0.0234899","0.0735736","0.0294451","0.0403165","0.0214932","0.0475831","0.0317101","0.0151343","0.018251","0.0471768","0.0487344","0.0252544","0.0124294","0.018875","0.00150263","0.0519383","0.022531","0.00822123","0.018688","0.0278824","0.0132275","0.0158311","0.0108452","0.0530474","0.0247469","0.0290965","0.0156429","0.0236309","0.00794852","0.00973054","0.036773","0.0150432","0.0102118","0.0157244","0.0374672","0.0141114","0.0229755","0.0479401","0.187313","0.0496054","0.0113766","0.0369532","0.012318","0.0414469","0.00377929","0.0227612","0.034275","0.0309902","0.0167973","0.0399849","0.0180587","0.0268736","0.040678","0.0234139","0.00604002","0.00980392","0.0197319","0.0453363","0.0378845","0.0146122","0.0141167","0.0274953","0.024015","0.0214366","0.0322581","0.0217718","0.022531","0.0201192","0.0164609","0.0334586","0.0174441","0.0204994","0.0394987","0.0214044","0.0215694","0.0532075","0.0123642","0.0261097","0.00851852","0.0335849","0.00604915","0.0157776","0.00871212","0.0200454","0.0176758","0.00608365","0.0222139","0.0251785","0.0259548","0.0344958","0.0206689","0.0310629","0.0311328","0.0139992","0.0305776","0.00452489","0.0131283","0.0494056","0.0394292","0.0210325","0.025283","0.0539342","0.0347432","0.0281215","0.0575404","0.0171887","0.0104634","0.0424333"
"ETH18714","2006","0.0203774","0.0259496","0.0384326","0.03177","0.0245376","0.0195562","0.00414157","0.0374858","0.0884354","0.0439024","0.0316103","0.0808042","0.0250842","0.0253404","0.054437","0.013153","0.0276326","0.0377288","0.0404798","0.0222306","0.043985","0.0155598","0.0253404","0.0182927","0.0421687","0.0101542","0.0222978","0.00718336","0.0138525","0.113109","0.00487805","0.0345216","0.0104361","0.02783","0.0103935","0.0124481","0.0314156","0.026032","0.0635338","0.0185185","0.0367842","0.00450281","0.0826786","0.0281426","0.0540847","0.0385633","0.00644183","0.0293013","0.126072","0.0326047","0.0168602","0.0196821","0.0267823","0.0218538","0.0288606","0.0583112","0.0384036","0.0496777","0.0202703","0.0131876","0.0332462","0.0108696","0.0317821","0.0242447","0.0296465","0.0221555","0.0448211","0.0308271","0.0196672","0.0343267","0.0200758","0.022239","0.0192018","0.0183658","0.0257175","0.0235162","0.0467748","0.0615442","0.0101504","0.0280479","0.0310019","0.0220478","0.0210923","0.014536","0.0172414","0.0379075","0.0218456","0.0190868","0.0411215","0.0519333","0.030647","0.0483201","0.0219576","0.0729323","0.0267622","0.0365348","0.0203851","0.0440134","0.0307167","0.0148233","0.0170519","0.0474954","0.0463626","0.0232645","0.0123735","0.0195931","0.00150546","0.0532633","0.0211161","0.0082769","0.0197493","0.0276326","0.0128983","0.0155185","0.0115801","0.0530674","0.02397","0.0286041","0.015548","0.0229842","0.00795153","0.00898204","0.0385479","0.0162817","0.0105501","0.0130988","0.0371343","0.014106","0.0222726","0.0479221","0.184389","0.0499624","0.0113809","0.0364525","0.0127724","0.038476","0.00339879","0.0216985","0.037614","0.0308851","0.0168036","0.0382883","0.01963","0.0303375","0.0421687","0.022239","0.00569692","0.00826757","0.0191513","0.046684","0.0360767","0.0138421","0.0154659","0.0257089","0.0247006","0.0212925","0.0320634","0.020202","0.0232733","0.0198057","0.0169046","0.032246","0.015873","0.0187126","0.0376856","0.0198874","0.0194684","0.0514762","0.0123457","0.0250936","0.00784753","0.0313918","0.00340651","0.0156366","0.0082769","0.0197418","0.0170004","0.00644428","0.0205993","0.0279773","0.0266617","0.0336357","0.0188041","0.0313326","0.0278091","0.0147615","0.0299738","0.00490566","0.0134983","0.049424","0.0372601","0.0201674","0.0237288","0.0539635","0.0333833","0.0277986","0.0557019","0.0163747","0.0112024","0.0413223"
"ETH18714","2007","0.0186029","0.0244637","0.0394589","0.0281849","0.024015","0.0197983","0.00412913","0.0393939","0.0920852","0.0403621","0.0323781","0.0782543","0.0252164","0.0250093","0.051885","0.0131926","0.0283794","0.0343925","0.0363705","0.021164","0.0433969","0.015548","0.0242516","0.0170519","0.0428733","0.00905319","0.0215582","0.0071888","0.0134529","0.111607","0.00337079","0.0326209","0.0100859","0.0256217","0.0103627","0.0124247","0.0322581","0.0251386","0.0658683","0.0181064","0.0345995","0.004456","0.0814565","0.0266617","0.0492296","0.0383156","0.00600601","0.0291115","0.12027","0.0324385","0.0171642","0.0192235","0.0273101","0.0214447","0.029588","0.0565185","0.0387655","0.0465294","0.0207391","0.0134882","0.0329835","0.00901239","0.03138","0.0220561","0.0304183","0.0207704","0.0466867","0.0320392","0.0188893","0.0364525","0.0177492","0.0220197","0.0192525","0.0176162","0.0232644","0.0213884","0.0464853","0.0611028","0.0105581","0.0260708","0.0281955","0.0201568","0.0198651","0.0150038","0.0173389","0.0338532","0.0224467","0.0184349","0.0396855","0.0507384","0.0277672","0.0432146","0.0205377","0.0692106","0.0270575","0.0379075","0.0197719","0.0456075","0.0287226","0.0140311","0.0165476","0.0475477","0.0455229","0.0210685","0.0120573","0.0214044","0.00112402","0.0523756","0.0200076","0.00831758","0.0185325","0.0262467","0.0132526","0.0155303","0.0119537","0.0506187","0.023997","0.0296465","0.0139887","0.0223062","0.00870882","0.00787106","0.0377074","0.0150943","0.010158","0.0134378","0.0344569","0.0118005","0.0215934","0.0457958","0.173535","0.0512048","0.00948047","0.0358491","0.0120573","0.0356331","0.00225394","0.0218209","0.0363499","0.0276739","0.0142269","0.0374813","0.0200076","0.0306818","0.0443518","0.0233962","0.00455754","0.00716981","0.0182904","0.0465549","0.0331825","0.0120618","0.0134983","0.0230711","0.0232036","0.0208488","0.0309317","0.0206147","0.0225479","0.0198576","0.0153443","0.0316623","0.0150263","0.0175767","0.0347695","0.0190654","0.0188324","0.0502474","0.011976","0.0239431","0.00784167","0.0297888","0.00264951","0.015544","0.00790068","0.0196449","0.0170584","0.0060173","0.0195709","0.0261067","0.0259691","0.033623","0.0166289","0.0288754","0.0273141","0.0139098","0.0288282","0.00567967","0.0128253","0.04705","0.0392601","0.0215582","0.0222474","0.0534979","0.0330083","0.027088","0.0524345","0.0156012","0.0104167","0.0391791"
"ETH18714","2008","0.0194582","0.0244821","0.0411011","0.0256507","0.0213483","0.0185874","0.00375657","0.0358761","0.0836516","0.0356741","0.0301003","0.0775571","0.0217881","0.0235426","0.0528274","0.0139517","0.026178","0.0314961","0.0328054","0.0210764","0.0429379","0.0147225","0.0246492","0.0144322","0.0421053","0.00866616","0.0184697","0.00715901","0.0134579","0.1092","0.00336197","0.0305085","0.0085885","0.0247934","0.0115071","0.0109641","0.0333966","0.0250561","0.0671863","0.0177828","0.033509","0.00447928","0.0745598","0.0260181","0.0503003","0.0369524","0.00527108","0.0289193","0.114736","0.0312733","0.0156775","0.0187477","0.027027","0.0210368","0.027423","0.0533081","0.0389561","0.0444191","0.0222306","0.013957","0.0308155","0.00790365","0.0294785","0.0225225","0.0298903","0.0210131","0.0466867","0.0294451","0.0182025","0.0344045","0.0155362","0.0219531","0.0193475","0.0177024","0.0233506","0.0191226","0.0419501","0.0614754","0.0104869","0.0254111","0.025264","0.0197983","0.017603","0.0142109","0.0169492","0.032992","0.0224048","0.0168539","0.0386927","0.0489458","0.0264051","0.0445956","0.0216741","0.064251","0.0248027","0.0360942","0.0205245","0.0456416","0.0281743","0.0127964","0.0169428","0.0476906","0.0436747","0.0199925","0.0109146","0.0202627","0.0011257","0.0507084","0.0212282","0.0082769","0.0195342","0.0237918","0.0117602","0.0147337","0.0108371","0.0497033","0.024372","0.0265856","0.0135593","0.0223062","0.00717794","0.00706845","0.0364936","0.0150773","0.00907372","0.0115888","0.0355388","0.0110182","0.0216176","0.0450958","0.164768","0.051117","0.00875857","0.0350414","0.00939144","0.0341686","0.0022531","0.0217718","0.0354151","0.0254873","0.0120075","0.037594","0.0192163","0.0282167","0.0411011","0.0217718","0.00529301","0.00684151","0.0168666","0.0448934","0.0315908","0.0121075","0.0126771","0.0215501","0.0230141","0.0200893","0.0282912","0.0214851","0.023282","0.0207156","0.0143288","0.0289801","0.0155009","0.0169109","0.0361582","0.0172802","0.0176758","0.0489935","0.0108169","0.0240421","0.00791557","0.0301773","0.00263753","0.0160388","0.00717794","0.0195122","0.0154892","0.00526118","0.0195268","0.0271493","0.023702","0.0313681","0.0170908","0.0309396","0.0252354","0.0134983","0.0273306","0.00487256","0.0116849","0.0487439","0.0384036","0.0206612","0.0211002","0.0523738","0.0328302","0.0277986","0.0505051","0.0165725","0.0101048","0.034923"
"ETH18714","2009","0.0180077","0.0221388","0.0398646","0.0222978","0.0222306","0.0188889","0.00336197","0.0337965","0.08413","0.035944","0.030078","0.0744325","0.0209816","0.0240873","0.0510813","0.012112","0.0232995","0.0295769","0.0313918","0.0181612","0.0415408","0.0128253","0.0234405","0.013957","0.0393406","0.0083113","0.01963","0.00677966","0.0134781","0.104051","0.00260999","0.0293564","0.00820283","0.0259594","0.0118606","0.00980023","0.0344828","0.0238895","0.0639098","0.0153433","0.0329959","0.00558659","0.0702804","0.0255351","0.0465549","0.0349677","0.00564546","0.0299016","0.108647","0.0290828","0.0149365","0.0176228","0.0259496","0.0201945","0.0268533","0.0550113","0.0383011","0.0417933","0.0200378","0.0139887","0.0312735","0.00676946","0.0287335","0.0210923","0.0290456","0.0188111","0.049162","0.0290347","0.0169619","0.0354182","0.01783","0.0207782","0.0190186","0.0181064","0.0201718","0.0187829","0.0396825","0.0601869","0.00935979","0.0243811","0.0222726","0.0189107","0.0160868","0.0134983","0.016654","0.0317941","0.0224719","0.0164425","0.0371622","0.0461771","0.028334","0.0445788","0.0198353","0.0615213","0.024015","0.0343915","0.0193769","0.0412027","0.0277882","0.0127532","0.0161169","0.0451128","0.0440015","0.0174045","0.0101466","0.0197246","0.0011274","0.052592","0.0208887","0.00794251","0.0194611","0.0238628","0.0114199","0.0146837","0.00973783","0.0488166","0.0231343","0.0261166","0.0120573","0.0227359","0.00945537","0.00635039","0.0350615","0.0154077","0.0097561","0.0115715","0.0344306","0.00938438","0.0206612","0.0419501","0.156166","0.0511945","0.00868908","0.0335722","0.0109724","0.0333586","0.00226159","0.0202475","0.0346799","0.0247748","0.0154367","0.0359013","0.0172738","0.0272795","0.0387073","0.0202779","0.00490011","0.0064836","0.0160868","0.0410083","0.0306122","0.00980392","0.0126206","0.0202247","0.0238717","0.0182495","0.0280409","0.0217636","0.0224972","0.0195709","0.0159091","0.0258815","0.0147951","0.0169683","0.0338794","0.0188182","0.0171706","0.0478194","0.0105066","0.0237736","0.0075815","0.0293233","0.0022531","0.0152871","0.00641026","0.0192018","0.0149981","0.00641994","0.0191298","0.0269764","0.0234139","0.0302229","0.0154367","0.0296804","0.0242792","0.0123596","0.0259106","0.00485256","0.0112233","0.0478703","0.0366453","0.0180316","0.018428","0.0524117","0.0293233","0.0284644","0.0491803","0.0169237","0.00859171","0.0331825"
