"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"GHA21554","2000","0.24926","0.142373","0.136482","0.128768","0.107196","0.145258","0.095539","0.103756","0.120135","0.109508","0.0960389","0.264861","0.0727813","0.0726257","0.0814953","0.132789","0.178571","0.115356","0.110037","0.0859461","0.15737","0.163562","0.115687","0.175334","0.121788","0.136195","0.121212","0.0626382","0.0509037","0.146396","0.106944","0.0987791","0.0828709","0.137829","0.17553","0.0990392","0.0821256","0.12542","0.189732","0.156708","0.154593","0.109589","0.0667404","0.132763","0.12472","0.109191","0.135712","0.0809399","0.108389","0.157914","0.132118","0.115011","0.0769231","0.192437","0.201634","0.102958","0.152158","0.118745","0.0770941","0.109508","0.0974702","0.0754366","0.165551","0.163793","0.0903682","0.091586","0.129657","0.0888643","0.149421","0.138588","0.060685","0.169361","0.094382","0.118574","0.10934","0.0558208","0.0582811","0.168102","0.204325","0.089153","0.138353","0.123191","0.108776","0.203276","0.0836133","0.103089","0.132047","0.129372","0.0924401","0.108631","0.0989215","0.101153","0.100523","0.177467","0.0725599","0.167228","0.129561","0.13016","0.0884101","0.199182","0.0630564","0.112788","0.138314","0.128167","0.0934718","0.0639881","0.11961","0.0806036","0.0507726","0.109057","0.110289","0.11782","0.0878877","0.086105","0.0817913","0.162273","0.205937","0.118243","0.123333","0.152928","0.0911145","0.104428","0.0886644","0.0967504","0.0757016","0.0773522","0.0841436","0.109752","0.113863","0.106775","0.15316","0.213785","0.105838","0.106083","0.0789086","0.0582742","0.14291","0.104051","0.124954","0.135347","0.106588","0.112593","0.12952","0.180812","0.124767","0.0759259","0.122886","0.103448","0.140835","0.0678598","0.168413","0.0892525","0.0950429","0.137458","0.143016","0.133284","0.0778689","0.116966","0.138547","0.063806","0.152448","0.103216","0.129294","0.0640596","0.109926","0.0493873","0.0875559","0.0644444","0.0978503","0.19495","0.124678","0.132557","0.125139","0.103877","0.118764","0.117406","0.0554728","0.157332","0.0960618","0.236276","0.0714818","0.046546","0.1054","0.109375","0.103448","0.149647","0.15253","0.0964392","0.0770081","0.0922794","0.0626844","0.0772983","0.142012","0.100815","0.14976","0.0613839","0.121212","0.145725","0.128819","0.0831779"
"GHA21554","2001","0.24392","0.13366","0.135075","0.131019","0.103973","0.148162","0.0957009","0.10189","0.120433","0.107539","0.0937967","0.258797","0.0738255","0.0708983","0.0809488","0.127557","0.180977","0.115557","0.109665","0.0906726","0.157699","0.164552","0.113518","0.173507","0.121622","0.132812","0.124626","0.0613678","0.0533333","0.14892","0.101873","0.0957486","0.0797048","0.134844","0.178971","0.0977054","0.0875233","0.124719","0.186478","0.155908","0.150634","0.109837","0.0697847","0.13244","0.117954","0.106156","0.134119","0.0818452","0.110409","0.162132","0.130419","0.115585","0.0684015","0.190512","0.204028","0.103035","0.152027","0.11547","0.0766667","0.113222","0.0952915","0.0757238","0.164444","0.162773","0.0894796","0.0985704","0.125514","0.0867479","0.136602","0.131728","0.0588016","0.172083","0.0920268","0.114371","0.109824","0.0550018","0.0552056","0.168792","0.210053","0.0887308","0.145461","0.118549","0.11144","0.203288","0.0853293","0.103397","0.135324","0.13068","0.0908072","0.104599","0.0974878","0.100711","0.102056","0.176579","0.074226","0.16424","0.130921","0.129678","0.0890719","0.199337","0.0619896","0.11867","0.140567","0.125047","0.0929023","0.0650467","0.116061","0.077551","0.0514624","0.108299","0.10968","0.121726","0.0881255","0.0875185","0.0850353","0.159355","0.202612","0.121768","0.124306","0.151368","0.091182","0.107618","0.0900968","0.0984092","0.0757016","0.0782931","0.0831452","0.112897","0.113712","0.105515","0.15442","0.212324","0.105953","0.109497","0.0843819","0.0605607","0.139369","0.11045","0.119497","0.134005","0.10377","0.111359","0.132244","0.176732","0.129104","0.0801625","0.124531","0.100334","0.14006","0.0667917","0.171215","0.0876672","0.0961826","0.142539","0.140435","0.129224","0.0816555","0.118745","0.139873","0.0648286","0.154046","0.0996641","0.132445","0.0644444","0.111891","0.0486085","0.0855873","0.0643601","0.093552","0.191852","0.123566","0.129491","0.1283","0.103979","0.116778","0.115888","0.0584512","0.154188","0.100555","0.239252","0.0756334","0.0460967","0.108027","0.108696","0.101228","0.153184","0.155192","0.0952205","0.0792886","0.0913444","0.0681734","0.074972","0.144659","0.100669","0.15024","0.0586924","0.11963","0.14922","0.125505","0.0851618"
"GHA21554","2002","0.241621","0.135421","0.132468","0.127097","0.107978","0.142911","0.0937147","0.100671","0.122899","0.105146","0.0913157","0.255673","0.0724421","0.0736881","0.0821402","0.131609","0.175922","0.112355","0.110572","0.0914498","0.160674","0.166855","0.110236","0.170959","0.11997","0.132836","0.128186","0.0604027","0.0546875","0.146612","0.10181","0.0949533","0.0823832","0.131037","0.178571","0.0948499","0.0925651","0.120105","0.185924","0.157278","0.147015","0.111647","0.0689013","0.132783","0.114286","0.108098","0.130952","0.0794603","0.114424","0.159193","0.132607","0.117537","0.0637109","0.193416","0.207427","0.103073","0.152313","0.111935","0.0765497","0.120677","0.0934087","0.0753247","0.161518","0.169776","0.0853613","0.0973485","0.128936","0.0849963","0.137789","0.128528","0.0595552","0.175731","0.0891862","0.117778","0.110278","0.0521836","0.055121","0.165923","0.212845","0.0873165","0.145312","0.11165","0.110037","0.201643","0.0816174","0.101504","0.136881","0.12758","0.088048","0.103809","0.0987514","0.093552","0.11036","0.176318","0.0739634","0.157366","0.13281","0.132061","0.0869894","0.193942","0.0607303","0.120755","0.135922","0.119369","0.0922276","0.0661188","0.112697","0.0775862","0.0523774","0.105499","0.111234","0.118764","0.0842105","0.0877128","0.0834564","0.151331","0.203195","0.118994","0.119181","0.147486","0.0898876","0.107143","0.0907063","0.100743","0.0768944","0.0796427","0.0824508","0.116279","0.113501","0.108318","0.156811","0.215892","0.103833","0.121394","0.0824935","0.0594837","0.138973","0.105887","0.112723","0.131955","0.100225","0.108849","0.126682","0.17037","0.128138","0.0743618","0.115758","0.0968224","0.140919","0.0665658","0.166667","0.0828073","0.0924055","0.146269","0.143228","0.123735","0.084486","0.122152","0.141365","0.063806","0.152649","0.094087","0.131461","0.0624303","0.109959","0.0486989","0.0789278","0.0662425","0.0909431","0.183041","0.121055","0.128224","0.139344","0.101612","0.119822","0.114264","0.0565543","0.151257","0.0943186","0.226429","0.0762933","0.0457249","0.111238","0.110071","0.10153","0.151176","0.148218","0.0952203","0.0809911","0.0942002","0.0668648","0.0789671","0.150782","0.0992934","0.151627","0.0552671","0.125652","0.147736","0.124722","0.0854383"
"GHA21554","2003","0.242379","0.134637","0.136669","0.124109","0.105993","0.139805","0.0923483","0.100636","0.12342","0.104439","0.0884989","0.25548","0.0688881","0.0762332","0.0771558","0.130746","0.174157","0.109152","0.107733","0.0908752","0.155572","0.16629","0.11057","0.175985","0.120937","0.133982","0.131942","0.0602637","0.0548048","0.139665","0.100603","0.0934579","0.0856721","0.127469","0.177935","0.0974148","0.0904374","0.116332","0.19209","0.154945","0.148245","0.110319","0.069095","0.133433","0.112939","0.0998138","0.126634","0.0762902","0.112268","0.159458","0.133811","0.113976","0.0602094","0.195954","0.205099","0.104673","0.149242","0.1093","0.0813953","0.120151","0.0880574","0.0726528","0.157421","0.171151","0.0814649","0.102964","0.126554","0.0819733","0.133258","0.127481","0.0565185","0.171717","0.0881041","0.121987","0.102371","0.0515006","0.0537514","0.16468","0.218913","0.0872686","0.141945","0.110283","0.111609","0.210448","0.0835832","0.0992854","0.138239","0.119208","0.0853933","0.101271","0.0942249","0.0924683","0.109486","0.172517","0.0802099","0.15284","0.130026","0.131343","0.0813866","0.187454","0.0574109","0.122794","0.140666","0.116139","0.0835519","0.0638618","0.116008","0.0729872","0.0503331","0.10944","0.108639","0.120735","0.0847777","0.0845018","0.0842969","0.145594","0.206213","0.112771","0.117935","0.152012","0.0906378","0.10426","0.0913838","0.101082","0.0735349","0.0825243","0.0794979","0.118267","0.110245","0.104794","0.155114","0.216736","0.100669","0.119459","0.0844808","0.0599096","0.138294","0.100478","0.118352","0.127074","0.101848","0.103012","0.119955","0.172299","0.126506","0.073316","0.115269","0.0960961","0.134536","0.0676237","0.166165","0.0823137","0.0928491","0.146105","0.141088","0.118741","0.0835509","0.123257","0.137181","0.0671863","0.149348","0.0980977","0.131215","0.0601419","0.110078","0.0459641","0.0752608","0.064577","0.0874625","0.181273","0.114852","0.131362","0.146114","0.100186","0.117953","0.112108","0.0541651","0.147365","0.0953445","0.223416","0.0753169","0.0433159","0.108903","0.110441","0.102535","0.154335","0.147301","0.0931189","0.0814649","0.0924276","0.0693254","0.0776989","0.152695","0.096003","0.158346","0.0526902","0.122578","0.146796","0.120074","0.0830849"
"GHA21554","2004","0.250375","0.128378","0.134261","0.121269","0.109281","0.142857","0.0842145","0.0947012","0.117053","0.107836","0.0860377","0.255753","0.0678222","0.0751597","0.0774462","0.130894","0.172336","0.106942","0.106015","0.0898876","0.155497","0.165089","0.116805","0.17145","0.121693","0.131955","0.133656","0.0613705","0.0509242","0.140397","0.0942468","0.0908068","0.0828073","0.125517","0.181208","0.0951486","0.0918635","0.112719","0.196462","0.154511","0.146223","0.109481","0.0709408","0.12831","0.110236","0.0952203","0.132508","0.0762298","0.114137","0.158945","0.129748","0.110116","0.0602319","0.200521","0.195131","0.10324","0.143615","0.106825","0.0811115","0.11858","0.0891912","0.0715356","0.159639","0.175721","0.078908","0.0987796","0.124621","0.082838","0.130582","0.125906","0.0565398","0.173798","0.0857999","0.124397","0.0973754","0.0500556","0.0528864","0.161061","0.218434","0.0921399","0.14141","0.10552","0.107916","0.211132","0.0842422","0.096009","0.140462","0.113602","0.0840525","0.0992854","0.0919104","0.0917568","0.106942","0.164852","0.0796828","0.150224","0.13151","0.128911","0.079371","0.185433","0.0571643","0.126776","0.13819","0.110186","0.0813866","0.0612782","0.120301","0.074088","0.0491557","0.111573","0.107063","0.122395","0.0810098","0.0863416","0.0840179","0.140499","0.209023","0.11367","0.117137","0.156343","0.0920955","0.0996615","0.0886827","0.100226","0.0727753","0.080434","0.0768061","0.120495","0.106423","0.104712","0.160149","0.213798","0.102669","0.121805","0.0824935","0.0545248","0.135714","0.105751","0.114167","0.120136","0.0996226","0.103756","0.120586","0.172904","0.12613","0.0757745","0.112994","0.093609","0.135798","0.0617424","0.163636","0.0818452","0.0902595","0.147486","0.138113","0.118446","0.0858321","0.123257","0.137387","0.0647668","0.148093","0.0957367","0.129574","0.0614462","0.105204","0.0455229","0.0707635","0.0666667","0.0838637","0.183904","0.108614","0.127469","0.150416","0.0973418","0.121043","0.106423","0.0526316","0.143338","0.0879285","0.221684","0.0733433","0.0421485","0.110514","0.113705","0.101195","0.154793","0.149775","0.0861874","0.0792453","0.0897245","0.0730337","0.075","0.154569","0.095077","0.157308","0.0489614","0.126877","0.140573","0.117735","0.0847647"
"GHA21554","2005","0.128705","0.0589782","0.0787282","0.0612633","0.0635039","0.0777319","0.0461538","0.0536787","0.0646374","0.0585146","0.0499432","0.154137","0.0495868","0.0474755","0.0545868","0.0700492","0.104315","0.0624299","0.0696274","0.0509745","0.0845337","0.0974417","0.0658886","0.105383","0.0643075","0.0822952","0.0684932","0.0380558","0.0256314","0.0763416","0.0633723","0.0608891","0.0422692","0.0670939","0.100904","0.0612092","0.0576132","0.0667172","0.0985333","0.089023","0.0804641","0.0617237","0.0455408","0.0657895","0.0546407","0.0620301","0.0792935","0.0512241","0.0611403","0.0972748","0.0745877","0.0623134","0.0423538","0.110112","0.111617","0.0629713","0.0912533","0.0633147","0.0464942","0.066591","0.0518154","0.0445526","0.0855856","0.0967016","0.0569502","0.0466183","0.0758491","0.0530219","0.0736961","0.0711044","0.0403317","0.0930498","0.0521968","0.0671892","0.054878","0.0339046","0.0395966","0.0886406","0.114827","0.0549285","0.0779417","0.0590892","0.0599925","0.114296","0.0554931","0.0616541","0.081404","0.0717221","0.0553685","0.0549451","0.0479788","0.0455224","0.0611174","0.0851144","0.0432473","0.0923423","0.0782543","0.0677711","0.0437406","0.0935171","0.0422482","0.0720991","0.0852422","0.0630252","0.0491865","0.0486242","0.060686","0.0489642","0.0350679","0.0618127","0.0588015","0.0693707","0.0502836","0.0478684","0.0440299","0.0679649","0.117536","0.0611256","0.0585347","0.0945088","0.0513584","0.0635338","0.0530445","0.0554926","0.0434947","0.0326822","0.0539514","0.0726383","0.0684112","0.0569929","0.0929104","0.105323","0.0564993","0.0658142","0.052691","0.0316503","0.0759113","0.0575271","0.0672205","0.0739623","0.0613474","0.0638536","0.06742","0.0977247","0.0755923","0.043152","0.0673516","0.0569596","0.0817942","0.0337633","0.0933232","0.0416667","0.0514651","0.0985863","0.0904275","0.0621448","0.0505851","0.0669676","0.0830203","0.0312616","0.0887552","0.0569929","0.0754788","0.0392305","0.0680963","0.0308968","0.0465896","0.0447309","0.0568649","0.10419","0.0654135","0.0756334","0.0732075","0.0626172","0.0667661","0.0629188","0.0379219","0.082084","0.046564","0.116105","0.0415108","0.0269764","0.0631419","0.0694184","0.0616362","0.0935279","0.0857143","0.0530102","0.0486242","0.0443943","0.0354449","0.046799","0.0815177","0.0593762","0.0895245","0.0286885","0.0739902","0.0781893","0.0647321","0.0476369"
"GHA21554","2006","0.0772142","0.0396855","0.0546551","0.0425856","0.0398946","0.0503168","0.0335821","0.0412913","0.0437736","0.0385047","0.0313563","0.0955772","0.0409159","0.0352673","0.038912","0.0487528","0.067994","0.0438366","0.0490011","0.033145","0.0564608","0.0633962","0.0448766","0.0704494","0.0424082","0.0529876","0.0423792","0.0281532","0.0184557","0.0448718","0.0413223","0.0408546","0.028964","0.0453184","0.0613936","0.0380271","0.0435599","0.0408627","0.0581832","0.0565185","0.0506187","0.0453515","0.0331076","0.0430228","0.0373413","0.0472441","0.0526316","0.0399548","0.0459985","0.0659382","0.0524148","0.0436567","0.0301318","0.0761115","0.0747734","0.0387801","0.0604458","0.0444694","0.0294118","0.0459552","0.0396226","0.0361855","0.0537594","0.057377","0.0422272","0.0283091","0.0540135","0.0373134","0.0477983","0.0446293","0.0328302","0.0564608","0.0408163","0.0439024","0.0336134","0.0219821","0.0286033","0.0590433","0.0737156","0.040611","0.0544499","0.0426094","0.042706","0.0715345","0.040678","0.0455058","0.0557426","0.0489171","0.0397004","0.0390595","0.0322703","0.0268557","0.0433159","0.0490086","0.0301205","0.0606175","0.0562901","0.0488636","0.0296435","0.0524133","0.0302801","0.0502437","0.0624066","0.040793","0.0388093","0.0346516","0.043429","0.0390537","0.0267622","0.0464326","0.0388205","0.042545","0.034262","0.0365535","0.0279746","0.041841","0.0739623","0.0447261","0.0420933","0.0610119","0.0356612","0.0482965","0.0328358","0.0329171","0.0285063","0.0210289","0.0401211","0.0549699","0.0474589","0.0384036","0.0581222","0.0666667","0.0399408","0.0441843","0.0396825","0.0258065","0.0503949","0.0391791","0.0490681","0.0534639","0.0399701","0.0450988","0.052354","0.0633803","0.0580742","0.0298338","0.0475285","0.0428249","0.052236","0.0247431","0.055303","0.0289365","0.0360225","0.0654762","0.0625237","0.0375","0.0338092","0.0463976","0.0626652","0.0175964","0.0609848","0.0377288","0.0541965","0.0286684","0.0473684","0.0240421","0.0324748","0.0344306","0.0416667","0.0696442","0.0442777","0.0440792","0.049434","0.0495868","0.0488722","0.0437848","0.0281369","0.0572289","0.0316692","0.0715892","0.0276429","0.0175898","0.0460502","0.051885","0.0474412","0.0655249","0.0590875","0.0405764","0.0364799","0.0333207","0.0246399","0.0383603","0.0475655","0.0456432","0.0603352","0.0201794","0.04468","0.0506567","0.0450484","0.0344175"
"GHA21554","2007","0.0534091","0.0320755","0.0436267","0.0338146","0.0334712","0.0370925","0.0266517","0.0351402","0.0340136","0.026926","0.0223824","0.0633908","0.0297104","0.0283447","0.0290128","0.0358355","0.0526712","0.0342105","0.0358476","0.0283768","0.0414157","0.0455229","0.0314607","0.0513894","0.0316862","0.0438563","0.0311562","0.0198353","0.0128253","0.0288973","0.0277569","0.0282843","0.0223297","0.0329835","0.0471342","0.0287552","0.0334712","0.0301659","0.0376024","0.0399548","0.0387947","0.0323187","0.0250467","0.0301339","0.0304626","0.0364525","0.0375094","0.0299513","0.0355672","0.0474057","0.0345345","0.0349053","0.0233786","0.0547021","0.055994","0.0308851","0.0430189","0.035982","0.0239252","0.0349146","0.0321856","0.0268026","0.0377929","0.0372995","0.0314843","0.0212524","0.0407629","0.0304511","0.0355388","0.0384036","0.0244545","0.0357279","0.030647","0.0316623","0.0247902","0.0130646","0.0203553","0.0445026","0.055032","0.0290611","0.0409929","0.0347432","0.0354182","0.0524179","0.0298113","0.0342772","0.0428089","0.0338668","0.0306886","0.0248775","0.0235473","0.0222139","0.0324506","0.0357675","0.0215827","0.0469875","0.0414625","0.0358626","0.0216985","0.0371343","0.0206379","0.0347664","0.043886","0.0320122","0.0274024","0.0241418","0.0310959","0.0260805","0.0193109","0.0355939","0.0315908","0.0334983","0.0270372","0.0292918","0.0199623","0.0244361","0.0503216","0.0330119","0.0322458","0.0445104","0.0266568","0.0362752","0.0250842","0.0238456","0.0235473","0.0112066","0.0300075","0.0413689","0.0352853","0.0271801","0.0399408","0.0512241","0.0324022","0.0338728","0.0298451","0.0208729","0.0421053","0.0276842","0.0352006","0.036899","0.0283582","0.035272","0.04012","0.0507463","0.042243","0.0208412","0.0353209","0.0291807","0.041745","0.0196226","0.0384615","0.0237378","0.0293013","0.0536313","0.0445788","0.0273511","0.0281532","0.0364465","0.0407393","0.0126394","0.0451784","0.0269058","0.0415575","0.0198205","0.0338473","0.0191729","0.0231171","0.0231411","0.0343284","0.0507328","0.0347015","0.0353686","0.0385779","0.0396262","0.0341335","0.0338794","0.0212928","0.0437241","0.0238095","0.0481061","0.0206689","0.0123318","0.0343412","0.0385047","0.0378136","0.0447427","0.041791","0.033623","0.0286252","0.0267686","0.0178368","0.0300978","0.0298396","0.0353916","0.0466244","0.0145306","0.0316981","0.0389513","0.0343028","0.0249151"
"GHA21554","2008","0.0357009","0.0257186","0.032855","0.0262158","0.0257655","0.0263653","0.0183934","0.0291262","0.0253788","0.0186567","0.0143613","0.0474041","0.0195195","0.0188822","0.0202096","0.0275784","0.0377929","0.0244086","0.0301901","0.0207704","0.0302801","0.0346386","0.0225734","0.0392082","0.0244269","0.0320271","0.0198279","0.0137803","0.0105105","0.0219531","0.0214125","0.0202171","0.0160628","0.0258718","0.0385051","0.01812","0.0243994","0.0237378","0.0286565","0.0275264","0.0262258","0.0252882","0.0212766","0.0230912","0.0229582","0.02783","0.0293233","0.023361","0.0265719","0.0356215","0.026296","0.0276651","0.016585","0.0440957","0.039444","0.024372","0.033195","0.0276119","0.0182631","0.0271596","0.0247934","0.023476","0.028238","0.0250749","0.0210289","0.0185958","0.0286245","0.0244913","0.0274849","0.0282167","0.0166163","0.0279879","0.0241783","0.0236575","0.0174639","0.00891862","0.0137037","0.0355539","0.037594","0.0215854","0.0297216","0.0252069","0.0241875","0.0400445","0.0184003","0.0256888","0.0348576","0.0249627","0.0224551","0.0173519","0.0159817","0.0166352","0.0230741","0.0298619","0.0184349","0.0350679","0.0321483","0.0260968","0.0169428","0.0270677","0.0135084","0.0238717","0.0338728","0.0250095","0.0180587","0.0192744","0.0266362","0.0192735","0.0151688","0.0277465","0.0248494","0.0254656","0.0199548","0.0223464","0.0142857","0.0164118","0.0369254","0.0263353","0.0227187","0.0330978","0.0208799","0.0300526","0.0183452","0.0177761","0.0197568","0.00749064","0.0213723","0.0304054","0.0277257","0.0188964","0.0296736","0.0342492","0.0272795","0.0248027","0.0237736","0.0135186","0.0293454","0.0187688","0.0246867","0.0280479","0.0219087","0.0285714","0.0300526","0.0389076","0.0311226","0.015867","0.02535","0.0223714","0.0345216","0.0159091","0.0285392","0.0181474","0.0222894","0.0426328","0.0316146","0.017177","0.0221139","0.0242332","0.0302572","0.0093214","0.0398633","0.0223214","0.0311796","0.0146067","0.0214932","0.0162081","0.0187617","0.0188964","0.026936","0.0367592","0.0249534","0.0280689","0.0274953","0.0324528","0.0258524","0.0250655","0.0152207","0.0354985","0.0193813","0.0315589","0.0165663","0.0101466","0.0261878","0.0283794","0.0296658","0.0303712","0.0318591","0.0267722","0.0229065","0.0210245","0.0117069","0.0266059","0.0197614","0.0259106","0.0290287","0.0130451","0.0241875","0.0301887","0.0279538","0.0221971"
"GHA21554","2009","0.0262664","0.0199925","0.0214689","0.0185958","0.0190157","0.0208018","0.0149645","0.019403","0.0184349","0.0161109","0.0108655","0.0369951","0.0131184","0.015861","0.0127389","0.0204856","0.0277356","0.0186986","0.0241905","0.0176426","0.0231061","0.0253117","0.0195489","0.0297369","0.0180113","0.0226501","0.0142803","0.0123134","0.00750751","0.0180587","0.0153616","0.0156951","0.0108533","0.0194247","0.0299356","0.0132175","0.0185598","0.0165538","0.0209189","0.0199248","0.0217226","0.0184843","0.0144659","0.0171578","0.0172802","0.0203084","0.0218127","0.0138421","0.0191729","0.025565","0.0214447","0.0205279","0.0135952","0.0324748","0.0264051","0.0180791","0.0260574","0.0197173","0.0160448","0.0185888","0.0207078","0.0167237","0.0196005","0.0184003","0.0154367","0.0157598","0.020649","0.0170648","0.0213323","0.0195783","0.01208","0.0195562","0.0161533","0.0161837","0.0124575","0.00748503","0.00931446","0.0267559","0.0282805","0.0177091","0.0207782","0.0199398","0.0173193","0.0290936","0.0139255","0.0181953","0.0265123","0.0201267","0.0158311","0.0124858","0.0117291","0.0151114","0.0168224","0.0198131","0.0153443","0.0245654","0.0213496","0.0202475","0.0143776","0.0207626","0.010483","0.0194102","0.0222474","0.0162081","0.0142216","0.0139834","0.0205871","0.0130695","0.0120937","0.0176559","0.0201139","0.0216648","0.0157362","0.015997","0.011308","0.0131037","0.0282699","0.0187758","0.0155598","0.0202323","0.0141738","0.0227867","0.0135084","0.013153","0.0157954","0.00598355","0.015083","0.0258621","0.0189662","0.0165476","0.0195195","0.0217718","0.0220478","0.0191729","0.0139781","0.0108574","0.0218785","0.0126677","0.0180927","0.0226935","0.0168287","0.0195049","0.0205684","0.0274991","0.0251945","0.0109724","0.0171298","0.0168036","0.0246729","0.0113766","0.0220974","0.0151745","0.0159031","0.0331201","0.0220396","0.0149925","0.0179574","0.0178233","0.0234493","0.00826136","0.029624","0.0182088","0.0238546","0.0112613","0.0157717","0.0109228","0.0127293","0.0143776","0.0150489","0.0265321","0.0178771","0.0199699","0.0203084","0.0222894","0.0145685","0.0184072","0.0118095","0.027088","0.0145685","0.0238005","0.0139834","0.00825826","0.0183041","0.0224383","0.0228721","0.0232471","0.0227697","0.0206922","0.0130548","0.0141817","0.00902256","0.0189825","0.0137854","0.0195122","0.019094","0.00895188","0.019137","0.0234937","0.0197393","0.0153788"
