"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"GNB23716","2000","0.0203027","0.0162003","0.0169679","0.0134328","0.013463","0.0174591","0.0224926","0.0291371","0.0100746","0.0183217","0.017056","0.0184843","0.0108209","0.00675676","0.0200743","0.0147384","0.0162482","0.0228361","0.0194925","0.00776053","0.00301318","0.0110824","0.0169492","0.0115284","0.0158789","0.0118915","0.0106111","0.0188261","0.0124294","0.0100784","0.00964034","0.0138163","0.0183383","0.0162963","0.01671","0.018945","0.0212291","0.0264827","0.0233247","0.016642","0.00997046","0.0115327","0.0104089","0.00967262","0.0160209","0.0137088","0.0126441","0.0141211","0.0107328","0.0183621","0.0197099","0.00932488","0.0149477","0.00954829","0.0148754","0.0089153","0.0217231","0.0157068","0.0182972","0.0207024","0.0115327","0.0145577","0.0115156","0.0123226","0.0122087","0.00956938","0.00887246","0.0202877","0.0155325","0.0099963","0.0159733","0.0124542","0.0214497","0.0241726","0.0152473","0.018847","0.0213244","0.006684","0.0187019","0.0100186","0.0288568","0.020052","0.0162782","0.00626151","0.00373274","0.0211268","0.00708955","0.0186567","0.0165746","0.0302806","0.0183383","0.0153157","0.0167286","0.0231171","0.0157421","0.0195644","0.00752445","0.00998152","0.0115327","0.0205915","0.0160508","0.0100559","0.00974148","0.0201342","0.0224972","0.0134429","0.0230569","0.0113595","0.0059546","0.0118125","0.0196733","0.0096475","0.0221888","0.00257922","0.027705","0.0305173","0.0125415","0.0174527","0.00480769","0.0252694","0.0148478","0.00701366","0.0196515","0.00850277","0.00662739","0.0208101","0.00515085","0.00703443","0.00635277","0.0138111","0.0181079","0.0175504","0.0196296","0.00961183","0.0107011","0.010713","0.0127055","0.0125926","0.0145522","0.0195572","0.0107767","0.023525","0.0156716","0.0164979","0.0107847","0.0265585","0.02785","0.0199262","0.0175373","0.0108492","0.0119314","0.0189873","0.0148258","0.0173258","0.0118519","0.0211268","0.0121771","0.00995208","0.00515844","0.0135283","0.0198895","0.0130063","0.0184911","0.0155211","0.0217066","0.0118694","0.0144552","0.0137037","0.00858209","0.0141107","0.014195","0.0210955","0.00818452","0.031622","0.0093668","0.0236862","0.0119136","0.00706845","0.00904295","0.0116018","0.0133383","0.016791","0.0170877","0.0104673","0.0299445","0.00931446","0.0201794","0.0145903","0.0134328","0.00927988","0.0101124","0.013373","0.0141844","0.010829","0.0170497","0.0199188","0.0298893","0.0162602","0.0155786","0.0159555"
"GNB23716","2001","0.0190654","0.0151459","0.0162903","0.0134882","0.0126488","0.0163751","0.0219657","0.0302691","0.011236","0.0183083","0.0155613","0.0192735","0.0116192","0.00675169","0.0210721","0.0140481","0.01592","0.0224761","0.0183824","0.00896191","0.003003","0.0114857","0.0173752","0.012254","0.0165807","0.0115888","0.0107447","0.018457","0.0120391","0.00970149","0.00963677","0.0141685","0.0169683","0.0160268","0.0175898","0.0183041","0.0197761","0.0284112","0.0212607","0.0178042","0.0110947","0.0122859","0.0100596","0.0108128","0.0167848","0.012616","0.0148478","0.0142162","0.0104051","0.0190476","0.0208333","0.0093633","0.0176096","0.00957643","0.0153673","0.009273","0.0215293","0.0157539","0.0186706","0.0196296","0.0119048","0.0152416","0.0118782","0.0115888","0.0115413","0.00991918","0.00859171","0.0215213","0.0155096","0.00965466","0.0152247","0.011456","0.0219821","0.0236043","0.0164794","0.01592","0.0212132","0.00857249","0.0201391","0.0114985","0.0294447","0.0186916","0.0171578","0.00593252","0.00373274","0.0215934","0.00672394","0.0187406","0.0162182","0.0293462","0.0180045","0.0163934","0.016766","0.0232123","0.0150263","0.0219494","0.00862392","0.0100186","0.0118562","0.0195122","0.0160089","0.0104167","0.0116192","0.0201417","0.0209502","0.0134781","0.0230569","0.0110051","0.00632205","0.0129438","0.0192878","0.0104205","0.0221805","0.00259355","0.0293123","0.0292025","0.0151124","0.0174786","0.00552893","0.0251759","0.0162722","0.00707635","0.019688","0.0104948","0.00665927","0.0220149","0.00521415","0.00708955","0.00638378","0.0138163","0.0181481","0.0161533","0.0210255","0.00893522","0.0107527","0.0117734","0.0141897","0.0104517","0.0142482","0.018931","0.0107328","0.0236043","0.0168161","0.015402","0.011976","0.0254206","0.0272591","0.0201342","0.017145","0.0115499","0.0126724","0.0178439","0.0137957","0.0175635","0.0114985","0.0231776","0.0130063","0.00996678","0.00445765","0.0121457","0.0218357","0.0116061","0.0178505","0.0147547","0.0233522","0.0103436","0.0143488","0.0129534","0.00823353","0.0149198","0.0161049","0.0226429","0.00858209","0.0311457","0.0101161","0.0215613","0.0122585","0.00783582","0.00907716","0.00970149","0.011194","0.0170813","0.0159733","0.0104478","0.0305514","0.00900225","0.0224048","0.014574","0.0131728","0.00960828","0.0105461","0.0130257","0.013468","0.00977076","0.016993","0.0176991","0.0290976","0.0164118","0.0149533","0.0156366"
"GNB23716","2002","0.0188111","0.0145035","0.0185805","0.0138837","0.0119358","0.0165414","0.0234987","0.0311796","0.00824279","0.0194925","0.0144605","0.0185185","0.0131579","0.00821815","0.0204309","0.0137139","0.0174916","0.0214022","0.0186916","0.00859171","0.00300978","0.0122631","0.0155268","0.011865","0.0183891","0.0127246","0.0115156","0.018546","0.0117114","0.0108533","0.0100671","0.0163751","0.0170068","0.0165414","0.015861","0.0195195","0.0208488","0.0272999","0.0198949","0.0181414","0.0115113","0.0133829","0.00971236","0.0105145","0.0179775","0.0115028","0.0156483","0.0142429","0.0100634","0.0172667","0.019403","0.00937031","0.0157776","0.0103781","0.01566","0.00899213","0.0190157","0.0149087","0.0190228","0.0171514","0.0115845","0.0149645","0.0122585","0.0115845","0.012696","0.01","0.00906344","0.0227188","0.0137598","0.00969787","0.0137393","0.0127008","0.0201117","0.0241418","0.0168099","0.0148588","0.0194538","0.00968343","0.0199188","0.0107687","0.0284751","0.0180655","0.0168792","0.00634328","0.00375094","0.0211896","0.00711877","0.0172608","0.016642","0.0296626","0.0175439","0.0145794","0.0156425","0.0229237","0.0161472","0.0208877","0.00789177","0.00858529","0.0115499","0.0212766","0.0149701","0.0100074","0.0130597","0.019483","0.0186289","0.0142109","0.0238184","0.0114349","0.00667656","0.0125276","0.0197909","0.0103704","0.0213964","0.0033532","0.0293013","0.0270778","0.0143224","0.0153214","0.00555144","0.0255272","0.0151347","0.00715092","0.0181549","0.0089955","0.0063033","0.021658","0.00449102","0.00638618","0.00676692","0.0123272","0.0182972","0.0151515","0.0247689","0.00901578","0.0115113","0.0118475","0.0152643","0.0104634","0.0147003","0.0203704","0.0107527","0.0223881","0.0164732","0.0161837","0.0112697","0.0233083","0.0266617","0.0176228","0.0173258","0.0100111","0.0123088","0.0171322","0.013373","0.0187547","0.0119003","0.0243263","0.0127484","0.00927644","0.00371471","0.0128724","0.0216822","0.0116717","0.0174527","0.0148203","0.0211401","0.00929023","0.0147005","0.0134178","0.00745156","0.0145143","0.0143126","0.0209346","0.00756716","0.0307116","0.00934579","0.0201117","0.0126866","0.00854701","0.00864337","0.0105026","0.0105541","0.0174268","0.0163205","0.00853749","0.0306199","0.00940557","0.0219985","0.0156308","0.013544","0.00893522","0.0108777","0.0135287","0.013544","0.0105342","0.0187984","0.0199557","0.0269273","0.0168161","0.0149869","0.0156951"
"GNB23716","2003","0.0181337","0.0155786","0.0175898","0.014275","0.0130402","0.0169555","0.0223214","0.0319789","0.00978547","0.023845","0.0142375","0.0181347","0.0128739","0.00937031","0.0205607","0.014881","0.0156308","0.0213943","0.0186567","0.00931446","0.0029773","0.0118694","0.013016","0.0103781","0.0188889","0.0127389","0.0112108","0.0175898","0.0120391","0.0105184","0.00937734","0.0160508","0.0171494","0.0168224","0.0181543","0.0191513","0.0211581","0.0250467","0.0199849","0.0174656","0.0118959","0.013724","0.00974148","0.00977811","0.0180927","0.0114857","0.0160748","0.0142643","0.0103359","0.017037","0.0190868","0.00865312","0.0138629","0.0109228","0.0152985","0.00825516","0.0190441","0.0142216","0.0201417","0.0172156","0.0119048","0.015596","0.0130743","0.0119225","0.01208","0.00996678","0.00912548","0.0220478","0.0149981","0.00898876","0.0137957","0.0124153","0.0196369","0.0229582","0.0161109","0.0160808","0.0218045","0.0089955","0.0196733","0.00971236","0.0280689","0.0185466","0.0157954","0.00598802","0.00376506","0.0220808","0.00710546","0.0167535","0.0160388","0.0298396","0.0181818","0.0138941","0.0153846","0.0211002","0.0157954","0.0209502","0.00756144","0.00903614","0.0124153","0.0220891","0.0138577","0.0104167","0.0138111","0.0191801","0.016835","0.0142429","0.0228208","0.0107368","0.0074239","0.0121771","0.0175701","0.0111732","0.0213084","0.00336197","0.0293564","0.0245654","0.0130112","0.0164118","0.00516605","0.0245719","0.0162182","0.00752445","0.0215054","0.0105541","0.00629863","0.0235426","0.00447594","0.00638138","0.00635039","0.0108128","0.0179708","0.015548","0.0255745","0.00829563","0.0111857","0.013016","0.0144659","0.00976342","0.0143342","0.0209033","0.0134479","0.0228636","0.0160688","0.0164979","0.0109269","0.0241327","0.0269143","0.0170326","0.017365","0.0107727","0.0116541","0.0171963","0.0119537","0.0183796","0.0105145","0.0256983","0.0143505","0.00861746","0.00411523","0.0133038","0.0201945","0.0124107","0.0159673","0.0151908","0.021542","0.00863363","0.0151515","0.0145251","0.0078125","0.0149031","0.0135389","0.0205993","0.00683112","0.0267622","0.00823045","0.0194684","0.0126629","0.0100409","0.00864987","0.011257","0.0109932","0.017075","0.0168287","0.00749906","0.0311445","0.0093668","0.0248869","0.0152871","0.0124528","0.00861423","0.0104478","0.013468","0.0127484","0.0109807","0.0177778","0.0197687","0.0271577","0.0172673","0.0157362","0.016424"
"GNB23716","2004","0.0175238","0.0138163","0.0173193","0.0169428","0.0127389","0.0162325","0.023282","0.0311679","0.0116018","0.0250374","0.0154659","0.0179843","0.014318","0.0101275","0.0199098","0.0149087","0.0149365","0.0207792","0.0206612","0.010479","0.00296846","0.0119136","0.0139202","0.0100111","0.0198131","0.0120301","0.010931","0.0161959","0.0138889","0.00939144","0.00824897","0.0164547","0.016673","0.0150659","0.0203084","0.0191657","0.0212925","0.0235955","0.020053","0.0175177","0.0116148","0.0133136","0.0101389","0.00905319","0.0185606","0.0123272","0.0160388","0.0142803","0.011215","0.0163387","0.0209738","0.00865964","0.0135542","0.0121766","0.0153788","0.00904295","0.0168729","0.0131037","0.0208256","0.0164732","0.0145903","0.014536","0.012715","0.0107847","0.0110141","0.0103896","0.00873528","0.0224888","0.0143939","0.0101351","0.0150207","0.01359","0.0207024","0.0222222","0.0157717","0.0154542","0.0229928","0.010574","0.017791","0.00937734","0.0242266","0.016994","0.0165538","0.00637659","0.00341426","0.0206456","0.0077749","0.0171386","0.0154309","0.0291262","0.0183041","0.0135593","0.0150602","0.0195931","0.016123","0.0206534","0.00946611","0.0094162","0.0133029","0.0210053","0.0143072","0.00928333","0.0149533","0.0191874","0.0153904","0.014345","0.0250749","0.0104089","0.00780379","0.0122313","0.0179775","0.00971236","0.0224299","0.00373413","0.0309201","0.0234848","0.012021","0.0167348","0.00481838","0.0242356","0.0159083","0.00717794","0.0212054","0.00984476","0.00634092","0.0220726","0.00486709","0.00748783","0.00597684","0.0100709","0.0168666","0.0144103","0.0263158","0.00903614","0.0115931","0.0149309","0.0160748","0.00902935","0.0151515","0.0209816","0.0145958","0.0228123","0.0160628","0.0177828","0.0112191","0.0250951","0.024696","0.0170648","0.0196746","0.00933184","0.0124387","0.0175242","0.0116192","0.0172997","0.0094162","0.0257944","0.014345","0.0086858","0.00640784","0.0126629","0.0187196","0.0127964","0.0160868","0.0159083","0.021542","0.00903614","0.0137088","0.0157835","0.00746547","0.0163326","0.0139202","0.0213164","0.00678733","0.0247148","0.0089854","0.0206534","0.0134328","0.0115113","0.00825516","0.0112697","0.0102779","0.017791","0.0179104","0.00751597","0.0312735","0.0086727","0.0237378","0.0157127","0.011985","0.0082925","0.0101161","0.0119805","0.0135034","0.0109682","0.0160089","0.0198279","0.0279746","0.0162203","0.0173258","0.0172285"
"GNB23716","2005","0.0182232","0.0143072","0.0150602","0.0161351","0.0128157","0.0154135","0.0221721","0.0320513","0.0108941","0.0247934","0.0177225","0.0199024","0.0143613","0.00903614","0.021862","0.0157895","0.0146232","0.0198131","0.0204005","0.010574","0.0029773","0.0123226","0.0127724","0.010829","0.0165787","0.0121075","0.010325","0.0174375","0.0149925","0.00971963","0.00900901","0.0160568","0.0171168","0.0147059","0.0210685","0.019209","0.021658","0.0231949","0.0212363","0.017557","0.0123827","0.0136885","0.00975244","0.00987092","0.0174111","0.0112317","0.0161715","0.0142911","0.0123874","0.0171706","0.0199323","0.00871212","0.0140152","0.0129623","0.0158371","0.0109023","0.0170713","0.0119403","0.0220396","0.0156366","0.0146177","0.0145849","0.0127868","0.0108209","0.0110224","0.0101161","0.00985222","0.0210843","0.0144597","0.00945537","0.0143342","0.0135593","0.0189521","0.0221222","0.0147059","0.0151458","0.0223485","0.0120709","0.0209895","0.00979653","0.0224048","0.0170004","0.016585","0.00714286","0.00417141","0.0215094","0.00739919","0.0174721","0.0170261","0.0300865","0.0175767","0.0147504","0.0155068","0.0200302","0.0168476","0.0180995","0.00796359","0.00862392","0.0140791","0.0209033","0.01359","0.00897196","0.0157362","0.0185536","0.0150432","0.0146617","0.0266217","0.0104869","0.00711078","0.0107687","0.0173585","0.00977076","0.0224131","0.00375799","0.0296769","0.0204701","0.0147783","0.0153157","0.00558659","0.0261878","0.0165041","0.00765404","0.0212291","0.00902935","0.00675676","0.0210843","0.00490196","0.00787992","0.00633147","0.0104205","0.016585","0.0132979","0.0244535","0.00906344","0.010931","0.0165725","0.0145414","0.00796964","0.014383","0.0201794","0.0168224","0.0228807","0.0149813","0.0161351","0.012715","0.022892","0.0245098","0.0167491","0.0181612","0.0108249","0.012003","0.0154367","0.0123735","0.0189107","0.00981873","0.0255447","0.0151286","0.00684151","0.00488722","0.0130695","0.0212845","0.0127868","0.0160388","0.0168224","0.0228137","0.00906344","0.0147601","0.0143072","0.00714823","0.0163751","0.0124014","0.0199248","0.00602637","0.0238817","0.00906002","0.0192235","0.013148","0.0119403","0.00825516","0.0109558","0.01059","0.0182495","0.0178971","0.00781832","0.0289365","0.00828625","0.0207704","0.0160688","0.0112275","0.00717252","0.0105422","0.0128399","0.0138421","0.0117871","0.0149198","0.0219365","0.0284431","0.01661","0.0154951","0.0184141"
"GNB23716","2006","0.0177225","0.0146948","0.0162325","0.0168036","0.0120573","0.0156951","0.0215909","0.0303375","0.0101237","0.0267521","0.0177158","0.0169619","0.0146893","0.00900563","0.0213252","0.0146561","0.0143018","0.0195857","0.0212121","0.0105382","0.00373134","0.0120301","0.011994","0.0108941","0.0178165","0.0123781","0.00988969","0.0159332","0.0127772","0.00824279","0.00867925","0.015748","0.0166667","0.0142696","0.023525","0.0210368","0.0223214","0.0235602","0.0215582","0.0174851","0.0117114","0.0126677","0.00973418","0.00905319","0.0173716","0.0116192","0.0147059","0.0139992","0.0132075","0.017557","0.019483","0.00906002","0.0155539","0.012992","0.0149981","0.0101772","0.0178098","0.0107527","0.0213244","0.016129","0.0138473","0.0142003","0.0117202","0.0119805","0.0102662","0.0101161","0.0086629","0.0202171","0.0170648","0.00792154","0.0127868","0.014318","0.0197319","0.0205454","0.0139307","0.0143559","0.0215338","0.0112824","0.0187266","0.00984848","0.0244716","0.0166793","0.0173258","0.00676692","0.00377644","0.0227618","0.00700332","0.017145","0.0162142","0.0303826","0.0175767","0.0136209","0.015861","0.0207078","0.0183796","0.0195268","0.00872534","0.00865964","0.0145873","0.0208799","0.0162879","0.00859492","0.0160988","0.0197044","0.0143234","0.0150489","0.0274127","0.0105184","0.00713213","0.0122997","0.0185606","0.0102002","0.0220974","0.00300188","0.0273716","0.0192817","0.0148458","0.0158192","0.00598355","0.0247748","0.015879","0.00803059","0.0214497","0.00892525","0.00637899","0.0205838","0.00566465","0.00822123","0.00632911","0.0108411","0.0154251","0.0132928","0.0253921","0.00863039","0.00939144","0.0173258","0.0152021","0.00873197","0.0139728","0.0194247","0.0194976","0.0216095","0.0138681","0.0165227","0.012715","0.0212282","0.0244637","0.0178911","0.0201368","0.00981132","0.012021","0.0154135","0.0145577","0.0193109","0.00984103","0.0262763","0.0153788","0.00800915","0.00414469","0.0131135","0.019338","0.0127628","0.0156951","0.0164979","0.0235383","0.00983731","0.0137088","0.0135338","0.00749625","0.0153443","0.0115975","0.0198576","0.00634328","0.0197719","0.00871212","0.0199323","0.0132026","0.012758","0.00863363","0.0109558","0.00982987","0.0180045","0.0190015","0.00629397","0.0306771","0.00791855","0.0212041","0.0164547","0.0100784","0.00644428","0.0105422","0.0109807","0.0134429","0.0117114","0.0142911","0.0223147","0.0281215","0.0169683","0.015873","0.0176625"
"GNB23716","2007","0.0165538","0.0138525","0.0169747","0.0164856","0.0108777","0.0153214","0.0197119","0.0292135","0.0101389","0.0234582","0.0180383","0.0192671","0.0127964","0.00900225","0.0209844","0.0146617","0.0162081","0.0207156","0.0222558","0.00907716","0.00372439","0.0120482","0.0116761","0.0112655","0.0159817","0.0122997","0.0094697","0.0159272","0.0112444","0.00899888","0.00830189","0.0146177","0.0168856","0.0153271","0.0215694","0.021731","0.0213403","0.0224215","0.0229928","0.0174721","0.0113593","0.0130305","0.00971599","0.00945895","0.0175767","0.0116805","0.0162448","0.0136571","0.0135338","0.0189873","0.0199173","0.00905319","0.0141006","0.011035","0.0162448","0.0100972","0.0181337","0.00935279","0.0219903","0.016424","0.0138525","0.0142803","0.0113809","0.011641","0.00952018","0.0112528","0.00974878","0.0187688","0.0158073","0.00752445","0.0135593","0.0138681","0.0200445","0.0207638","0.0153904","0.0143885","0.0215991","0.0108859","0.017222","0.010594","0.0236162","0.0162817","0.0165351","0.00638858","0.00374953","0.0206186","0.00773481","0.0179238","0.0163126","0.0277465","0.0183109","0.0143776","0.0154717","0.0188466","0.0197983","0.0195342","0.00871873","0.00866616","0.0145371","0.0198576","0.0155127","0.00941974","0.0147504","0.0170132","0.0143018","0.0154542","0.0280584","0.0112024","0.00605373","0.0119895","0.0182302","0.0094518","0.0228807","0.00338728","0.0274024","0.0192963","0.0144928","0.0158311","0.00598355","0.0259496","0.0163312","0.00799695","0.0219005","0.0104712","0.00598355","0.0199548","0.00567108","0.0089955","0.00670641","0.0108249","0.0146948","0.0139465","0.0258815","0.00896861","0.00862392","0.0151229","0.0163023","0.00955657","0.0160388","0.0179038","0.0203543","0.0206767","0.0139255","0.0169109","0.0127484","0.0219448","0.0228721","0.0179184","0.0188822","0.00867597","0.0109146","0.0130548","0.0135034","0.0202627","0.00793951","0.024812","0.0156951","0.00762777","0.00606061","0.0146122","0.0189662","0.0120256","0.0153443","0.0173062","0.0226159","0.0101389","0.015236","0.0127868","0.0082243","0.0149813","0.0119269","0.0174591","0.00665188","0.0170132","0.00833649","0.0183796","0.0146232","0.0136003","0.0105461","0.0113037","0.00980392","0.015402","0.0193165","0.00667904","0.0285178","0.00827379","0.0201444","0.0164179","0.00938438","0.00714823","0.0106141","0.012003","0.0130646","0.0120301","0.0130988","0.0218538","0.0294229","0.0168539","0.0169173","0.0168729"
"GNB23716","2008","0.0154775","0.0134983","0.0155185","0.0149757","0.0105501","0.016003","0.0190476","0.027705","0.0123503","0.0242332","0.0161654","0.0162632","0.0128157","0.00894855","0.0203927","0.0139887","0.0150659","0.021188","0.0227359","0.00986717","0.003367","0.0128544","0.0124014","0.0101427","0.0163498","0.0131037","0.00985595","0.0153846","0.0119985","0.0089955","0.00754717","0.012406","0.0171514","0.0161776","0.0212607","0.0220478","0.0194538","0.0240602","0.0225564","0.0171834","0.0120846","0.0127103","0.00895522","0.00985595","0.0175177","0.0117647","0.0162264","0.0128544","0.0120618","0.0175177","0.0181064","0.00788584","0.0145817","0.0106343","0.0170261","0.00931793","0.0177896","0.0109641","0.0208411","0.0153099","0.0138525","0.0142857","0.010602","0.0116849","0.0102506","0.0101124","0.0093985","0.0191441","0.0157127","0.00823662","0.0131628","0.0146177","0.0182427","0.0216741","0.0150038","0.0143018","0.021156","0.00897196","0.0171578","0.010158","0.0256506","0.0155362","0.0183865","0.00715901","0.00374672","0.0182857","0.00776915","0.0188324","0.0143396","0.0275264","0.0180587","0.0158133","0.0143018","0.018428","0.0208101","0.0172285","0.00832073","0.00787402","0.0147783","0.0194611","0.0146893","0.00901239","0.0154542","0.0173782","0.0139202","0.0161959","0.0276739","0.0111899","0.00567752","0.0123549","0.0204313","0.00907716","0.0238636","0.00413534","0.025169","0.0206767","0.0147448","0.0146948","0.00487988","0.0266917","0.016325","0.00802752","0.0211738","0.0101351","0.00678733","0.0178504","0.00680272","0.0093668","0.00601052","0.0116366","0.0146396","0.0154659","0.0235514","0.00974513","0.00863039","0.0143939","0.0171131","0.00953471","0.015253","0.0168539","0.0207626","0.0181064","0.0161776","0.0176825","0.0127341","0.020794","0.0230999","0.0181612","0.0210368","0.0121166","0.0101466","0.0133829","0.0135644","0.0195562","0.00752445","0.0252926","0.0148865","0.00872203","0.00752445","0.0158431","0.0178108","0.0124341","0.0160268","0.0177761","0.0224635","0.0111815","0.0152985","0.0113593","0.00792154","0.015015","0.0114985","0.0174851","0.00592812","0.0131037","0.00754717","0.0202703","0.0154251","0.0120846","0.0108859","0.0119805","0.0109517","0.0155185","0.0197173","0.00630798","0.0277154","0.00944822","0.0181543","0.0149421","0.00750751","0.00714286","0.00989722","0.013153","0.0127436","0.0127484","0.0122631","0.0210685","0.0287635","0.0168224","0.0169237","0.0150094"
"GNB23716","2009","0.0143288","0.0139465","0.0166415","0.0150602","0.0101466","0.0152021","0.0197719","0.0288931","0.0146617","0.0248869","0.0161776","0.0173258","0.0129032","0.00857249","0.0215501","0.0137143","0.0145414","0.0212282","0.023476","0.010989","0.00299177","0.0124153","0.0119181","0.0113336","0.0159393","0.0142109","0.0106181","0.0169109","0.0112066","0.0086629","0.00827068","0.0128012","0.0173323","0.0153788","0.0199248","0.0214286","0.0195049","0.0233346","0.0202323","0.0163751","0.0113379","0.0124575","0.00862069","0.0102157","0.0186776","0.0109682","0.0159031","0.0128788","0.010582","0.0161654","0.0187477","0.00865964","0.013308","0.0109023","0.0168539","0.00929714","0.0188964","0.0102041","0.0216095","0.0153673","0.0149365","0.0145903","0.0116761","0.0128109","0.00984476","0.0105145","0.010235","0.0183178","0.0159673","0.00824588","0.0124153","0.0153386","0.0190868","0.020202","0.0146232","0.0135186","0.02118","0.00858209","0.0179775","0.00976342","0.0258427","0.0151172","0.0187617","0.00752729","0.00299289","0.0178979","0.00859171","0.0176625","0.0161837","0.0280728","0.0191729","0.0124669","0.016654","0.0191946","0.0216904","0.0167598","0.00944822","0.00713213","0.0160928","0.018615","0.0146727","0.00981132","0.0162387","0.0158431","0.0131579","0.0157717","0.0262467","0.011169","0.00605831","0.0123781","0.0210368","0.00906687","0.0219282","0.00339495","0.025641","0.0195415","0.0135952","0.0143126","0.0056391","0.0266017","0.0163126","0.00948767","0.0204385","0.0112066","0.00601956","0.0171429","0.00680272","0.00906002","0.00751597","0.0128157","0.0143288","0.0146451","0.0239611","0.00903274","0.00904295","0.0132175","0.0148093","0.00918133","0.014881","0.0165165","0.0217554","0.0191729","0.0151","0.0186986","0.0127724","0.0192671","0.0226261","0.0190404","0.0190086","0.0117114","0.0108655","0.0130841","0.0146893","0.0179978","0.00792453","0.0256024","0.01566","0.00903955","0.00823045","0.0173258","0.0156658","0.0124294","0.0160328","0.0170843","0.0217391","0.0100746","0.0152757","0.0113208","0.00902935","0.0146122","0.0107687","0.016424","0.00633147","0.0111815","0.00751033","0.0209738","0.0142216","0.0125332","0.0108736","0.0120346","0.0105145","0.0136364","0.0186986","0.0074599","0.0278195","0.0090566","0.0173716","0.0142696","0.00637899","0.0070632","0.00951294","0.0112444","0.0134479","0.0120482","0.01114","0.0227531","0.0293013","0.0172091","0.0173323","0.0149309"
