"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"GNQ16423","2000","0.00747105","0.01089","0.00960828","0.00851536","0.00561587","0.0189521","0.00888889","0.00521221","0.00370645","0.00374672","0.0110092","0.00261682","0.00854066","0.00517178","0.00664943","0.00446595","0.00731797","0.00704748","0.00593472","0.00186846","0.00560329","0","0.00672143","0.00370508","0.0182224","0.00600826","0.00446429","0.00596125","0.00110619","0.00932836","0.00626613","0.00260417","0.00556174","0.00557414","0.00779221","0.00408466","0.00408466","0.00407106","0.00445765","0.00484894","0.0018546","0.0078125","0.00373413","0.011418","0.00444609","0.011473","0.0100484","0.00710015","0.00819367","0.00591716","0.00556793","0.00371471","0.00297177","0.00188253","0.00451467","0.0142216","0.00929023","0.00148423","0.00553301","0.00260999","0.00665188","0.0118431","0.00854383","0.00516415","0.00956586","0.0115758","0.0218373","0.00297066","0.0118694","0.00515464","0.00486527","0.00849335","0.00443131","0.00855655","0.00933532","0.00298507","0.00373274","0.00707108","0.00662495","0.00592373","0.018938","0.00520833","0.00628001","0.00707635","0.00448766","0.00892525","0.00737463","0.00663717","0.0100111","0.00334572","0.000743771","0.00482375","0.00925241","0.0063033","0.00860456","0.00146951","0.00261878","0.00185048","0.00074129","0.00406955","0.00670391","0.00814815","0.00755002","0.00969064","0.00593252","0.00770925","0.00857889","0.0129008","0.0162722","0.00701366","0","0.00525723","0.0104556","0.0029553","0.00560119","0.00778932","0.0134228","0.00590624","0.0063244","0.0022214","0.00262467","0.00373832","0.0164856","0.00854383","0.00522583","0.00559493","0.00450958","0.00890208","0.0062477","0.00518711","0.00708955","0.00110783","0.00295312","0.00699558","0.00186776","0.00260902","0.0174851","0.00778643","0.00888889","0.01566","0.00371747","0.00409989","0.0033358","0.00220588","0.00711078","0.00485618","0.00669892","0.00780379","0.0018615","0.00187617","0.00518135","0.00563063","0.00996678","0.00956586","0.00111359","0.0103896","0.0107328","0.00856611","0.0132792","0.00561587","0.00335946","0.00443459","0.0044428","0.00994109","0.00779799","0.0014771","0.00667408","0.00482196","0.00444609","0.00556174","0.00853749","0.00709485","0.00186428","0.0114433","0","0.00704748","0.00451128","0.00335445","0.00406955","0.00150094","0","0.00664207","0.00374392","0.00331004","0.0162242","0.00631735","0.00781832","0.00036846","0.00523364","0.00736377","0.00487622","0.00223214","0.00551876","0.00373832","0.011976","0.00187829","0.00448263","0.00588452","0.0155613","0.00441989"
"GNQ16423","2001","0.00858529","0.0109023","0.0088856","0.00929023","0.00564759","0.0206302","0.00887574","0.00446429","0.00372856","0.00411831","0.0100074","0.00262074","0.00813609","0.00522193","0.00702403","0.00487074","0.00625","0.00710812","0.00595681","0.00186498","0.00557207","0","0.00780669","0.00371058","0.016791","0.00601504","0.00447427","0.00484894","0.00111483","0.0104167","0.00518711","0.00260999","0.00517178","0.00627306","0.00746269","0.00373413","0.00334821","0.00407106","0.00372995","0.00480236","0.0014881","0.00711078","0.00411369","0.0115113","0.00444939","0.0107169","0.0115028","0.00705795","0.00781541","0.00595017","0.00516987","0.00372856","0.00260126","0.00187688","0.00413068","0.0142643","0.00896526","0.00185529","0.00517178","0.00338855","0.00701884","0.0110416","0.00820896","0.00520253","0.00921829","0.012003","0.0221971","0.00331981","0.0119181","0.00554734","0.00484352","0.00857569","0.00408618","0.00891862","0.00861101","0.0026032","0.00407709","0.0067441","0.00626151","0.00557207","0.0193596","0.00483092","0.00557828","0.00563275","0.0045045","0.00894521","0.00740466","0.00667161","0.0100746","0.00334697","0.000743218","0.00521415","0.00927988","0.00635039","0.00671141","0.00147547","0.00302115","0.00186637","0.00111235","0.00483092","0.00675676","0.00815419","0.00713213","0.0119181","0.00669892","0.00665188","0.00743218","0.0122268","0.0177515","0.00592154","0","0.00641509","0.00931099","0.00296736","0.00601052","0.00849335","0.0135338","0.00443131","0.00664943","0.00258684","0.00225819","0.0037679","0.0165289","0.00820896","0.00488355","0.00598578","0.00490011","0.00784753","0.00551673","0.00485981","0.00785634","0.00111524","0.00296516","0.00771492","0.00149925","0.00259644","0.0167224","0.00783582","0.00889878","0.0160328","0.00334076","0.00375516","0.00334821","0.00185391","0.00673149","0.00522583","0.00595681","0.00892857","0.00186706","0.00186706","0.00521221","0.00485437","0.00887574","0.00960828","0.000747664","0.0107487","0.0115028","0.00783582","0.012574","0.00488538","0.00449102","0.00482196","0.00442478","0.00920471","0.00777202","0.00221811","0.00854701","0.00521999","0.00483991","0.00631735","0.00891862","0.00704486","0.00187758","0.0106972","0","0.00705795","0.00453515","0.00337711","0.00407407","0.00149645","0","0.00628001","0.00261878","0.00221729","0.0166852","0.00634328","0.00822737","0.000370096","0.00484713","0.0077951","0.00447928","0.00222387","0.00589319","0.00374953","0.0130792","0.00187617","0.00449607","0.00515844","0.0171514","0.00409074"
"GNQ16423","2002","0.00780089","0.0101275","0.00855973","0.00933184","0.00561587","0.023282","0.00889878","0.00448766","0.00488171","0.0037679","0.00967622","0.0026178","0.00891862","0.00598355","0.00707372","0.00449775","0.00740466","0.00716981","0.00558867","0.00187126","0.00672646","0.00037037","0.00745712","0.00444774","0.016766","0.00600826","0.00484894","0.00600601","0.00111857","0.010833","0.00521027","0.0022363","0.00409989","0.00701366","0.00822737","0.00298174","0.0040877","0.00406504","0.00373972","0.00407861","0.00112108","0.00639579","0.00336323","0.0111193","0.00446429","0.011107","0.0133829","0.006684","0.00855973","0.00559284","0.00557621","0.00410295","0.00299177","0.00225056","0.00375094","0.0130792","0.00858209","0.00148644","0.00595681","0.00300639","0.00853116","0.00924214","0.00897196","0.00488355","0.00853116","0.0105224","0.0203466","0.00333828","0.0122951","0.00487988","0.00445931","0.00825516","0.00373134","0.00853432","0.00787106","0.00262074","0.00370508","0.00674157","0.00631266","0.0062963","0.0198353","0.00412139","0.00562219","0.00527108","0.00415565","0.00713481","0.00669394","0.00671391","0.00861423","0.00376081","0.00111483","0.00597461","0.00900563","0.00525526","0.00780379","0.0014892","0.0026435","0.00149925","0.001114","0.00447427","0.00721063","0.0081754","0.00637899","0.0116498","0.00596347","0.00702663","0.00703964","0.011537","0.017791","0.00671141","0","0.00563698","0.00965466","0.0025878","0.00636228","0.00816933","0.0131728","0.00520059","0.00627075","0.00221566","0.00226586","0.00412139","0.0161472","0.00894855","0.00489827","0.00560119","0.00529301","0.00900225","0.00586941","0.00562219","0.00677966","0.00149925","0.00185529","0.00813008","0.00149142","0.00258876","0.0175504","0.0089854","0.00781541","0.0156833","0.00374111","0.00338473","0.00374392","0.00186567","0.0063599","0.0052356","0.00634328","0.0093668","0.00149813","0.00186567","0.00521804","0.00523364","0.0100559","0.0100186","0.00149925","0.0103858","0.0105224","0.00782414","0.013368","0.00489458","0.00411831","0.00483991","0.0037092","0.0085693","0.00700332","0.0014881","0.00783875","0.00673149","0.00482196","0.00597684","0.00819672","0.00704486","0.00187477","0.0107847","0.00150546","0.00703964","0.00454718","0.00339367","0.00297619","0.00148976","0.000735565","0.00594133","0.00261682","0.00259451","0.018236","0.00674916","0.00787992","0.00037092","0.00485075","0.00742666","0.00373692","0.00260611","0.00587372","0.00413068","0.0118782","0.00226074","0.00452148","0.00557207","0.0175504","0.00411677"
"GNQ16423","2003","0.00816327","0.00979653","0.00821815","0.00937734","0.0056243","0.0232558","0.00893189","0.00412294","0.0048909","0.00376932","0.0100596","0.00300413","0.00860135","0.00601956","0.00821815","0.00334076","0.00662983","0.00792752","0.00602864","0.00186081","0.00525723","0.000370096","0.00784167","0.00485256","0.0167411","0.00674663","0.00411061","0.00603091","0.00112317","0.0104987","0.00557","0.00262566","0.00377216","0.00703964","0.00819978","0.00336449","0.00372301","0.00410908","0.00301318","0.00480769","0.00112994","0.0060241","0.00335445","0.0123043","0.00448766","0.0107328","0.014095","0.0063197","0.00744879","0.0044843","0.00560538","0.00411061","0.00262271","0.00224215","0.00415408","0.013089","0.00902935","0.0014892","0.00601278","0.00263455","0.00819672","0.00925926","0.00932836","0.00484713","0.0089955","0.00940911","0.0185185","0.00335071","0.0119985","0.00451637","0.0045062","0.0075358","0.0033557","0.00889878","0.00785047","0.00227359","0.00371747","0.00642236","0.0063244","0.00555556","0.0199398","0.00413845","0.00635752","0.0052592","0.00451297","0.00602637","0.00668896","0.00711078","0.0075358","0.0045489","0.00111607","0.00673653","0.00977444","0.0056391","0.00708427","0.00149421","0.00225649","0.00112697","0.00112528","0.00448263","0.00693107","0.00705009","0.00601052","0.0117469","0.00636704","0.00628931","0.006684","0.0123134","0.0167224","0.00673905","0","0.00752729","0.00852483","0.00185874","0.00637659","0.0078125","0.0143018","0.00557207","0.00629863","0.00222883","0.0022633","0.00453001","0.01812","0.00824588","0.00492798","0.00634565","0.00527704","0.0086629","0.0063244","0.00564546","0.00641752","0.00150038","0.00224467","0.00742115","0.00186498","0.00258303","0.0176228","0.00901578","0.00853749","0.0171898","0.00414938","0.00339751","0.0044927","0.00259933","0.0063742","0.00489274","0.00711078","0.0100859","0.00189179","0.00186637","0.00560957","0.00561798","0.011976","0.00931099","0.001514","0.0115585","0.0106343","0.00858529","0.01305","0.00412913","0.00374813","0.00485256","0.00483811","0.00855973","0.00708427","0.00185391","0.00783875","0.00752729","0.00407106","0.00601504","0.0105145","0.00712678","0.00187336","0.0108736","0.00189179","0.00669643","0.00414001","0.00375235","0.00297177","0.00112024","0.00149031","0.00523169","0.00186012","0.00186916","0.0179171","0.00674916","0.00861101","0.000372856","0.00485256","0.00744048","0.00412294","0.00260417","0.00587587","0.00450113","0.0129294","0.00188041","0.00492238","0.00595681","0.0172027","0.00413378"
"GNQ16423","2004","0.00854383","0.00980023","0.00861423","0.00975976","0.00566038","0.023979","0.00929714","0.00335821","0.00565611","0.00414938","0.0104869","0.00337965","0.0075188","0.00600826","0.00825826","0.00374111","0.006684","0.00642236","0.00598355","0.00224048","0.00597907","0.001114","0.00864337","0.00522583","0.0190797","0.00563486","0.00411985","0.00491493","0.00112066","0.00984103","0.0045045","0.00262074","0.00343119","0.00668896","0.00897532","0.00338855","0.00371885","0.00337584","0.00302229","0.00444444","0.00151688","0.00602637","0.00337079","0.0119716","0.00449944","0.0107807","0.0126677","0.00558243","0.0078125","0.00451467","0.0060173","0.00376506","0.0026178","0.0022363","0.00378501","0.0138163","0.00787106","0.00149309","0.00491308","0.00303145","0.00898876","0.0103858","0.0085693","0.00635514","0.00828937","0.00906687","0.0162694","0.00337205","0.0123503","0.00453686","0.00451297","0.00759301","0.00411215","0.00853432","0.00791258","0.00226929","0.00261389","0.00565185","0.00597461","0.00557828","0.0207626","0.00375657","0.00525526","0.0056243","0.00447594","0.0063742","0.00783582","0.00672646","0.00751315","0.00415251","0.00148754","0.0071997","0.00875857","0.0063599","0.00788881","0.00150546","0.00263554","0.00151918","0.000750188","0.00453515","0.00732742","0.00743494","0.00601504","0.0113593","0.00715361","0.00594575","0.00634802","0.0127055","0.0160748","0.00713213","0","0.00798176","0.00823353","0.00187266","0.00636466","0.00671141","0.0147392","0.00521221","0.00668896","0.00223881","0.00263059","0.00416036","0.0185466","0.0071644","0.00456447","0.00635277","0.00527108","0.00864337","0.00598355","0.00452318","0.00528701","0.00151229","0.00226501","0.0070632","0.00261194","0.00299065","0.0172091","0.00937031","0.0082243","0.0180316","0.00414001","0.00375657","0.00412139","0.00299513","0.00599251","0.00564972","0.00599251","0.00863688","0.00190186","0.00186289","0.00525328","0.00564759","0.0105382","0.00939144","0.00113422","0.0115071","0.0106141","0.00819978","0.0131086","0.00375516","0.00411831","0.0056243","0.00523364","0.00930406","0.00710812","0.00149477","0.0093985","0.00906687","0.00409378","0.00568828","0.0112782","0.00712411","0.0015015","0.0112613","0.0030349","0.00704225","0.00378501","0.00376506","0.00297841","0.00112275","0.00299513","0.00567322","0.00149198","0.00150376","0.0175898","0.00677456","0.0090566","0.000373832","0.00484894","0.00601956","0.0037594","0.00297177","0.00663962","0.00487622","0.0122313","0.00187196","0.00490196","0.00562852","0.0184488","0.00377216"
"GNQ16423","2005","0.00937031","0.00976709","0.00897868","0.00975244","0.00638618","0.0231949","0.00855655","0.00338983","0.00491493","0.00415879","0.0109599","0.00374532","0.00754717","0.00605373","0.00907716","0.00335946","0.00636943","0.00683112","0.00714823","0.00186567","0.00744048","0.00148644","0.00899888","0.00484532","0.0183796","0.00602637","0.00413689","0.0045403","0.0011236","0.00947688","0.00378501","0.00226415","0.00343511","0.00676692","0.00860778","0.00339879","0.00372995","0.00411677","0.00377216","0.00371885","0.00151573","0.00567752","0.00338346","0.0112824","0.00453858","0.0101199","0.0124247","0.00524148","0.00710812","0.00412603","0.0060173","0.00415251","0.00338346","0.00186776","0.00378358","0.0145577","0.00788881","0.00149365","0.00490566","0.00306162","0.00904636","0.00973418","0.0086727","0.00674916","0.00796058","0.00872534","0.0110224","0.00337584","0.0112613","0.00491865","0.00486891","0.00795153","0.00410601","0.00891199","0.00785928","0.00227101","0.00297508","0.00570559","0.00639338","0.00490011","0.0208649","0.00339367","0.0052691","0.00604458","0.00451128","0.00417774","0.00749064","0.00673401","0.00679245","0.00528901","0.00149198","0.00641994","0.00682335","0.00747943","0.00750188","0.000751033","0.00263356","0.00113507","0.00113208","0.00416036","0.00773395","0.00782123","0.00640784","0.01057","0.00639819","0.00675169","0.00567537","0.0123781","0.0161169","0.00678222","0","0.0090978","0.00790365","0.00187406","0.00522778","0.00597238","0.0140205","0.00559493","0.00747105","0.00187336","0.0026003","0.00376364","0.0188466","0.00752445","0.00420811","0.00451297","0.00603774","0.00790365","0.00673653","0.00414469","0.0045403","0.00153022","0.00227445","0.00782706","0.00337079","0.00298842","0.0176625","0.00942685","0.00896861","0.019432","0.00452318","0.0037594","0.00416509","0.00301318","0.0060241","0.0071644","0.00673905","0.00859813","0.00152265","0.00223131","0.00566679","0.00643208","0.0117424","0.010479","0.00113208","0.011274","0.0110518","0.00821815","0.0120437","0.00412913","0.00414938","0.00603318","0.00523756","0.00860456","0.00750188","0.00187477","0.010235","0.00947688","0.00408466","0.00568828","0.0102273","0.00749906","0.00225989","0.0101504","0.00417141","0.00672646","0.00416509","0.0037679","0.00259163","0.00151343","0.00263257","0.00492051","0.00186706","0.00151343","0.0185466","0.00675169","0.00759013","0.000746826","0.00484532","0.00565824","0.00376081","0.00334821","0.00744325","0.00521221","0.0125926","0.00187406","0.00449438","0.00492611","0.0192163","0.00377074"
"GNQ16423","2006","0.00827379","0.0101275","0.00906344","0.00937734","0.00525723","0.0238184","0.00901578","0.00376648","0.0045403","0.00455754","0.0105382","0.00372717","0.00755287","0.00601278","0.00945895","0.00370782","0.00637659","0.00795153","0.00675929","0.00148478","0.00825206","0.00262467","0.0100972","0.00521999","0.0172867","0.00718065","0.00451807","0.00569909","0.00074599","0.00990099","0.00413845","0.0022531","0.00345224","0.00642236","0.00968343","0.00337711","0.00373972","0.0037594","0.00374953","0.00335071","0.00151803","0.00527506","0.00375657","0.00974878","0.00415565","0.00937031","0.0120709","0.0060015","0.00713481","0.00410908","0.00602864","0.00414625","0.00262467","0.00149701","0.00379507","0.0134831","0.00748503","0.00149254","0.00530504","0.00381388","0.0094518","0.0105501","0.00865312","0.00677711","0.00835549","0.00793351","0.00875523","0.00379795","0.0112655","0.0053313","0.00410908","0.00789771","0.0044843","0.00742942","0.00676692","0.00303721","0.00298063","0.00495805","0.00636466","0.00489642","0.0197418","0.00265051","0.00524148","0.00564546","0.00451637","0.00455927","0.0097269","0.00676692","0.00752729","0.00378931","0.00224551","0.00642236","0.00986717","0.0071161","0.0079096","0.00113037","0.00264051","0.00113165","0.000754432","0.00413689","0.00770713","0.00858209","0.00643208","0.0128157","0.00675422","0.00715901","0.00527108","0.0131678","0.0143126","0.00601052","0","0.00906344","0.00676692","0.00187829","0.0055991","0.00526514","0.0139992","0.00561377","0.00712411","0.00151172","0.00223881","0.00413534","0.0172349","0.0070632","0.00382263","0.00411215","0.00598355","0.00750469","0.0067441","0.00413223","0.00378501","0.00114373","0.00227964","0.00747105","0.00297952","0.00340265","0.0166163","0.00977076","0.0082243","0.0205684","0.00454201","0.0045045","0.00455063","0.00376506","0.00447928","0.00718336","0.00638618","0.0100709","0.00113593","0.00222717","0.00566465","0.0064006","0.0144817","0.0107847","0.000757002","0.0101925","0.0110099","0.00823353","0.0116981","0.00374251","0.0048909","0.0060173","0.00566251","0.00825206","0.00747943","0.00187829","0.0108859","0.00984103","0.00446595","0.00604915","0.0109765","0.00750188","0.00188253","0.00796359","0.00490751","0.00671892","0.00376648","0.00374953","0.00296956","0.00151286","0.00301091","0.00530705","0.00188324","0.0015163","0.0185747","0.00638138","0.00794251","0.0011215","0.00486345","0.00713213","0.00375799","0.00337331","0.00711344","0.00595681","0.0115413","0.00149757","0.00486163","0.00529101","0.0190726","0.00374813"
"GNQ16423","2007","0.00759013","0.0103896","0.0108696","0.00939144","0.00567322","0.0222883","0.00869894","0.0037594","0.00376932","0.00491122","0.0113037","0.00371747","0.00792453","0.005997","0.00983731","0.00372995","0.00603774","0.00753864","0.00561587","0.00148865","0.00822123","0.0033557","0.00939144","0.00597461","0.0173389","0.00722983","0.00377929","0.00605831","0.00111732","0.00906344","0.00412139","0.00262664","0.0030546","0.00718065","0.0100186","0.00337331","0.00299065","0.00415565","0.00373274","0.00336952","0.00190259","0.00453686","0.00337331","0.00902595","0.0037594","0.00903274","0.0136106","0.00599925","0.00683112","0.00409989","0.00678733","0.00456621","0.00148368","0.00149757","0.00379507","0.0135186","0.00826446","0.00149869","0.00568397","0.00380518","0.00872534","0.0101086","0.0101313","0.00674916","0.00758438","0.00796964","0.00870882","0.00380952","0.0104712","0.0060241","0.00450958","0.00825826","0.00558451","0.00816933","0.00680272","0.00226843","0.00224215","0.00417933","0.00673905","0.00416983","0.0208018","0.00265453","0.00481838","0.00602864","0.00485437","0.00341945","0.00893522","0.00683371","0.00714017","0.00454201","0.00223881","0.00531713","0.00872534","0.00709485","0.00790365","0.000751315","0.00263455","0.00112655","0.000750751","0.00414001","0.00765404","0.00823353","0.00603091","0.0120937","0.00749625","0.00637659","0.00528302","0.0128205","0.0150943","0.00671391","0","0.0090978","0.00566465","0.000756716","0.00522973","0.00412913","0.0143776","0.00523169","0.00712411","0.00151745","0.00224888","0.00414001","0.0173389","0.00639338","0.00382263","0.00452318","0.00594796","0.00718065","0.00752445","0.00454201","0.00339239","0.00114199","0.00189609","0.00559701","0.00298507","0.00341426","0.0146837","0.010158","0.00824897","0.0201417","0.00414313","0.00450113","0.00454545","0.00375657","0.00488538","0.00719697","0.00681818","0.00975244","0.000759878","0.00148865","0.00531713","0.00601052","0.0141006","0.01","0.000755287","0.00938086","0.00982987","0.00830502","0.0131283","0.00374532","0.00489827","0.00601504","0.00565611","0.0078125","0.00599251","0.00187688","0.0115975","0.00982615","0.0044927","0.00566038","0.0105461","0.00750188","0.00188608","0.00795756","0.0060698","0.00597907","0.00449102","0.00412758","0.00298285","0.00114548","0.00227618","0.0056926","0.00225734","0.0015186","0.0188679","0.00678222","0.00945895","0.00111317","0.00410908","0.00677201","0.00415408","0.00224467","0.00747105","0.00673401","0.0126866","0.00187056","0.00487074","0.00601504","0.0186359","0.00301432"
"GNQ16423","2008","0.00722708","0.0104167","0.0108941","0.00937734","0.00530303","0.0234462","0.00831758","0.00301205","0.00414781","0.00490196","0.010578","0.00369686","0.00754432","0.00562008","0.0102002","0.00336574","0.00609292","0.00757002","0.0056243","0.00149254","0.00819978","0.0044927","0.00864987","0.00631266","0.0154775","0.00719152","0.00376223","0.00569044","0.0011257","0.00907372","0.00452148","0.00297177","0.0030453","0.00718065","0.00966184","0.00300075","0.00334946","0.00413378","0.00372439","0.00412448","0.00188679","0.0052691","0.00376932","0.00787992","0.00337711","0.00943752","0.0125142","0.00673149","0.00840336","0.00411061","0.00565824","0.00417933","0.00111649","0.00150094","0.00377644","0.0147895","0.00860456","0.00150094","0.00529501","0.00416667","0.00833333","0.0105184","0.00899213","0.00567752","0.00718065","0.00831758","0.00680015","0.00380518","0.0101048","0.00640784","0.00487439","0.00970149","0.00711344","0.00861101","0.00683112","0.00263059","0.0026032","0.00416667","0.00560329","0.00492238","0.0188466","0.00188608","0.00482554","0.00599027","0.0052592","0.00300413","0.00857249","0.00683371","0.0078446","0.00490566","0.00223964","0.0045489","0.00871212","0.00747664","0.00788881","0.00150207","0.00263158","0.00189179","0.000744879","0.00376648","0.00714017","0.00715901","0.00525526","0.0127676","0.00749344","0.00563063","0.00491493","0.0120346","0.0143396","0.00671391","0","0.00833333","0.0060423","0.00112867","0.00450281","0.00562008","0.0139887","0.00488538","0.00674916","0.00151458","0.00224803","0.00487074","0.0168729","0.00561587","0.00380084","0.00489458","0.00558659","0.00642965","0.00823662","0.0045403","0.00377358","0.000757289","0.00187829","0.00634565","0.00260708","0.0030581","0.0146782","0.0105501","0.00753012","0.0183589","0.00450958","0.00372856","0.00418729","0.00339495","0.00448766","0.00601278","0.00603318","0.00976342","0.000755572","0.0014892","0.00531309","0.00671391","0.0140311","0.0100111","0.00112528","0.00937031","0.00977444","0.00755287","0.0112444","0.00374111","0.00452318","0.00639579","0.00566251","0.00712678","0.0052356","0.00188041","0.0101351","0.0102157","0.0052691","0.0052592","0.0105541","0.00674916","0.00150319","0.00755287","0.00683371","0.005997","0.00487622","0.00414469","0.00300075","0.00114068","0.00301091","0.00644672","0.00187196","0.001514","0.0169492","0.00526118","0.00985595","0.00111193","0.00412603","0.00599027","0.00414781","0.00150773","0.00713481","0.00714017","0.013463","0.00225989","0.00486527","0.00713481","0.0204157","0.00301432"
"GNQ16423","2009","0.00761035","0.0107967","0.012021","0.00862069","0.00492238","0.0243263","0.00754148","0.00339239","0.00488906","0.00564334","0.0101733","0.00371609","0.00832073","0.00603546","0.00980023","0.00375657","0.00609292","0.00755002","0.00566893","0.00149309","0.00708163","0.00453343","0.00857569","0.00596792","0.0147225","0.00757576","0.00376648","0.00563063","0.00112782","0.00909091","0.00450113","0.00223464","0.00341945","0.0071644","0.00931099","0.00225479","0.00300188","0.00447427","0.00372439","0.00374111","0.00151","0.00453686","0.00338346","0.00859813","0.00301205","0.00909435","0.0124622","0.00672143","0.00766284","0.00409378","0.00563698","0.00416825","0.001114","0.00188537","0.00338855","0.0143939","0.00791258","0.00188253","0.00490937","0.00415094","0.00790663","0.0112613","0.00899213","0.00527506","0.00640543","0.00790068","0.00527307","0.00304878","0.00980392","0.00565611","0.00488906","0.00853432","0.00715361","0.00825206","0.00642479","0.00263852","0.0026003","0.00418729","0.00560538","0.00418569","0.0195931","0.00225989","0.00593472","0.00562008","0.00489642","0.00224803","0.00852167","0.00572519","0.00747105","0.00453686","0.00224467","0.00452489","0.00825516","0.00792453","0.00708955","0.00112317","0.00263257","0.00187336","0.00112528","0.00373692","0.00605602","0.00604458","0.00524934","0.0109146","0.0075358","0.00564972","0.00603091","0.011325","0.014383","0.00673905","0","0.00866943","0.00602864","0.00113122","0.00567752","0.00560329","0.0143234","0.00487622","0.00676183","0.00150943","0.00188041","0.00560329","0.0164979","0.00524934","0.00341297","0.00454373","0.00600375","0.00684671","0.00788881","0.00456621","0.00339367","0.00113593","0.00187056","0.00599251","0.00372578","0.00342075","0.0155539","0.0109023","0.00788881","0.0191226","0.0048909","0.00336952","0.00341815","0.00336574","0.00448263","0.00641994","0.00603546","0.00934929","0.000752445","0.00149477","0.00492798","0.00630798","0.0132125","0.0100074","0.000750188","0.00863039","0.00982615","0.00794251","0.0123088","0.00410448","0.00414157","0.00676692","0.00416509","0.00678222","0.00525328","0.00186567","0.00897196","0.00982615","0.00452659","0.00412758","0.00938791","0.00640543","0.00149031","0.00717794","0.00793951","0.00561587","0.00485256","0.00377216","0.00260611","0.00151172","0.00262566","0.00677456","0.00224719","0.00151286","0.0164918","0.00524345","0.0105461","0.00148038","0.00486163","0.00596347","0.00414313","0.00150773","0.00598355","0.00676946","0.0138785","0.00225225","0.00413845","0.00674663","0.0211346","0.0030303"
