"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"KEN54172","2000","0.0219168","0.0119671","0.0246821","0.0160388","0.0111152","0.0159911","0.0149701","0.0164179","0.0200893","0.0100559","0.0121029","0.0107767","0.0177515","0.00374392","0.0119448","0.0103474","0.00631032","0.0104908","0.00854383","0.0182631","0.019245","0.020202","0.0177318","0.0291083","0.0148313","0.00937031","0.0171067","0.0156716","0.0182631","0.0228037","0.0144071","0.00628931","0.004456","0.00112108","0.011473","0.00896861","0.0132425","0.00702923","0.00560119","0.0195356","0.0163873","0.0248307","0.0227019","0.0193022","0.0200371","0.00848395","0.0237918","0.018498","0.0334928","0.0290976","0.00524345","0.025028","0.0214418","0.0170813","0.0154639","0.0141685","0.0246596","0.0285608","0.00815117","0.0190157","0.00442315","0.0219576","0.0340784","0.0127436","0.0207869","0.0134128","0.0201945","0.0225508","0.0110619","0.019666","0.0114054","0.0129774","0.019483","0.0116498","0.0197761","0.0325926","0.0361132","0.016654","0.0148865","0.0109558","0.0134278","0.0085885","0.0144231","0.0134831","0.0298954","0.0171322","0.00563698","0.0212766","0.0173112","0.0108249","0.0310651","0.0129151","0.0253025","0.00971599","0.0118606","0.0144338","0.0260279","0.0261097","0.01065","0.0127008","0.0137342","0.0105263","0.0204994","0.0116105","0.0217953","0.0140637","0.0226429","0.0228464","0.0258972","0.0337331","0.0136415","0.00820283","0.0209268","0.0215134","0.0218785","0.0084777","0.0147929","0.0104167","0.0483217","0.0154982","0.00662495","0.00708163","0.0095941","0.0145903","0.0143752","0.018945","0.0125508","0.0115715","0.0182021","0.0122859","0.00849335","0.0110011","0.0216832","0.0126724","0.0176926","0.00864012","0.0162963","0.0301227","0.010833","0.00743771","0.0208333","0.0203027","0.00667408","0.0245536","0.0170307","0.022929","0.00890538","0.00854066","0.0215533","0.026003","0.00744325","0.0238361","0.0108209","0.0240741","0.0167723","0.0199483","0.0111193","0.0137393","0.0277569","0.0190726","0.0133531","0.0192521","0.0100859","0.0165975","0.0217873","0.028921","0.0147059","0.0144071","0.0085885","0.0433815","0.0121906","0.00407407","0.00668648","0.00965825","0.019963","0.0300222","0.00895522","0.00773766","0.014095","0.0111649","0.0142056","0.00624541","0.0223297","0.0253731","0.0156308","0.00592373","0.0171909","0.0218681","0.017037","0.0168666","0.0108941","0.0163569","0.0110538","0.0122041","0.00811808","0.00736106","0.0241815","0.0262963","0.0193885","0.0148203"
"KEN54172","2001","0.0226682","0.0123549","0.0240783","0.0164363","0.0107687","0.015997","0.0149925","0.017636","0.0208566","0.0108736","0.0120391","0.00934929","0.0175047","0.00410142","0.0111857","0.0100372","0.00711877","0.00970874","0.0093006","0.019432","0.0203327","0.0193741","0.0163023","0.0275837","0.0152587","0.00865312","0.0181886","0.0160868","0.0171963","0.0213803","0.0163387","0.00595238","0.00372717","0.00113037","0.0122177","0.0100521","0.0125523","0.00703704","0.00487622","0.0197466","0.0145197","0.0247934","0.0227188","0.0209033","0.0190157","0.00778066","0.0219412","0.0178174","0.0332963","0.0306612","0.00601052","0.0246085","0.0204309","0.0167162","0.0136885","0.0134178","0.0236599","0.0281426","0.00780669","0.0167598","0.00442315","0.0230827","0.0348496","0.0130354","0.02101","0.013089","0.0183041","0.0230569","0.0107447","0.018128","0.00997414","0.0140845","0.0191226","0.0116061","0.0182292","0.0275811","0.0378198","0.016585","0.0160089","0.0131678","0.0138318","0.0082397","0.015997","0.0128157","0.0291698","0.0172285","0.00490937","0.0231776","0.0169617","0.0108492","0.0337287","0.0133284","0.0264706","0.00970149","0.0133929","0.013368","0.0245006","0.0275195","0.0106932","0.0126441","0.0136986","0.0108696","0.0186498","0.0116148","0.0225759","0.015219","0.0211896","0.0220643","0.0259451","0.0325721","0.0144049","0.00820896","0.0200302","0.021666","0.0229237","0.0074184","0.0162842","0.0107967","0.0444115","0.0177449","0.00663228","0.00821202","0.00885282","0.0160748","0.0130695","0.0205993","0.0118606","0.011194","0.0186776","0.0120618","0.00850906","0.00958702","0.022929","0.0126724","0.0178108","0.00984476","0.0148533","0.031994","0.0108209","0.00707108","0.0216822","0.0206642","0.00595017","0.0244535","0.0171386","0.0241367","0.00856611","0.00818757","0.0216418","0.0275533","0.0078534","0.0215774","0.0107927","0.023394","0.0179171","0.0207638","0.0119003","0.0138214","0.0289474","0.021021","0.0141159","0.0204994","0.0109105","0.0151172","0.0211346","0.0281899","0.0139757","0.0133185","0.00855337","0.0422692","0.0129726","0.00410754","0.00742666","0.0100334","0.0204006","0.0286352","0.00860456","0.00774336","0.0149031","0.0111982","0.0149365","0.00661036","0.0212845","0.0239074","0.0167411","0.00666173","0.0162362","0.0218762","0.0166297","0.0174786","0.01057","0.017145","0.011865","0.0133284","0.00814513","0.00817236","0.0260417","0.0278087","0.018615","0.0149031"
"KEN54172","2002","0.0211503","0.01242","0.0243994","0.016003","0.0111773","0.015596","0.0142536","0.0176891","0.0197614","0.010931","0.0119626","0.00897532","0.0171898","0.00449607","0.0135491","0.00928333","0.00603318","0.00973418","0.0093214","0.0190654","0.0196733","0.0179708","0.0167348","0.0275605","0.0156483","0.00982244","0.0186081","0.0179439","0.019483","0.0212845","0.0175373","0.00670391","0.004858","0.00151057","0.011985","0.00852167","0.0129228","0.00669892","0.00450281","0.0195049","0.0146341","0.0237288","0.023622","0.0209424","0.0197687","0.0074599","0.0219168","0.0197246","0.0298619","0.0304252","0.00560748","0.0246269","0.0203779","0.0175112","0.0137393","0.0137854","0.0214974","0.0282486","0.00814513","0.0174397","0.00442968","0.0219412","0.0328656","0.0130402","0.0204082","0.0131332","0.0187196","0.0228123","0.0112024","0.016679","0.0121951","0.0133235","0.0192018","0.0116541","0.0197761","0.0265222","0.0361266","0.0165165","0.0156483","0.0124341","0.0149142","0.00747384","0.0139045","0.013915","0.0288174","0.015015","0.00564546","0.023221","0.0166236","0.0101504","0.0354767","0.0134078","0.0241187","0.00823353","0.0131086","0.0126582","0.023282","0.0290503","0.0110457","0.0122951","0.0134781","0.0109187","0.0187899","0.0116761","0.0217712","0.0149421","0.0219168","0.0227442","0.025974","0.0319549","0.0132777","0.00928333","0.0192598","0.0200378","0.0236043","0.00973054","0.0133779","0.0105026","0.0443533","0.0174591","0.0059657","0.00707108","0.00927988","0.0160928","0.0153962","0.0204391","0.0126347","0.0108007","0.01693","0.0120527","0.00854066","0.00850592","0.0204233","0.0140845","0.0173368","0.0114329","0.0152587","0.0321375","0.0104244","0.00705795","0.0219282","0.0231171","0.00597015","0.0242086","0.0151","0.0263941","0.00900901","0.00821509","0.0212925","0.0275837","0.00784753","0.0215533","0.0111982","0.0208955","0.0200669","0.0205915","0.0130695","0.0149421","0.0311445","0.0209895","0.0139045","0.0195049","0.0112909","0.0154834","0.0208024","0.0286565","0.013724","0.0130743","0.00824279","0.0446263","0.0126677","0.00484532","0.00747384","0.0105501","0.0204461","0.0268256","0.00749064","0.00708163","0.0145306","0.0112066","0.0142269","0.00631266","0.0225225","0.0221638","0.0160748","0.00595017","0.0133235","0.0207484","0.0152247","0.0168099","0.011257","0.018018","0.0107967","0.0129822","0.00888231","0.0078534","0.0252039","0.0279538","0.0193524","0.0149701"
"KEN54172","2003","0.0204082","0.0128447","0.0245468","0.0160388","0.011236","0.0168099","0.0154251","0.0169619","0.0217636","0.01242","0.0130305","0.00901239","0.0169237","0.0052592","0.0135491","0.00970511","0.00524148","0.0108818","0.0103973","0.0199623","0.0197687","0.0175439","0.0182224","0.0253921","0.0152871","0.00858529","0.0190654","0.0172673","0.0187547","0.0227188","0.0182836","0.00560329","0.00565611","0.00188964","0.0115975","0.00852167","0.0121442","0.00595903","0.00487988","0.0191226","0.015015","0.0218951","0.0230999","0.0206534","0.0194247","0.00789474","0.0227019","0.0205224","0.0323552","0.0293363","0.00563275","0.0253542","0.0229036","0.0191154","0.0134781","0.0134529","0.0208333","0.0290128","0.0085885","0.016123","0.00372717","0.0220396","0.0311226","0.0130548","0.0220231","0.0116673","0.0187547","0.0224888","0.0104244","0.0185805","0.0119003","0.0148976","0.0185395","0.011215","0.0178174","0.027088","0.0352766","0.0153904","0.0160448","0.0132225","0.0156716","0.0060173","0.013089","0.0138681","0.0282061","0.0149925","0.0056243","0.0228893","0.0154469","0.0101351","0.0348054","0.0120075","0.0243082","0.00751597","0.0134882","0.0126206","0.0229669","0.0265321","0.010713","0.0130597","0.0120075","0.0109517","0.0204778","0.0116629","0.022997","0.0145522","0.0212607","0.0216985","0.0253542","0.0332201","0.0132075","0.00895857","0.0185606","0.0200454","0.0223881","0.00980762","0.0126677","0.0101199","0.0452675","0.017145","0.00595903","0.00780089","0.00896191","0.0168919","0.014717","0.0194903","0.0118343","0.0112275","0.0135034","0.0127724","0.00815721","0.00893189","0.0220478","0.0147929","0.0192807","0.0106061","0.0141474","0.0321616","0.0108209","0.00706845","0.0226672","0.0217473","0.00633855","0.0248516","0.0151918","0.0241187","0.00941265","0.00898876","0.0210289","0.0290869","0.00855655","0.0205454","0.0105026","0.0222883","0.0185529","0.0191226","0.0126677","0.0150094","0.0283126","0.0210685","0.0128253","0.0183865","0.0109228","0.0139887","0.0216337","0.026552","0.0137751","0.0127389","0.00751315","0.040571","0.0130112","0.00446761","0.00825206","0.00980392","0.0220478","0.0262369","0.00710812","0.00821202","0.0138837","0.0115284","0.0119581","0.00633147","0.0225056","0.0228721","0.0176228","0.00594133","0.0134328","0.0207947","0.0156541","0.0177225","0.0104948","0.0172285","0.0105145","0.0127008","0.00821509","0.00780669","0.023525","0.0306199","0.0178571","0.0142965"
"KEN54172","2004","0.0211738","0.0124247","0.0230973","0.0152814","0.0113037","0.0168729","0.0132075","0.0173782","0.0213803","0.0127964","0.0104751","0.0094162","0.0169619","0.00482912","0.0135695","0.00940911","0.0045062","0.0104987","0.0112191","0.0184697","0.0208877","0.0164547","0.0172478","0.0247376","0.0139045","0.00825206","0.0182972","0.0154484","0.0188111","0.0234987","0.0198205","0.00562641","0.00605144","0.00227704","0.0127436","0.0078534","0.0121258","0.00598802","0.00490011","0.0188111","0.0158014","0.0209046","0.0255255","0.0196375","0.0205607","0.00676946","0.0226597","0.0187547","0.0329171","0.0288355","0.00489642","0.0260999","0.0257175","0.018797","0.0128983","0.0131086","0.0198353","0.0282699","0.00789771","0.0173128","0.00375094","0.0220974","0.0315789","0.0134579","0.0199623","0.0109064","0.0202779","0.0203543","0.0119048","0.0172027","0.0123781","0.0157303","0.0184766","0.0115801","0.0164363","0.0273141","0.0364042","0.0146122","0.0172091","0.0142911","0.0152643","0.00491679","0.0146506","0.012758","0.0269461","0.0147003","0.00560119","0.0202551","0.016918","0.00937031","0.0359013","0.0116673","0.0247934","0.00755858","0.0135338","0.013373","0.022855","0.025103","0.0107847","0.0127008","0.0132475","0.0116717","0.0199849","0.010574","0.0227527","0.0146506","0.0220478","0.0228893","0.0236398","0.0336994","0.0124528","0.00894188","0.0185606","0.0212202","0.0239431","0.0102157","0.0127293","0.0100596","0.0462687","0.0183727","0.00566038","0.00750469","0.00938438","0.0166163","0.0132576","0.0210843","0.0130112","0.01208","0.0146561","0.0130939","0.00741565","0.00858209","0.021731","0.0159792","0.0190015","0.0113679","0.0145794","0.0302691","0.00973418","0.00597907","0.0237557","0.0224972","0.0071161","0.0246177","0.0162081","0.0253448","0.00907716","0.00942329","0.0221888","0.0332594","0.00784167","0.0157539","0.0104673","0.0224972","0.0200371","0.019137","0.0137751","0.0154251","0.0290128","0.0207469","0.0117647","0.0203084","0.011215","0.0148064","0.0209424","0.0263158","0.0145903","0.0135491","0.00680787","0.0427447","0.0138473","0.004858","0.0093668","0.00944822","0.0204385","0.0265554","0.00672897","0.00825206","0.0127964","0.0115888","0.0115931","0.00715631","0.0224803","0.0225479","0.0183934","0.00484352","0.0138266","0.0204994","0.0142911","0.0169811","0.011194","0.0187406","0.0105342","0.012003","0.00783875","0.00822123","0.0238806","0.0301339","0.0194175","0.013544"
"KEN54172","2005","0.0204994","0.0131827","0.0239817","0.0146561","0.0110015","0.0172543","0.0135338","0.0166604","0.020794","0.0128642","0.0097561","0.0102118","0.0159151","0.00482554","0.0124764","0.00901578","0.00450789","0.0112191","0.01089","0.0195636","0.0201568","0.0169109","0.0176294","0.0255735","0.0143776","0.00863039","0.0186846","0.0146837","0.0184627","0.0220396","0.0199473","0.00564759","0.0056926","0.00228397","0.0135338","0.00861423","0.0120755","0.00602864","0.00529701","0.0218127","0.0153616","0.0202522","0.023997","0.0195857","0.0172285","0.00832073","0.0230655","0.0210131","0.0344697","0.0281586","0.0060241","0.0284218","0.0266717","0.0204236","0.0136519","0.0123549","0.0203697","0.0297552","0.00753864","0.0161654","0.00376506","0.0228379","0.0323917","0.0141316","0.0195931","0.0108452","0.0190583","0.0226929","0.011976","0.0164547","0.0124858","0.0149142","0.0173782","0.0131086","0.0164794","0.0261959","0.0350224","0.0142056","0.0157186","0.0147448","0.016129","0.00607672","0.0143667","0.012012","0.0270169","0.0146451","0.00595903","0.0201869","0.0156833","0.00977076","0.0336952","0.012392","0.0249622","0.00757002","0.0135542","0.0139517","0.0228893","0.0246177","0.00933532","0.012715","0.0124575","0.0123549","0.0193548","0.0109475","0.023569","0.01546","0.023221","0.0228893","0.0254873","0.0339111","0.0128739","0.0089955","0.0201368","0.0205401","0.0243902","0.0106748","0.0108169","0.00746826","0.0454038","0.0172349","0.0060423","0.00869565","0.0086858","0.0147114","0.0144322","0.0203927","0.0104439","0.0125142","0.0154367","0.011976","0.00821202","0.00830189","0.0217718","0.0138681","0.0176228","0.012112","0.0138629","0.0301432","0.00930406","0.0060015","0.023702","0.022239","0.00787106","0.023525","0.0165476","0.0254301","0.00866616","0.00825826","0.0203237","0.032127","0.00749906","0.0161351","0.0100935","0.0214205","0.0216741","0.0198651","0.0134933","0.0150659","0.0282912","0.0199849","0.0117871","0.0200151","0.0108492","0.0147337","0.0216985","0.0272418","0.0141791","0.01359","0.00681818","0.0402685","0.0142803","0.00520253","0.0090566","0.00831758","0.0201945","0.0267074","0.00711078","0.00868908","0.0120527","0.0120527","0.0120075","0.00752729","0.0229582","0.0223881","0.0179305","0.00413378","0.0157895","0.0211817","0.0128837","0.0161654","0.0112697","0.0187829","0.0117114","0.0138993","0.00821202","0.00904977","0.0258621","0.030506","0.0196733","0.0139202"
"KEN54172","2006","0.0208178","0.015083","0.0226757","0.0157303","0.011056","0.0157009","0.0115758","0.0170068","0.02207","0.0124153","0.0116761","0.00940557","0.0170455","0.00522583","0.0129327","0.00863039","0.00376648","0.0104751","0.0135287","0.0195783","0.0184419","0.0188893","0.0172608","0.0278614","0.0139939","0.00898204","0.016835","0.0183315","0.0207626","0.0212607","0.0180113","0.00449438","0.00607211","0.00263852","0.0143613","0.00937734","0.0119314","0.00608365","0.00452318","0.0194976","0.0146396","0.0203065","0.0225225","0.0195049","0.0169109","0.00988217","0.0224467","0.0212528","0.0330171","0.0280754","0.00638858","0.0288606","0.0260377","0.020857","0.0140524","0.0138318","0.0211002","0.0308039","0.00937734","0.0165289","0.00340651","0.024024","0.0294229","0.0129534","0.0208967","0.00929023","0.0186637","0.0215176","0.010483","0.0183109","0.0117247","0.0179104","0.0165414","0.0124014","0.0162325","0.0266362","0.0348576","0.0139045","0.0153558","0.0147783","0.0164918","0.00417616","0.0147337","0.0131234","0.0278091","0.0147003","0.00708163","0.0194757","0.014892","0.0112528","0.0303598","0.0108736","0.0252354","0.0075643","0.0134933","0.0158073","0.0222558","0.0249534","0.00969787","0.0142003","0.0132026","0.0120075","0.0170584","0.0113422","0.023783","0.0146948","0.0232123","0.0233434","0.025103","0.0321483","0.0124858","0.00869894","0.019238","0.021978","0.0220643","0.0095057","0.00969064","0.0071161","0.0434132","0.0165538","0.00569476","0.00754432","0.00904295","0.0151","0.013544","0.0203774","0.0127772","0.0121812","0.0132225","0.0116192","0.00933184","0.00910816","0.0217473","0.0126771","0.0173323","0.0120482","0.0150376","0.0298001","0.00969426","0.00639098","0.0238275","0.0218127","0.00755002","0.024024","0.0168539","0.0238895","0.00984476","0.00897532","0.0200378","0.0334335","0.00673401","0.0161472","0.0116454","0.0213723","0.0243446","0.0197909","0.0142003","0.0153386","0.0288097","0.0197909","0.0117424","0.0198874","0.0104517","0.0128593","0.0231603","0.026475","0.0130988","0.0135491","0.00687285","0.0404343","0.0146506","0.00554529","0.0086629","0.00908059","0.0205377","0.0253788","0.00714017","0.00949487","0.0105303","0.0116235","0.0142803","0.00677966","0.0226415","0.0225479","0.0195195","0.00488538","0.0142482","0.0227867","0.013313","0.0162817","0.0104556","0.0203543","0.0120301","0.0139465","0.00934929","0.0093668","0.0251785","0.0305628","0.0200669","0.0127676"
"KEN54172","2007","0.0211738","0.0153846","0.0226843","0.0151057","0.00947688","0.0161109","0.0108249","0.0173389","0.0216073","0.0131876","0.0120482","0.00900563","0.0181064","0.00559284","0.0109064","0.00865638","0.00412448","0.00972326","0.0127532","0.0192163","0.0198651","0.0206612","0.0169237","0.027423","0.0144542","0.00862392","0.0175242","0.0172349","0.0215013","0.0201042","0.0173389","0.00486709","0.00605831","0.00301318","0.0135287","0.0112867","0.0114943","0.00530906","0.00418092","0.0197909","0.0134781","0.0202445","0.0220561","0.0171494","0.0166289","0.0102584","0.0214286","0.0224467","0.0347301","0.0279122","0.00643452","0.0287879","0.0261265","0.0189394","0.0152672","0.0146122","0.0207704","0.0294886","0.00867925","0.0169619","0.00415879","0.0245006","0.0290019","0.013724","0.0212282","0.00817844","0.0179506","0.0216073","0.010586","0.0191011","0.0113809","0.0183865","0.0188537","0.0126347","0.0169046","0.0251237","0.0322702","0.0135084","0.0156951","0.0147281","0.0169109","0.00457491","0.0142857","0.0123503","0.0265321","0.0151057","0.00746547","0.0192453","0.0146396","0.0127772","0.0308155","0.011257","0.0241145","0.00798783","0.0134579","0.0154542","0.0212041","0.0235867","0.00940557","0.0144766","0.0137905","0.0116235","0.01693","0.00987092","0.0253921","0.013936","0.0220231","0.0232908","0.0254586","0.0327684","0.0121581","0.00795153","0.0206922","0.0219531","0.0217718","0.0093985","0.00964392","0.00710812","0.043152","0.0154426","0.00563275","0.00869565","0.00977076","0.014345","0.0131728","0.0209033","0.0116893","0.0118005","0.0134731","0.0113165","0.0097561","0.010594","0.0201869","0.0120301","0.0195477","0.0116541","0.0158311","0.0296435","0.0109187","0.0060015","0.0229496","0.0224972","0.00678989","0.0243628","0.0186081","0.0242447","0.00866943","0.00909435","0.0200378","0.031871","0.00639819","0.015855","0.012012","0.0202171","0.0209816","0.0179238","0.013915","0.0159696","0.0264951","0.0190726","0.0124622","0.0205761","0.0101237","0.0129228","0.0226935","0.0268026","0.0138008","0.0135034","0.00724361","0.041651","0.0143667","0.00485437","0.00899888","0.00902595","0.0201493","0.0236842","0.00677711","0.0105303","0.0109393","0.0109105","0.013463","0.00749344","0.0240511","0.0213643","0.0182836","0.00486345","0.0127008","0.0232733","0.0129623","0.0125428","0.0112402","0.0196152","0.011325","0.0143126","0.00790068","0.00897196","0.0224888","0.0296406","0.019037","0.013089"
"KEN54172","2008","0.0235955","0.0153788","0.0230189","0.0157303","0.00942685","0.0165227","0.0104634","0.0184349","0.0209364","0.0128447","0.0117335","0.00976342","0.0178098","0.00562219","0.0108655","0.00900563","0.00339623","0.0093668","0.013153","0.0170778","0.0189944","0.0207469","0.0147281","0.0251219","0.0148176","0.00905319","0.0164363","0.0179305","0.0230102","0.0205607","0.0162448","0.00486891","0.00646634","0.00301773","0.012392","0.0109932","0.0107407","0.00492051","0.00454718","0.0193669","0.0145577","0.0206501","0.0205761","0.0163623","0.016325","0.0116937","0.0206922","0.0232558","0.034172","0.0299065","0.00605144","0.0242149","0.0223654","0.0182163","0.0164185","0.0146727","0.021188","0.0299738","0.00830502","0.0165041","0.00338346","0.0233522","0.0299016","0.0144659","0.0197568","0.00743218","0.0184627","0.0211161","0.0095057","0.0171898","0.0110182","0.0178771","0.0176096","0.0127436","0.0174242","0.0253596","0.0311328","0.0131234","0.0168476","0.0131777","0.017636","0.00458716","0.0127772","0.0116061","0.0273204","0.0147671","0.00710812","0.0172802","0.0139992","0.0113379","0.0274333","0.0108492","0.0207547","0.00794552","0.0127246","0.0151057","0.0192963","0.0228464","0.0105303","0.0125415","0.0135084","0.0104361","0.0160089","0.00980392","0.0253826","0.0146727","0.022338","0.0224299","0.0255064","0.0329341","0.0121212","0.00722708","0.021021","0.0215176","0.0184557","0.00934929","0.00970874","0.00745434","0.0435926","0.0138733","0.00563486","0.00868252","0.0105145","0.0128642","0.0105422","0.0203084","0.0121998","0.0113852","0.012758","0.0112994","0.0090566","0.0102467","0.0186428","0.0116761","0.0190767","0.0109932","0.0153731","0.0296881","0.0108859","0.00637181","0.0198131","0.0224719","0.00604915","0.0237288","0.0185185","0.0235955","0.00906002","0.0086727","0.0208729","0.0289583","0.00793351","0.0150659","0.0134882","0.0194393","0.0191226","0.0182768","0.0131926","0.0171625","0.0251407","0.019483","0.0131628","0.0202779","0.0101086","0.0113679","0.0230141","0.0247748","0.0122997","0.0145849","0.00684411","0.0391499","0.0140845","0.00409378","0.00860456","0.00944822","0.0202323","0.0233346","0.00598578","0.011355","0.0113336","0.00946611","0.012715","0.00753012","0.0221139","0.0209738","0.0171386","0.00527903","0.0115888","0.0225649","0.0114286","0.0113037","0.0115931","0.0185606","0.0101161","0.0154077","0.00751597","0.00931793","0.0217066","0.0271577","0.0202475","0.0127341"
"KEN54172","2009","0.0209659","0.0147615","0.0212443","0.0142429","0.00940557","0.0168224","0.0114985","0.0169428","0.0185817","0.01359","0.0113422","0.00867597","0.0189609","0.00567108","0.0104869","0.00897196","0.00303145","0.00971963","0.0135186","0.0167875","0.0209189","0.0224803","0.015548","0.0243082","0.0140205","0.00940911","0.0160508","0.0179038","0.0226586","0.0194684","0.0151458","0.00556586","0.0068156","0.00338473","0.0132125","0.010594","0.0107169","0.00491679","0.00528103","0.0183727","0.0141316","0.0212121","0.019037","0.0159151","0.01783","0.0120165","0.021542","0.0229065","0.0338473","0.03138","0.00567752","0.0239362","0.0202627","0.0173847","0.0167747","0.0145685","0.0205167","0.0284218","0.00757002","0.0161169","0.00376364","0.0227015","0.0266817","0.0138318","0.0191298","0.00628466","0.0180791","0.0206534","0.0107157","0.0167785","0.0117916","0.0186776","0.017222","0.0119985","0.0162387","0.0259204","0.0319549","0.0126913","0.0149925","0.0139307","0.0173193","0.00455927","0.0131579","0.00935979","0.026296","0.0140205","0.00712678","0.0157717","0.0144267","0.0113293","0.0270068","0.0104908","0.0188182","0.00900225","0.012715","0.0143559","0.0171494","0.0257655","0.0113422","0.0117345","0.0135186","0.0107927","0.0152814","0.00974148","0.0239431","0.0139202","0.0237653","0.0213084","0.025833","0.0344698","0.0121166","0.00646142","0.0222222","0.0207","0.0193036","0.00820589","0.0093633","0.00714017","0.0449735","0.0142857","0.00488722","0.00904636","0.0104751","0.0128399","0.0124341","0.0202855","0.0114112","0.0117469","0.0142056","0.0105501","0.00984103","0.0114025","0.0170877","0.0117202","0.0186312","0.0113208","0.0164732","0.0293564","0.0120664","0.00632205","0.0198353","0.0225904","0.00640301","0.0248775","0.0178838","0.0228464","0.0086858","0.00787697","0.0199774","0.0256507","0.00714554","0.0139517","0.0139098","0.0179238","0.0169619","0.0171834","0.0143126","0.0167491","0.0255064","0.0171898","0.012003","0.0201794","0.0105184","0.0120846","0.0237301","0.023622","0.0134278","0.0142216","0.00683112","0.0367316","0.0147114","0.00447594","0.00789177","0.00938791","0.0177358","0.0261389","0.0056391","0.0102118","0.0105541","0.00791855","0.0112655","0.00716711","0.0221388","0.0201945","0.0167224","0.00415722","0.011641","0.0207156","0.011355","0.00939496","0.0089955","0.0189179","0.012012","0.0142803","0.00754432","0.01044","0.0208018","0.0268857","0.0205377","0.0138473"
