"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"LBR26832","2000","0.03429","0.0539033","0.0505576","0.0370508","0.0730441","0.0477434","0.0402104","0.0677335","0.0413742","0.0461885","0.0236664","0.0302239","0.0413895","0.0403704","0.0383756","0.0415584","0.0375744","0.0415276","0.0374813","0.0839497","0.032318","0.0343526","0.0344449","0.0611418","0.0563643","0.0615271","0.0578142","0.0517241","0.0258589","0.0397152","0.0368732","0.0450484","0.0310881","0.0461481","0.0351852","0.026238","0.0572391","0.0391061","0.0358476","0.0387311","0.0357802","0.0366766","0.0691589","0.0714553","0.0529851","0.0521027","0.0674282","0.0514243","0.0507484","0.0508662","0.0242915","0.0247598","0.0425132","0.0447761","0.0352505","0.04472","0.0531365","0.0381906","0.0327869","0.0438695","0.0434944","0.0543037","0.028921","0.0376585","0.0452187","0.0341373","0.0420231","0.0496639","0.0457419","0.113755","0.0835509","0.0324506","0.0651526","0.0397004","0.0292809","0.0336197","0.0896577","0.0930582","0.0511194","0.0410655","0.0538944","0.0442113","0.079702","0.0357942","0.045977","0.0533383","0.0465376","0.0419295","0.0502773","0.0490775","0.0511576","0.041698","0.0549005","0.0538833","0.0415893","0.0431869","0.0450484","0.0391791","0.0529061","0.049701","0.0321135","0.0325685","0.032127","0.056962","0.0418066","0.0599556","0.0531561","0.031793","0.03367","0.0249816","0.0497956","0.0487351","0.0591738","0.0336323","0.0577141","0.0773744","0.0881481","0.032318","0.0302465","0.0333457","0.0355161","0.0408163","0.0184026","0.0485545","0.0396443","0.0577496","0.0685034","0.0356745","0.0407934","0.134218","0.0330855","0.0374449","0.0486345","0.0577281","0.0461255","0.0447651","0.0273669","0.0426168","0.0704486","0.109692","0.046503","0.0364104","0.0312147","0.0402085","0.0586697","0.0351139","0.0295203","0.0270571","0.0395315","0.0352635","0.0617515","0.0338542","0.0353423","0.0797317","0.0501859","0.0464166","0.0445526","0.0345725","0.0630299","0.0321865","0.0762082","0.0664697","0.0520253","0.0637346","0.0418379","0.0435268","0.0419272","0.043446","0.0301915","0.0582128","0.0415122","0.0300668","0.066642","0.0374768","0.0618785","0.041682","0.0425611","0.023845","0.0476012","0.050479","0.0365449","0.051885","0.0353982","0.0484234","0.0409292","0.0292376","0.0425056","0.0507972","0.04537","0.0325112","0.0334324","0.0486266","0.0533927","0.028921","0.0422692","0.0480947","0.0534035","0.0406413","0.0324385","0.0314582"
"LBR26832","2001","0.0343156","0.0549165","0.0542348","0.0404603","0.0693106","0.0486527","0.0420736","0.0678345","0.0403704","0.0461712","0.0236753","0.0290936","0.0409292","0.04207","0.0401636","0.037449","0.0374532","0.0404494","0.0388386","0.0845438","0.0315985","0.0341977","0.0315365","0.0610433","0.0543762","0.0611338","0.0575271","0.0509554","0.0258398","0.039267","0.0431575","0.0438173","0.0293462","0.0443787","0.0398377","0.025307","0.0529456","0.0385623","0.0372601","0.0356215","0.0354636","0.0387073","0.0699926","0.0730798","0.054044","0.0522973","0.0711652","0.0567087","0.0502015","0.051263","0.0250184","0.0259355","0.0423121","0.0451661","0.0356083","0.0458819","0.0561338","0.0351722","0.0348924","0.0432997","0.04456","0.0496113","0.0272795","0.0360863","0.0462859","0.0337162","0.0412603","0.0516537","0.044586","0.113797","0.0803605","0.0319821","0.0627803","0.035982","0.0305742","0.0344828","0.0923077","0.0897147","0.0499255","0.0472822","0.0571641","0.0433645","0.0751488","0.0365535","0.049369","0.0538922","0.0444196","0.0401487","0.0486266","0.0524554","0.0507652","0.039508","0.0512159","0.0558451","0.0436404","0.0441782","0.0455734","0.0389222","0.0556801","0.0482291","0.0321736","0.031192","0.030924","0.052138","0.0423477","0.0623134","0.052476","0.031192","0.0328236","0.0250645","0.0522583","0.0482784","0.0589339","0.0321736","0.0584685","0.0817378","0.0872158","0.0333828","0.0296658","0.0359526","0.0362963","0.04012","0.0199557","0.0498141","0.0444939","0.0544243","0.068488","0.0352324","0.0409091","0.132152","0.0307116","0.0386029","0.0482784","0.0583396","0.0469675","0.0458613","0.0297287","0.0402256","0.0667917","0.114903","0.0489171","0.0388457","0.0338473","0.0394052","0.0564697","0.035272","0.0299778","0.0275503","0.0430305","0.0343668","0.063197","0.0328603","0.0327016","0.0780433","0.0530445","0.0451156","0.044403","0.0322339","0.0621742","0.0315985","0.0828646","0.0619436","0.0518077","0.0597461","0.0408546","0.0428305","0.0394199","0.043203","0.0314931","0.0559466","0.0374768","0.0294447","0.0652742","0.0364583","0.0597181","0.0421286","0.0408922","0.0234114","0.0488722","0.0500928","0.0357934","0.0492721","0.0359526","0.0452506","0.0403405","0.0307294","0.0427668","0.0495714","0.0435106","0.0336574","0.0330609","0.0470325","0.0572491","0.0291728","0.04131","0.0452522","0.0529851","0.0373832","0.0321255","0.0331101"
"LBR26832","2002","0.0328113","0.0503145","0.0590875","0.0437685","0.0685841","0.0475651","0.0430351","0.0681734","0.0414815","0.0511767","0.0221222","0.0289425","0.0421642","0.0414781","0.0400891","0.0381737","0.0387801","0.0448211","0.039104","0.0824588","0.0307521","0.0358085","0.0319735","0.0643841","0.0561756","0.0612169","0.0571963","0.0478863","0.0280164","0.0399254","0.0431708","0.0446097","0.0300668","0.045793","0.040702","0.0266117","0.0540135","0.035795","0.0371212","0.0358209","0.0346498","0.0377501","0.0682159","0.073316","0.0482017","0.0530643","0.0713489","0.0540238","0.0494465","0.0492905","0.0230655","0.0264629","0.041966","0.0452844","0.0363097","0.0469572","0.0532787","0.0330978","0.0343935","0.0436583","0.0430067","0.0507784","0.0281426","0.0352374","0.0511663","0.0343284","0.0392898","0.0504108","0.0440346","0.114662","0.0787491","0.0305856","0.058427","0.0381564","0.0309201","0.0322097","0.0929354","0.0854347","0.0502419","0.0496269","0.0558243","0.0416357","0.0738381","0.0352766","0.0504264","0.0555764","0.0440792","0.0402235","0.04858","0.0507463","0.0465896","0.0394786","0.052847","0.0555967","0.042117","0.0455916","0.0461019","0.0403013","0.054437","0.0517824","0.0302126","0.0303591","0.0319069","0.0506757","0.0403437","0.0628486","0.0507407","0.030878","0.0294447","0.0245353","0.050524","0.0470102","0.0619602","0.0309933","0.0584685","0.0824399","0.088015","0.0348277","0.0292573","0.0349833","0.0390625","0.0421687","0.0201568","0.049963","0.0437523","0.052787","0.0664914","0.0343412","0.0418092","0.130499","0.0311094","0.0380495","0.045674","0.0605834","0.0471733","0.0425373","0.0304946","0.0387655","0.0677966","0.114015","0.0513686","0.0399552","0.0339426","0.0423477","0.0546816","0.0357681","0.030901","0.03054","0.0444115","0.0322944","0.0633383","0.0326209","0.031622","0.0747558","0.0574756","0.0472618","0.0438531","0.0351341","0.0626165","0.0367347","0.0848986","0.0652012","0.0506895","0.060423","0.0416354","0.0416202","0.0379182","0.0431227","0.0301581","0.0603034","0.0367893","0.0317995","0.0637659","0.0376725","0.064408","0.0413589","0.0386186","0.0242266","0.047081","0.0480984","0.0385471","0.0467395","0.0376304","0.0463378","0.0386761","0.032354","0.0436404","0.0462687","0.0443203","0.0336826","0.0324022","0.0462754","0.0572065","0.0290611","0.0403587","0.0469848","0.0531599","0.0388205","0.034006","0.033358"
"LBR26832","2003","0.031355","0.048717","0.0585602","0.0470325","0.0680725","0.0473506","0.0431655","0.0686094","0.0434944","0.0502045","0.0236398","0.0296187","0.0392523","0.0403165","0.038806","0.0369532","0.0379699","0.0458819","0.0393046","0.0875611","0.031192","0.0372624","0.0287823","0.0646729","0.0552239","0.064686","0.0601419","0.04803","0.0310861","0.0393553","0.0427987","0.043673","0.0289039","0.0450988","0.0380171","0.0274539","0.0529677","0.0343396","0.0388093","0.0341079","0.0339879","0.0388093","0.067441","0.0743369","0.047566","0.051215","0.07009","0.0539836","0.0526902","0.0503949","0.0231085","0.025307","0.0410023","0.0441782","0.0344955","0.0468101","0.0532034","0.0329465","0.0329874","0.0425452","0.0425214","0.0484894","0.0289474","0.0345982","0.0569596","0.0342772","0.0411631","0.0516537","0.0418237","0.118328","0.0784018","0.0317995","0.0608565","0.0380988","0.0312265","0.0326945","0.0931465","0.0859081","0.0541449","0.0549327","0.0546875","0.0414488","0.0740187","0.0376444","0.0495714","0.0544908","0.0443442","0.0418535","0.0474057","0.0517629","0.0485437","0.0384615","0.0536113","0.0543155","0.0414953","0.0460725","0.0429907","0.0392082","0.0494976","0.0505997","0.028006","0.0294118","0.0329218","0.0505429","0.039567","0.0594208","0.0509745","0.0334821","0.0306428","0.025622","0.051666","0.0452318","0.0603675","0.0285502","0.0581571","0.082562","0.0851782","0.0348148","0.0283126","0.0343156","0.0375744","0.0443442","0.0187617","0.0477955","0.0425612","0.0533677","0.0665918","0.0342492","0.0409401","0.130015","0.033033","0.038777","0.0459298","0.0574972","0.0504108","0.043462","0.0304168","0.0347695","0.0655055","0.114025","0.0519187","0.0408852","0.0374074","0.0392523","0.0565056","0.0354449","0.030924","0.0295659","0.043203","0.0336826","0.0651526","0.0325843","0.0309817","0.0734082","0.0551388","0.0479607","0.0427868","0.0323194","0.0608436","0.0348706","0.0945946","0.0643825","0.0509862","0.0541985","0.0425532","0.039077","0.0389367","0.0432513","0.0272761","0.0639793","0.0349053","0.0285178","0.0633245","0.0354742","0.0632205","0.0429104","0.0395856","0.0257175","0.0464593","0.0471028","0.0377006","0.0450958","0.0436418","0.0471243","0.0385047","0.0319069","0.043997","0.0478326","0.042338","0.0343412","0.0325234","0.0482109","0.0548098","0.0295217","0.0424812","0.0447816","0.0530219","0.0372578","0.0353782","0.0327381"
"LBR26832","2004","0.0322461","0.047513","0.0586466","0.0483092","0.0666418","0.0472769","0.0446631","0.0674779","0.0429746","0.0509483","0.0239611","0.0286033","0.0443442","0.0387947","0.0403738","0.0365624","0.0391861","0.0446697","0.039104","0.0858872","0.0321977","0.0369665","0.0304267","0.063253","0.0543964","0.0633007","0.0613936","0.0494567","0.0306818","0.040135","0.0398362","0.0452318","0.028991","0.0463725","0.0369817","0.026742","0.0533835","0.0334712","0.0383459","0.0339552","0.0333333","0.0400151","0.0651685","0.0741431","0.0488171","0.0519187","0.0682581","0.0607196","0.0497956","0.0535849","0.0236398","0.026178","0.0395928","0.0447427","0.0324723","0.04468","0.0520599","0.0372741","0.0326652","0.0401059","0.0402534","0.0451493","0.0316384","0.0336574","0.056354","0.0337079","0.039548","0.0505997","0.0407393","0.111692","0.0776772","0.0311094","0.0600907","0.0351607","0.031758","0.0315552","0.094304","0.0821092","0.0569288","0.0518213","0.053104","0.0442279","0.0708661","0.0357412","0.0494567","0.0537796","0.0441676","0.0426009","0.0512048","0.0500942","0.0446194","0.0369951","0.0533136","0.0555139","0.0420736","0.0466341","0.0428894","0.0390299","0.0525531","0.0476906","0.0284218","0.0287421","0.0339806","0.0483146","0.0434457","0.0586687","0.0506567","0.034354","0.0309817","0.0253731","0.050357","0.0417764","0.0575701","0.0260126","0.0570242","0.0819733","0.084803","0.0338668","0.0291556","0.0362752","0.0381879","0.0469572","0.0196375","0.0484647","0.0424652","0.0567297","0.0656716","0.0364525","0.043693","0.133083","0.0339623","0.0350679","0.0479911","0.0586907","0.0495529","0.0453863","0.0281262","0.0342466","0.0670201","0.109719","0.0535781","0.0424174","0.0362426","0.0406168","0.0541854","0.0347924","0.0318591","0.0319789","0.043152","0.0332214","0.0613543","0.0356875","0.0344054","0.0734357","0.0553881","0.045951","0.0413349","0.0364465","0.0585602","0.0353516","0.0887218","0.0639183","0.0481703","0.0535511","0.0447928","0.0372856","0.0400151","0.0455224","0.0246414","0.0638536","0.0364719","0.0286992","0.0624295","0.0362127","0.0637346","0.0440463","0.0388205","0.0268057","0.0432997","0.0475477","0.0403286","0.0443276","0.042344","0.0501859","0.0401652","0.0328178","0.0431034","0.04858","0.0426898","0.0338473","0.0321726","0.0494297","0.0564217","0.0295659","0.0414469","0.0487351","0.0518657","0.035982","0.0365073","0.0344569"
"LBR26832","2005","0.0325234","0.0471733","0.0590004","0.0525727","0.0663684","0.0476735","0.0408781","0.0690167","0.0417136","0.0512725","0.0236309","0.0286778","0.0435771","0.0417922","0.0403437","0.0358761","0.0371212","0.0467395","0.0399848","0.0847458","0.0334712","0.0367982","0.0286778","0.0599925","0.0525727","0.0639667","0.0604458","0.0464339","0.0331429","0.0383603","0.0408466","0.0454716","0.0275992","0.0476369","0.0343668","0.0260181","0.0543601","0.0335722","0.0375","0.0356205","0.0337633","0.0414157","0.0691989","0.0731343","0.0483932","0.0498866","0.0696798","0.0622877","0.0499624","0.0529902","0.0230798","0.0260279","0.0413223","0.0430067","0.0315399","0.0413819","0.0532433","0.0373444","0.0320298","0.0421528","0.042338","0.0472795","0.0325721","0.0328054","0.0576923","0.0341079","0.0392009","0.0506567","0.0399247","0.114779","0.0826446","0.0263356","0.0600076","0.0337249","0.0328798","0.0325265","0.093975","0.0768357","0.0613012","0.0557218","0.0524133","0.0445451","0.0670181","0.0363705","0.0480984","0.051147","0.040515","0.0437383","0.0493171","0.0472021","0.0425214","0.0350679","0.0503168","0.055409","0.0413689","0.0491679","0.0403469","0.0394089","0.0546407","0.0469043","0.0283265","0.0274849","0.0353916","0.0486891","0.0417922","0.059752","0.0495836","0.0364525","0.0299513","0.0276739","0.0525321","0.0406627","0.0561587","0.0265719","0.0552381","0.0844912","0.085961","0.0334697","0.0292109","0.0364388","0.0396675","0.0460204","0.0196672","0.0487625","0.0452659","0.0544776","0.062872","0.0359281","0.0409491","0.128886","0.0335849","0.0359848","0.044927","0.0577358","0.0520404","0.0448211","0.0267278","0.0341815","0.0618831","0.105363","0.0535581","0.0392453","0.0364042","0.038824","0.0578142","0.0339426","0.0316981","0.0330951","0.0442445","0.0329218","0.0630394","0.0346125","0.036131","0.0699588","0.0562052","0.0475831","0.0401667","0.0386364","0.0634565","0.0348968","0.0907029","0.0621448","0.0491254","0.051106","0.0434946","0.0340952","0.0365073","0.0435106","0.0244626","0.066991","0.0358209","0.0277675","0.0582892","0.0345475","0.063154","0.0452844","0.0372041","0.0256696","0.047138","0.0500753","0.040678","0.0441782","0.0430839","0.0497754","0.0386927","0.0343267","0.0420736","0.0495495","0.0415879","0.0343526","0.0341945","0.0480733","0.054437","0.0288822","0.0404996","0.0448096","0.0526902","0.0385196","0.0385196","0.0334461"
"LBR26832","2006","0.0317046","0.0486609","0.0597969","0.0506947","0.0654206","0.0473844","0.0399247","0.0675074","0.0427767","0.0530049","0.0247655","0.0278707","0.0412879","0.0419818","0.0390537","0.0381708","0.0361718","0.0473506","0.0387391","0.0844595","0.0324284","0.0365019","0.028006","0.0571214","0.0547637","0.0632097","0.0612014","0.0464246","0.032418","0.0381708","0.0375744","0.0455401","0.0281955","0.0495649","0.0334712","0.0259594","0.0541052","0.0325843","0.0385925","0.0341463","0.033105","0.0420736","0.0654559","0.0719318","0.0504708","0.0514844","0.069225","0.0628292","0.0518992","0.0534437","0.0235205","0.0259594","0.0395034","0.0415419","0.0313433","0.0415565","0.0574841","0.0355388","0.0319821","0.0417764","0.0423063","0.0471733","0.0317995","0.0345351","0.0573585","0.0326209","0.0386492","0.0500565","0.0382166","0.124249","0.0812126","0.0276201","0.0610399","0.0302001","0.0304168","0.0318907","0.0964945","0.0745201","0.0611403","0.0549122","0.0524117","0.0444444","0.0655988","0.0360902","0.0481703","0.0496801","0.0397878","0.042117","0.0514762","0.0455063","0.0406413","0.0364742","0.0515118","0.0570356","0.0413845","0.0458819","0.0371761","0.0395588","0.0541651","0.0453523","0.0287421","0.0255255","0.0352985","0.0487805","0.0411943","0.0562219","0.0474383","0.0394639","0.0295548","0.0279746","0.0539623","0.0415264","0.0584948","0.027027","0.0540952","0.0819486","0.0818148","0.0342389","0.0300152","0.0359147","0.0409313","0.0471733","0.0196375","0.0466592","0.0428355","0.0523169","0.0620818","0.0378479","0.0430148","0.127122","0.0315197","0.036673","0.04769","0.0570673","0.0510813","0.044201","0.0259641","0.0317101","0.0609156","0.103759","0.053418","0.0383892","0.0371058","0.0395183","0.0550356","0.0348406","0.0309201","0.0372601","0.0426966","0.0312618","0.06387","0.0307577","0.0353516","0.0703272","0.0583804","0.0457294","0.0379557","0.0373726","0.0620357","0.0359685","0.0936442","0.0626415","0.0488988","0.0500949","0.0468165","0.0345216","0.0364662","0.0450316","0.02429","0.0669173","0.0370093","0.026997","0.0582269","0.035822","0.0612855","0.0451128","0.0347924","0.0271881","0.046729","0.048478","0.0382166","0.0433969","0.049434","0.0493409","0.039745","0.0344698","0.0417293","0.0481022","0.0414313","0.0322218","0.0340136","0.0458507","0.0544294","0.0285178","0.0394238","0.0422272","0.0535041","0.039818","0.0407701","0.0323552"
"LBR26832","2007","0.0321255","0.0459683","0.0652418","0.0497925","0.0612552","0.0485103","0.0363568","0.0674074","0.0446362","0.0529081","0.0254682","0.027178","0.0420263","0.0434946","0.0373134","0.0387801","0.0356339","0.0486891","0.0390744","0.0847331","0.0307868","0.035822","0.0303598","0.0573152","0.0555973","0.0578947","0.0624291","0.0481565","0.0320244","0.035822","0.0372301","0.0451128","0.0274539","0.0492984","0.0333586","0.025264","0.0540234","0.0312853","0.0354556","0.0345735","0.0345613","0.0428733","0.0643208","0.0705009","0.0483566","0.0508601","0.0679502","0.0611403","0.047976","0.0536988","0.0226757","0.0255928","0.0425373","0.0382309","0.0296435","0.040724","0.0601195","0.0359033","0.0317401","0.0422588","0.0428894","0.0454204","0.0314019","0.0357414","0.0593985","0.0331224","0.0374111","0.0504708","0.036009","0.127517","0.0794007","0.0287661","0.0620272","0.0311679","0.0291589","0.0323071","0.0919926","0.0700301","0.0615034","0.0550562","0.0517763","0.0462406","0.0660627","0.0359033","0.0468227","0.0484598","0.0389856","0.0413562","0.0485327","0.0468809","0.0362481","0.0368541","0.0479911","0.0546757","0.0385768","0.0466418","0.0396855","0.0394238","0.053288","0.0458647","0.0294886","0.027568","0.0349099","0.0499812","0.0424493","0.058096","0.0490868","0.0396443","0.0310164","0.0283054","0.0519383","0.044843","0.0576422","0.0256024","0.0574887","0.0827664","0.0811712","0.0321375","0.0287552","0.0366904","0.0423538","0.0477078","0.0195049","0.0469748","0.0407619","0.0494012","0.0604703","0.0354213","0.0420614","0.121485","0.0349361","0.0365211","0.0463032","0.0595328","0.0503517","0.0435936","0.0260836","0.0330046","0.0620507","0.105006","0.0532234","0.0401049","0.0366629","0.0381708","0.0544499","0.0357143","0.0302686","0.0399247","0.0405558","0.0323065","0.0644553","0.0326454","0.0348445","0.0687593","0.0610487","0.0438398","0.0368698","0.0398346","0.0643472","0.0346125","0.0921348","0.0635641","0.0524738","0.0477803","0.0468165","0.0359685","0.0378215","0.046131","0.0240602","0.0657348","0.0369541","0.0271577","0.0580694","0.0351873","0.0588016","0.0475651","0.0371482","0.0261976","0.0493458","0.0499437","0.0411677","0.044898","0.0521345","0.0478163","0.0398346","0.0330206","0.0393553","0.0495124","0.044843","0.0313316","0.0325142","0.0460377","0.054846","0.0279955","0.0405457","0.0382022","0.0541965","0.0402889","0.0413192","0.0312853"
"LBR26832","2008","0.03054","0.0499244","0.0621937","0.0495682","0.0575837","0.0474369","0.0366355","0.0663931","0.0433308","0.0505279","0.0247655","0.0276326","0.041387","0.0459127","0.0357542","0.0371901","0.0346756","0.0470149","0.040381","0.0806754","0.0284954","0.0348706","0.0282273","0.0572819","0.0560783","0.057047","0.0612708","0.0463801","0.030453","0.0359304","0.0336952","0.0428894","0.0268657","0.0485876","0.0338661","0.0255351","0.051147","0.0313563","0.0378215","0.0337331","0.0333833","0.0443442","0.0653247","0.0735513","0.0489642","0.0541651","0.0658592","0.0593093","0.0476906","0.052809","0.0236753","0.0274849","0.0418066","0.0375657","0.0276429","0.0397301","0.0595952","0.0372601","0.0313667","0.0405558","0.0445283","0.0454887","0.0302465","0.0366868","0.059887","0.0313433","0.0362075","0.0513789","0.0341592","0.132907","0.0764904","0.0298451","0.0604128","0.0326087","0.0299177","0.0328674","0.0898583","0.0669159","0.0578013","0.0547021","0.0485584","0.0445026","0.0665163","0.035174","0.0441886","0.0481203","0.0373585","0.0391645","0.0469925","0.0446293","0.0391272","0.03659","0.0471557","0.0584489","0.0396558","0.0477085","0.0378277","0.0401049","0.0571104","0.045045","0.0312268","0.0275057","0.0349756","0.0528901","0.0414938","0.0587795","0.0458681","0.0390335","0.0305628","0.0274684","0.0536254","0.0449944","0.0564908","0.0272109","0.0545042","0.0831751","0.0805069","0.0303371","0.0287635","0.0405054","0.0399403","0.0449607","0.0183109","0.0460551","0.0454545","0.047976","0.0566817","0.0373413","0.0418237","0.112114","0.0337711","0.037679","0.0451324","0.0605607","0.0504108","0.0444191","0.0271096","0.0338146","0.0610311","0.106928","0.0529101","0.0409159","0.0363841","0.0378358","0.0547637","0.0336072","0.0315589","0.0420455","0.0412294","0.0322702","0.0619569","0.0337711","0.0350485","0.0650467","0.0546816","0.042954","0.0340187","0.0423856","0.0618168","0.0360225","0.0915546","0.0654135","0.0508666","0.0488988","0.0483327","0.0336574","0.0352853","0.0472973","0.0255543","0.0634681","0.0380597","0.0245719","0.0564334","0.0363636","0.0574841","0.05","0.0381708","0.0265321","0.0493037","0.0482291","0.0394639","0.0457079","0.0542986","0.0475472","0.0386927","0.0343797","0.0376223","0.0503192","0.0439806","0.0324748","0.0324406","0.0462232","0.0536913","0.028839","0.0356061","0.0372741","0.0576271","0.0383011","0.0397426","0.0324896"
"LBR26832","2009","0.0324284","0.0493967","0.0619369","0.0491865","0.0535781","0.0478194","0.0383459","0.0681057","0.0452148","0.0507519","0.0227442","0.0264531","0.0429265","0.0456075","0.0334448","0.037037","0.0321375","0.0456416","0.0387538","0.0829907","0.0262457","0.0367868","0.0274333","0.0576347","0.0525526","0.054115","0.0582707","0.0474755","0.0306122","0.038142","0.0342879","0.0413534","0.0269865","0.0479788","0.0311787","0.0262861","0.0542373","0.0313208","0.0373585","0.0352192","0.0329095","0.0423856","0.0626186","0.0727612","0.046564","0.052354","0.0623811","0.0603352","0.0491373","0.0508031","0.0237288","0.0268838","0.0416823","0.0361582","0.0269966","0.0386347","0.0619335","0.0369951","0.0311094","0.0404646","0.0446125","0.0449438","0.0297328","0.0381708","0.0593985","0.0298507","0.0355939","0.0486242","0.036036","0.134384","0.0777319","0.0279879","0.0610487","0.0322581","0.0313199","0.0342879","0.092365","0.0658929","0.0578078","0.0548872","0.0491308","0.0441286","0.0678411","0.0328849","0.0427987","0.0496054","0.0378501","0.0401487","0.0451467","0.0470231","0.0360902","0.0380988","0.0494567","0.0565967","0.0400299","0.0474024","0.0389805","0.0410701","0.0536254","0.0436254","0.0309586","0.0279456","0.0341848","0.0500759","0.0407393","0.0601504","0.0453686","0.0376725","0.030901","0.0268857","0.0525723","0.0451807","0.0613936","0.0268634","0.0555556","0.0798176","0.0761194","0.0324869","0.0271577","0.0401935","0.039777","0.0420263","0.0186081","0.0472947","0.0426966","0.0437383","0.0564697","0.0377711","0.0402104","0.109111","0.0331966","0.0369951","0.0488171","0.0563854","0.0487805","0.0462472","0.0272006","0.0339367","0.0595777","0.102874","0.0551331","0.0403286","0.0388093","0.0393046","0.0540541","0.0325965","0.0309434","0.0420105","0.0403889","0.0336952","0.0617424","0.0337965","0.0352766","0.0625707","0.0548411","0.0457121","0.0332586","0.0401049","0.0638218","0.0361718","0.0959671","0.063599","0.0493223","0.0507842","0.0506088","0.0348054","0.0328972","0.0461192","0.0256798","0.0637255","0.0414025","0.0250374","0.0542283","0.0366868","0.0565967","0.0478523","0.037415","0.0263356","0.0495461","0.0480878","0.0403738","0.0489171","0.0627112","0.0458474","0.040469","0.0350746","0.0373303","0.0486242","0.0436079","0.0320776","0.03386","0.0444694","0.0557229","0.0289801","0.0363086","0.0370091","0.0575322","0.0392157","0.0390892","0.0315079"
