"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"MDG27876","2000","0.0193596","0.0236949","0.0384189","0.0269273","0.0293135","0.0203177","0.0250467","0.0355007","0.0257079","0.0313316","0.0234027","0.0257079","0.0208178","0.030236","0.0264827","0.0479401","0.0204006","0.0253542","0.0337913","0.0340867","0.0481523","0.0203697","0.030236","0.036149","0.0189662","0.0329264","0.0238895","0.049217","0.0270666","0.0678532","0.0144659","0.0425373","0.02526","0.0347633","0.0203027","0.0378198","0.0260708","0.0272286","0.0505952","0.0115028","0.0198968","0.0155729","0.0310078","0.026422","0.022685","0.0448859","0.0283159","0.0151852","0.0378398","0.0266017","0.0215293","0.0192308","0.0247781","0.0193741","0.0358993","0.0100559","0.0315282","0.0297952","0.018847","0.0218762","0.0271678","0.010101","0.0429746","0.0237918","0.0180451","0.0359526","0.0174462","0.0573585","0.0301901","0.0180545","0.0265222","0.0289318","0.0188111","0.0228025","0.0424174","0.0178971","0.0147438","0.0202703","0.0264998","0.016363","0.057671","0.0466321","0.0224595","0.0175635","0.0247781","0.022929","0.0239764","0.0125285","0.0146122","0.0374587","0.0151683","0.0282949","0.0473527","0.026178","0.0261097","0.043446","0.0228698","0.0325805","0.0536044","0.0261487","0.0285397","0.0240421","0.0170055","0.0201192","0.0368715","0.0179171","0.0413742","0.0171258","0.0171067","0.0249442","0.0207407","0.0234201","0.0154582","0.0202171","0.0251502","0.0214339","0.0153386","0.0131086","0.0257751","0.0192807","0.0324748","0.0259451","0.0357011","0.0340867","0.0202728","0.030303","0.0551827","0.0335175","0.0319109","0.0268557","0.0185391","0.0143965","0.0281586","0.0273669","0.0524578","0.0269159","0.0301115","0.0342772","0.0312733","0.0228979","0.0250368","0.0524164","0.0192878","0.0252132","0.0155268","0.010479","0.0388601","0.031606","0.031028","0.023455","0.0118827","0.027972","0.0468227","0.0110538","0.0180412","0.0421053","0.0204765","0.0617284","0.0144659","0.0419426","0.0382757","0.0174203","0.0193596","0.0290441","0.0252039","0.034006","0.0324627","0.0530022","0.0277059","0.0406354","0.0496848","0.0178904","0.0260417","0.0379374","0.0356215","0.0245444","0.0192237","0.0137854","0.0154469","0.026055","0.0322342","0.0282108","0.0260838","0.0308895","0.0284028","0.0238895","0.024705","0.0171898","0.0135542","0.0285291","0.0133235","0.0231447","0.0407477","0.0747041","0.0136632","0.0248056","0.0372556","0.0191083","0.0138681","0.0282776"
"MDG27876","2001","0.018622","0.0221976","0.0369276","0.0276753","0.0301901","0.0191811","0.0281109","0.0350093","0.0234899","0.0315985","0.0241187","0.0248963","0.0197099","0.0292052","0.0249071","0.0466766","0.0193596","0.0220891","0.035514","0.0336414","0.0481746","0.0192744","0.032282","0.0374074","0.0193093","0.0316928","0.0234637","0.050056","0.0272059","0.0688757","0.0133581","0.0416667","0.023455","0.0348535","0.018128","0.034188","0.026936","0.0264334","0.0490821","0.0111441","0.0212528","0.017037","0.031296","0.0277264","0.0261292","0.0431734","0.02839","0.0156018","0.0373245","0.0283447","0.0220891","0.0180812","0.0260126","0.0179372","0.0363501","0.00974148","0.0300892","0.03054","0.0189591","0.0232471","0.0286565","0.0108533","0.0409467","0.0242718","0.0199925","0.0351591","0.0163084","0.0535445","0.0261584","0.018931","0.026296","0.0288174","0.0188537","0.0240296","0.0409929","0.0164118","0.0162963","0.0203008","0.0276447","0.0149645","0.0585402","0.0476013","0.0233247","0.0183865","0.025584","0.0220832","0.0240741","0.0121166","0.0140897","0.0353721","0.01527","0.0294008","0.0491557","0.0285714","0.0272693","0.0437361","0.0236075","0.0312966","0.0572065","0.024372","0.028964","0.0251502","0.0155729","0.0184072","0.0372301","0.0172738","0.0415108","0.0160268","0.0193165","0.0243902","0.0215694","0.025","0.0172224","0.0213483","0.0261097","0.0219168","0.0154309","0.0131678","0.0253637","0.0193309","0.0311445","0.0272693","0.0366803","0.0372556","0.0214576","0.0305514","0.0599628","0.0325685","0.0306726","0.0291153","0.0179641","0.0144231","0.0275093","0.0264235","0.0497604","0.0276016","0.0278293","0.0331966","0.031028","0.0222558","0.0240919","0.052356","0.0197246","0.026178","0.0144071","0.0108128","0.0370508","0.0299778","0.0293462","0.0249814","0.0119314","0.0271881","0.050056","0.0107368","0.018128","0.0403437","0.0210526","0.0628272","0.01527","0.0406204","0.0362346","0.0156833","0.019754","0.0291405","0.0264137","0.0333084","0.03125","0.0542868","0.0309125","0.0417436","0.0518657","0.0159911","0.0243446","0.0364177","0.0372301","0.0231085","0.0207792","0.0157009","0.016599","0.027266","0.0336072","0.0278707","0.025565","0.0306313","0.031296","0.0244361","0.0247324","0.0171131","0.0149869","0.0254301","0.0122768","0.0243812","0.0415419","0.0737","0.0126394","0.0252039","0.0353029","0.0183796","0.0128496","0.0309165"
"MDG27876","2002","0.0182563","0.0234637","0.0362158","0.0267062","0.029873","0.0181481","0.0291807","0.0343156","0.0256506","0.0295327","0.023525","0.0251502","0.0190228","0.0292052","0.0237741","0.047994","0.0185048","0.0229237","0.0323673","0.0344317","0.0456416","0.019289","0.0310396","0.0399852","0.018945","0.0316981","0.0232297","0.0499437","0.028065","0.0644922","0.0130548","0.0413254","0.0238184","0.0329218","0.0190797","0.0320537","0.0266117","0.0272999","0.0479221","0.0101124","0.0194611","0.0169993","0.0288675","0.0252132","0.0272185","0.0460282","0.0277361","0.015236","0.0378619","0.0272624","0.0244269","0.0197246","0.0264728","0.0184072","0.0379888","0.00902595","0.027249","0.0294337","0.0193885","0.023569","0.0279226","0.0123134","0.0392964","0.0243263","0.0196449","0.0350554","0.0155844","0.0549867","0.0268356","0.0183383","0.0250374","0.0304855","0.0185045","0.0248793","0.0417607","0.0154659","0.0181953","0.0195636","0.0268877","0.0161715","0.0554315","0.0456231","0.0230227","0.0172478","0.0244989","0.0225592","0.0248701","0.0135338","0.0152587","0.0364177","0.0145849","0.027819","0.0543396","0.0276842","0.0280689","0.0398659","0.0232816","0.0326945","0.055015","0.0244361","0.029588","0.0239163","0.0172349","0.0180248","0.0382615","0.0170068","0.0421687","0.0157068","0.0181818","0.0274127","0.0226935","0.024024","0.0169554","0.0205224","0.0265421","0.0213164","0.0142857","0.01305","0.0284431","0.0193813","0.0326454","0.0284538","0.0331101","0.0357406","0.0227273","0.029873","0.0612397","0.0299889","0.0309701","0.0287528","0.0169237","0.0110457","0.0257463","0.0264925","0.0513775","0.0268657","0.0274583","0.0322222","0.0291045","0.0218373","0.0252039","0.0529653","0.0188959","0.0260377","0.0144338","0.0108696","0.0347664","0.0318047","0.0262574","0.0241905","0.0130597","0.0298619","0.0511767","0.011537","0.0185322","0.0406868","0.0219614","0.064093","0.0165103","0.0431548","0.0363568","0.0161715","0.0211424","0.027007","0.0256888","0.0321495","0.0314254","0.0533981","0.0340696","0.0417899","0.0538519","0.014892","0.0231603","0.0341463","0.0340187","0.0219821","0.0193022","0.016202","0.0170433","0.0286458","0.0333959","0.0275913","0.0246085","0.0286992","0.0329142","0.0238275","0.0246777","0.0171195","0.0126724","0.0241636","0.012696","0.0248701","0.0410083","0.0718832","0.014195","0.0284448","0.0325843","0.0172478","0.0153616","0.032294"
"MDG27876","2003","0.0180587","0.0224467","0.0381764","0.0290287","0.0316928","0.0158438","0.0265719","0.0317046","0.0273716","0.0291371","0.0244269","0.0260771","0.0197466","0.030597","0.0223547","0.0454204","0.019295","0.0224888","0.0325019","0.0350224","0.045813","0.0199098","0.0312971","0.041979","0.0204537","0.0319149","0.0220231","0.0490196","0.0268557","0.0646729","0.0123735","0.0401652","0.0247934","0.0321375","0.0192163","0.0285285","0.0263455","0.0261487","0.0456587","0.00980392","0.0218291","0.0195933","0.0283794","0.0275708","0.0282633","0.043673","0.0281637","0.0156366","0.0407782","0.0287443","0.0271801","0.018938","0.0276739","0.0183865","0.036803","0.00903614","0.0269159","0.0301788","0.0179238","0.0255064","0.0275298","0.0123088","0.0350746","0.0227952","0.0195709","0.0350093","0.0141474","0.053973","0.0265222","0.0186846","0.0252544","0.0305891","0.0187547","0.0270778","0.041698","0.0162081","0.0197466","0.0195709","0.0263353","0.0161411","0.0540843","0.0471557","0.0258234","0.0184349","0.0227782","0.02298","0.0227357","0.0145903","0.0164671","0.0372578","0.0127772","0.0264334","0.0522134","0.0298285","0.02855","0.0392084","0.0210955","0.0322092","0.0572505","0.021978","0.0288714","0.0227612","0.0169109","0.0199699","0.0353949","0.0170843","0.0396825","0.0157717","0.0192166","0.0271493","0.0228293","0.0218291","0.0173176","0.0205454","0.0257271","0.0206845","0.0162509","0.0144874","0.0269663","0.0201643","0.0314513","0.0259301","0.0343668","0.0381058","0.0235514","0.0307577","0.0558262","0.0294776","0.0294447","0.0286252","0.0180451","0.0103704","0.025169","0.0277257","0.0512341","0.0283582","0.0261389","0.0321135","0.02839","0.0219531","0.0220231","0.0507084","0.0182021","0.0270677","0.0137649","0.0112317","0.037757","0.0307749","0.0253731","0.0228636","0.0134933","0.0298954","0.0510128","0.0112191","0.0182904","0.0390098","0.0232027","0.065666","0.017039","0.0394589","0.0327068","0.0166793","0.0219985","0.0252319","0.025188","0.0308155","0.0306084","0.0523169","0.0334712","0.0391","0.0521185","0.0134028","0.0221388","0.0348968","0.0358879","0.023622","0.0193452","0.0159757","0.0163873","0.0279851","0.0324039","0.0283688","0.0254777","0.0288822","0.0363367","0.024584","0.0257448","0.0157421","0.0145306","0.0222965","0.0123781","0.0249627","0.0383027","0.0650621","0.0145143","0.0296077","0.0315434","0.0183658","0.0151057","0.0336072"
"MDG27876","2004","0.0195489","0.0206767","0.0373552","0.0283476","0.0289148","0.0159911","0.0274539","0.0327991","0.0303826","0.0283371","0.0249905","0.0256895","0.0183041","0.031871","0.0208333","0.0487805","0.0186706","0.0195857","0.0327191","0.0337331","0.0432006","0.0189107","0.0327931","0.0433145","0.0200445","0.0311906","0.0213723","0.0499811","0.0254491","0.0617702","0.0126866","0.0412448","0.0241509","0.0311679","0.0187524","0.0265024","0.0259985","0.0286992","0.0451977","0.00908747","0.0211082","0.0189803","0.0269663","0.0274436","0.0285714","0.0465291","0.0284751","0.0149701","0.0386347","0.0271903","0.0294562","0.0183246","0.0284964","0.0189322","0.0369541","0.0102079","0.0258137","0.0297216","0.0191298","0.0248756","0.0287421","0.0127628","0.0311211","0.0220974","0.0199774","0.0336449","0.012715","0.0572505","0.023143","0.0186776","0.026435","0.0275264","0.0199699","0.0262357","0.0403013","0.0151057","0.0201568","0.0191513","0.0254968","0.0173258","0.0508031","0.0470102","0.0243082","0.0180791","0.0243994","0.0227697","0.0223131","0.0156192","0.0160748","0.0357277","0.0139834","0.0275913","0.055408","0.0304833","0.0303145","0.0371622","0.0204613","0.0314394","0.0557452","0.022779","0.0273921","0.0228636","0.0165103","0.0199699","0.034354","0.0168196","0.0399391","0.014275","0.0181347","0.0296465","0.0233434","0.0217473","0.0181549","0.0224299","0.0230912","0.0230624","0.0157421","0.0141474","0.0273204","0.0183315","0.0311669","0.0278195","0.0334084","0.0349313","0.0244086","0.0301773","0.0608565","0.0284751","0.028238","0.028636","0.01661","0.00823662","0.0229669","0.0274849","0.0508475","0.0265619","0.0280164","0.0323781","0.028991","0.0229496","0.0197909","0.0504673","0.0171963","0.0275992","0.0137905","0.0116105","0.0361582","0.0314725","0.03003","0.0227101","0.0131777","0.0291698","0.0491557","0.0112402","0.0173519","0.0376932","0.022805","0.0651685","0.0174573","0.0409929","0.0347563","0.0159453","0.0241456","0.0271073","0.0237826","0.0295343","0.0321495","0.0479042","0.0330579","0.0368441","0.0515619","0.0127246","0.0235778","0.0337584","0.0371622","0.0210923","0.0202171","0.0163934","0.0154309","0.0259691","0.0302343","0.028006","0.0276016","0.0290347","0.0396855","0.0253596","0.0275938","0.0173389","0.0149309","0.0204918","0.0135593","0.0250936","0.0383315","0.064759","0.0141685","0.030855","0.0350151","0.0176228","0.0154659","0.0332586"
"MDG27876","2005","0.0189394","0.0198057","0.0357815","0.0286037","0.0267018","0.0168161","0.0259009","0.0316338","0.0297328","0.0291807","0.0246773","0.0269041","0.0190299","0.030543","0.0198131","0.0445026","0.0179978","0.0202551","0.0351208","0.0322944","0.0442777","0.0189466","0.0309551","0.0447988","0.0216337","0.0321726","0.0188041","0.0507961","0.0253308","0.0578387","0.0108209","0.0413378","0.0235027","0.0311679","0.0175841","0.0279955","0.027568","0.0262074","0.0467925","0.00947329","0.0234937","0.0194175","0.026742","0.0257381","0.0268657","0.0444698","0.027027","0.013915","0.0373303","0.0272624","0.0317101","0.0180383","0.0283876","0.0185395","0.0378987","0.0103014","0.0259009","0.0279985","0.0177358","0.0254237","0.0307001","0.0123549","0.0261389","0.0217473","0.0188608","0.0314037","0.0127246","0.0546551","0.0221388","0.0199173","0.0245283","0.0287226","0.0195636","0.0243069","0.0397004","0.0151573","0.0208722","0.0188537","0.0247748","0.0154484","0.0545999","0.0468809","0.0240873","0.0193036","0.0240421","0.0217228","0.0204385","0.0159436","0.0147114","0.0315589","0.0140045","0.0266217","0.0539309","0.0294337","0.0278626","0.035861","0.0175308","0.0280942","0.0524515","0.0238727","0.0248775","0.0239611","0.0169046","0.0204313","0.0309551","0.0163934","0.0356732","0.0142857","0.0189662","0.0289303","0.0234139","0.0195268","0.0182224","0.0202096","0.0230741","0.0201291","0.0173193","0.0138473","0.0272897","0.0188679","0.0314513","0.0286684","0.0346777","0.0366904","0.0235383","0.0288498","0.0590685","0.0286037","0.0275057","0.0251974","0.0143342","0.00641752","0.022633","0.0263952","0.0492424","0.0261292","0.0293123","0.0326087","0.0259204","0.0238005","0.0209816","0.0460157","0.0161049","0.0267823","0.0132626","0.012021","0.0352192","0.0304511","0.0267521","0.0208491","0.0131283","0.0310164","0.0510894","0.0116629","0.0177091","0.0362264","0.026455","0.0652012","0.0166856","0.0402736","0.0389267","0.016356","0.0253165","0.0261878","0.0222726","0.0288425","0.0337965","0.0447537","0.034275","0.0362075","0.0530873","0.0120755","0.0228721","0.0319429","0.0345216","0.0196078","0.0195489","0.0156728","0.0146177","0.0245098","0.029879","0.0299065","0.0275992","0.0281426","0.0394144","0.0249424","0.0265487","0.0166289","0.0138629","0.0203084","0.0135237","0.0243172","0.0402104","0.0588459","0.0142536","0.0302691","0.0399849","0.017222","0.0151114","0.0340952"
"MDG27876","2006","0.0205245","0.0188182","0.0352406","0.0327807","0.0251219","0.0168476","0.0269663","0.0304719","0.0309902","0.0302126","0.0251142","0.027027","0.0179506","0.0278719","0.0193309","0.0486891","0.0171067","0.0202931","0.0346647","0.0309551","0.0426647","0.0170584","0.0322944","0.045816","0.0227867","0.0301318","0.0181474","0.0516786","0.0257869","0.0596958","0.0101237","0.0398946","0.0235831","0.0325355","0.0183627","0.0262074","0.0272727","0.0259301","0.0475292","0.00980023","0.0231603","0.0184072","0.0289474","0.0257967","0.0288066","0.0454025","0.0278307","0.0143885","0.036036","0.0253117","0.0329835","0.0186029","0.0298677","0.0196523","0.0395183","0.0109724","0.0251219","0.0287661","0.019137","0.0248756","0.031355","0.0131728","0.0258621","0.0210131","0.0194393","0.029624","0.0123596","0.0492798","0.0213643","0.0188111","0.0247934","0.0297776","0.0190441","0.0216812","0.0384903","0.01359","0.0223714","0.0184557","0.02484","0.0172027","0.051215","0.0448211","0.0266517","0.019289","0.0212687","0.0218951","0.0204233","0.0162662","0.0156489","0.0298001","0.0147392","0.0276222","0.0545934","0.0280794","0.027725","0.0378277","0.0169173","0.0279879","0.0529301","0.0226843","0.0260672","0.0228636","0.0172156","0.0211161","0.0304855","0.0144267","0.0352941","0.0153616","0.0198057","0.0297256","0.0248027","0.0193741","0.0183109","0.0202551","0.0243902","0.019399","0.0176426","0.0131135","0.0295217","0.0188253","0.0306007","0.0260805","0.0358626","0.0360767","0.0231061","0.0309434","0.0567322","0.0273349","0.0271186","0.0267622","0.0142857","0.00529101","0.0240692","0.0255639","0.0507519","0.0269461","0.0290019","0.0314725","0.024033","0.0221971","0.0206534","0.0442708","0.0157954","0.0259301","0.0130318","0.0112317","0.0330703","0.0307923","0.0257673","0.0203851","0.0138733","0.0314489","0.0521148","0.0125095","0.0165414","0.0350343","0.025641","0.0616184","0.0159393","0.0401837","0.0363705","0.0170973","0.0259451","0.0265918","0.0226244","0.0299016","0.0352853","0.0454034","0.0306702","0.0357277","0.0525526","0.0113895","0.0199473","0.0273511","0.0336103","0.0206845","0.0195415","0.0163436","0.0157658","0.0252449","0.0301432","0.0299177","0.0289474","0.0284751","0.0385196","0.0243902","0.0276243","0.0147504","0.0146396","0.0209974","0.0131234","0.023988","0.0356205","0.0573801","0.0149701","0.0305514","0.0408781","0.0180248","0.0150659","0.0336866"
"MDG27876","2007","0.0212121","0.0172543","0.0343526","0.0322339","0.0225479","0.0176692","0.0251219","0.0298842","0.0322092","0.0288066","0.0246492","0.0282061","0.0175832","0.0271493","0.0186359","0.0469624","0.0169237","0.0210289","0.0323552","0.030543","0.0416198","0.0170584","0.032343","0.0430476","0.0224551","0.0302917","0.0176825","0.052354","0.024696","0.063046","0.0101504","0.0366038","0.0247148","0.0313316","0.0160061","0.0255928","0.0250951","0.0231949","0.0477983","0.00862392","0.0231343","0.0176294","0.02855","0.0277989","0.0288606","0.0442344","0.0275335","0.0148176","0.0353383","0.025169","0.0340569","0.0177225","0.0316742","0.0198949","0.0399247","0.0113852","0.0254682","0.0286684","0.0172349","0.0244555","0.0316456","0.0131926","0.0233083","0.0205454","0.0200074","0.029222","0.0123735","0.0452318","0.0206456","0.0194976","0.0200151","0.0286792","0.0200297","0.021542","0.0389222","0.0138577","0.0219657","0.0185536","0.0233434","0.0148865","0.0501497","0.0426576","0.0255928","0.01783","0.0240692","0.0215094","0.0201267","0.0174203","0.016654","0.0270575","0.0139939","0.0267521","0.0492798","0.0263554","0.0280942","0.0386492","0.0181956","0.0277778","0.0498301","0.0203237","0.0260181","0.0218456","0.0174397","0.0219282","0.0310396","0.0143342","0.0324651","0.0149031","0.0190654","0.0307284","0.0223231","0.0167785","0.0205377","0.0227612","0.0232384","0.0201598","0.0203313","0.0150716","0.0292135","0.0186846","0.0282805","0.0255556","0.0365624","0.0328674","0.0227187","0.0287117","0.0593124","0.0259939","0.0284964","0.027423","0.0145794","0.00378072","0.0244269","0.0247469","0.0478863","0.0267018","0.0278405","0.0311562","0.0248775","0.0208877","0.0221638","0.0424581","0.015879","0.0255351","0.0111453","0.0101351","0.0300526","0.0304054","0.0229358","0.0199774","0.0143288","0.0320537","0.0474934","0.0117513","0.0161776","0.0357959","0.0248775","0.0584512","0.0166352","0.0405354","0.0362346","0.0166163","0.0260417","0.0247469","0.0227101","0.0283768","0.0348968","0.0460847","0.0342596","0.0346908","0.0521804","0.0118005","0.0203237","0.026003","0.0353916","0.0214447","0.0207547","0.0169237","0.0158371","0.0247841","0.0297552","0.0303826","0.0289256","0.0291115","0.0397426","0.0227964","0.0246777","0.0143559","0.016123","0.0187547","0.0142482","0.0237646","0.0359147","0.0539216","0.0145577","0.0309817","0.0472769","0.0147003","0.0139675","0.0312971"
"MDG27876","2008","0.0203237","0.0169109","0.033105","0.03265","0.0213323","0.0167046","0.0246821","0.0302804","0.0289148","0.0284538","0.0229755","0.0262074","0.0168287","0.0263455","0.0183041","0.0446263","0.0168036","0.02","0.0332075","0.0329545","0.0392009","0.0174838","0.0322944","0.0394687","0.0232908","0.0280374","0.0170584","0.0508092","0.0219697","0.0576631","0.010586","0.0359551","0.0235652","0.0285178","0.0152207","0.0234051","0.0237826","0.0225141","0.04571","0.00895188","0.0237389","0.0178571","0.0284431","0.0247431","0.0270169","0.0438232","0.0290631","0.0148233","0.035206","0.024024","0.0331966","0.0185395","0.0285929","0.0187758","0.0370931","0.0117202","0.0254016","0.0283233","0.0158252","0.0243902","0.0308436","0.0139307","0.0211002","0.0209738","0.0199926","0.0294229","0.012696","0.0426737","0.0207312","0.0183934","0.0201568","0.0276306","0.0209189","0.0184627","0.0398496","0.0119537","0.0203102","0.0174045","0.0218703","0.014574","0.0511278","0.041966","0.0236398","0.0174639","0.0233258","0.020091","0.0175373","0.016766","0.0165725","0.0254968","0.0152033","0.026936","0.0483073","0.0267722","0.0287552","0.0378419","0.0190985","0.026936","0.0458647","0.0203237","0.0263653","0.0210685","0.0166914","0.0211241","0.0304833","0.0146782","0.0318423","0.0157362","0.0191874","0.0288097","0.0203466","0.0168413","0.0206379","0.0224635","0.022239","0.0170584","0.0176162","0.0165227","0.0276636","0.0193813","0.027516","0.0248793","0.0332075","0.0309084","0.023317","0.0276097","0.0541462","0.0241102","0.0284858","0.024015","0.0135287","0.00338728","0.0237288","0.025264","0.0462687","0.0267521","0.0274746","0.0303484","0.0253596","0.0219739","0.0217473","0.0407629","0.015891","0.0236664","0.0114329","0.0100859","0.0253308","0.0324896","0.0220868","0.0191226","0.0132125","0.0326332","0.0465723","0.0116893","0.0154426","0.0344175","0.0239342","0.0563798","0.0173519","0.0378215","0.0344054","0.0161776","0.0261194","0.0257463","0.0218538","0.0301773","0.032246","0.0450789","0.0331429","0.0354449","0.0478664","0.0109434","0.0216741","0.0252788","0.0304855","0.0206302","0.0206922","0.01656","0.0161837","0.0273408","0.0282273","0.0274746","0.0281637","0.0275057","0.0351873","0.0205714","0.0231257","0.0139939","0.0157658","0.0165041","0.0149309","0.0234671","0.0348706","0.0482837","0.0142216","0.0321135","0.0454718","0.0125095","0.0146287","0.0309668"
"MDG27876","2009","0.0221388","0.0175635","0.0345876","0.0320244","0.0187196","0.0159817","0.0219331","0.0293233","0.0305545","0.0260279","0.0217718","0.0267219","0.0171642","0.0223909","0.0171963","0.0421799","0.0167411","0.0188395","0.0316981","0.0317221","0.0378215","0.0177492","0.0299924","0.0383011","0.0213244","0.0277465","0.0155303","0.0484416","0.0219448","0.0562689","0.0106262","0.0353118","0.0228137","0.0285178","0.0143559","0.0220114","0.0217636","0.0214447","0.04131","0.00746547","0.0209111","0.0195103","0.0254396","0.0269757","0.0265856","0.0419818","0.027439","0.0143994","0.0340824","0.0228379","0.0321977","0.0184349","0.0266217","0.0187056","0.0344697","0.0125047","0.0245353","0.0277674","0.0157421","0.0218373","0.0301227","0.0142536","0.0191011","0.0208877","0.0196296","0.0299356","0.0124387","0.0415251","0.0203697","0.0169046","0.0193309","0.0291336","0.0208722","0.01693","0.0419162","0.0126818","0.0199778","0.0181956","0.0205761","0.0148976","0.048369","0.0394388","0.0240692","0.0187094","0.0225819","0.0200378","0.0158014","0.0157127","0.0151114","0.0246545","0.0151229","0.0240511","0.0443686","0.0262158","0.0278614","0.0381166","0.0201982","0.025833","0.040702","0.0183041","0.0260377","0.0198874","0.0178108","0.0212041","0.028169","0.0127916","0.0286684","0.0138993","0.0170132","0.0275784","0.0195268","0.0157954","0.0206534","0.0222139","0.0206845","0.0173454","0.0198576","0.0154717","0.0257751","0.0175047","0.0260771","0.0241009","0.0322214","0.0320271","0.0222894","0.0274643","0.0504138","0.0202677","0.0298619","0.0246821","0.0131332","0.00225649","0.0233258","0.0245376","0.0426487","0.0257186","0.027088","0.0326822","0.023317","0.0216822","0.0207782","0.0356205","0.0155185","0.023282","0.0114899","0.00931446","0.025833","0.0304397","0.0200682","0.0183178","0.0128593","0.0327931","0.0434294","0.0124575","0.0150263","0.0316742","0.0213643","0.0517113","0.0163002","0.0360668","0.0319821","0.0151114","0.0239611","0.0242266","0.0225056","0.0319429","0.0295438","0.0388973","0.0308924","0.0349493","0.0458101","0.0112824","0.0214286","0.0261976","0.0277154","0.0189662","0.0209346","0.017177","0.0139098","0.0288606","0.0271084","0.0275057","0.0277778","0.0267219","0.0315789","0.0235116","0.0221555","0.0135034","0.015873","0.0154251","0.013089","0.0220197","0.0321856","0.0452471","0.0153099","0.0303484","0.0450416","0.0114329","0.0142375","0.0300723"
