"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"MOZ33105","2000","0.0265222","0.0200445","0.0201465","0.030924","0.0367454","0.045183","0.0751597","0.0642168","0.0257367","0.0461595","0.0994065","0.0326047","0.0371761","0.0598419","0.0239852","0.0364507","0.0463898","0.0332103","0.0365179","0.0108696","0.0427767","0.0226429","0.0701625","0.0934685","0.0315868","0.0356877","0.0298783","0.0309355","0.0541237","0.0368715","0.0274176","0.0413132","0.0341246","0.0900667","0.0453707","0.0680222","0.0322823","0.0232995","0.0259548","0.0353982","0.0480591","0.0426168","0.0276651","0.0374074","0.0707071","0.0355539","0.0251759","0.049016","0.0259355","0.0445193","0.0271476","0.0222635","0.0999263","0.0584077","0.045082","0.032056","0.0889878","0.0318991","0.0204613","0.0490453","0.0945846","0.0996628","0.0601032","0.166667","0.0238539","0.024581","0.0381906","0.0697674","0.022363","0.0287313","0.0418079","0.0354505","0.0819491","0.0415276","0.0908755","0.0294008","0.0721649","0.0200594","0.0385604","0.0374768","0.0241009","0.103537","0.0257367","0.0388205","0.0277257","0.0198279","0.0218951","0.0487085","0.0735947","0.0418042","0.0214894","0.0547486","0.0474074","0.0685083","0.013463","0.0606958","0.047037","0.0719076","0.0717472","0.046365","0.0901335","0.0317695","0.0424739","0.0240474","0.0255735","0.0236424","0.0527685","0.0334697","0.029379","0.0359926","0.0465372","0.0414661","0.0801484","0.100149","0.0537357","0.0499441","0.0325599","0.013633","0.0571534","0.0192735","0.0374907","0.0529826","0.0542435","0.0242736","0.0295858","0.0392157","0.0732257","0.0425611","0.0517621","0.112389","0.0421957","0.0541237","0.0266317","0.0392377","0.0259204","0.0256983","0.0215533","0.0564064","0.0413068","0.0298783","0.0519095","0.079821","0.0272459","0.0481264","0.202758","0.0381906","0.034534","0.023213","0.0781481","0.0344062","0.0712421","0.0374629","0.0756052","0.0378072","0.0343028","0.0230999","0.0629239","0.0203779","0.0606061","0.0967025","0.0898918","0.0133581","0.0280339","0.0432852","0.078125","0.0322097","0.0272185","0.0240919","0.0517943","0.0141791","0.0295639","0.0779749","0.0613772","0.0387168","0.0245627","0.0340285","0.0803406","0.0375604","0.0842221","0.0667161","0.0333333","0.0690167","0.044411","0.0456218","0.0546933","0.0598131","0.032805","0.0551443","0.0295769","0.036256","0.0226345","0.0215373","0.042191","0.0510922","0.0159911","0.0466321","0.0322226","0.0591716","0.0479198","0.0274746"
"MOZ33105","2001","0.0246821","0.0194102","0.0197657","0.0315985","0.0364662","0.0474057","0.0784685","0.063893","0.0263941","0.0439114","0.103487","0.0339552","0.0381737","0.0623591","0.0266174","0.0350166","0.048012","0.0353949","0.0355424","0.0105541","0.042243","0.0230999","0.06684","0.0898834","0.0310881","0.0357808","0.0292809","0.0302917","0.0547742","0.0343797","0.0285714","0.0393467","0.0336449","0.0926064","0.047037","0.0681651","0.034275","0.0196672","0.027881","0.0364775","0.0490342","0.0397749","0.028964","0.0386617","0.0690306","0.0349756","0.024581","0.0480805","0.0264728","0.0421799","0.0265222","0.0223048","0.0981912","0.0558659","0.0487622","0.0323767","0.0928333","0.0319584","0.0190228","0.0450484","0.0906726","0.0986497","0.0603927","0.166913","0.0224972","0.0268356","0.03789","0.0669643","0.0236043","0.029773","0.0385779","0.0338039","0.0783444","0.0402685","0.0917839","0.0281586","0.0732614","0.0190583","0.0359633","0.0377358","0.0263255","0.103271","0.0249814","0.0375799","0.0269663","0.0198428","0.01963","0.0460914","0.0758082","0.0422794","0.0217793","0.0544776","0.0475483","0.071323","0.0119181","0.0580357","0.0474601","0.071028","0.072249","0.0442379","0.0872986","0.0293027","0.0465376","0.0252976","0.0254396","0.0236599","0.0543964","0.0338542","0.0282528","0.0329874","0.0432551","0.0415594","0.0856292","0.0977528","0.0528053","0.05","0.0327068","0.0155383","0.0536513","0.017177","0.0384615","0.0536513","0.0501859","0.0240118","0.0311342","0.037449","0.0690299","0.0440463","0.0538944","0.113882","0.041979","0.0487085","0.0254777","0.0364388","0.0281743","0.0235867","0.0201945","0.05678","0.0394885","0.0301788","0.0504108","0.0794901","0.0275913","0.0473723","0.199031","0.0381166","0.0338092","0.0225508","0.077634","0.0324385","0.0676636","0.0367483","0.0756898","0.0354851","0.0353029","0.025","0.062406","0.0215054","0.0611174","0.0998515","0.089153","0.0126535","0.0262186","0.0426875","0.0770381","0.0330083","0.0263549","0.0248886","0.05","0.0159792","0.0295967","0.0813219","0.0622656","0.0366395","0.0222552","0.0313885","0.0833642","0.0382309","0.0839497","0.065726","0.0367893","0.0693878","0.0445788","0.0470719","0.0539033","0.0602319","0.0307864","0.0549981","0.0297216","0.0353291","0.0238007","0.0219249","0.0422692","0.0497771","0.0171322","0.0473174","0.0287823","0.0570582","0.0514733","0.0281262"
"MOZ33105","2002","0.0269159","0.0187829","0.0206414","0.0329508","0.0354717","0.0479221","0.0812335","0.0628037","0.0278707","0.0453195","0.107156","0.0352192","0.0380171","0.0642133","0.0258876","0.0350224","0.0463451","0.0350877","0.035701","0.0113982","0.0418379","0.0220726","0.0664427","0.0913877","0.0321375","0.0326822","0.0282213","0.0295438","0.0546265","0.0341079","0.0272185","0.0400749","0.036194","0.0879612","0.0465203","0.0725657","0.0330951","0.0204313","0.0265024","0.0366667","0.0474944","0.0385479","0.0277154","0.0361266","0.065839","0.0348837","0.0241367","0.0476906","0.025833","0.043462","0.0269865","0.0213403","0.0976969","0.053438","0.049434","0.0334068","0.0876346","0.0339173","0.0193596","0.044586","0.0906053","0.0946502","0.0602454","0.162311","0.0214689","0.0275811","0.03829","0.0630564","0.0250561","0.0283794","0.0355939","0.0315048","0.0778689","0.0409774","0.0930752","0.0279746","0.0700708","0.0191513","0.0359897","0.0373659","0.0268356","0.0984092","0.0246637","0.037051","0.0274333","0.0180045","0.020362","0.0472998","0.0787607","0.0405054","0.0218438","0.0562803","0.0457958","0.0687107","0.0130402","0.0576779","0.0482375","0.0735736","0.0725389","0.0439806","0.0802865","0.0285178","0.0480626","0.0271476","0.0252164","0.0226177","0.0515961","0.0381166","0.0291589","0.0339046","0.040899","0.0374587","0.0848915","0.0968468","0.0506608","0.0499627","0.0341848","0.0152416","0.0561587","0.0149981","0.0383042","0.0552445","0.0479732","0.0248609","0.0311328","0.0376585","0.0696721","0.0453184","0.0547742","0.112561","0.0400599","0.0481972","0.0268026","0.0381737","0.0282699","0.0232384","0.0198353","0.0537113","0.0410856","0.0312036","0.05","0.078424","0.0274127","0.0489433","0.19274","0.0390098","0.0338473","0.0226682","0.0751488","0.0336197","0.0634146","0.036899","0.0716685","0.037679","0.034923","0.0256696","0.0636943","0.0223964","0.062782","0.103371","0.085885","0.0138008","0.026552","0.0438202","0.0766629","0.0319189","0.0252506","0.0243537","0.049648","0.01566","0.0282843","0.0822527","0.0612322","0.0354244","0.0216257","0.0321375","0.0821561","0.037246","0.0820037","0.0651769","0.0395818","0.0677903","0.0457813","0.0434132","0.0591298","0.0610119","0.0320656","0.0549981","0.0282805","0.0364719","0.023783","0.0213004","0.0401935","0.0480626","0.0174656","0.0474426","0.0310651","0.0532939","0.0474235","0.0279773"
"MOZ33105","2003","0.0267459","0.0198874","0.0221157","0.0350424","0.0348089","0.0475122","0.0778735","0.0604581","0.0264925","0.0457589","0.105663","0.0332338","0.0391791","0.0625937","0.0262866","0.0334572","0.0450928","0.0325843","0.0364719","0.0113593","0.0386202","0.0198651","0.0675727","0.0920659","0.0315671","0.0331825","0.0312268","0.0303144","0.053538","0.0344569","0.0272185","0.0423063","0.0362346","0.083707","0.0495714","0.0692222","0.0307346","0.0207469","0.0210526","0.0367075","0.0454884","0.0371622","0.0291807","0.0320417","0.069095","0.0347794","0.0242991","0.0458819","0.0255735","0.0433472","0.0251596","0.0220891","0.0989175","0.0507328","0.0486792","0.0327688","0.0938897","0.031752","0.0188889","0.0437874","0.0916884","0.100563","0.0590639","0.157934","0.0214286","0.0276119","0.0377288","0.0625698","0.0224131","0.0281004","0.0343412","0.0359392","0.0754788","0.0442177","0.0938198","0.0284431","0.0744641","0.0225819","0.0351201","0.0352243","0.0248424","0.102842","0.0264728","0.0371212","0.0287443","0.0177091","0.0215013","0.0501873","0.0801043","0.041791","0.0219168","0.0560713","0.0439024","0.0677083","0.0125973","0.0592179","0.0473174","0.0771257","0.0738679","0.0458613","0.0806634","0.0281215","0.04705","0.0259398","0.023569","0.0215694","0.0503543","0.0381879","0.0286576","0.0340441","0.0399113","0.0376662","0.083114","0.10106","0.0497788","0.047513","0.0349756","0.0146013","0.0562052","0.0142696","0.0373832","0.0538519","0.045269","0.0256125","0.0318352","0.0367454","0.0685034","0.0486976","0.0550595","0.107423","0.0421013","0.0483573","0.0274849","0.0379271","0.0256604","0.0236309","0.0200302","0.0508031","0.0417293","0.0299289","0.0509936","0.0728852","0.0265554","0.0499627","0.184528","0.0393848","0.0318786","0.0231862","0.0729438","0.0320417","0.0642616","0.0343526","0.0696629","0.0377644","0.0357412","0.0256506","0.064227","0.0222883","0.0650132","0.103189","0.0845123","0.0138163","0.0260708","0.0427607","0.0748603","0.035206","0.0249256","0.023282","0.051244","0.0145631","0.0261389","0.0785476","0.0597238","0.0348665","0.0217147","0.0285607","0.0810912","0.0356196","0.0819672","0.0666667","0.0411523","0.0731433","0.0431328","0.044486","0.0576132","0.0598131","0.030878","0.0548712","0.0290895","0.0360595","0.0238895","0.0190868","0.0396707","0.0458101","0.0174656","0.0435592","0.0314465","0.0490524","0.0496054","0.0281637"
"MOZ33105","2004","0.0256792","0.0199024","0.022997","0.034789","0.0350476","0.0454887","0.0789771","0.0546345","0.0254491","0.0463378","0.10656","0.0335196","0.0400749","0.060788","0.0261993","0.0336449","0.0443014","0.0326699","0.0356741","0.0109393","0.0406321","0.021658","0.0680529","0.0932488","0.0304511","0.0319429","0.030901","0.0288498","0.0535849","0.0350679","0.0262271","0.0427928","0.0373413","0.0864151","0.0494197","0.0653789","0.028132","0.0196375","0.0222474","0.035701","0.0429055","0.0364662","0.0292793","0.0348184","0.0649399","0.0338728","0.025188","0.0471165","0.0276097","0.0430351","0.0249151","0.0232297","0.0970037","0.0515933","0.0474924","0.0305173","0.0895245","0.0296992","0.0173881","0.0417136","0.0876539","0.103345","0.0614068","0.158343","0.0208176","0.0271678","0.0386202","0.059506","0.0229669","0.0273921","0.0352243","0.0357808","0.0719668","0.0453343","0.0953984","0.0265818","0.0702417","0.021731","0.0352552","0.0357276","0.0255366","0.103526","0.0253731","0.0359985","0.0295679","0.0169555","0.023282","0.0474041","0.084021","0.04012","0.0209738","0.0586706","0.0443609","0.0650467","0.0122997","0.0595952","0.0463898","0.0711061","0.0732342","0.0421327","0.0802119","0.0247562","0.0423856","0.0249433","0.0246085","0.0232995","0.0513393","0.0397599","0.0297104","0.0332338","0.0402985","0.0326409","0.0812761","0.102398","0.048717","0.0485256","0.0324284","0.014275","0.0573273","0.0147059","0.0356741","0.0542056","0.0441558","0.0260999","0.0321015","0.0347563","0.0687477","0.0471125","0.0529851","0.109044","0.0419633","0.0493141","0.0273921","0.0377994","0.0268228","0.0228807","0.0181818","0.0487074","0.0392817","0.0303826","0.048048","0.0728027","0.0270786","0.0482423","0.183056","0.0392305","0.0303605","0.0220314","0.0705487","0.0310978","0.062453","0.0347826","0.0713749","0.0361446","0.0350414","0.0242718","0.0628507","0.0227019","0.0633245","0.101509","0.0824053","0.0134933","0.0291589","0.0409467","0.0708396","0.0362481","0.0234288","0.0214447","0.0509363","0.0123967","0.0251596","0.0771247","0.0591982","0.0347015","0.0210923","0.0296435","0.0838346","0.0349279","0.0865169","0.065389","0.044586","0.0718856","0.0420295","0.0452844","0.0569288","0.0624295","0.0304282","0.0545999","0.0275888","0.0356877","0.0228379","0.0176228","0.0382452","0.046729","0.017636","0.0441121","0.0308206","0.0488441","0.0503168","0.0270677"
"MOZ33105","2005","0.0270772","0.0195195","0.0213323","0.03429","0.0342988","0.0428894","0.0721805","0.0517763","0.0245993","0.0429425","0.102836","0.0331966","0.0397749","0.0576995","0.0256696","0.0343137","0.0431002","0.0325843","0.0382142","0.0106141","0.0382739","0.0201417","0.0692657","0.0906726","0.0298451","0.0319549","0.0310629","0.0284964","0.0544629","0.0348089","0.0273306","0.0419184","0.0385335","0.0839292","0.0490751","0.0662202","0.026936","0.0184488","0.0230189","0.0367592","0.0425292","0.0366591","0.0291262","0.0357815","0.0667673","0.0336484","0.0242241","0.0475472","0.0263554","0.0412448","0.0236931","0.0213563","0.0915254","0.0488736","0.0475647","0.0300413","0.0886736","0.0300978","0.0167038","0.0411985","0.084803","0.10165","0.0631776","0.157778","0.0188253","0.0264334","0.037594","0.0568351","0.0239909","0.0279667","0.0374351","0.0354345","0.0660091","0.0451613","0.0908408","0.026926","0.0660876","0.0213803","0.0369413","0.0361266","0.0238984","0.102333","0.0242809","0.0351873","0.0306122","0.01861","0.0238007","0.0518743","0.0810299","0.0395183","0.0210605","0.0595681","0.0450281","0.0627348","0.0115327","0.057873","0.0441948","0.0681733","0.0724421","0.0396558","0.0778284","0.0240873","0.0431358","0.0242792","0.0231516","0.0226757","0.0475655","0.0439684","0.0296324","0.0331718","0.0391353","0.0342517","0.0801063","0.0986616","0.0477444","0.0475655","0.0287552","0.0132026","0.0582857","0.014383","0.0371482","0.052356","0.0460967","0.0269058","0.0311913","0.0334838","0.0676383","0.0471304","0.0509363","0.0978059","0.0399701","0.0492721","0.0295769","0.0382166","0.0282805","0.0225225","0.0177492","0.0473527","0.0409774","0.0295119","0.0466516","0.0739065","0.0270992","0.047619","0.1844","0.0380701","0.0270167","0.0231516","0.069689","0.0308271","0.0640543","0.0340651","0.0731523","0.0365073","0.032967","0.0234227","0.0610346","0.0223297","0.0591377","0.0993228","0.0805793","0.0144049","0.0306354","0.040724","0.0678665","0.0347794","0.0231603","0.020362","0.0472947","0.0105342","0.0252926","0.0738935","0.0553047","0.0318233","0.0215176","0.0297104","0.0834907","0.0348749","0.0858757","0.0598419","0.0433159","0.0720991","0.0420136","0.0425933","0.0561205","0.0610399","0.0296992","0.0559701","0.0286684","0.036036","0.0225479","0.0165787","0.0387947","0.0465815","0.0172867","0.0437901","0.0288822","0.047976","0.0498141","0.0274539"
"MOZ33105","2006","0.026003","0.0188964","0.0210605","0.034006","0.0327619","0.0399397","0.0688488","0.0513208","0.0237736","0.0442511","0.101068","0.0326409","0.0400749","0.0560572","0.0230912","0.0325142","0.0383302","0.0324869","0.0382576","0.0094518","0.0365348","0.0205915","0.069251","0.0919926","0.0309785","0.0338728","0.031203","0.0253731","0.0527704","0.0296992","0.0263257","0.0424972","0.0386782","0.0802538","0.0466262","0.0663418","0.0272693","0.016424","0.0223824","0.0398796","0.0397276","0.0360531","0.0298842","0.0320151","0.0655614","0.031746","0.0255044","0.0451977","0.0272727","0.038912","0.023702","0.0217636","0.0912879","0.0490122","0.0453679","0.0282805","0.0887397","0.0270575","0.0160868","0.0416198","0.0834586","0.101663","0.0624299","0.151875","0.0201945","0.0256601","0.0395928","0.0563013","0.0231411","0.0289303","0.0330978","0.0356072","0.0662401","0.0429331","0.092418","0.0262271","0.0621723","0.0222474","0.0356612","0.0340187","0.0228807","0.0975151","0.0253165","0.0321361","0.030566","0.0175105","0.0250093","0.0466516","0.0835529","0.0364388","0.0192018","0.060173","0.0454887","0.0626642","0.0104244","0.0557859","0.0407393","0.0688091","0.0722076","0.0414157","0.0729323","0.0230537","0.0409159","0.0242608","0.0232123","0.0219864","0.0468867","0.0445193","0.0303484","0.0330609","0.0394199","0.0315908","0.0760746","0.10232","0.0470633","0.0485145","0.0252735","0.0143505","0.0562952","0.0154251","0.032855","0.0515888","0.0435592","0.0259301","0.0289365","0.0345865","0.0659463","0.0432309","0.0458302","0.10266","0.0390625","0.0466766","0.0284006","0.0374813","0.0256024","0.021658","0.0187266","0.0497738","0.0389659","0.0307692","0.0454716","0.0701093","0.0257283","0.0458302","0.180091","0.0348837","0.0286901","0.0239163","0.063253","0.032003","0.059887","0.0315197","0.0754074","0.0350282","0.0315469","0.0233258","0.0589993","0.0225056","0.0583302","0.0967985","0.0819978","0.0139992","0.030303","0.0392601","0.0608108","0.0337079","0.0213964","0.0218456","0.0472973","0.0101504","0.0239635","0.0729598","0.0520404","0.0317757","0.0196078","0.0300075","0.0816018","0.033623","0.0886028","0.0604808","0.0416042","0.0744641","0.0432819","0.0394144","0.0543886","0.0615385","0.0293454","0.0499814","0.0282061","0.0356607","0.0209974","0.0161654","0.0375235","0.0450113","0.0180791","0.0445283","0.0278091","0.0426415","0.0508031","0.0272591"
"MOZ33105","2007","0.0251219","0.0166289","0.0219282","0.0371204","0.0304067","0.0383459","0.0689394","0.0490453","0.0227273","0.0389267","0.0990548","0.0298893","0.0390098","0.0537879","0.0197614","0.0318949","0.0355791","0.0320537","0.036673","0.00864337","0.0353782","0.0195857","0.0682159","0.0869239","0.033145","0.0311094","0.0281532","0.0247284","0.0527506","0.0266917","0.0255831","0.0410754","0.0360496","0.0764331","0.0461771","0.0667667","0.0289148","0.0168099","0.0224335","0.0352006","0.0368283","0.0348485","0.0266217","0.0310978","0.0642236","0.0320634","0.0226314","0.044411","0.0268736","0.0395331","0.0232733","0.0210368","0.0868082","0.0484848","0.0442846","0.0295903","0.0911809","0.0262271","0.0157776","0.0402534","0.0814565","0.101657","0.0604808","0.150466","0.0193669","0.0220726","0.0394589","0.0558262","0.0238456","0.027641","0.0328358","0.0363296","0.0650954","0.0456949","0.093076","0.0205377","0.059752","0.0215501","0.0331966","0.0365348","0.0230999","0.0967501","0.0254016","0.0323308","0.0293564","0.0174772","0.0235426","0.0455054","0.0812641","0.0351796","0.0192018","0.0609618","0.0444361","0.0638378","0.0104908","0.0552194","0.040678","0.0661876","0.0704012","0.0397749","0.0739489","0.0209895","0.0420894","0.0219864","0.0230912","0.0220784","0.0484053","0.0455564","0.032354","0.0330855","0.039048","0.0326209","0.0740319","0.100643","0.0474755","0.0472795","0.0275576","0.0158371","0.0546757","0.0142536","0.0327437","0.0489171","0.0410295","0.0267622","0.0300526","0.0343008","0.06466","0.043956","0.0431491","0.0976342","0.0373413","0.0442113","0.0301227","0.034275","0.025641","0.0220314","0.0186776","0.0484115","0.0379985","0.0276306","0.0454545","0.0654874","0.0271493","0.0457271","0.177249","0.0348184","0.0265051","0.0245719","0.0585586","0.0315552","0.0620038","0.0310629","0.0729206","0.0364936","0.0304414","0.0227015","0.0560329","0.0212687","0.0558299","0.0972118","0.0784387","0.0132026","0.030474","0.0388679","0.0575486","0.0329835","0.0217963","0.021164","0.0456949","0.00900225","0.0217308","0.0728775","0.0516008","0.0285714","0.019238","0.0289747","0.082197","0.0336103","0.0919104","0.0554299","0.0404646","0.0747664","0.0418692","0.0396262","0.0573463","0.0617005","0.0291446","0.0507652","0.0269058","0.0383459","0.0213964","0.0169237","0.0364719","0.0426328","0.0172997","0.0453001","0.0276946","0.041241","0.0484962","0.0253731"
"MOZ33105","2008","0.0226501","0.016381","0.0226929","0.0348184","0.0304298","0.0360767","0.0648218","0.0460502","0.0219365","0.0406226","0.0990991","0.0298123","0.0351665","0.0530705","0.0185874","0.0324896","0.0361038","0.0312849","0.0358897","0.00981502","0.0337079","0.0180113","0.0627334","0.0841473","0.0313667","0.0337913","0.0271289","0.0253637","0.0487622","0.0284325","0.0237826","0.0405959","0.0364114","0.0683696","0.0403349","0.0691589","0.0262566","0.0157009","0.0234405","0.0328178","0.0350811","0.0344697","0.0266417","0.0319669","0.0624295","0.0302457","0.0229446","0.044101","0.03052","0.0396558","0.0228293","0.0199774","0.0842185","0.0454373","0.0437406","0.0298736","0.0906356","0.0254016","0.016585","0.040962","0.0809793","0.103085","0.0602045","0.149851","0.0174851","0.0208955","0.0390977","0.0540135","0.0215909","0.0277778","0.0320656","0.0319069","0.0654518","0.0465291","0.0951656","0.0212687","0.0590004","0.0195709","0.0330579","0.0373022","0.022531","0.0890794","0.0259106","0.0300413","0.030394","0.0170973","0.0230227","0.0442611","0.08","0.0335722","0.0188822","0.0590926","0.042042","0.0610945","0.0101351","0.0568919","0.0377644","0.0626652","0.0681989","0.0430676","0.0697151","0.0213884","0.0417922","0.0198725","0.0231862","0.0209285","0.0499624","0.047619","0.0339933","0.0320417","0.0386473","0.0312735","0.0703214","0.0963268","0.045183","0.0452489","0.0261265","0.0173454","0.0502626","0.0157776","0.0329835","0.0489354","0.0396707","0.0256604","0.0290895","0.0314254","0.0631501","0.0417136","0.0432819","0.0967501","0.0333708","0.0416354","0.0271476","0.0353516","0.024812","0.0206767","0.0186498","0.0508475","0.0368283","0.0252449","0.0442445","0.0613772","0.0248307","0.0453353","0.168182","0.0311211","0.0255735","0.0234288","0.0573248","0.0321361","0.0573708","0.0315985","0.0720549","0.0374672","0.0287879","0.0226929","0.0556593","0.0221305","0.0525114","0.096544","0.0780089","0.0132475","0.0304646","0.0384036","0.0574756","0.0325355","0.023221","0.0215013","0.0447368","0.0082925","0.0220616","0.0670663","0.0492238","0.0291916","0.0184488","0.0278396","0.0788084","0.0334461","0.0918795","0.0539419","0.039223","0.0733083","0.0385912","0.0358879","0.054846","0.0614167","0.0272212","0.046607","0.0261682","0.03659","0.0198428","0.0176958","0.0368852","0.0408546","0.0176162","0.0422801","0.0278091","0.0383156","0.0487988","0.0254682"
"MOZ33105","2009","0.0233962","0.016673","0.0234848","0.0366355","0.0276935","0.0325965","0.0647727","0.0439806","0.0223485","0.0364603","0.0994705","0.0271375","0.0339679","0.0514956","0.0175242","0.0296992","0.0381997","0.0324991","0.0342105","0.0095057","0.0316456","0.0157895","0.060876","0.0810203","0.0308155","0.0346756","0.0274953","0.0231516","0.0477969","0.0273204","0.0244269","0.0403135","0.0342105","0.0664675","0.0395588","0.0682247","0.0245933","0.0163996","0.0245006","0.0305545","0.033509","0.0336484","0.0254968","0.0306313","0.0608006","0.0287117","0.0209844","0.041979","0.0310513","0.0389659","0.0225564","0.0191801","0.0863118","0.0445788","0.0390977","0.0300152","0.0937973","0.0258427","0.015855","0.0416198","0.0776479","0.0988806","0.0575758","0.150056","0.0185322","0.0191801","0.0381451","0.0485256","0.0199925","0.0264851","0.0309933","0.0319789","0.0668409","0.0485876","0.0920455","0.0223464","0.055136","0.0188041","0.0324284","0.0391566","0.0245006","0.0828049","0.0245376","0.0303712","0.0279746","0.01673","0.0209659","0.0436583","0.0763416","0.0320997","0.0192235","0.0590038","0.0414953","0.0609574","0.0100634","0.055088","0.0383892","0.0601278","0.0664151","0.03659","0.0706542","0.0187406","0.0417141","0.0197983","0.0225734","0.020794","0.0466692","0.0484053","0.0336826","0.0301339","0.0396114","0.0304626","0.0656907","0.091452","0.0462687","0.0434946","0.0270473","0.0177627","0.0501497","0.016129","0.0323795","0.0481164","0.0387218","0.0249622","0.0294785","0.0318949","0.0624533","0.0399851","0.0406321","0.0928839","0.0302578","0.0410392","0.0280164","0.0331575","0.024372","0.019403","0.0167348","0.0503597","0.0373022","0.0258912","0.0445026","0.0622407","0.0213643","0.0407172","0.162817","0.0303484","0.0230363","0.0227867","0.0552651","0.0305891","0.0604103","0.0306886","0.0739048","0.038142","0.0268127","0.0212363","0.0564697","0.0202551","0.0524316","0.0946611","0.0737705","0.0131876","0.0292109","0.0369532","0.0553672","0.0315789","0.0222726","0.0222474","0.0448766","0.00713213","0.0204856","0.0690173","0.0483932","0.0265222","0.0195342","0.0280164","0.0768942","0.0312971","0.0940332","0.0527506","0.0358085","0.0753656","0.0414953","0.0355539","0.0513983","0.0604354","0.0275057","0.045062","0.0268356","0.0367285","0.018428","0.0166415","0.0369822","0.0407934","0.0179439","0.039444","0.0264251","0.0333966","0.0476731","0.0240421"
