"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"NER35354","2000","0.0969764","0.0881696","0.0763732","0.0860656","0.0811616","0.174972","0.122866","0.125047","0.102392","0.128913","0.074184","0.0664179","0.101852","0.0579065","0.107143","0.114254","0.13893","0.0770941","0.0570582","0.069248","0.067035","0.0480558","0.0557828","0.0941974","0.0838901","0.0724907","0.0911449","0.138033","0.145052","0.087117","0.125465","0.0676077","0.187064","0.0827484","0.143175","0.0652174","0.0593284","0.0703387","0.0731437","0.118619","0.0540541","0.0861173","0.0933086","0.0738255","0.0896244","0.0941438","0.0344957","0.100332","0.0711078","0.0376444","0.055371","0.0856933","0.117865","0.0950795","0.086729","0.145299","0.127817","0.0978943","0.0545387","0.114852","0.071561","0.074749","0.160412","0.089464","0.135643","0.09699","0.0438467","0.112681","0.072909","0.103333","0.0543718","0.0660973","0.0875559","0.127165","0.0952738","0.0657748","0.0629449","0.0439315","0.0780089","0.0510432","0.0948499","0.0766129","0.125973","0.0697329","0.101003","0.0957328","0.0428835","0.157254","0.0433815","0.0615154","0.115598","0.088443","0.13029","0.127589","0.0764967","0.0538633","0.108208","0.0628507","0.075345","0.0696646","0.0573951","0.0608986","0.115915","0.0739502","0.105578","0.0859779","0.150278","0.137803","0.0559647","0.072963","0.106958","0.115801","0.070767","0.0980611","0.0483217","0.11756","0.060876","0.0543762","0.0735624","0.03342","0.0613155","0.0828688","0.102124","0.09","0.122884","0.186158","0.0936218","0.0637509","0.0814394","0.0745434","0.0605048","0.0671445","0.0652971","0.118107","0.0779318","0.0975428","0.0502959","0.0833022","0.0879406","0.0483092","0.0947096","0.0736449","0.0687593","0.11336","0.059322","0.0438531","0.0641691","0.0947603","0.0510511","0.0559211","0.0672897","0.0969787","0.0871016","0.0774648","0.102677","0.109675","0.0443368","0.0644206","0.121742","0.0689911","0.1289","0.143962","0.0619137","0.0513775","0.18091","0.102026","0.0665927","0.157817","0.148414","0.0756458","0.0839266","0.0656827","0.0423792","0.0403286","0.0624071","0.0692593","0.0939124","0.0867939","0.055889","0.0540441","0.0628486","0.0948115","0.126824","0.068224","0.095309","0.0456909","0.0261896","0.0673825","0.0703125","0.152911","0.0731437","0.191434","0.051244","0.0536713","0.0929368","0.0444689","0.0568773","0.0630832","0.0589993","0.0837054"
"NER35354","2001","0.0973978","0.0893855","0.0766038","0.0819918","0.0802099","0.170867","0.12472","0.128972","0.104175","0.126433","0.0771227","0.0645646","0.102526","0.0586258","0.0961468","0.111564","0.138456","0.0744996","0.0564846","0.0700447","0.0674618","0.0482327","0.0555142","0.0902568","0.0802239","0.0743369","0.0921933","0.131433","0.148273","0.0841087","0.125047","0.0667408","0.191333","0.0809014","0.143498","0.0636535","0.0557009","0.0688488","0.0708163","0.12186","0.0529902","0.0906726","0.0934823","0.0737828","0.0906356","0.096003","0.0363086","0.101256","0.0701162","0.0386905","0.0528077","0.0820951","0.117538","0.096161","0.0866318","0.139095","0.12773","0.103717","0.0568649","0.112491","0.0724368","0.0734526","0.160325","0.0885417","0.133211","0.0977162","0.0400593","0.10847","0.0767225","0.102071","0.0546875","0.0664427","0.0828996","0.122419","0.0931538","0.06885","0.0656109","0.0439479","0.0730064","0.0507652","0.0914179","0.07718","0.1305","0.068012","0.0945441","0.0868275","0.0460111","0.151875","0.0410807","0.0606742","0.107778","0.0909091","0.12792","0.124397","0.0760104","0.0538944","0.108639","0.0621257","0.0753938","0.071561","0.0561715","0.0601113","0.111982","0.0710037","0.111111","0.0874722","0.149215","0.137957","0.0584989","0.0749354","0.105576","0.1197","0.0701039","0.0989135","0.0469501","0.115953","0.0599778","0.055015","0.0716151","0.0317812","0.0595017","0.0831469","0.0994764","0.0882025","0.122683","0.181481","0.0953453","0.0622453","0.0750943","0.0766084","0.0580573","0.0667169","0.06337","0.121652","0.0819672","0.0998138","0.0523213","0.080434","0.0907401","0.0482423","0.0947096","0.0710546","0.068797","0.114433","0.0580573","0.0431844","0.0608309","0.0945495","0.0524133","0.0566176","0.0659218","0.0954699","0.0826873","0.0785262","0.100442","0.107515","0.0429907","0.0638693","0.119776","0.0664933","0.133457","0.14344","0.0644678","0.0507273","0.172876","0.106112","0.0683507","0.159971","0.146268","0.0761553","0.0842066","0.0659259","0.0395375","0.037876","0.0619436","0.0715617","0.091586","0.0903659","0.0582488","0.0559647","0.0647081","0.0974608","0.126316","0.0647803","0.0957009","0.0487622","0.0285714","0.0703443","0.0690814","0.152271","0.0771787","0.197319","0.0551239","0.0552424","0.0937031","0.0453039","0.0580141","0.0661682","0.0583643","0.0849795"
"NER35354","2002","0.100188","0.0875282","0.0739489","0.0775541","0.0819734","0.171631","0.123323","0.128864","0.106742","0.127683","0.0768374","0.0630158","0.103358","0.0566817","0.0871814","0.115127","0.132369","0.0725234","0.0542462","0.0673614","0.0654695","0.0474601","0.0546407","0.0912895","0.0812126","0.073853","0.091623","0.130387","0.153875","0.0782838","0.126359","0.0649833","0.185883","0.0768374","0.148896","0.0630427","0.0562593","0.0677711","0.0730798","0.117514","0.0526715","0.0939948","0.0953096","0.0719076","0.0932075","0.095952","0.0371494","0.100924","0.0743647","0.039019","0.050056","0.0795243","0.11493","0.0981413","0.0868107","0.134773","0.125046","0.102526","0.0585821","0.11161","0.0740603","0.0707335","0.16536","0.0865995","0.133407","0.0942329","0.0401935","0.106642","0.075084","0.0986647","0.0504296","0.0659955","0.0835189","0.115613","0.0919626","0.0695652","0.0615559","0.0436404","0.0698113","0.0495899","0.0899471","0.0751295","0.132125","0.0684112","0.0953628","0.0889799","0.0429907","0.149315","0.0422222","0.0600227","0.10597","0.0928222","0.128779","0.11886","0.0738007","0.0524934","0.106162","0.0604128","0.0718585","0.0741707","0.0549573","0.0589763","0.109077","0.0719051","0.111938","0.0838637","0.147885","0.140719","0.0568685","0.0747212","0.109907","0.12045","0.0709534","0.0933032","0.0485725","0.117316","0.0566108","0.0514925","0.0705751","0.031622","0.0609802","0.084803","0.101389","0.0851301","0.123232","0.185559","0.0883791","0.0584077","0.0728577","0.0747384","0.0589339","0.0636295","0.0613294","0.12216","0.0878176","0.107475","0.0540941","0.0836431","0.0889137","0.0477424","0.094122","0.0660377","0.0713746","0.119331","0.0557828","0.0435435","0.0618941","0.0957883","0.0519924","0.0549573","0.062782","0.0979073","0.0806213","0.0815946","0.100594","0.101124","0.0423221","0.063498","0.120953","0.0671863","0.129491","0.140097","0.0660909","0.0452844","0.170713","0.104534","0.0656285","0.163777","0.146084","0.0742519","0.0835214","0.0645401","0.040824","0.0394199","0.0624535","0.0709702","0.0946856","0.0886313","0.0573463","0.0517369","0.0634508","0.102094","0.11867","0.0688124","0.093902","0.043462","0.0276739","0.0707372","0.0668177","0.155456","0.0777861","0.199553","0.0563536","0.0536384","0.0883791","0.042332","0.0571963","0.0646729","0.0584948","0.0873313"
"NER35354","2003","0.0948795","0.0910809","0.0727753","0.0788397","0.0810403","0.167848","0.121807","0.130629","0.10903","0.125278","0.0769518","0.0667678","0.101796","0.0537065","0.0804725","0.118967","0.130952","0.0739489","0.0539528","0.0651042","0.0594656","0.0450484","0.0559124","0.0913571","0.078329","0.070975","0.0861352","0.133284","0.158033","0.0758204","0.123503","0.0660482","0.182325","0.0794901","0.157019","0.0613705","0.0526119","0.0653817","0.0725177","0.122172","0.0518154","0.0929023","0.101644","0.0660661","0.0954357","0.0937853","0.0360668","0.0983973","0.073316","0.0384328","0.0483508","0.0763158","0.109375","0.0945292","0.0883234","0.133706","0.123887","0.104478","0.0576995","0.109733","0.078446","0.0690691","0.157914","0.0863688","0.132619","0.0886458","0.0390537","0.101149","0.077956","0.0959464","0.0514844","0.0693143","0.0846639","0.111771","0.0878049","0.0659134","0.058579","0.0438173","0.0683183","0.0491987","0.0883137","0.0759446","0.130749","0.0694444","0.0862392","0.0870377","0.0407934","0.148286","0.0382166","0.0599322","0.104315","0.0923483","0.126919","0.116323","0.0787722","0.0488077","0.10597","0.0561417","0.0693293","0.070813","0.05273","0.0605607","0.11082","0.0723562","0.108881","0.0800907","0.145685","0.139955","0.0552261","0.073107","0.108017","0.122656","0.0739098","0.0955077","0.0452522","0.119499","0.0562852","0.0497568","0.0705176","0.0323661","0.0582524","0.0825206","0.0983051","0.0788984","0.118505","0.183528","0.0857143","0.0554723","0.0702948","0.0725291","0.060015","0.0588676","0.0615101","0.124393","0.0860015","0.106518","0.0526316","0.0838637","0.0854478","0.0480805","0.0948276","0.064093","0.0708632","0.121742","0.056962","0.0440957","0.0623134","0.0959161","0.0529701","0.0556593","0.0593124","0.0949721","0.0795243","0.0802838","0.100965","0.10359","0.0399403","0.0623377","0.123887","0.067487","0.132553","0.132611","0.0649887","0.0437874","0.167539","0.10479","0.0667412","0.163197","0.146792","0.0751295","0.0864987","0.0647803","0.0398646","0.0402985","0.0641929","0.0687052","0.0943114","0.0843913","0.057132","0.0521999","0.06684","0.103487","0.117958","0.0667161","0.0908068","0.0419319","0.0259009","0.0714286","0.0639425","0.14819","0.0763473","0.208224","0.057955","0.051147","0.0843328","0.0414179","0.0581006","0.0639252","0.0572704","0.0867939"
"NER35354","2004","0.0972851","0.0875472","0.0749247","0.0753731","0.0770102","0.162304","0.121495","0.128924","0.102269","0.118372","0.0770093","0.0674242","0.104283","0.052295","0.0841676","0.120423","0.128972","0.0744802","0.0529101","0.0632911","0.0570026","0.0441452","0.0533485","0.0881688","0.0782186","0.0724528","0.0871212","0.135467","0.166541","0.0754074","0.122143","0.0684524","0.174991","0.0736289","0.150057","0.0600298","0.0531437","0.0657348","0.0736173","0.119639","0.0472264","0.0909766","0.0988848","0.0635277","0.0968224","0.0904295","0.0364326","0.0967862","0.073991","0.035982","0.0455754","0.0765441","0.112108","0.0915572","0.0886885","0.128454","0.127747","0.106447","0.0565543","0.107547","0.0784314","0.0707262","0.154134","0.0837696","0.131081","0.0809793","0.0424174","0.0996641","0.0762332","0.0950599","0.0508475","0.0673905","0.0816327","0.113278","0.0866792","0.0685757","0.0565894","0.0442215","0.0657895","0.0481523","0.0898273","0.076091","0.124668","0.0630394","0.0867925","0.0875559","0.0398796","0.140683","0.0390098","0.056703","0.100904","0.0927252","0.12238","0.119093","0.0783513","0.0488624","0.106407","0.0557649","0.0680787","0.0704912","0.0537392","0.0609118","0.10552","0.0685034","0.108461","0.0771267","0.144565","0.138294","0.0592179","0.072018","0.105599","0.127026","0.0716407","0.0905334","0.0431387","0.114112","0.0550768","0.0480841","0.0692106","0.0308271","0.057873","0.0809899","0.100451","0.0794007","0.117515","0.1875","0.0869891","0.051997","0.0671192","0.0735017","0.0612552","0.0594837","0.0575353","0.124393","0.0829922","0.1089","0.0517048","0.0788584","0.0848096","0.0493223","0.0940911","0.0636775","0.0675472","0.119431","0.0572177","0.0481883","0.0660448","0.0919325","0.0526316","0.0551595","0.0577358","0.092371","0.0819304","0.0762047","0.101111","0.10098","0.0403587","0.0596399","0.118104","0.0703856","0.134165","0.131073","0.0666417","0.0451999","0.168977","0.109533","0.0617746","0.160688","0.137085","0.0717221","0.0841789","0.0625465","0.0379985","0.040877","0.0636161","0.0684051","0.0937734","0.0830838","0.0547112","0.0551416","0.0639252","0.109492","0.119346","0.0649254","0.0911831","0.0407855","0.0256992","0.0712678","0.0617892","0.145591","0.0795199","0.208804","0.0592593","0.0482109","0.0786601","0.0393701","0.058009","0.0603901","0.0550356","0.0921348"
"NER35354","2005","0.0937853","0.0839637","0.0771247","0.072045","0.0761977","0.15399","0.120509","0.126724","0.103681","0.114736","0.0754858","0.0642097","0.10721","0.0528901","0.0787226","0.117535","0.12397","0.0725624","0.0510865","0.0611174","0.0546139","0.0427286","0.0528701","0.0833648","0.0761977","0.0711061","0.0882353","0.132959","0.164732","0.0699697","0.120631","0.0642645","0.169057","0.0752445","0.148219","0.0594837","0.0519044","0.0610774","0.0684112","0.117293","0.0485693","0.0826845","0.0977894","0.0599251","0.0943114","0.0855413","0.0359985","0.0957367","0.0720755","0.0348576","0.04414","0.0748196","0.106687","0.0891983","0.0810811","0.127842","0.127144","0.0992881","0.0531437","0.105998","0.0795153","0.0650776","0.146396","0.0778152","0.128272","0.0781132","0.0405558","0.0919626","0.0742686","0.0934791","0.0494861","0.0679174","0.0808383","0.105918","0.0843012","0.0680529","0.0574887","0.0427987","0.0632292","0.0460111","0.08659","0.0758595","0.126236","0.0585146","0.0827324","0.0860135","0.0401953","0.137983","0.0368006","0.0540744","0.0962768","0.0986767","0.121292","0.121785","0.0746657","0.0465909","0.108647","0.0511855","0.0650038","0.0708899","0.0499244","0.0582524","0.0985333","0.0687337","0.103332","0.0748196","0.144415","0.130988","0.0562689","0.0694966","0.100527","0.126419","0.0699145","0.0873165","0.0400148","0.111281","0.0566604","0.0464419","0.0688623","0.0301432","0.0532276","0.0806873","0.0995458","0.0803167","0.112241","0.18795","0.0831149","0.0501139","0.0668419","0.0710238","0.0626424","0.0550768","0.0552445","0.122945","0.0815868","0.105283","0.0505851","0.0815789","0.0808575","0.0463626","0.0955631","0.0624765","0.0683535","0.11809","0.0577211","0.0488259","0.0643601","0.0886885","0.0560394","0.0495087","0.0572289","0.0877719","0.078424","0.0750469","0.097109","0.103108","0.0405657","0.0610399","0.1149","0.0671892","0.130894","0.128419","0.066867","0.043722","0.163335","0.112237","0.0597744","0.159759","0.143343","0.0686679","0.0819486","0.059067","0.0367982","0.0397644","0.0602903","0.0682671","0.0924055","0.0787607","0.054414","0.0549944","0.0623583","0.106438","0.116794","0.064093","0.0834281","0.0388679","0.0242424","0.0702804","0.0627125","0.143287","0.0833333","0.209816","0.0631032","0.0464502","0.0773854","0.0367592","0.0571859","0.0553271","0.0532234","0.091215"
"NER35354","2006","0.0957207","0.0813559","0.075345","0.0730422","0.0734633","0.147633","0.118638","0.126829","0.100037","0.105401","0.0728228","0.0623583","0.104869","0.0518992","0.0770093","0.120618","0.127348","0.0710775","0.0463526","0.0584708","0.0535445","0.0424581","0.0495461","0.0839002","0.0744921","0.0680272","0.0861874","0.12785","0.169888","0.0666416","0.116541","0.0688108","0.176604","0.0708661","0.146174","0.0566741","0.0524944","0.0562901","0.0668659","0.111736","0.0481384","0.0854701","0.10045","0.0628272","0.0936567","0.0830827","0.033422","0.0918596","0.0699169","0.0359955","0.0413505","0.0733182","0.102776","0.0860255","0.079925","0.117801","0.128215","0.0915572","0.0540744","0.101772","0.0772435","0.0625937","0.13867","0.0755423","0.12153","0.0758491","0.0393258","0.0894401","0.0757405","0.0853242","0.0496614","0.0678157","0.0815177","0.102256","0.0817704","0.0666159","0.0540541","0.0408852","0.0580038","0.039508","0.0805215","0.0748148","0.123719","0.0558262","0.0795107","0.0822737","0.0420136","0.133234","0.0367007","0.0570026","0.0910802","0.097561","0.115991","0.116428","0.073798","0.0463878","0.105993","0.0474024","0.0640152","0.0661376","0.0501139","0.0585146","0.0956489","0.0654695","0.0985757","0.0687285","0.143018","0.122939","0.0549242","0.0680787","0.0971751","0.123298","0.0712155","0.0842422","0.0385185","0.108687","0.0543478","0.0446927","0.0667417","0.030453","0.0523124","0.0752048","0.0980762","0.0806754","0.111236","0.185002","0.0796857","0.0479245","0.0640689","0.0683019","0.059203","0.0522583","0.0529478","0.122326","0.0846501","0.096313","0.0511364","0.0829268","0.0781661","0.0459164","0.0938338","0.0592871","0.061086","0.119504","0.0525531","0.0485437","0.0645282","0.0897484","0.055724","0.0481928","0.0558912","0.0858434","0.0788679","0.0746269","0.0948469","0.101213","0.0419139","0.0588897","0.113053","0.0625703","0.126644","0.125569","0.0692771","0.0445434","0.160105","0.106942","0.0603675","0.161521","0.139412","0.0675472","0.0803002","0.0585586","0.0362043","0.0386883","0.0593727","0.0688488","0.0916573","0.0775862","0.0538287","0.0508411","0.0566251","0.109253","0.110266","0.0598355","0.0795756","0.0360767","0.0253212","0.0673905","0.0627599","0.141141","0.0828897","0.209914","0.0636872","0.0458992","0.0763759","0.0356741","0.0549659","0.052356","0.0486527","0.0881913"
"NER35354","2007","0.0893729","0.0703856","0.0673363","0.0689785","0.0680883","0.139684","0.111153","0.120332","0.0919626","0.102217","0.0716724","0.0617658","0.098281","0.0505851","0.0672646","0.117779","0.116849","0.068785","0.0442679","0.0564697","0.0537594","0.0393321","0.0457958","0.0736565","0.0679685","0.0631619","0.0768366","0.11988","0.160149","0.0629213","0.106055","0.0631776","0.162111","0.0683857","0.137292","0.0519044","0.048907","0.0520755","0.0628978","0.105401","0.04472","0.0805069","0.0985704","0.0576852","0.0900298","0.0781893","0.0326748","0.0875559","0.0691227","0.0348184","0.0399695","0.0699511","0.100377","0.0821764","0.0748402","0.107906","0.116878","0.0866142","0.0507","0.0956884","0.0751908","0.0625703","0.123466","0.0706542","0.111612","0.0724474","0.0409774","0.0801354","0.0692996","0.0816018","0.0449944","0.0695127","0.0767494","0.0914543","0.0792935","0.0598578","0.0536051","0.0380128","0.0569288","0.0400449","0.0767186","0.0731889","0.116288","0.0532034","0.0771287","0.078534","0.0374574","0.127068","0.0341945","0.0547637","0.0856395","0.0903614","0.110696","0.111862","0.0677587","0.0412098","0.0966402","0.0480515","0.0621212","0.0646503","0.0479635","0.0540947","0.0872508","0.0650865","0.0889387","0.0648855","0.133736","0.114478","0.0513789","0.0618868","0.0891239","0.115718","0.0632248","0.0808768","0.0371885","0.100076","0.0528701","0.0423949","0.0622902","0.0276515","0.0502076","0.0721458","0.0933485","0.0787194","0.102286","0.176783","0.0730253","0.0423921","0.0621257","0.0641026","0.0556182","0.0468516","0.0493781","0.119297","0.0789966","0.0903592","0.0460377","0.076546","0.0741717","0.0449867","0.0847328","0.0577211","0.0584024","0.115124","0.0500373","0.046503","0.0625698","0.0818626","0.0550285","0.0474755","0.0498501","0.0820166","0.0741438","0.0673401","0.088081","0.0926276","0.0400297","0.0551568","0.103654","0.0566392","0.11851","0.116578","0.0681302","0.0424668","0.147702","0.0979073","0.0529677","0.156545","0.129567","0.06634","0.0751964","0.0540643","0.0351548","0.0367782","0.056113","0.0599096","0.0866642","0.0707565","0.0506616","0.0483146","0.0523935","0.102392","0.101554","0.0563275","0.0755002","0.0321135","0.0238636","0.0647697","0.0566179","0.136484","0.075935","0.202268","0.0607089","0.0415879","0.0733634","0.0344054","0.0505127","0.0497754","0.0459813","0.082774"
"NER35354","2008","0.0850825","0.061631","0.0614815","0.0662651","0.0654206","0.134243","0.10098","0.116112","0.088003","0.0955965","0.066365","0.057272","0.090538","0.0473844","0.0601504","0.110696","0.108475","0.0606514","0.0408936","0.0521968","0.0490381","0.0372717","0.0441395","0.0691729","0.0656852","0.0590238","0.0730064","0.116068","0.148888","0.0579006","0.0916667","0.0593062","0.147753","0.0641552","0.122364","0.0496454","0.0427192","0.0467503","0.0591114","0.0987979","0.0417457","0.0727136","0.0903592","0.0536513","0.0867939","0.0741851","0.030349","0.0848777","0.064871","0.0325721","0.0354016","0.0652663","0.0926903","0.0753091","0.0730697","0.104726","0.111943","0.0785498","0.0484234","0.0867597","0.0720516","0.0594393","0.11627","0.0638378","0.103112","0.0683601","0.0415419","0.0747734","0.0672862","0.0755792","0.0403889","0.06571","0.0724528","0.0861874","0.0695289","0.0575916","0.0497738","0.0370931","0.0527497","0.0368976","0.0696706","0.0690423","0.107049","0.0499437","0.0726788","0.072632","0.0369383","0.116297","0.0314632","0.0518992","0.0781832","0.0877589","0.102488","0.103306","0.0622189","0.0395738","0.0857465","0.0438232","0.0590462","0.0613636","0.0458333","0.0509173","0.0798493","0.0577795","0.0832705","0.0615034","0.123578","0.1","0.047619","0.0597744","0.0811627","0.106335","0.0626642","0.0739065","0.0363568","0.0879491","0.0472947","0.0414798","0.0596347","0.02535","0.0492852","0.0702864","0.0921798","0.0725624","0.0978261","0.165152","0.0681648","0.0397727","0.0586916","0.0652174","0.0524934","0.0468867","0.0477635","0.106836","0.0749625","0.0831444","0.0436102","0.0702216","0.0688351","0.0408241","0.0826037","0.0544703","0.0520166","0.112237","0.0464942","0.0450316","0.0602454","0.080434","0.0515152","0.0460725","0.0482655","0.077824","0.0672714","0.0630158","0.080736","0.0847201","0.0374251","0.0521507","0.098281","0.052356","0.108492","0.109857","0.0658295","0.0377638","0.138993","0.0924401","0.0540947","0.143665","0.123447","0.0590892","0.0728228","0.0499432","0.0331808","0.036491","0.056653","0.0553881","0.0818757","0.06574","0.0476012","0.045813","0.0467572","0.0937734","0.0986022","0.0548048","0.0728302","0.0300413","0.0225649","0.0562593","0.0545318","0.133912","0.0696442","0.194307","0.0556391","0.0383156","0.0700301","0.032756","0.0475285","0.0494382","0.0434132","0.0749441"
"NER35354","2009","0.0464072","0.0288822","0.0317401","0.0435435","0.0424423","0.0665658","0.0538606","0.0696706","0.0567456","0.0492666","0.0421846","0.0388533","0.0581655","0.0293893","0.0272897","0.0693143","0.0616078","0.0365535","0.0280197","0.0368283","0.0307167","0.0261682","0.0297066","0.0393701","0.0390004","0.0399397","0.0422323","0.0622877","0.074476","0.0303257","0.056231","0.0324748","0.082607","0.0429746","0.0623123","0.0306428","0.0290936","0.0298001","0.0421687","0.0576779","0.0269245","0.0364662","0.0510204","0.0274024","0.0424972","0.0437571","0.0213333","0.0491803","0.0421733","0.0246637","0.021188","0.0426328","0.0582451","0.0400749","0.0459985","0.0603874","0.0563854","0.0445619","0.023282","0.0508092","0.042706","0.0383756","0.057928","0.0335343","0.0608336","0.0327991","0.0296769","0.0408781","0.030855","0.0503597","0.0299963","0.0391486","0.0372624","0.0484598","0.0437595","0.0324385","0.0334084","0.0272315","0.0302804","0.0270473","0.0436102","0.0440299","0.0555346","0.0308271","0.0401667","0.0432331","0.0247242","0.0644796","0.0195783","0.0355656","0.0503731","0.0471733","0.0604027","0.0524554","0.0416354","0.0240642","0.0486976","0.0294118","0.0311195","0.0420933","0.0273038","0.0322097","0.0456776","0.0367007","0.0468278","0.0345876","0.0671217","0.0576779","0.0358085","0.0396675","0.0471342","0.0582488","0.0309785","0.0444779","0.019094","0.0387915","0.0286901","0.0279122","0.0403889","0.0142643","0.0347924","0.0395227","0.0619772","0.0428249","0.0546612","0.0947885","0.0453693","0.0278824","0.0390244","0.0357143","0.0344054","0.0273613","0.0341038","0.0568985","0.0409006","0.0487439","0.0241783","0.0385047","0.0411631","0.0311432","0.0466086","0.0352588","0.0341977","0.0688108","0.0293564","0.023569","0.0332835","0.0477444","0.0317221","0.0330673","0.0335596","0.0494297","0.0406381","0.0327807","0.046003","0.0497738","0.0224888","0.0366453","0.0525131","0.0314607","0.0469572","0.0580524","0.0338403","0.0255272","0.0697587","0.0430712","0.0361038","0.0800907","0.0653229","0.0403587","0.0416354","0.0318061","0.023628","0.0256506","0.0367347","0.0340393","0.0559701","0.0395331","0.0313901","0.0279456","0.0340952","0.0465556","0.0628528","0.035861","0.0451128","0.0157895","0.0157539","0.0319669","0.0381708","0.0799545","0.0381997","0.115881","0.0367316","0.0242976","0.0366314","0.0204468","0.0359712","0.0329835","0.0294337","0.0442777"
