"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"NGA36802","2000","0.0281481","0.0268958","0.0223771","0.0375604","0.0540135","0.0472646","0.043997","0.0653304","0.0381764","0.0270772","0.0173624","0.0209816","0.0186986","0.0388889","0.0216741","0.0359926","0.0212687","0.0257448","0.0312966","0.0384759","0.0215854","0.0307805","0.0173624","0.020393","0.022946","0.0308937","0.0298452","0.0216593","0.0308824","0.0287399","0.00978547","0.0228529","0.0223464","0.0348665","0.0152416","0.0240118","0.0344569","0.0414643","0.0415893","0.0291298","0.0252933","0.0271476","0.0366218","0.0253921","0.0150094","0.0413589","0.0360997","0.013016","0.0321015","0.0506051","0.0246777","0.0412793","0.0303704","0.0345212","0.0470545","0.0170118","0.0203084","0.0426009","0.063742","0.0261878","0.0189169","0.021477","0.0389755","0.010355","0.0375325","0.0199336","0.0428944","0.0201643","0.0503331","0.0278603","0.0339046","0.0511385","0.0163387","0.0226177","0.0293343","0.0466692","0.0349963","0.0244269","0.0165138","0.0249071","0.0295203","0.0132694","0.027088","0.0260126","0.0405455","0.0311796","0.0159083","0.0268958","0.0302013","0.0197099","0.0228464","0.0319584","0.0231873","0.0270471","0.0516921","0.0308321","0.0225592","0.0551065","0.0528684","0.0180045","0.0282633","0.0326773","0.0674574","0.0205915","0.0562174","0.00893189","0.0265123","0.0362158","0.0160508","0.0290719","0.0683413","0.0258017","0.0790353","0.0319584","0.0156541","0.0302248","0.018128","0.016369","0.0345475","0.0248148","0.0402685","0.0222717","0.0291944","0.0304042","0.0194567","0.0325721","0.02855","0.0287081","0.0471281","0.0502232","0.0374111","0.0326773","0.0302013","0.0185736","0.025974","0.0436404","0.0210177","0.0508349","0.0249349","0.0258621","0.0427033","0.0159555","0.0490453","0.0195049","0.0336788","0.0298507","0.0407782","0.0114815","0.0310861","0.025","0.0154412","0.0318755","0.0217712","0.029368","0.034188","0.0368698","0.0343173","0.0190157","0.0353591","0.0332226","0.0213864","0.0219331","0.0371747","0.0460329","0.0185736","0.0358744","0.0296102","0.0405007","0.0270864","0.0193165","0.0202802","0.0339985","0.0208178","0.025603","0.0260514","0.0499814","0.0290976","0.0400449","0.0438531","0.0267459","0.0320537","0.0327138","0.0250553","0.0372301","0.0182631","0.0416357","0.0218357","0.0180723","0.0129294","0.0198502","0.0219576","0.0318591","0.0255272","0.026306","0.016599","0.0323173","0.0242447","0.0192237","0.0190228","0.0527103"
"NGA36802","2001","0.0282004","0.0310861","0.0220507","0.036803","0.0534437","0.046788","0.0402861","0.0634328","0.0409683","0.0282423","0.0183891","0.0205761","0.0176692","0.0394052","0.0221388","0.0361401","0.0207391","0.0275735","0.0327991","0.0386617","0.0215373","0.0288782","0.0163751","0.0196588","0.0218195","0.0314349","0.0284553","0.0223607","0.0309392","0.0288568","0.0101389","0.0234949","0.0232902","0.0337913","0.0167598","0.0263646","0.0315165","0.0380271","0.0415122","0.0292593","0.0236599","0.0262566","0.0366766","0.0271476","0.0127341","0.0394543","0.0366766","0.0118606","0.0306084","0.0531954","0.0253676","0.039267","0.0301676","0.0349313","0.047247","0.0174203","0.0194247","0.0440299","0.0668419","0.0253826","0.0204233","0.0221388","0.0376304","0.0108048","0.0364312","0.018931","0.0416974","0.0201267","0.0499815","0.0281586","0.033209","0.0501122","0.0155844","0.0234375","0.03052","0.0450113","0.0385335","0.0229151","0.0154128","0.0263842","0.0295967","0.012987","0.0260083","0.0241277","0.0402066","0.0311562","0.0167348","0.0300413","0.0302578","0.0204765","0.0221139","0.0303826","0.0226345","0.0269373","0.0532588","0.0305514","0.0234899","0.0577631","0.0518463","0.0184697","0.0272083","0.0351008","0.067658","0.0209346","0.0591518","0.00976342","0.0265619","0.0363367","0.0172414","0.0264039","0.0644922","0.0232988","0.0763501","0.0306084","0.0167723","0.0293462","0.0181549","0.0168036","0.0348353","0.0242537","0.0390916","0.0207947","0.0296736","0.0312384","0.0200893","0.0324627","0.0296769","0.0299556","0.0462963","0.05013","0.0384906","0.0329095","0.029148","0.0200818","0.023525","0.0441286","0.0213314","0.0477955","0.0270973","0.0245993","0.0403704","0.0175047","0.0487528","0.0195783","0.0327503","0.0276222","0.0394492","0.0119092","0.0332201","0.0243542","0.0154696","0.0306771","0.0215213","0.031028","0.0324627","0.0363224","0.0351331","0.0204309","0.0372419","0.0345596","0.0229885","0.0208333","0.0377711","0.0459641","0.0187126","0.0378703","0.0277882","0.040884","0.0254801","0.018945","0.0205454","0.0334946","0.0206224","0.0269562","0.0254111","0.0500373","0.0286033","0.0389951","0.040962","0.026736","0.0316103","0.0322461","0.0252506","0.0370233","0.0197173","0.0422272","0.023394","0.0169173","0.0137342","0.0179506","0.021658","0.0334586","0.0252976","0.0257751","0.0155153","0.0314117","0.0246361","0.0214101","0.0171578","0.0572391"
"NGA36802","2002","0.028006","0.0326577","0.0218438","0.0363841","0.0535781","0.0507273","0.0396226","0.0618441","0.0428625","0.0257751","0.0188679","0.0209738","0.0166163","0.0391353","0.02234","0.0354478","0.0218045","0.0265585","0.0318114","0.0384615","0.0211424","0.0272897","0.0167848","0.0208178","0.0234812","0.0294118","0.0289855","0.0210955","0.0310651","0.0270471","0.0123688","0.0239323","0.0236599","0.0343028","0.0194538","0.0222635","0.0305628","0.039548","0.0404603","0.0286992","0.0245719","0.0255351","0.0373832","0.0258427","0.0135186","0.0384615","0.0367868","0.0126347","0.0316265","0.0500556","0.0253957","0.0379699","0.0302239","0.0342262","0.0475477","0.0192237","0.0209816","0.0450789","0.0663684","0.0243082","0.0208722","0.0212607","0.037449","0.0104987","0.0375516","0.0182292","0.0403704","0.0194175","0.0505952","0.0267758","0.033829","0.0489903","0.0145468","0.0236842","0.0294118","0.0435763","0.0408852","0.0228037","0.0155556","0.0286992","0.0298842","0.0145468","0.0266417","0.0235867","0.0387049","0.0297552","0.0165538","0.0327437","0.031355","0.0202247","0.021666","0.0312265","0.0201117","0.0253957","0.0567164","0.0310745","0.0228979","0.0560265","0.0533184","0.0173782","0.0279226","0.0336574","0.0684624","0.0182836","0.0558867","0.0108736","0.0244086","0.0358075","0.0168666","0.0296516","0.0645763","0.0237213","0.0800451","0.0306886","0.015596","0.0307577","0.0168036","0.0160988","0.0342205","0.0247098","0.0417443","0.0198651","0.026736","0.0316103","0.019754","0.0315434","0.029744","0.0316992","0.0446761","0.0452858","0.0365348","0.0330454","0.0294776","0.0224048","0.0251219","0.0431358","0.02","0.0452522","0.0256983","0.0228464","0.0397032","0.0168729","0.0469519","0.0199098","0.0358476","0.0261682","0.0400445","0.0127055","0.0318423","0.0217712","0.0151908","0.0301773","0.0200743","0.0310629","0.0313901","0.0336739","0.0364448","0.0208178","0.0394492","0.0326773","0.0219249","0.0190015","0.0371622","0.0445359","0.0178838","0.0411787","0.0284954","0.0387481","0.025307","0.019245","0.0221721","0.0326332","0.0206379","0.0274024","0.0269865","0.0553286","0.0286458","0.0398197","0.0409006","0.0281169","0.0299963","0.0312036","0.0241367","0.0350683","0.018236","0.0422114","0.023143","0.0164732","0.0123043","0.0190868","0.0214608","0.0326454","0.0247469","0.0247376","0.015219","0.0306771","0.0246914","0.0213392","0.0167785","0.0579656"
"NGA36802","2003","0.0267118","0.0310861","0.0207638","0.037037","0.0538404","0.0507652","0.0402861","0.0626172","0.0409683","0.0260672","0.0182563","0.0184627","0.0173193","0.0386057","0.0216401","0.0362888","0.0223231","0.0259451","0.0300752","0.0377288","0.0216095","0.0281955","0.0168036","0.0223131","0.0228807","0.0305514","0.0275811","0.0215854","0.0305856","0.0262861","0.0135084","0.0214894","0.0220149","0.0335217","0.0209424","0.0186846","0.030303","0.0390537","0.0394737","0.0261487","0.0243172","0.0244269","0.0354742","0.02535","0.0139887","0.0384185","0.0372041","0.0127246","0.0332075","0.0494792","0.0270471","0.0377644","0.0290611","0.033532","0.0475113","0.0196078","0.0213803","0.044927","0.069225","0.024015","0.0197099","0.0204918","0.0405657","0.00980392","0.0377358","0.0182972","0.0433159","0.019137","0.0504108","0.0276429","0.0334448","0.0482063","0.0142482","0.0234316","0.0298451","0.0445451","0.0414334","0.0209268","0.0156775","0.0279851","0.0285071","0.0131135","0.0278195","0.0230015","0.0372601","0.0314513","0.015083","0.032124","0.0296102","0.0198205","0.0207391","0.0296992","0.0219249","0.0250368","0.0577861","0.0300752","0.0254301","0.0567087","0.0542549","0.0178838","0.0260999","0.0328302","0.0679429","0.0179439","0.0567164","0.00932488","0.0267823","0.0354742","0.0168602","0.0290395","0.0681903","0.0245993","0.0782249","0.0295991","0.0156775","0.0315789","0.0175832","0.0158192","0.0327869","0.0233346","0.0411416","0.0206456","0.0260126","0.0298174","0.0194903","0.0290719","0.0293785","0.0291298","0.0429153","0.0439151","0.0379699","0.0321736","0.031883","0.0217147","0.0256992","0.0450958","0.0199262","0.0469799","0.0288714","0.0221222","0.0374213","0.0173128","0.0512048","0.021166","0.0366766","0.0246821","0.0393613","0.0131431","0.031155","0.0209033","0.0179104","0.0294118","0.0190654","0.0285285","0.0309471","0.0332075","0.0365263","0.0194611","0.0386637","0.0346756","0.0198279","0.0198205","0.0369403","0.0420857","0.016363","0.0409091","0.0286145","0.0378561","0.0242266","0.0193309","0.0225904","0.0308968","0.0213643","0.0298113","0.0269461","0.0533136","0.0287528","0.0416351","0.0399548","0.0260902","0.030647","0.0318637","0.0243537","0.03342","0.0183452","0.0422323","0.0230741","0.0166038","0.011985","0.0187617","0.0206689","0.0356339","0.0233786","0.0281849","0.0156134","0.0313208","0.0261584","0.0214735","0.0168919","0.0564275"
"NGA36802","2004","0.0271084","0.0322097","0.0202551","0.0374813","0.0521739","0.0521185","0.0402104","0.0603222","0.0435109","0.0248869","0.019403","0.0177492","0.0172608","0.0347794","0.0216648","0.0363841","0.0215991","0.025307","0.0311328","0.0392523","0.0212766","0.0274024","0.0161715","0.022281","0.023702","0.0275093","0.0272999","0.0197614","0.0292354","0.0274127","0.0162509","0.0211503","0.022941","0.0328922","0.0206767","0.0176096","0.0282061","0.040404","0.0367146","0.0246361","0.0229755","0.025188","0.0372301","0.0243069","0.0155009","0.0368144","0.0366176","0.011537","0.0340136","0.0479732","0.0259548","0.0360496","0.0292683","0.0316338","0.0469287","0.0185805","0.0198428","0.0461538","0.0683277","0.0251502","0.0194611","0.0201267","0.0442544","0.010931","0.0379363","0.0157658","0.0419162","0.0177425","0.0471733","0.0266517","0.0324022","0.0488988","0.0122997","0.0237557","0.0280689","0.0418237","0.0434294","0.0208178","0.0161898","0.0302239","0.0286145","0.0120709","0.0281426","0.0222978","0.0370651","0.032756","0.015885","0.0338855","0.0290128","0.0190868","0.0195636","0.0259985","0.0216337","0.0248516","0.0570571","0.0297328","0.0258234","0.0538117","0.052021","0.0168476","0.0260902","0.0330422","0.0699962","0.016123","0.0539124","0.00938438","0.0267219","0.0351139","0.0161593","0.0286778","0.0664165","0.02397","0.0770958","0.0308271","0.0156134","0.0311679","0.016003","0.0154717","0.0313936","0.0233698","0.0394345","0.022281","0.0258234","0.030924","0.0172932","0.0305742","0.0291115","0.0293135","0.0422746","0.0442611","0.0384326","0.0307577","0.0318949","0.023282","0.0251429","0.0414938","0.0203628","0.0451999","0.0256121","0.0235955","0.0348148","0.0154367","0.0508283","0.0220149","0.0361038","0.0254206","0.0398807","0.0146782","0.0280942","0.0206224","0.0161472","0.0275862","0.0174981","0.0300188","0.0296547","0.0323552","0.037679","0.0186846","0.0417933","0.033892","0.017991","0.0190868","0.0335445","0.0423063","0.0163205","0.0410237","0.0284858","0.0395034","0.0229065","0.019688","0.0203927","0.0319189","0.0195783","0.0276306","0.0266817","0.0512915","0.0304282","0.0407547","0.0397276","0.023988","0.029981","0.0312616","0.023361","0.031355","0.0187477","0.0431165","0.0227867","0.0169492","0.00982987","0.0180791","0.0232995","0.0345345","0.0222306","0.0283794","0.0164671","0.0307751","0.0257848","0.0233853","0.0164671","0.0607076"
"NGA36802","2005","0.0274436","0.0336826","0.0196672","0.0352456","0.0496988","0.0522753","0.0393111","0.0609023","0.041745","0.0242332","0.0201869","0.0170261","0.0188111","0.0356607","0.0258555","0.0356473","0.0221305","0.0249442","0.0285714","0.0391861","0.0213563","0.0256217","0.0158371","0.022239","0.0241145","0.0279434","0.0274746","0.0194976","0.0289474","0.026465","0.0144267","0.0197835","0.0222055","0.0318907","0.0199323","0.0153788","0.0286468","0.0384181","0.0373867","0.0251974","0.0230711","0.0222558","0.0358744","0.0247431","0.0159696","0.0385342","0.0377074","0.0115672","0.0318544","0.0494424","0.0272185","0.0358491","0.0301318","0.0305085","0.0446906","0.0193093","0.0190797","0.0443182","0.0686792","0.023702","0.0185536","0.0202475","0.0453523","0.0109599","0.0375569","0.01693","0.0417293","0.015873","0.0481164","0.0278195","0.0337205","0.0471557","0.0115413","0.0228224","0.0270677","0.041871","0.0418552","0.0213323","0.0159272","0.0324284","0.0287117","0.0113336","0.0272999","0.0214125","0.0367703","0.0328302","0.0151057","0.0320392","0.0304626","0.0187547","0.0184836","0.0275368","0.0223131","0.0248609","0.0565331","0.0288097","0.0244086","0.0542986","0.0488906","0.0172543","0.023282","0.0309989","0.0710216","0.0155009","0.0534579","0.00864012","0.0271903","0.0341335","0.0156366","0.0261194","0.0666918","0.0226159","0.0727955","0.0297888","0.0138163","0.0299356","0.0150376","0.0154951","0.0317643","0.0243161","0.0365399","0.022779","0.0247934","0.0298396","0.0177627","0.0310861","0.0283876","0.0311445","0.0394737","0.039039","0.0424725","0.0310861","0.0275057","0.023702","0.0242332","0.0401667","0.0201342","0.0464768","0.0248214","0.0236043","0.0360595","0.0161959","0.0504138","0.0225056","0.0377574","0.024372","0.0382022","0.0144432","0.0283554","0.0195857","0.0182025","0.0291747","0.0186359","0.0303145","0.0282273","0.0310978","0.037234","0.0186776","0.0431298","0.0344828","0.0180113","0.01963","0.0332462","0.0371622","0.0183315","0.0407701","0.0274024","0.0366176","0.0222894","0.0185391","0.0182579","0.0323795","0.0191657","0.0270065","0.0269865","0.0483217","0.0293896","0.0394589","0.0365158","0.0252544","0.0307167","0.0317757","0.0231587","0.0308503","0.0172673","0.0415251","0.0225989","0.0168919","0.010598","0.0173847","0.024033","0.0339751","0.0218868","0.0252926","0.0161959","0.0323686","0.0253921","0.0223881","0.0179641","0.0579873"
"NGA36802","2006","0.0281532","0.0346369","0.0204701","0.0332462","0.0462232","0.0519774","0.0384472","0.0607424","0.0414001","0.0230973","0.0197983","0.0177694","0.0198725","0.0335821","0.0269654","0.0359281","0.0241367","0.0248516","0.0301659","0.0402558","0.0214689","0.0251596","0.0139202","0.0219199","0.0272727","0.0292809","0.0274746","0.0196523","0.0266017","0.0279773","0.0140258","0.0214044","0.0217473","0.033511","0.0198651","0.0134983","0.0263753","0.039039","0.0352673","0.0245283","0.0219033","0.0207234","0.0362481","0.024101","0.0140471","0.0363499","0.0396975","0.0123827","0.0299469","0.046788","0.0284858","0.0353383","0.0303721","0.0286037","0.0417457","0.0193452","0.0191298","0.038651","0.0680272","0.0234316","0.0178165","0.0210843","0.0442279","0.0109269","0.0352807","0.0147003","0.0396975","0.0155303","0.0455904","0.027683","0.0334461","0.0471028","0.011994","0.0220197","0.0248027","0.0427318","0.0420614","0.0209111","0.0147727","0.0316862","0.0275888","0.012782","0.0264235","0.0217147","0.0354182","0.0333333","0.0168666","0.0323673","0.0307808","0.0195268","0.0166038","0.0266517","0.0208333","0.0209189","0.0549492","0.0295567","0.0252069","0.0520951","0.0488171","0.0164302","0.0236664","0.0324304","0.0695817","0.0177761","0.0497382","0.00828313","0.0259204","0.0337458","0.0160149","0.0246637","0.0646992","0.0211241","0.0698282","0.0294229","0.0141369","0.0304646","0.0154367","0.016129","0.0313456","0.0253596","0.0355161","0.0254269","0.0233083","0.0291153","0.0177091","0.028777","0.0279456","0.0307462","0.0382596","0.0370509","0.0411011","0.029588","0.0242057","0.0258621","0.0253788","0.0373049","0.0201869","0.0427928","0.023569","0.0249433","0.0363841","0.015897","0.0499814","0.0223964","0.0380373","0.0244086","0.0371064","0.0132026","0.0271801","0.0189251","0.01693","0.0281419","0.0179439","0.0316027","0.0280794","0.0288282","0.0372199","0.0187406","0.0425124","0.0346498","0.0172156","0.0180316","0.0321015","0.0352324","0.0186846","0.0360767","0.027423","0.0362264","0.0223147","0.0192664","0.0182025","0.0319069","0.0187406","0.0254947","0.0257848","0.0498141","0.0288606","0.0382309","0.0331808","0.0260672","0.0292664","0.0291916","0.023361","0.03074","0.016585","0.0404537","0.0218951","0.0172802","0.0086858","0.0162448","0.0244729","0.0310049","0.0204934","0.0234671","0.0165414","0.0314156","0.0253826","0.0209816","0.0176493","0.0537392"
"NGA36802","2007","0.0295217","0.0350354","0.0192018","0.031355","0.0461248","0.0515231","0.0387915","0.0609118","0.0400599","0.0227445","0.0190299","0.0173323","0.0195857","0.033033","0.0253884","0.0347664","0.0220478","0.0249627","0.0273921","0.0413819","0.0207156","0.0228037","0.0150659","0.0219199","0.0253117","0.0277881","0.0263653","0.0176426","0.0267018","0.0266059","0.0139939","0.0213964","0.0224551","0.028777","0.0184419","0.01242","0.025641","0.0404343","0.0333333","0.0245933","0.021862","0.0211002","0.03367","0.02207","0.0151114","0.0338346","0.0375375","0.0112066","0.0300865","0.0451661","0.027027","0.0337965","0.0305927","0.028991","0.0405918","0.0202171","0.0177024","0.036673","0.0636123","0.0234671","0.0154309","0.0219282","0.0451977","0.0116585","0.0337121","0.0150716","0.0407855","0.0139675","0.0452506","0.027027","0.0328426","0.0442777","0.0101237","0.0211002","0.0237467","0.0394837","0.0393641","0.0202096","0.0139728","0.0293123","0.0259594","0.0127628","0.0253637","0.0194393","0.0339751","0.0322702","0.0167785","0.0314607","0.0293343","0.0172478","0.0170197","0.0272286","0.0201869","0.0205454","0.0519774","0.0297328","0.0236043","0.0479245","0.0479245","0.016791","0.0222558","0.0322826","0.0662628","0.0166793","0.0495682","0.00715361","0.0248214","0.0355805","0.0161109","0.0223964","0.0619569","0.0219033","0.0671365","0.0291153","0.0130451","0.0300266","0.0156833","0.0157539","0.0300609","0.0234139","0.0346756","0.025076","0.0236753","0.027914","0.0179048","0.0309084","0.0287958","0.0299356","0.0380597","0.0360631","0.0412254","0.0281637","0.0248963","0.0273716","0.0259245","0.0377143","0.0193885","0.041979","0.023845","0.0252259","0.0364388","0.0143396","0.0484713","0.0221805","0.037037","0.0241509","0.0359281","0.0131777","0.0257478","0.0189394","0.0143018","0.0278307","0.0160628","0.0298001","0.0268958","0.0277674","0.0365158","0.0172673","0.0411899","0.0346627","0.0179978","0.0161898","0.0298396","0.0348054","0.0191011","0.0354345","0.0257079","0.0359281","0.023317","0.0170433","0.0187336","0.0318352","0.0183315","0.0250665","0.0239163","0.0494976","0.0270169","0.0381451","0.0312858","0.0248027","0.0282912","0.0304054","0.0223062","0.0300494","0.016585","0.0411943","0.0206612","0.0168539","0.0082769","0.0150207","0.0244821","0.031994","0.0191729","0.0257381","0.0168729","0.0311787","0.0230483","0.0202703","0.0176096","0.0519187"
"NGA36802","2008","0.0294996","0.03054","0.019289","0.0300526","0.0443014","0.0506377","0.0362346","0.0582524","0.0371343","0.0225989","0.0181683","0.0160448","0.0195489","0.0308619","0.0268838","0.0334586","0.0241546","0.0253826","0.0279226","0.0382866","0.0186986","0.0213323","0.013626","0.0205011","0.0236575","0.0283159","0.0244545","0.0172608","0.0241236","0.0257576","0.0151057","0.0217881","0.0214418","0.0286252","0.0187688","0.0113293","0.0254491","0.0406168","0.0293343","0.0223316","0.0213803","0.0222306","0.0325477","0.0210843","0.0154834","0.033509","0.0370648","0.0108614","0.0296213","0.0442873","0.0246637","0.03429","0.0298965","0.0287879","0.0397126","0.0198428","0.0170004","0.0359576","0.0609023","0.0220448","0.0139045","0.0199623","0.0418552","0.00901239","0.0332829","0.015083","0.0393939","0.0139675","0.0435109","0.0264251","0.0320513","0.0433145","0.0104478","0.0202855","0.0238727","0.0389856","0.0385925","0.0187547","0.0132026","0.0274539","0.0248027","0.0127246","0.0246914","0.0186637","0.0320513","0.0318471","0.015402","0.0304054","0.0299625","0.0168729","0.0162081","0.0231603","0.0196152","0.0199473","0.0494153","0.0311445","0.0227101","0.0474755","0.0461073","0.0172738","0.0224383","0.0309551","0.0620977","0.0148233","0.0473506","0.00757002","0.0240873","0.0346516","0.0143288","0.02228","0.0595104","0.0212524","0.0629164","0.0268456","0.0130305","0.0280516","0.0145903","0.0146232","0.0293222","0.0236842","0.033421","0.0234405","0.0225394","0.0249057","0.0163498","0.0286901","0.0271982","0.027704","0.0361582","0.0379842","0.0379075","0.0281155","0.0232733","0.0288174","0.0255921","0.0388868","0.0195415","0.0422272","0.0238273","0.0243069","0.0338219","0.0142643","0.0469748","0.0199548","0.037179","0.0224719","0.0367592","0.011274","0.0272315","0.0199398","0.0124387","0.0279035","0.0153099","0.0290566","0.0261682","0.0264051","0.0345876","0.0157186","0.0417933","0.0346627","0.0171898","0.0162264","0.0277361","0.0329588","0.0195562","0.03429","0.025","0.0362752","0.0233698","0.01527","0.0183041","0.0296102","0.0176096","0.0246305","0.022633","0.0474057","0.0258137","0.0372301","0.0308219","0.0247562","0.0256604","0.02783","0.0218209","0.0289855","0.0169875","0.0377929","0.0207861","0.0152416","0.0089955","0.015015","0.0227445","0.0327503","0.0186081","0.0283447","0.0161109","0.0291005","0.0231689","0.0200454","0.0168602","0.0465116"
"NGA36802","2009","0.0297841","0.0280374","0.0192235","0.0265024","0.0450076","0.0513686","0.0357942","0.0571109","0.0358075","0.0207312","0.0163812","0.0160868","0.0191729","0.0296658","0.0302115","0.0317876","0.022685","0.0253731","0.0269865","0.0350151","0.017636","0.0198428","0.0135338","0.0192744","0.02484","0.0259106","0.0243902","0.0178639","0.0233258","0.0243531","0.0150716","0.0208018","0.0209945","0.0267722","0.0182495","0.00903614","0.0224972","0.0404079","0.0281109","0.0223909","0.0212845","0.0199323","0.0288822","0.0202779","0.0150094","0.0311094","0.0366904","0.0109064","0.0277569","0.0430067","0.0254968","0.0323661","0.0282443","0.0272315","0.0378136","0.0198651","0.0166856","0.0331429","0.0597071","0.0211961","0.0108736","0.0200302","0.0393195","0.00938438","0.0328798","0.0139939","0.0391566","0.0144103","0.0425772","0.0278091","0.0297664","0.0403165","0.00973054","0.0217473","0.0242976","0.0363086","0.0354851","0.0177024","0.0121442","0.0271289","0.0242149","0.0119492","0.0232645","0.0190583","0.0306818","0.0327314","0.0146232","0.0317876","0.0310629","0.0169173","0.016202","0.023622","0.0202931","0.0177358","0.0476906","0.03003","0.0234493","0.0427447","0.0428249","0.0154077","0.021666","0.0285714","0.061008","0.0141006","0.042954","0.00677711","0.0221971","0.0339367","0.0143018","0.0210053","0.0585126","0.0204778","0.0620126","0.0253637","0.0127628","0.0252101","0.013544","0.0134933","0.0313444","0.0233083","0.0325599","0.0249151","0.0213964","0.0229669","0.01673","0.0279985","0.0274991","0.028528","0.0368421","0.0380128","0.0354316","0.0274181","0.022239","0.0274643","0.0265756","0.040061","0.020339","0.0396114","0.0235075","0.0239362","0.032003","0.0138629","0.045062","0.0195415","0.037279","0.0214447","0.0355539","0.0116454","0.0246026","0.0191298","0.00971599","0.0244269","0.0153501","0.0285607","0.0224803","0.0265957","0.031991","0.0150319","0.0434783","0.0332835","0.0167848","0.0155598","0.0271698","0.0325965","0.0193036","0.0332835","0.0239252","0.0351139","0.0245283","0.0145251","0.0161837","0.0303598","0.0167973","0.0233786","0.0226074","0.0496825","0.0260708","0.0381764","0.030326","0.0232471","0.0277257","0.0267219","0.0207469","0.029624","0.0165351","0.0361492","0.0204005","0.0149477","0.00966902","0.0138837","0.0216648","0.0329095","0.0179708","0.0293222","0.0157127","0.0313326","0.0238007","0.02","0.0168856","0.0490196"
