"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"SDN66107","2000","0.00560748","0.00559493","0.00817236","0.00966902","0.0138266","0.00662008","0.00899888","0.00706582","0.00370645","0.0145143","0.00413068","0.00337205","0.00372301","0.00960118","0.0033321","0.00590842","0.00407709","0.00409531","0.00711877","0.00443459","0.00259644","0.00552283","0.00221648","0.00225734","0.00813309","0","0.00372995","0.00262467","0.00712144","0.00858529","0.0126347","0.00743771","0.00661278","0.00369959","0.00479351","0.00483271","0.00405455","0.00668648","0.0092285","0.00670141","0.00484894","0.00111857","0.0122268","0.00554119","0.00816933","0.00515844","0.000372439","0.00407407","0.00297841","0.00787992","0.0126724","0.010833","0.00332349","0.00185805","0.00148368","0.00373832","0.0129486","0.0102866","0.00595238","0.00257542","0.00369004","0.00375516","0.00334572","0.00814212","0.00037037","0.00521221","0.0119537","0.00300865","0.0101161","0.00598578","0.0055991","0.00516415","0.0152587","0.0052064","0.00367512","0.00747664","0.010483","0.003342","0.00521999","0","0.0153386","0.00554529","0.00922169","0.00750751","0.00112275","0.000370645","0.00111566","0.00332963","0.00297177","0.00448598","0.00708955","0.0029553","0.0051756","0.00408618","0.00628001","0.0109228","0.00777778","0.00480591","0.0062963","0.017824","0.00336323","0.0063197","0.0111857","0.00221402","0.00336072","0.00745712","0.00852799","0.00638858","0.00037092","0.00221976","0.00261976","0.00409836","0.0033321","0.00786517","0.00408163","0.00995208","0.00594133","0.00444939","0.0108941","0.00663228","0.00556793","0.00481481","0.00444939","0.0119358","0.0133531","0.00406054","0.00748503","0.0109146","0.00705533","0.00477415","0.0101275","0.00814212","0.0114815","0.00631735","0.00484894","0.00707635","0.00334448","0.00678222","0.00849963","0.010158","0.00368868","0.00521415","0.00258684","0.00484352","0.00887574","0.00739098","0.0127532","0.0107209","0.00624311","0.00333457","0.00443131","0.00485618","0.00484352","0.00407407","0.00296296","0.00300526","0","0.00516034","0.0077634","0.00450113","0.0140689","0.0221976","0.00148976","0.0133038","0.0099926","0.00489642","0.00702403","0.00961894","0.00709485","0.00560329","0.00297841","0.017177","0.012758","0.00731797","0.00810612","0.00443787","0.00371609","0.00296736","0.00978547","0.00369004","0.00185874","0.0148478","0.00294985","0.00594796","0.00789771","0.00594796","0.00368053","0.00149087","0.00634092","0.00820283","0.0011169","0.0059657","0.00298396","0.00187829","0.00262271","0.011456","0.010101","0","0.00411985","0.00260514"
"SDN66107","2001","0.00522973","0.00633147","0.00708163","0.010101","0.0119671","0.00627538","0.0093423","0.00708163","0.00335821","0.0138266","0.004858","0.00299513","0.00409074","0.00928333","0.00335196","0.00592154","0.00333087","0.00443459","0.00749625","0.00447427","0.00298063","0.00447594","0.0018615","0.00262369","0.00818757","0","0.00410142","0.00261292","0.00709485","0.00900225","0.0130402","0.0074129","0.00666914","0.00406054","0.00514328","0.00595017","0.00442968","0.00633147","0.00814815","0.0063742","0.00483991","0.000744879","0.0122177","0.00482554","0.00782414","0.00521221","0.000370508","0.00372856","0.00297287","0.0093423","0.010931","0.00901239","0.00371195","0.00185185","0.00149981","0.00411369","0.0125323","0.00923873","0.00597238","0.00259933","0.00335821","0.0037594","0.00371195","0.00924556","0.00074129","0.00409226","0.0133829","0.00376081","0.0101887","0.00637899","0.00598131","0.0051756","0.0130841","0.00558243","0.00407106","0.00786222","0.0112824","0.00372439","0.00453001","0","0.0150038","0.00485437","0.00961538","0.00718336","0.00150773","0.000748223","0.0011236","0.00333952","0.00298285","0.00525723","0.00710812","0.00294226","0.00519288","0.00446595","0.00590406","0.0102002","0.0070922","0.0052064","0.00743218","0.0153443","0.00335696","0.00599027","0.0111773","0.00261976","0.0029773","0.00634092","0.0093214","0.00604686","0.000372024","0.00222883","0.00299625","0.00333333","0.00372995","0.0074599","0.00408618","0.0100111","0.00598802","0.00557207","0.0115758","0.00633147","0.00559701","0.00446429","0.00333952","0.0133531","0.011194","0.00447094","0.00708163","0.0112952","0.00742942","0.0055371","0.00935279","0.00747105","0.0114518","0.0063599","0.00483451","0.00747105","0.00300865","0.00600826","0.00738007","0.0105224","0.00331126","0.00484352","0.00223547","0.00445104","0.00889548","0.00780669","0.0127916","0.0107887","0.0062963","0.00334324","0.00409378","0.0064006","0.00518903","0.00370233","0.0022214","0.00300188","0","0.00480591","0.00814513","0.00487988","0.0141316","0.0204385","0.00223464","0.0122768","0.00965825","0.00568182","0.00849963","0.0100334","0.0070922","0.00562641","0.00300075","0.0156483","0.0127436","0.00664452","0.00631735","0.00518327","0.00410142","0.00371058","0.00939496","0.00333457","0.00221729","0.016835","0.00294877","0.00562641","0.00790365","0.00557414","0.00368868","0.00112233","0.00598131","0.0078534","0.00111732","0.00750188","0.00297287","0.00224972","0.00224299","0.0100521","0.010602","0","0.00523952","0.00223714"
"SDN66107","2002","0.00524541","0.00630096","0.00601052","0.0113293","0.0138629","0.0063033","0.0101199","0.0074599","0.00299513","0.014195","0.00563275","0.00336323","0.00411523","0.00854066","0.00412603","0.00672394","0.00445931","0.00441826","0.00791557","0.00447594","0.00334946","0.00487988","0.00223714","0.00262566","0.00893522","0","0.00375375","0.00224803","0.00566465","0.0090566","0.0133432","0.00671642","0.00668896","0.00405754","0.00514139","0.00635277","0.0044843","0.00557","0.00886918","0.00638858","0.00485981","0.000375094","0.012254","0.00558243","0.00785047","0.00524934","0.000372439","0.00334821","0.00297952","0.00819672","0.0117647","0.00977076","0.00371747","0.0018546","0.00112486","0.00336826","0.0117777","0.00931446","0.00562641","0.00262271","0.00375375","0.00375375","0.00370782","0.00929023","0.000743771","0.00448096","0.0152757","0.00412294","0.0101887","0.00712946","0.00560748","0.00483271","0.0108941","0.00483451","0.00447594","0.00828002","0.0108818","0.00372578","0.00414625","0","0.0146177","0.0048909","0.00817844","0.00790663","0.00150716","0.000751315","0.000753012","0.00261487","0.00297841","0.00525131","0.00672897","0.00295421","0.00522193","0.00449607","0.0059546","0.0101733","0.00638378","0.00560957","0.00714286","0.0176426","0.00373832","0.00564546","0.00974148","0.00301773","0.00299513","0.00747943","0.00899213","0.00529701","0.000375799","0.00222387","0.00263653","0.00297177","0.00373134","0.00708955","0.00409378","0.0100709","0.00641752","0.00519481","0.0115715","0.00747105","0.00564759","0.00450789","0.00411523","0.0140481","0.0105621","0.00373832","0.00787106","0.0101504","0.0074129","0.00407257","0.00944109","0.00671892","0.0128676","0.00530303","0.00448766","0.00634328","0.0026465","0.00634565","0.00741565","0.011274","0.00442641","0.0052356","0.00262566","0.00411061","0.00706845","0.00744325","0.0120664","0.0108249","0.00521415","0.00372301","0.00409226","0.00604458","0.00554939","0.00448096","0.00260902","0.00302001","0","0.0055638","0.00812408","0.00484532","0.0150038","0.0183796","0.00299289","0.0125879","0.00894188","0.00454201","0.00851221","0.010101","0.00742666","0.00489827","0.0029985","0.0148754","0.0130988","0.00592154","0.00673149","0.00518327","0.00483451","0.00408618","0.00904295","0.003367","0.00222552","0.0154309","0.00261487","0.00563063","0.00795153","0.00591716","0.00333333","0.00112528","0.00631266","0.00669643","0.00111815","0.00526712","0.00223464","0.00262763","0.00224719","0.0112697","0.0102079","0","0.00527108","0.00224551"
"SDN66107","2003","0.00447261","0.00633619","0.00527108","0.0123967","0.0142965","0.00745156","0.00902935","0.00824279","0.00375094","0.0146177","0.00561587","0.00336197","0.00375799","0.00781541","0.0044927","0.00673653","0.00449102","0.00445269","0.00754148","0.00412448","0.00260514","0.00453858","0.00223964","0.00298954","0.00855973","0","0.00374953","0.00186498","0.00490937","0.00863039","0.0119181","0.00635514","0.00637899","0.00371885","0.00554529","0.00673905","0.00450281","0.00558867","0.00853749","0.00681302","0.00414938","0.000374813","0.0123781","0.00518903","0.00787106","0.00530705","0.000372162","0.00373274","0.00262566","0.00855019","0.0113723","0.00869237","0.00448263","0.00186081","0.00112782","0.00298619","0.0118782","0.00781832","0.00563698","0.00302457","0.00376223","0.00337079","0.00336826","0.00934579","0.000746547","0.00560329","0.0160448","0.00410601","0.00946253","0.00790068","0.00597461","0.00523952","0.00985969","0.00522778","0.00411677","0.0075959","0.0105263","0.00374813","0.00415879","0","0.0149645","0.00528103","0.00860456","0.00716981","0.00149757","0.00075643","0.00113507","0.00263753","0.00334076","0.0048909","0.00676183","0.00296736","0.00564759","0.0044927","0.00672897","0.0117247","0.00718065","0.00522583","0.00749344","0.0172285","0.00337331","0.0071617","0.00931446","0.00302686","0.00300526","0.00669892","0.00641267","0.00341168","0.000374392","0.00296406","0.00263554","0.00299289","0.00373134","0.00675422","0.00409836","0.00899888","0.00567322","0.00410448","0.0108249","0.00675929","0.00527903","0.00454545","0.00261292","0.0145089","0.010566","0.00411985","0.00711344","0.00864012","0.00737463","0.00299065","0.0090566","0.00633147","0.0132062","0.00570559","0.00410295","0.00745434","0.00265152","0.00674663","0.0078125","0.0107887","0.00296077","0.00675929","0.00262172","0.0044843","0.00594575","0.00748223","0.0127772","0.00982244","0.00596347","0.00299289","0.00409378","0.00606061","0.00635514","0.0044927","0.00262172","0.00302686","0.000751315","0.00674916","0.00776915","0.0059657","0.01242","0.0182836","0.00260417","0.0119048","0.00940557","0.00455581","0.00817844","0.00944109","0.00748503","0.00456621","0.003003","0.0152643","0.0127436","0.00594796","0.00709485","0.00556793","0.00448096","0.00371195","0.00906687","0.00337584","0.00259355","0.0168413","0.00262369","0.00526316","0.00754717","0.00557828","0.00261292","0.00112233","0.0062963","0.00672897","0.000746269","0.00525328","0.00334324","0.00299513","0.0029873","0.011325","0.0113895","0","0.0052592","0.00263852"
"SDN66107","2004","0.00448263","0.00669145","0.00678989","0.01242","0.0135644","0.00712946","0.00903614","0.0085885","0.00414938","0.0141422","0.00526514","0.00339751","0.00336826","0.00824279","0.00374813","0.00599475","0.0052356","0.00408012","0.00750188","0.00415565","0.00222387","0.00492238","0.00224551","0.00299289","0.00824897","0","0.00375799","0.00148976","0.00455235","0.00935629","0.0104478","0.0063244","0.00639819","0.00448263","0.00555967","0.00711078","0.00488171","0.00559701","0.00782706","0.00569476","0.00414313","0.000376506","0.0131579","0.00556793","0.0075358","0.00493546","0.000373692","0.00337079","0.00302115","0.0071028","0.0106504","0.00984848","0.00523756","0.00224299","0.0011355","0.00409378","0.0104167","0.0077951","0.00529301","0.00263356","0.00415565","0.00298396","0.00377074","0.00782706","0.000750188","0.00487074","0.0148699","0.00411523","0.00789177","0.00871212","0.0059657","0.00523952","0.00907372","0.00484532","0.00373552","0.00649351","0.0101504","0.00263952","0.0053313","0","0.0154077","0.00490566","0.00898876","0.00600375","0.00187196","0.000754432","0.000754717","0.00263257","0.00261389","0.0048909","0.00678733","0.00186706","0.00563275","0.00451807","0.00637899","0.010235","0.00567967","0.0044927","0.0079096","0.0153616","0.00338092","0.00714554","0.0101199","0.0030453","0.00338092","0.00780089","0.00833649","0.00416351","0.000377644","0.0029985","0.00264851","0.00375516","0.00373134","0.00604915","0.00447427","0.00863039","0.00529101","0.00410601","0.0108169","0.00639579","0.00455581","0.00454718","0.00261976","0.0134328","0.00984476","0.00414313","0.00744048","0.00752445","0.00743771","0.00263653","0.0109517","0.00597907","0.0111359","0.0061092","0.00410601","0.00631266","0.0030546","0.00596792","0.00746547","0.0100709","0.00447928","0.00641267","0.00263852","0.00484532","0.00410295","0.00751315","0.0117158","0.0102273","0.00633383","0.00300865","0.00373832","0.00568397","0.00749625","0.00412294","0.00336826","0.00265554","0.000755572","0.00714286","0.00857249","0.004858","0.011796","0.0186428","0.00335946","0.0128012","0.00977811","0.00488722","0.00712678","0.00795455","0.00790068","0.00459594","0.0026296","0.015253","0.013363","0.00599925","0.00712678","0.00482017","0.00451807","0.00446429","0.00913938","0.00300188","0.00260999","0.0168729","0.00261487","0.00530504","0.00979653","0.00557828","0.00263257","0.00112994","0.00595681","0.00524541","0.00149477","0.00451297","0.00336574","0.00261292","0.00299065","0.0110266","0.0106101","0","0.00490381","0.00264251"
"SDN66107","2005","0.00488722","0.00670891","0.00678733","0.0114112","0.0132225","0.00678477","0.00786517","0.00788584","0.00454373","0.0146672","0.00601278","0.00415565","0.00336826","0.00828937","0.00453686","0.00563486","0.00641994","0.00447594","0.00747943","0.00379219","0.00299289","0.00342075","0.00260902","0.00262664","0.00857569","0","0.00414313","0.000744879","0.00564759","0.0101161","0.0104595","0.00600826","0.00647372","0.00522193","0.00558243","0.00641994","0.00491865","0.00562641","0.0071161","0.00684671","0.00415879","0.000375235","0.0135135","0.00487622","0.00752729","0.00494485","0.000375235","0.00338728","0.0037679","0.00708163","0.0102118","0.00907029","0.00564546","0.00225649","0.0011355","0.0045045","0.0115156","0.0085885","0.00527704","0.00226074","0.00416351","0.00372856","0.00415094","0.00819672","0.000754432","0.00598131","0.017145","0.00559493","0.00752445","0.00907716","0.00672394","0.00566465","0.00945895","0.0055991","0.00452489","0.00610687","0.00937734","0.00301205","0.00531511","0","0.0154834","0.00491679","0.0089955","0.00599027","0.00225479","0.00075959","0.000756144","0.00265453","0.00261097","0.00489274","0.00645406","0.00187336","0.0060423","0.00414469","0.00529501","0.0103093","0.00604686","0.00447594","0.00717252","0.0138837","0.00226074","0.00715092","0.0097561","0.0030349","0.00262763","0.00711344","0.00643208","0.00453858","0.000378215","0.00299513","0.00301091","0.00409836","0.00339879","0.00565185","0.00448598","0.00941974","0.00567967","0.00449775","0.0101086","0.0060675","0.00490566","0.0045045","0.00340008","0.0131086","0.0102389","0.00454373","0.00782123","0.00604686","0.00745712","0.00227101","0.0120846","0.00600375","0.011257","0.00610687","0.00526712","0.00594796","0.00343511","0.00635277","0.0078534","0.0101313","0.00377216","0.0060173","0.00228137","0.004858","0.00373552","0.00793951","0.0109599","0.00984848","0.00598802","0.00301205","0.00411677","0.00602183","0.00635752","0.00448934","0.00376506","0.0030303","0.00075188","0.00793351","0.00820589","0.00522388","0.00986717","0.0183452","0.00225649","0.0124669","0.0106181","0.00489274","0.00640543","0.00835549","0.00754717","0.00461007","0.00301205","0.0152814","0.0141002","0.00677201","0.00787697","0.00560329","0.00453515","0.00446927","0.00981873","0.00302115","0.00299513","0.0180859","0.00300075","0.00530504","0.00986343","0.00559493","0.000752445","0.00113165","0.00637659","0.00451128","0.00112191","0.00412603","0.00338092","0.0026178","0.00262664","0.0106748","0.0109848","0","0.00489274","0.00264851"
"SDN66107","2006","0.00413378","0.00633383","0.00605831","0.0121858","0.0136054","0.00637899","0.00859171","0.00823353","0.00378215","0.0158371","0.00567752","0.00415251","0.00337838","0.00676946","0.00302801","0.0064006","0.00607672","0.00450958","0.00827379","0.00416983","0.00297952","0.00492798","0.00372995","0.00225989","0.00814815","0","0.00377216","0.000373134","0.00640784","0.00940557","0.0100784","0.0056391","0.0056926","0.00524541","0.00558659","0.00602637","0.00453686","0.00562641","0.00712411","0.00643452","0.00455927","0.000750188","0.0135186","0.00485981","0.00755858","0.00493171","0.000376506","0.00374111","0.00378644","0.00711078","0.00943396","0.00826757","0.00528501","0.00227015","0.00112782","0.0045045","0.0119092","0.00783875","0.00491679","0.00225904","0.00377786","0.00335071","0.00415565","0.00784167","0.000756716","0.00598802","0.0179171","0.00486709","0.00714017","0.0086858","0.00707899","0.00532725","0.0108982","0.00597907","0.00413845","0.00611855","0.0078446","0.00302801","0.00528901","0","0.0150773","0.00489642","0.0097561","0.00636704","0.00263554","0.000754432","0.00037679","0.00265252","0.00409683","0.00487805","0.00645406","0.00112655","0.00644428","0.00377644","0.00494673","0.0124669","0.00565611","0.00410908","0.00641752","0.0119895","0.00300188","0.00671141","0.0089854","0.00340008","0.00339751","0.00675422","0.00718336","0.00417141","0.000377358","0.00338855","0.00301318","0.00335946","0.00338728","0.00568828","0.00527506","0.00864337","0.00489642","0.00451977","0.0101389","0.00530303","0.00564759","0.00449438","0.00377358","0.0117202","0.0109765","0.00416509","0.00935279","0.00453343","0.00744602","0.00189322","0.0109393","0.00596347","0.0112697","0.00569909","0.00526316","0.00707635","0.00301887","0.00634565","0.00746826","0.0105461","0.00340522","0.00605373","0.00263455","0.00451637","0.00336323","0.00755858","0.0117158","0.00984103","0.00595017","0.00339495","0.00486163","0.0059657","0.00676946","0.00412603","0.00303836","0.00342857","0.000750188","0.00834598","0.00785634","0.0056391","0.00908059","0.0175898","0.00225394","0.0113037","0.0109724","0.00451807","0.00527506","0.00909435","0.00796359","0.00456969","0.00225394","0.0153042","0.0134781","0.00562852","0.00971599","0.0052161","0.0045403","0.00482912","0.00904636","0.0026465","0.00337331","0.0172738","0.00262566","0.00531511","0.00990476","0.00521027","0.000752445","0.00112952","0.00527506","0.00448766","0.00111649","0.00338473","0.00339111","0.00263257","0.00187477","0.0117513","0.0113422","0","0.00563063","0.00227015"
"SDN66107","2007","0.00411677","0.00599027","0.00564334","0.0106141","0.0154951","0.00600601","0.00822737","0.00820589","0.00302115","0.0154367","0.00641267","0.00491679","0.00374953","0.00676692","0.00302457","0.00601504","0.00644917","0.00455927","0.00830189","0.00418729","0.00262369","0.00490011","0.00374392","0.00188111","0.00858209","0","0.00336449","0.000374672","0.00563486","0.0108736","0.0101504","0.00713749","0.00608134","0.00488171","0.00558867","0.00641994","0.00525131","0.00491308","0.00637181","0.00599475","0.0045819","0.000748503","0.0127532","0.00450113","0.00713749","0.00450958","0.000374953","0.00300752","0.00378644","0.00751597","0.00901239","0.00932836","0.00415094","0.00228833","0.00150489","0.00413534","0.011976","0.00782414","0.00526712","0.00227101","0.00300978","0.00335821","0.00415094","0.00673653","0.00113336","0.00558867","0.0160388","0.00675422","0.00676946","0.00870882","0.00632205","0.00571211","0.0100559","0.00563698","0.0045283","0.00496373","0.00823045","0.00301318","0.00530303","0","0.0142589","0.00487988","0.0101695","0.00564759","0.00228746","0.000755858","0.000377074","0.00302801","0.00523952","0.00487439","0.00568397","0.00224803","0.00639819","0.00414313","0.00569044","0.00949127","0.00565824","0.00412913","0.00600375","0.0108941","0.00299289","0.0074599","0.011236","0.00302229","0.00376506","0.00752729","0.00644428","0.00416983","0.000376506","0.00301773","0.00299625","0.00372162","0.00225141","0.00566038","0.00453686","0.00860456","0.00598131","0.00413378","0.0101086","0.00489642","0.00524738","0.00448263","0.00374813","0.010594","0.0108982","0.00377216","0.00967982","0.00338728","0.00671642","0.00265957","0.0132075","0.00564759","0.0105581","0.0048909","0.00563698","0.00708691","0.00261976","0.00676183","0.00708955","0.01059","0.00339239","0.00532522","0.0029985","0.00525328","0.00224383","0.00948767","0.0113464","0.00972326","0.00635039","0.0030453","0.004858","0.00634328","0.00600601","0.00411061","0.00339495","0.00379795","0.00112486","0.00724914","0.00828002","0.00568613","0.00788288","0.0182699","0.00187758","0.010989","0.011355","0.0037679","0.00563063","0.00832387","0.00719697","0.00456969","0.0026435","0.0157244","0.0127964","0.00565185","0.00899213","0.00523169","0.00455581","0.00480591","0.0105501","0.00301091","0.00409836","0.0172414","0.00298285","0.00530906","0.00946611","0.00483271","0.00075358","0.00113507","0.00569476","0.00453001","0.0011194","0.00189107","0.00338473","0.00263059","0.00187688","0.0116849","0.0128544","0","0.00566251","0.00265957"
"SDN66107","2008","0.00487439","0.00565824","0.0052356","0.0106707","0.0157835","0.00528901","0.00747943","0.00705271","0.0030326","0.0151057","0.0064006","0.00454545","0.00376364","0.00603774","0.00338092","0.00529501","0.00642965","0.0045489","0.00828937","0.00456274","0.00299963","0.00454373","0.00375375","0.0018875","0.00895857","0","0.00374532","0.000374672","0.00487074","0.0116585","0.00935279","0.00712411","0.00680015","0.00486709","0.00560748","0.00677966","0.00561377","0.00566679","0.00670891","0.00524345","0.00605831","0.000749344","0.0129774","0.0037679","0.00784753","0.00412758","0.000746547","0.00375657","0.00416983","0.00712144","0.00863363","0.0081663","0.00453858","0.00190042","0.00150886","0.00492984","0.0119225","0.00854383","0.00452318","0.00226415","0.00373552","0.00410448","0.00450958","0.00561587","0.00112867","0.00747384","0.0175767","0.0064006","0.00715092","0.00714823","0.00743771","0.00530705","0.0100935","0.00601504","0.00493546","0.0034338","0.00822737","0.00263653","0.00492798","0","0.0142965","0.00489827","0.00901917","0.00523952","0.0018997","0.000374392","0.000753296","0.00263952","0.00562219","0.00449607","0.00566465","0.00224215","0.00561377","0.00413845","0.00531915","0.00981873","0.0056243","0.00415879","0.0064006","0.012021","0.00262566","0.0070975","0.0112994","0.00302229","0.00376506","0.00829876","0.00718065","0.00414781","0.000377786","0.0030303","0.00263852","0.00336826","0.003386","0.00708691","0.00492611","0.00787992","0.00671391","0.003386","0.0089854","0.00453858","0.00559493","0.0056243","0.00448096","0.010931","0.0116061","0.00416036","0.0104439","0.00264251","0.00708427","0.0026455","0.0147448","0.00528901","0.0109765","0.00448263","0.0060015","0.00676692","0.00263653","0.00714017","0.00672646","0.00912201","0.00339111","0.0053313","0.00302916","0.00490196","0.00225734","0.00834598","0.0113336","0.011169","0.00559493","0.00340909","0.00558243","0.00411061","0.00712411","0.00336826","0.00339239","0.00418092","0.00150376","0.00685192","0.00791557","0.00567752","0.00785634","0.0183865","0.00264151","0.0117114","0.010989","0.00373692","0.00563486","0.00830189","0.00710015","0.00574053","0.00225989","0.0160928","0.0128109","0.00487805","0.0100935","0.00598578","0.00493546","0.00480769","0.0105303","0.00301659","0.00410908","0.0166667","0.00297508","0.00533333","0.0102467","0.00556793","0.000752445","0.00189322","0.00571864","0.00452148","0.000745156","0.00227015","0.003386","0.00262566","0.00188182","0.0108655","0.0121304","0","0.00607211","0.0026435"
"SDN66107","2009","0.00565611","0.00491679","0.00596347","0.0103488","0.0165476","0.00605831","0.00712411","0.0078534","0.00263653","0.015548","0.00600601","0.00490566","0.00413689","0.00565611","0.00262664","0.00605144","0.00868908","0.00492798","0.00910816","0.00416036","0.00300526","0.00531108","0.00414781","0.00188893","0.00857569","0","0.00375657","0.000374532","0.00490196","0.0105461","0.0105461","0.00637181","0.00679245","0.00522583","0.00522193","0.00748503","0.00561798","0.00564972","0.00710546","0.00523169","0.00568397","0.000753864","0.013016","0.00377358","0.00862392","0.00374532","0.000748783","0.00413378","0.00413845","0.00826757","0.00861101","0.00744879","0.00489642","0.00151745","0.0011236","0.00456795","0.0111111","0.00900901","0.00448934","0.00265655","0.00336574","0.00411677","0.00411677","0.00453343","0.0011274","0.00641509","0.0168982","0.00639819","0.00754148","0.0079096","0.0070975","0.00492611","0.0112024","0.00521999","0.00531309","0.00302916","0.00710812","0.00227273","0.00605373","0","0.013089","0.00488355","0.0093633","0.00531309","0.00266362","0.000374672","0.000756716","0.00226415","0.00560957","0.00449775","0.00491308","0.00259644","0.00568828","0.00449607","0.00531511","0.00981502","0.00674663","0.00455927","0.00638858","0.0124294","0.00301318","0.00679245","0.0101199","0.00301545","0.00449607","0.00832702","0.0071617","0.00377501","0.000376223","0.00340136","0.00379363","0.003003","0.00262369","0.00707635","0.00492424","0.00787402","0.0063197","0.0022633","0.00897196","0.00301091","0.00594796","0.0052592","0.00412139","0.0108818","0.0123134","0.0037679","0.00901917","0.00189251","0.00821202","0.00262172","0.0143667","0.00453172","0.0116673","0.00374111","0.0060015","0.00602864","0.00299177","0.00824897","0.00708691","0.00910125","0.00376506","0.00534351","0.00377074","0.00490196","0.00150489","0.00835232","0.0112697","0.0111524","0.00603091","0.00379651","0.004456","0.00522778","0.00709485","0.00374672","0.00417141","0.00301545","0.00149813","0.00721336","0.00828937","0.00566465","0.00745156","0.0198874","0.00299289","0.0120892","0.0094518","0.00299738","0.00488355","0.00791855","0.00669394","0.00573394","0.00224719","0.0161109","0.0133029","0.00413689","0.00901917","0.00641026","0.00490751","0.00443131","0.0113037","0.00301545","0.00447594","0.0170843","0.00262467","0.00490751","0.00948407","0.00555556","0.000745712","0.00188537","0.00566893","0.00453515","0.00112402","0.00113809","0.00337458","0.00261878","0.00225056","0.01114","0.0106383","0","0.00566893","0.0026475"
