"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"SEN40223","2000","0.0103819","0.00710546","0.00925583","0.00628234","0.0111317","0.00778643","0.00405605","0.00335821","0.0186706","0.0122722","0","0.00738007","0.00445931","0.00883652","0.00481125","0.012715","0.00479705","0.00445765","0.00934579","0.0169109","0.0140221","0.0100746","0.00778932","0.00782414","0.0100074","0.0110947","0.0107927","0.00445104","0.0114307","0.00593032","0.0103169","0.00741565","0.00738825","0.0104283","0.00670891","0.00704225","0.010709","0.00967622","0.0157362","0.00706057","0.0193957","0.00854383","0.00920132","0.0111441","0.00845588","0.00558659","0.00709485","0.00930752","0.00997783","0.00555556","0.00147874","0.00821202","0.00627306","0.00560538","0.00849022","0.00964392","0.00932836","0.0144391","0.00370233","0.00998152","0.00636228","0.00443623","0.00445434","0.0134429","0.00712411","0.00694191","0.00932488","0.00819062","0.00745712","0.00481481","0.0059106","0.0107887","0.00673149","0.00822123","0.0070975","0.00923532","0.00668896","0.00411523","0.00516034","0.00844037","0.00851852","0.000737191","0.0132743","0.00964392","0.0100634","0.0126253","0.0151292","0.00746826","0.00710015","0.0166543","0.0148148","0.00778932","0.00590842","0.00627538","0.00958349","0.0044843","0.00959056","0.00706582","0.00935979","0.0162122","0.0110783","0.00593032","0.00927988","0.00703964","0.00925241","0.0070922","0.0159851","0.0109807","0.0115801","0.0062477","0.00968343","0.00966184","0.0029773","0.000375375","0.0063244","0.00704225","0.00597907","0.00520059","0.012696","0.010026","0.00410601","0","0.0118343","0.0104556","0.016679","0.0144605","0.00705795","0.00482733","0.0119136","0.00588668","0.0122585","0.0153673","0.00335696","0.00846834","0.00929023","0.00372578","0.0093006","0.013373","0.0158379","0.00663962","0.00779799","0.0115672","0.0077749","0.00857249","0.0133531","0.00852167","0.00921489","0.0055535","0.0150602","0.0101542","0.0121075","0.00846834","0.0108982","0.0096225","0.00854066","0.00184434","0.0103474","0.00737191","0.013182","0.013368","0.00443131","0.0103704","0.00739645","0.00670641","0.00739098","0.00710546","0.00409226","0.00841874","0.0184638","0.0125879","0.00966902","0.00996678","0.01766","0.0100596","0.00407257","0.00961183","0.00486891","0.00667408","0.015873","0.00887902","0.00774051","0.00663228","0.0114518","0.0107368","0.011865","0.0102377","0.0131381","0.00957996","0.0104869","0.00851221","0.0111441","0.0130063","0.0100596","0.00668648","0.0122087","0.00819978","0.0123318","0.00442804","0.00519095","0.00589102"
"SEN40223","2001","0.0107967","0.00820589","0.0107887","0.0074129","0.0118694","0.00856611","0.00409074","0.00337079","0.0187126","0.0123596","0","0.00816327","0.00447928","0.00853432","0.00521999","0.010829","0.00479882","0.00487988","0.0106101","0.0161654","0.0140118","0.0093633","0.00746269","0.00708955","0.0103896","0.0107169","0.0100709","0.00526316","0.0107407","0.00593472","0.0100037","0.00740741","0.00776915","0.00933532","0.00668151","0.00710546","0.0100484","0.00932836","0.0147281","0.00671642","0.0187688","0.00861101","0.0088856","0.0116279","0.00848083","0.00554939","0.00668151","0.00854066","0.00967622","0.00558243","0.00148754","0.0074599","0.00628698","0.00601278","0.00920471","0.00925926","0.0100746","0.0151964","0.00447427","0.0103704","0.00789771","0.00481481","0.00445434","0.0149365","0.00667408","0.00735565","0.0101542","0.00821509","0.00590624","0.00557","0.0055535","0.0111857","0.00560538","0.00901239","0.00673401","0.00893522","0.00666667","0.00373692","0.00624541","0.00847145","0.0089153","0.00110416","0.0125833","0.0103704","0.00932836","0.0119895","0.0143752","0.00671141","0.00636943","0.0181683","0.0145089","0.00779799","0.00630564","0.00739098","0.0107288","0.00375516","0.0093006","0.00634565","0.0105184","0.0166052","0.0110865","0.00518327","0.00926269","0.00633147","0.00928333","0.00749064","0.0144981","0.0102311","0.0116366","0.00629863","0.00938086","0.00929368","0.00299177","0.000375094","0.00632205","0.00631735","0.0052356","0.00520253","0.0138941","0.0111193","0.00410295","0","0.0118519","0.0103973","0.0160388","0.0145143","0.0071161","0.00486891","0.0104361","0.00586725","0.0118871","0.0156483","0.00410908","0.00888889","0.00937031","0.00411061","0.0104517","0.0140481","0.0155268","0.00627538","0.00786517","0.0108209","0.00703443","0.00929714","0.0127103","0.00861101","0.00928333","0.00523952","0.0158431","0.0127532","0.0113165","0.00777202","0.011257","0.0100297","0.00781541","0.00185598","0.0099631","0.00703443","0.013578","0.0127103","0.00480947","0.0104517","0.00708427","0.00671391","0.00664207","0.00675169","0.00411369","0.00817844","0.0192379","0.0122859","0.0105263","0.0103283","0.0165502","0.0108209","0.00408012","0.00890538","0.00524148","0.00705533","0.0155498","0.0100372","0.00773766","0.0070632","0.011537","0.0114772","0.011169","0.010709","0.0131678","0.00926956","0.0101657","0.00814815","0.01044","0.0127198","0.0099963","0.00627306","0.0118431","0.00778066","0.012021","0.00405904","0.00483811","0.00591497"
"SEN40223","2002","0.0101657","0.00744325","0.0112108","0.00747384","0.0111773","0.00929714","0.00445434","0.00300075","0.0180451","0.0131579","0","0.00783875","0.00523169","0.00747943","0.00559701","0.00937031","0.00406805","0.00487074","0.0103053","0.0165975","0.0140845","0.00977076","0.00709485","0.00710015","0.00891862","0.00963677","0.0101313","0.004858","0.0107288","0.00671642","0.00965108","0.00630798","0.00780959","0.01","0.00594354","0.0078446","0.0112275","0.00933881","0.0169683","0.00678733","0.0188466","0.00715361","0.00927644","0.0116629","0.00923873","0.0055638","0.00708427","0.00819978","0.00893855","0.00560329","0.00149254","0.00633619","0.00594133","0.00490751","0.00969064","0.00971236","0.0104869","0.0155383","0.00486891","0.0104517","0.00791855","0.00520253","0.00446927","0.015236","0.00820283","0.00663717","0.0105303","0.010026","0.0070632","0.0059657","0.00483092","0.0119403","0.00599251","0.00901917","0.00606061","0.00967262","0.00736106","0.00410142","0.00483092","0.0088659","0.00967982","0.00110375","0.0144659","0.0100559","0.00937734","0.0113293","0.0155153","0.00746826","0.0056391","0.0175439","0.0129967","0.00748503","0.00560748","0.00663228","0.00891862","0.00413534","0.00969064","0.00633855","0.0102002","0.0180147","0.0107328","0.00482196","0.00929714","0.00669394","0.0100935","0.00676183","0.0138214","0.00951294","0.0112066","0.00747664","0.0108088","0.00930406","0.0029873","0.000378501","0.00672646","0.00594796","0.00521999","0.00556586","0.0138421","0.0111359","0.00409836","0.00186567","0.0120573","0.010833","0.0150038","0.0126818","0.00756716","0.00526712","0.0100935","0.00590624","0.0111359","0.0157127","0.00450281","0.00935629","0.00981132","0.00452489","0.0101657","0.0147113","0.016424","0.00704486","0.00787402","0.00903274","0.00598131","0.00968343","0.012318","0.00827068","0.00896191","0.00527506","0.0157186","0.013148","0.0120301","0.00821509","0.0117469","0.0100186","0.00743494","0.00188041","0.0099926","0.00596125","0.0140015","0.0120391","0.00483271","0.00969787","0.00825826","0.00670141","0.0070059","0.0059657","0.00412294","0.00933881","0.0166667","0.0130988","0.0101351","0.00922509","0.01566","0.0101389","0.00408315","0.00931446","0.00521221","0.00859813","0.0148148","0.0111607","0.00701625","0.0071161","0.0130939","0.0121861","0.011169","0.0119003","0.012135","0.0099926","0.0120755","0.00850277","0.00967262","0.0134831","0.00965466","0.00631266","0.0115113","0.00663472","0.011994","0.00405605","0.00518327","0.00630798"
"SEN40223","2003","0.00945895","0.0077951","0.0101199","0.00748503","0.0123781","0.00896191","0.00448766","0.00337838","0.0170584","0.0120165","0","0.00750751","0.00524345","0.00820589","0.00599027","0.0101313","0.00406504","0.00449944","0.00987842","0.0173913","0.0141316","0.00828313","0.00786517","0.00672394","0.0100897","0.009273","0.0101275","0.00451637","0.0122768","0.00631032","0.0100671","0.00669145","0.00749906","0.00997783","0.00671391","0.00825206","0.0112909","0.010101","0.0188182","0.0068156","0.0181612","0.00600826","0.00818452","0.0116893","0.00852483","0.00555967","0.00667161","0.0100822","0.00969064","0.00598578","0.00112191","0.00677711","0.00561587","0.00489458","0.0100634","0.0105422","0.0105342","0.0137546","0.00487074","0.0104869","0.00946611","0.00522388","0.00409074","0.014275","0.00816327","0.00672646","0.00905319","0.00859171","0.00675422","0.0055991","0.00484532","0.0123457","0.00596347","0.00869237","0.00642965","0.010483","0.0081391","0.00372578","0.00519481","0.0100186","0.00931793","0.0011066","0.014574","0.00933532","0.00906687","0.0102157","0.0152021","0.00750188","0.00527506","0.0169237","0.0119314","0.00748223","0.00412758","0.0062546","0.00862716","0.00413689","0.0104478","0.00640301","0.0109146","0.0165563","0.0104439","0.00595903","0.00895188","0.00600826","0.0108736","0.00641026","0.0138318","0.00948047","0.0116192","0.00636704","0.010101","0.00969426","0.00337079","0.000379219","0.00670641","0.00670141","0.00447261","0.00446263","0.0138629","0.0104361","0.00297398","0.00261389","0.0113679","0.0112066","0.0139202","0.0131086","0.00717523","0.00565398","0.0100972","0.00597684","0.0127724","0.0163508","0.00490381","0.00980392","0.00869894","0.00488538","0.00903614","0.0133581","0.0149477","0.00744325","0.0078446","0.0083113","0.00636943","0.00970874","0.0131086","0.00750188","0.00897532","0.00450281","0.0149645","0.0138889","0.0108614","0.00819978","0.0117513","0.00974513","0.00739645","0.00188111","0.00993743","0.00669643","0.0136885","0.0116323","0.00558036","0.00897532","0.00755858","0.00779799","0.00665188","0.00599251","0.00377644","0.00934579","0.0171004","0.0122951","0.00901239","0.0100484","0.0131086","0.0104517","0.00408922","0.00932488","0.00555556","0.00820589","0.0144712","0.0108007","0.00775194","0.00635039","0.0127916","0.0107011","0.0112233","0.0116761","0.0117335","0.0100671","0.0119492","0.00778066","0.00967262","0.0128253","0.00969064","0.00635752","0.0115499","0.00737735","0.0112782","0.00446263","0.00484894","0.00707372"
"SEN40223","2004","0.0102467","0.00818452","0.00863688","0.00713481","0.0116192","0.00896191","0.00413689","0.00337205","0.0176958","0.0124811","0","0.00636228","0.00561798","0.00786517","0.00563698","0.0101466","0.00406955","0.00453001","0.00987092","0.0191513","0.0145577","0.0082769","0.00825826","0.00710812","0.00939144","0.00929368","0.00975976","0.0037594","0.0127389","0.00641026","0.0097269","0.00746826","0.00715901","0.0103973","0.00672143","0.00717794","0.0106585","0.00938086","0.0210526","0.00715361","0.018875","0.00715092","0.00892857","0.0109932","0.00933184","0.00521804","0.00664943","0.00938086","0.00974513","0.00602183","0.00112024","0.00753296","0.0052691","0.00527307","0.00828313","0.0120437","0.00979284","0.0122722","0.0052691","0.0108696","0.011035","0.00558243","0.00410295","0.0150943","0.00852799","0.00604002","0.010586","0.00939144","0.00638378","0.00559076","0.00445434","0.0122768","0.00558036","0.00757863","0.00604002","0.0105422","0.00889878","0.00446263","0.00557","0.0107767","0.00933532","0.0011169","0.0158073","0.00823045","0.00901917","0.00983731","0.0167038","0.00714823","0.0052691","0.0162387","0.01305","0.00749064","0.00339879","0.0062963","0.0102545","0.00376932","0.0101124","0.00638378","0.0104751","0.0165624","0.0097269","0.00674663","0.010574","0.00754148","0.0127436","0.00642965","0.0138369","0.00982615","0.0104948","0.00566679","0.00976709","0.00938438","0.00225394","0.000377216","0.00745156","0.00712144","0.00448598","0.00410908","0.0134983","0.0101313","0.00332717","0.00337079","0.0124481","0.0104634","0.0139412","0.0128012","0.00750751","0.00530906","0.00899888","0.00527108","0.011274","0.0163812","0.00527506","0.00988969","0.00868908","0.00486891","0.00908059","0.0130112","0.0158252","0.00978179","0.00896191","0.00938086","0.0060423","0.0104948","0.0127628","0.00861423","0.00938438","0.00451637","0.0153271","0.0127055","0.0107727","0.00784167","0.0132979","0.00897868","0.00781541","0.00186916","0.00896191","0.0078534","0.0145577","0.011257","0.00448766","0.00830189","0.00837139","0.00859171","0.0062963","0.00597684","0.00340393","0.00937031","0.0177844","0.0115931","0.00900901","0.0111815","0.0131184","0.0105382","0.0044927","0.0097269","0.00518903","0.00641994","0.0148754","0.0101427","0.00809717","0.00755858","0.0124764","0.0114603","0.0097269","0.0109599","0.0109517","0.00974148","0.0115284","0.00894521","0.00893522","0.0120846","0.00931793","0.00676437","0.0116105","0.0059106","0.0112444","0.00524148","0.00491493","0.00673905"
"SEN40223","2005","0.0121258","0.00860135","0.00940557","0.00714286","0.0112697","0.00903955","0.00414625","0.00337331","0.0176493","0.00989722","0","0.00681818","0.00526316","0.00828002","0.00528302","0.00983359","0.00373972","0.0026465","0.0106748","0.0184488","0.0146672","0.00829876","0.00827379","0.00711877","0.0094518","0.00937031","0.0112613","0.00337838","0.0132375","0.00836502","0.0090566","0.0078446","0.00828625","0.0100897","0.00597015","0.00641267","0.0122511","0.0108736","0.020362","0.00863688","0.0177761","0.00677201","0.0093668","0.0113336","0.00821509","0.00601278","0.00742942","0.0105224","0.0101389","0.00676692","0.0011236","0.00760456","0.00492984","0.00453001","0.00914286","0.0116893","0.00938438","0.0116148","0.00531108","0.0101657","0.0156908","0.00525131","0.00447928","0.0124481","0.00887574","0.00605602","0.00982987","0.00824279","0.00528103","0.00567537","0.00411215","0.012318","0.00597684","0.00719424","0.00644428","0.0120482","0.00853116","0.0045045","0.00560329","0.0104167","0.00792154","0.0011257","0.0155185","0.00829563","0.00937734","0.00909435","0.0171004","0.00755858","0.00600826","0.0162571","0.012003","0.0067441","0.00377216","0.00711877","0.0110057","0.00412294","0.00938086","0.00564759","0.0108249","0.0144605","0.0101389","0.00641026","0.0094518","0.00789771","0.0116366","0.0060906","0.0139307","0.0101351","0.0101466","0.00642236","0.0093633","0.00981502","0.00226672","0.000377358","0.00747943","0.00599475","0.00413223","0.00413534","0.0143396","0.011236","0.0025974","0.00376932","0.0124434","0.0115975","0.0139992","0.0120846","0.00712411","0.00493359","0.00861101","0.00567322","0.00944465","0.0152303","0.00451297","0.0106789","0.00874525","0.00487988","0.00828313","0.0153616","0.0143234","0.00898204","0.00896861","0.00864012","0.00605373","0.0112824","0.0142911","0.00753864","0.00938791","0.0037679","0.0160508","0.0131678","0.010829","0.00750469","0.0135542","0.00866616","0.00819672","0.00188537","0.0104595","0.00829563","0.0149087","0.0108655","0.00449102","0.00833018","0.00954563","0.0082243","0.00632676","0.00634565","0.00342335","0.0109641","0.0168666","0.0116323","0.00977811","0.0116498","0.0127676","0.0105066","0.00411523","0.00900901","0.00524345","0.00609989","0.0160508","0.0101504","0.00777778","0.00681044","0.011355","0.010026","0.0113208","0.0114112","0.0113679","0.00937383","0.0115931","0.00939144","0.00860135","0.0124764","0.0104478","0.00676437","0.0108371","0.00594575","0.0109269","0.00523364","0.0060675","0.00712678"
"SEN40223","2006","0.0121166","0.00901578","0.00900563","0.00825516","0.0108982","0.00867925","0.00373552","0.00299177","0.0172997","0.0102118","0","0.00642965","0.00563698","0.00904636","0.00491865","0.00947688","0.00409531","0.00262566","0.0105621","0.0184141","0.0161593","0.0086858","0.00904977","0.00677201","0.0102079","0.00863688","0.0112655","0.00447761","0.0121442","0.00837457","0.00871212","0.00784167","0.00942329","0.0108411","0.00707372","0.00597461","0.0121998","0.0116192","0.0199098","0.00899888","0.0181064","0.00711877","0.00935979","0.0112486","0.00859171","0.00493921","0.00672143","0.01089","0.0104869","0.00561798","0.000747664","0.00833649","0.00529701","0.00491865","0.010325","0.012782","0.00901917","0.0116454","0.00416036","0.00975244","0.016055","0.00488355","0.00372439","0.0127676","0.00856611","0.00565824","0.00981873","0.00709485","0.00612792","0.00528701","0.00449102","0.0126771","0.00708427","0.00832073","0.00494861","0.0138785","0.0078329","0.00446761","0.00524148","0.0105581","0.00866616","0.00113293","0.0139992","0.00832702","0.0089955","0.00902256","0.017145","0.00826446","0.00601278","0.0151343","0.0127484","0.00828002","0.00337584","0.00637659","0.011308","0.00489274","0.00826757","0.00485981","0.0108736","0.0147929","0.00902935","0.00605602","0.00983731","0.00824897","0.0116805","0.00682335","0.0147727","0.0101351","0.0109105","0.0075358","0.00789771","0.00981502","0.00189394","0.000377644","0.00712678","0.0063599","0.00415565","0.00416036","0.0135135","0.012782","0.00334324","0.00338346","0.0113208","0.0116629","0.0135952","0.0108982","0.00743494","0.0037679","0.00826446","0.00649103","0.0094697","0.0141738","0.00526118","0.00994264","0.00802446","0.00486345","0.00908747","0.0128157","0.0139939","0.0105184","0.00858529","0.00755002","0.00603546","0.0113037","0.0135135","0.00789177","0.00937734","0.00412913","0.0152416","0.0131827","0.0101048","0.00748503","0.013153","0.00939496","0.00780379","0.00188466","0.0089955","0.0083113","0.014574","0.00974513","0.00488355","0.0075643","0.00990854","0.00815117","0.0056243","0.00558659","0.00379219","0.0101124","0.0172543","0.0112655","0.0101161","0.0116805","0.0128205","0.00901578","0.00374672","0.00866943","0.00529501","0.00761035","0.0169046","0.00981502","0.00823353","0.00679502","0.0113379","0.0100446","0.00948047","0.0113593","0.00990854","0.00897532","0.0122722","0.0094518","0.00816933","0.0125047","0.0107807","0.00680015","0.010101","0.00524148","0.0108614","0.00599251","0.00757576","0.00713213"
"SEN40223","2007","0.014275","0.00901917","0.00974878","0.00821509","0.0109064","0.00914983","0.00338473","0.00373972","0.0158311","0.0112952","0","0.00638138","0.00601052","0.00864662","0.00416036","0.0109973","0.00409531","0.00300639","0.0109064","0.0184072","0.0169619","0.00867925","0.00755572","0.00599925","0.0101848","0.00942685","0.00938438","0.00525526","0.013308","0.00907372","0.0071888","0.0082397","0.00980762","0.0109146","0.00633619","0.0071161","0.0113507","0.0128012","0.0230363","0.00935279","0.0185255","0.00749064","0.00901917","0.0105342","0.00861746","0.00492424","0.00595903","0.0112782","0.0116981","0.00562641","0.00112233","0.00790068","0.00532927","0.00417616","0.0094518","0.0138837","0.00898876","0.0120527","0.00489642","0.00935979","0.0171233","0.00488722","0.00372162","0.0109105","0.00863363","0.00564546","0.00986343","0.00864337","0.00494297","0.00490011","0.00410448","0.0133929","0.00780379","0.00869237","0.00454373","0.0123827","0.00709485","0.00451297","0.00489274","0.0109064","0.00830502","0.00112867","0.0136157","0.00752445","0.00858209","0.00973418","0.016424","0.00787992","0.00522973","0.0154426","0.0131728","0.00789474","0.003367","0.00639579","0.0109228","0.0052592","0.00754432","0.00490566","0.0108614","0.0137751","0.00938086","0.00640784","0.00828625","0.00746547","0.0120437","0.00678989","0.0151343","0.00969426","0.01059","0.00789177","0.0075358","0.0094162","0.00189538","0.000378215","0.00710015","0.00711078","0.00377786","0.00377358","0.0131135","0.0135237","0.00334076","0.003367","0.010483","0.0105541","0.0147281","0.0104987","0.00815419","0.00337584","0.00785928","0.00532319","0.00985595","0.0141791","0.00487074","0.0103093","0.00912201","0.00485075","0.0105026","0.0128109","0.0128837","0.00977811","0.00892193","0.00790365","0.00527307","0.0109682","0.0127389","0.00786222","0.00939144","0.00449607","0.0153042","0.0124622","0.0097561","0.00751315","0.0126913","0.00903955","0.00745156","0.00225225","0.00939144","0.00793051","0.0146067","0.00898204","0.00525723","0.00792752","0.00834281","0.00814815","0.00564546","0.00635514","0.00378501","0.0105105","0.0165787","0.0116366","0.0109023","0.0116018","0.0112317","0.00793651","0.00414625","0.00792752","0.00569044","0.00790068","0.0154309","0.00984103","0.00750469","0.00641509","0.0117247","0.0100859","0.0101964","0.0102389","0.00943752","0.0108859","0.0115499","0.00833333","0.00780379","0.0125237","0.0104205","0.00638858","0.0115672","0.00413845","0.0105422","0.00641509","0.00648855","0.00782414"
"SEN40223","2008","0.0142003","0.00793051","0.00786812","0.0082397","0.0112867","0.00872865","0.00337331","0.0033532","0.0150094","0.0113293","0","0.00675422","0.00598578","0.00941974","0.00451807","0.0102467","0.00560538","0.00263653","0.0108088","0.0194102","0.0165538","0.0094697","0.00864987","0.00563486","0.0101086","0.00945537","0.0105342","0.00674916","0.0110224","0.00912548","0.00755002","0.0100709","0.00900563","0.0109724","0.00672897","0.00823353","0.0102273","0.0128253","0.0235383","0.00966184","0.0179775","0.00825206","0.00787992","0.0101504","0.00976342","0.00415251","0.00714554","0.01089","0.011355","0.00708427","0.00112655","0.00823662","0.00493359","0.00493921","0.0094697","0.0131135","0.00934929","0.0130988","0.00452489","0.00937734","0.0177358","0.00411523","0.00409836","0.0112275","0.0090566","0.00447094","0.0102311","0.00826136","0.00378072","0.00530705","0.00374532","0.0122859","0.00712144","0.00860135","0.00489274","0.0119537","0.00748223","0.00453001","0.00567537","0.010566","0.0091047","0.00112613","0.0139992","0.00784167","0.00858209","0.0104634","0.0178505","0.00750469","0.00446263","0.0147059","0.0124481","0.00715361","0.00336952","0.00602637","0.0101504","0.00485618","0.00789771","0.00411831","0.0101848","0.0141685","0.0094162","0.00714823","0.00867925","0.00818452","0.0130792","0.00826446","0.015879","0.0100822","0.00983731","0.00787992","0.0075358","0.0101504","0.00189753","0.000377216","0.00674916","0.00636943","0.00303605","0.00377644","0.012758","0.0150094","0.00333952","0.00337584","0.0108048","0.0116849","0.0151745","0.0100859","0.00889548","0.0030303","0.0079096","0.0045403","0.00871542","0.0146837","0.00563486","0.00988217","0.00951294","0.00412139","0.0109105","0.0119895","0.0140258","0.0102002","0.00931793","0.00864662","0.00491122","0.0106181","0.012406","0.00820896","0.00866943","0.00490751","0.0163812","0.0124247","0.00982615","0.00752729","0.0131086","0.00899213","0.00746547","0.0022531","0.00904977","0.00910816","0.0149925","0.00977076","0.00491679","0.00830816","0.00751315","0.00747105","0.00636943","0.00598802","0.00339495","0.0109517","0.0175105","0.0123967","0.00947329","0.0126771","0.011985","0.00793351","0.00416194","0.00797872","0.004561","0.0075188","0.0165165","0.0102041","0.00677456","0.00609292","0.0128544","0.00969426","0.0109393","0.0105184","0.0097269","0.0112191","0.0116279","0.00831758","0.0078125","0.0117692","0.0096332","0.0063599","0.0115413","0.00490566","0.011274","0.00677456","0.00682853","0.00825206"
"SEN40223","2009","0.0141685","0.00715092","0.005997","0.00828002","0.0108696","0.00834598","0.003367","0.00373552","0.0161472","0.0109475","0","0.00675676","0.00562852","0.0109228","0.00487074","0.00946611","0.00599027","0.00299738","0.0108452","0.0183865","0.0162264","0.00911854","0.0094162","0.0052592","0.00932488","0.00906002","0.0102002","0.00675676","0.0117513","0.00833333","0.00759013","0.00970149","0.0101048","0.0109599","0.00714823","0.00862392","0.010158","0.0131876","0.0220532","0.0100409","0.0179708","0.00821202","0.00749625","0.0104595","0.00974148","0.00450958","0.00678222","0.0104948","0.0106343","0.0055991","0.00150489","0.00750188","0.00379075","0.00531713","0.00940911","0.0139202","0.00977076","0.0131332","0.0044843","0.00979284","0.0188253","0.00414001","0.00411215","0.0100634","0.00913938","0.00446595","0.0113208","0.00864012","0.00302916","0.00532522","0.00375375","0.0122814","0.00755002","0.00896861","0.00526118","0.0112275","0.00747384","0.0026445","0.00493733","0.00862392","0.00868908","0.000754717","0.0135849","0.00856292","0.00787697","0.0093633","0.0153271","0.00786222","0.00444774","0.0135747","0.0120892","0.00678477","0.00375375","0.0060241","0.0101466","0.00594575","0.00642722","0.00676183","0.0101848","0.0138629","0.00934929","0.00752162","0.00978179","0.00822737","0.0146451","0.00822123","0.0162081","0.00970149","0.00943396","0.0082397","0.00680787","0.010578","0.00189538","0.000754432","0.00677456","0.00673401","0.00265453","0.00341038","0.0132375","0.01566","0.00336449","0.00450281","0.00978916","0.011308","0.0146948","0.00973054","0.00820896","0.00341168","0.0064006","0.00414001","0.00942329","0.0147951","0.00488538","0.00831758","0.00759301","0.00412603","0.0116805","0.011236","0.0147895","0.0105066","0.00820896","0.00865312","0.00449775","0.010235","0.013626","0.0075188","0.00752729","0.00489642","0.0156425","0.0116541","0.0106343","0.0082769","0.0127246","0.0101389","0.00707108","0.00226159","0.00752162","0.00874525","0.0148258","0.00868908","0.00488355","0.00861423","0.00823045","0.00749625","0.00673905","0.00640543","0.00340393","0.0112909","0.0175707","0.0105621","0.0091047","0.0126206","0.0124434","0.00677201","0.00453515","0.00760167","0.0060698","0.00826136","0.0146122","0.00975976","0.00792752","0.00492611","0.0128205","0.00850906","0.00984848","0.00935979","0.0090566","0.0111899","0.012003","0.0094162","0.0074599","0.0121627","0.0107051","0.00597684","0.0119626","0.00490381","0.0109269","0.00563698","0.00680529","0.00865312"
