"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"SLE42256","2000","0.0837365","0.0521968","0.119792","0.0212449","0.0726464","0.128253","0.0689914","0.0679035","0.0404603","0.0597181","0.0570257","0.0766369","0.067997","0.070975","0.125751","0.0568985","0.0544518","0.0592229","0.060173","0.0811012","0.0355572","0.0333458","0.0490342","0.0476542","0.144338","0.0863416","0.0553464","0.0425611","0.0662718","0.0833333","0.101513","0.0567297","0.0713485","0.117147","0.0723562","0.0635625","0.0514243","0.128243","0.0755208","0.0352113","0.0388457","0.0471768","0.0520253","0.0365672","0.0811209","0.0416206","0.136431","0.0423163","0.0440089","0.0810306","0.126625","0.0940044","0.0596076","0.0740603","0.0594535","0.0426084","0.0635452","0.0739242","0.0863283","0.106944","0.0948851","0.0493873","0.124441","0.04915","0.046503","0.0615271","0.107807","0.0812616","0.0990211","0.0640978","0.0762902","0.0819125","0.0611174","0.0635924","0.0745039","0.133632","0.0472233","0.0491437","0.106582","0.0889055","0.0816933","0.0744563","0.0404003","0.094733","0.0568985","0.0393321","0.0836758","0.0401636","0.0458271","0.0343008","0.0908755","0.0890538","0.13853","0.037876","0.0930147","0.111317","0.0524963","0.132423","0.0607529","0.0370233","0.0374629","0.128571","0.0464431","0.0723611","0.0264137","0.049926","0.0723831","0.0551876","0.0382331","0.0763529","0.0813648","0.0380074","0.0599404","0.0795746","0.070059","0.0602094","0.103988","0.10192","0.112143","0.0621762","0.0755988","0.0511594","0.0873281","0.0483931","0.0648286","0.0596517","0.0480984","0.0979592","0.0566667","0.0469219","0.103525","0.0453532","0.111973","0.0492296","0.063806","0.0494424","0.0487805","0.0469974","0.079371","0.0264334","0.0650467","0.0733533","0.0626165","0.0554315","0.078635","0.0581913","0.0419762","0.0684425","0.0505201","0.0553698","0.0409226","0.0255935","0.0784095","0.0675878","0.0843961","0.0688006","0.0844298","0.0472848","0.0622683","0.0905028","0.0306657","0.0798052","0.0669379","0.089153","0.0627087","0.0626632","0.115116","0.044428","0.0603927","0.0842341","0.0650647","0.0781955","0.0654275","0.0939573","0.0419918","0.0503949","0.042117","0.0953271","0.0433333","0.0483395","0.0644206","0.0522416","0.10429","0.0836773","0.0444115","0.069716","0.0949203","0.0642991","0.0707965","0.064432","0.0551416","0.171471","0.109334","0.0509344","0.0572605","0.053518","0.100555","0.0280339","0.09317","0.140344"
"SLE42256","2001","0.0825551","0.05","0.11928","0.0210177","0.0710037","0.120253","0.0716967","0.0679792","0.039019","0.0607424","0.056243","0.0802974","0.0660973","0.073546","0.124341","0.0586706","0.0519146","0.0525131","0.0612322","0.0808306","0.0355833","0.0342772","0.0463898","0.0471593","0.145787","0.0820646","0.0535041","0.0410754","0.0657504","0.0816933","0.0997024","0.0559284","0.0741295","0.116537","0.0691589","0.0605273","0.0483451","0.127691","0.0753656","0.0354505","0.0403256","0.0449313","0.0529653","0.036803","0.0766383","0.0403554","0.132539","0.0409531","0.0438173","0.0832392","0.123401","0.0974796","0.060059","0.0707108","0.0583026","0.0399704","0.0591738","0.0718252","0.0871016","0.103911","0.0948339","0.0498141","0.121426","0.0504296","0.0481703","0.0615901","0.106185","0.0787226","0.0990211","0.0638219","0.0752527","0.0769803","0.0603675","0.0613313","0.076091","0.131942","0.0447988","0.0499814","0.108736","0.0878378","0.0772947","0.0744015","0.0405506","0.0937615","0.0554935","0.0368578","0.078908","0.0430108","0.0468924","0.0346516","0.0928333","0.0924834","0.139362","0.0399704","0.0890284","0.112226","0.0534464","0.127266","0.0615901","0.0364312","0.0388745","0.129275","0.0465203","0.0756271","0.0262074","0.0515579","0.0737705","0.0550425","0.0372024","0.0759259","0.0793116","0.0391937","0.0604354","0.0843819","0.073828","0.0593472","0.102908","0.104991","0.116426","0.0615499","0.078601","0.0505908","0.0839836","0.0490956","0.0656772","0.0574926","0.0468632","0.101111","0.0562963","0.0463102","0.102717","0.0450316","0.115356","0.0524924","0.0629164","0.0489171","0.0473023","0.0481838","0.0831772","0.0273921","0.0626172","0.0727682","0.0648912","0.0516729","0.0752328","0.0581006","0.039567","0.0691193","0.0504108","0.0535914","0.0399254","0.0238361","0.0752048","0.0661188","0.0841473","0.0720386","0.0854951","0.0480769","0.0610885","0.088081","0.0296102","0.0784314","0.0751488","0.0896191","0.0649496","0.0591096","0.111726","0.0445104","0.057671","0.0854573","0.0613155","0.0788679","0.0639643","0.0906745","0.0407324","0.0517629","0.0406716","0.0980172","0.0408012","0.04915","0.0602545","0.0554935","0.106201","0.0813648","0.0483271","0.0690802","0.0951852","0.0629685","0.0725389","0.0666667","0.056113","0.175037","0.106731","0.0491864","0.0554926","0.0523343","0.0975881","0.0277367","0.0962907","0.14243"
"SLE42256","2002","0.0866467","0.0489458","0.113229","0.019688","0.0726733","0.116878","0.0716698","0.0695943","0.0381737","0.0605947","0.0551595","0.0805847","0.0640119","0.0731799","0.123308","0.0563589","0.0509037","0.0504138","0.060994","0.0793592","0.0309735","0.033557","0.0467814","0.0453363","0.146871","0.0807592","0.0507901","0.0410142","0.0644919","0.0846383","0.0953271","0.0559674","0.0701689","0.112226","0.064093","0.0602007","0.0458647","0.128972","0.0730798","0.0348148","0.0393467","0.0454207","0.051982","0.0364855","0.0778932","0.0385328","0.122585","0.0375186","0.0421485","0.0832078","0.121509","0.0962825","0.0602811","0.0697151","0.058321","0.0379888","0.0543559","0.0702602","0.0889137","0.102383","0.0972633","0.0509363","0.120119","0.0486527","0.0472441","0.063806","0.104345","0.0773273","0.0992827","0.0625698","0.0754647","0.0790059","0.0602679","0.0633383","0.0721226","0.124104","0.0434451","0.0487351","0.106072","0.0908751","0.0841436","0.0754647","0.0409531","0.0919926","0.0524738","0.0369265","0.0822123","0.0427987","0.0455394","0.0341977","0.0952203","0.0926684","0.134055","0.0408689","0.0899334","0.113271","0.0528274","0.126166","0.0566392","0.0362617","0.0377288","0.11952","0.0444196","0.0758777","0.0263842","0.0502249","0.0763473","0.0543762","0.0333333","0.0720922","0.0790365","0.0382473","0.0588676","0.0881919","0.0751295","0.0589332","0.0987379","0.103423","0.118151","0.0599556","0.0789771","0.0509673","0.0842697","0.049369","0.0688889","0.0600746","0.0458855","0.102908","0.0559284","0.047191","0.0988069","0.0443038","0.116244","0.0539309","0.0619896","0.0472087","0.0434137","0.046365","0.0836773","0.02855","0.0614399","0.0724747","0.0644195","0.0507273","0.0755705","0.0588015","0.0399254","0.0693254","0.0486085","0.0537715","0.0370093","0.0235426","0.0747768","0.0657207","0.0822072","0.0723562","0.0755064","0.0492354","0.0569196","0.0852102","0.0297104","0.0760167","0.0728972","0.0909774","0.0689013","0.05997","0.109915","0.0436404","0.0569316","0.0858643","0.058009","0.0755355","0.0637273","0.092963","0.0379464","0.052295","0.039077","0.0996628","0.0411985","0.0474057","0.0614002","0.0551181","0.100931","0.0822123","0.0468053","0.0655185","0.0902312","0.0607652","0.0670867","0.064528","0.0510242","0.176515","0.103189","0.049369","0.0533889","0.0508666","0.0998504","0.026736","0.0955606","0.142107"
"SLE42256","2003","0.0808768","0.0478523","0.111988","0.0201342","0.0718785","0.115845","0.0703593","0.06885","0.0364251","0.0575837","0.0542782","0.0784829","0.059262","0.0772727","0.12406","0.0558243","0.0491319","0.0490821","0.0601817","0.0785555","0.0293135","0.0319549","0.0473151","0.0426328","0.143391","0.078614","0.0502626","0.0400749","0.0615616","0.0817469","0.0908408","0.0532348","0.0720211","0.111319","0.06351","0.061003","0.0483566","0.131332","0.0721533","0.034624","0.0412639","0.045947","0.0505429","0.0366081","0.0770381","0.0376164","0.120284","0.0375094","0.0421369","0.0803907","0.118741","0.0962186","0.0605613","0.068565","0.0563854","0.0401802","0.0577712","0.0667166","0.0906367","0.0964847","0.0936455","0.0503003","0.119985","0.0465465","0.0477085","0.0645041","0.105953","0.0777652","0.0996967","0.0632911","0.0720386","0.0799104","0.0624071","0.0656471","0.0696012","0.11258","0.0401667","0.0493873","0.107264","0.088048","0.0814565","0.0757633","0.0386057","0.0970149","0.0525328","0.0359013","0.0806634","0.0421485","0.0416198","0.0323917","0.0914179","0.0919283","0.12238","0.0413437","0.0879285","0.115028","0.0494197","0.118441","0.0536051","0.0352588","0.0356072","0.1164","0.0457121","0.0767196","0.0250467","0.0528486","0.071964","0.0526906","0.0351852","0.0713489","0.0785124","0.0371064","0.0562008","0.0798663","0.0782414","0.0563698","0.101682","0.102345","0.116917","0.0595283","0.0822642","0.0499624","0.0800451","0.0474766","0.0631032","0.05997","0.0460076","0.102439","0.0527497","0.0465723","0.0946502","0.0450113","0.113095","0.0510977","0.0590858","0.0464419","0.0416822","0.0454376","0.0828336","0.0281955","0.0588014","0.072045","0.0615559","0.0491987","0.0755988","0.0564697","0.041698","0.070333","0.0492537","0.0553492","0.0371622","0.0232123","0.0684269","0.0646971","0.0837087","0.0680883","0.0760709","0.0489458","0.0560329","0.0870056","0.0302686","0.0755218","0.0789866","0.0905303","0.0706582","0.0596002","0.105165","0.0432352","0.0579764","0.0839895","0.0562641","0.0740323","0.0619436","0.100148","0.0420387","0.0516397","0.0391499","0.0987979","0.0387947","0.0473328","0.0575916","0.0535982","0.0981273","0.0810203","0.0486446","0.0677201","0.0905365","0.0616541","0.0677395","0.0622453","0.0536513","0.182531","0.104018","0.0476723","0.0529902","0.0514457","0.0974972","0.0257944","0.0957926","0.139317"
"SLE42256","2004","0.0764259","0.0487256","0.110481","0.0197687","0.0658972","0.108915","0.0708927","0.0725987","0.0333084","0.0588682","0.0526118","0.0821092","0.0578295","0.0811018","0.119713","0.0542549","0.0476368","0.0489537","0.0574324","0.0741155","0.0294118","0.0330827","0.0470102","0.0424333","0.141414","0.0748783","0.0490269","0.0405862","0.0618441","0.078849","0.0917674","0.0510052","0.0707763","0.107062","0.0615094","0.0611006","0.0447478","0.136501","0.0709726","0.0333708","0.0382166","0.0424015","0.0474203","0.0371482","0.0725564","0.0356072","0.120715","0.0377711","0.0396526","0.0794852","0.114329","0.0938438","0.0593472","0.0690814","0.0510702","0.037246","0.0563643","0.0673477","0.0851628","0.0939623","0.088806","0.0499437","0.12101","0.0442777","0.0490381","0.0647562","0.105541","0.0806873","0.0944613","0.0605155","0.0710812","0.0792935","0.0616871","0.0643841","0.0698985","0.107319","0.0375142","0.0466244","0.103151","0.0901975","0.084682","0.0718585","0.0347015","0.0992854","0.0503192","0.0384759","0.0774436","0.0397898","0.0410083","0.0301205","0.0907055","0.0879491","0.118994","0.0419162","0.0853704","0.117208","0.0476012","0.119985","0.0520362","0.0339751","0.0381594","0.11383","0.044335","0.0742143","0.0246545","0.0529876","0.068565","0.0494938","0.0313082","0.0684368","0.0781541","0.0358343","0.0533233","0.0776444","0.0790939","0.0520558","0.0976519","0.104634","0.120363","0.0606175","0.0807967","0.0487622","0.0795796","0.0448549","0.0621742","0.0593124","0.0452644","0.105816","0.0490196","0.04705","0.095613","0.0463898","0.112024","0.0527307","0.0545999","0.0463205","0.0408087","0.0453195","0.0866142","0.0299963","0.0585569","0.0709459","0.0597806","0.0477623","0.0705128","0.056243","0.0411631","0.0691589","0.0478147","0.0497586","0.035272","0.0247841","0.0709485","0.0667169","0.0818386","0.0667673","0.0711359","0.0457121","0.0555556","0.0818559","0.0321361","0.0686126","0.0794776","0.0903592","0.0758543","0.0622155","0.10372","0.0425373","0.055039","0.0832711","0.0569382","0.0740461","0.0592426","0.100299","0.0387337","0.0529101","0.0401501","0.0973418","0.0374291","0.0467925","0.0561205","0.0511385","0.0990284","0.0818626","0.0504484","0.0678157","0.088964","0.0642236","0.0702804","0.0618748","0.0480089","0.189199","0.100603","0.047958","0.0480333","0.0513789","0.0987654","0.0236753","0.0912863","0.143178"
"SLE42256","2005","0.0726512","0.0494382","0.106231","0.0178838","0.0673149","0.106367","0.0670412","0.075","0.0314254","0.0551331","0.0511945","0.0836473","0.060241","0.0818424","0.117137","0.0495013","0.0452844","0.0508221","0.0554717","0.071028","0.0338346","0.0318233","0.0490196","0.0420295","0.136347","0.0706501","0.0474219","0.0376283","0.0555766","0.0755002","0.087779","0.0494382","0.0698473","0.106248","0.0605719","0.0617143","0.0437762","0.130254","0.0691729","0.0317046","0.0363568","0.0403469","0.046335","0.0355388","0.0705706","0.0341038","0.113425","0.0377994","0.0393641","0.0819113","0.115458","0.0901515","0.0574198","0.0680451","0.0504361","0.0369951","0.0559881","0.0672714","0.080486","0.0908403","0.0861746","0.0489537","0.117713","0.0443533","0.0485769","0.0679358","0.0992827","0.0762332","0.090771","0.0572605","0.0657648","0.0772403","0.0603127","0.0664675","0.07009","0.104009","0.0343267","0.0432331","0.101356","0.0843553","0.083114","0.0684983","0.0352985","0.0957567","0.0476906","0.0392084","0.073991","0.0378931","0.0414001","0.0306084","0.0900901","0.0869079","0.114048","0.0432982","0.0820726","0.118416","0.0462121","0.112734","0.0506042","0.0333713","0.0350547","0.105812","0.0421252","0.0677261","0.02397","0.0540643","0.064006","0.0477983","0.0297552","0.0667417","0.071535","0.0338983","0.0513595","0.0754717","0.0745156","0.0512528","0.0963406","0.104751","0.117134","0.0604333","0.0788584","0.0464942","0.079096","0.0441232","0.0598958","0.0588676","0.0419818","0.101166","0.045951","0.0449607","0.0927874","0.0459683","0.110903","0.0515695","0.0539326","0.0475122","0.0391272","0.0452336","0.089955","0.0290237","0.0582671","0.0659423","0.0598485","0.0441176","0.0672205","0.0550736","0.0412879","0.0640689","0.045045","0.0518463","0.0314607","0.0255735","0.0697936","0.0679317","0.0822331","0.0640637","0.0673149","0.0444779","0.053719","0.0786305","0.0322336","0.0689524","0.0766355","0.0893393","0.0787194","0.0617892","0.100376","0.0397599","0.0546612","0.0798052","0.0559124","0.0706727","0.0575188","0.102545","0.0369817","0.0523146","0.0396707","0.096544","0.0366868","0.0455058","0.0527514","0.0543762","0.0991363","0.0820225","0.0498501","0.0656109","0.0934191","0.0618401","0.0688365","0.0574074","0.045813","0.19028","0.0979206","0.0454034","0.0448718","0.053484","0.0985757","0.0218127","0.0911145","0.140935"
"SLE42256","2006","0.0671756","0.0472973","0.105953","0.0164979","0.0594615","0.103513","0.0632768","0.073853","0.0303598","0.0520558","0.0496212","0.0788977","0.0579819","0.0829213","0.109247","0.0494608","0.043722","0.0487074","0.0541667","0.0665163","0.0314725","0.0301887","0.0472054","0.0376223","0.129403","0.0637977","0.0443609","0.034923","0.0557663","0.0724308","0.0888554","0.0489354","0.064381","0.106662","0.0563063","0.0614269","0.0445619","0.129093","0.0669409","0.0288931","0.0394292","0.0394537","0.0464502","0.0338983","0.069846","0.0329047","0.113151","0.0367454","0.0351076","0.0774145","0.109857","0.0913897","0.053973","0.0617237","0.0467859","0.0343915","0.0535781","0.0646992","0.0780952","0.086973","0.0858223","0.0484894","0.114938","0.0426242","0.0483749","0.0653961","0.0974417","0.0737275","0.0862462","0.0533033","0.0704384","0.0730611","0.0581266","0.0654762","0.0634681","0.0996602","0.0332201","0.0459164","0.0968963","0.0871508","0.0789671","0.0723485","0.0324161","0.0925508","0.0464072","0.0370925","0.0696368","0.0365073","0.0404079","0.0282004","0.0885553","0.0837716","0.108687","0.0417457","0.0795455","0.111028","0.0443943","0.113757","0.0496054","0.0330579","0.0353649","0.104012","0.0393258","0.0631179","0.023622","0.0521345","0.0601504","0.0455572","0.0308851","0.0613936","0.0706278","0.033033","0.0434126","0.0743116","0.0683253","0.0506474","0.0933184","0.104612","0.111322","0.0597185","0.0771257","0.0457271","0.0803738","0.0416348","0.0583396","0.0583365","0.0390244","0.0985704","0.0460551","0.0418848","0.0950599","0.0452659","0.110611","0.0513966","0.0517567","0.0447928","0.0387655","0.0422904","0.0890643","0.0273921","0.0538606","0.0662401","0.0626415","0.0432168","0.0604808","0.0518018","0.0408009","0.061086","0.0428249","0.0501122","0.031028","0.0259887","0.0674916","0.0627837","0.074717","0.0635161","0.0656604","0.0412603","0.0534035","0.0758543","0.0305776","0.0677005","0.0757974","0.0851866","0.0768357","0.0574363","0.0955965","0.0381879","0.0517435","0.0730147","0.0549079","0.0729598","0.0578231","0.101242","0.0355672","0.047976","0.0378277","0.0925787","0.0336357","0.0441509","0.0502456","0.052064","0.093902","0.0740741","0.0509554","0.0619066","0.0944972","0.0611006","0.0689013","0.0560089","0.0419319","0.189907","0.092244","0.043722","0.0429104","0.0513493","0.0976342","0.0210447","0.0886885","0.14489"
"SLE42256","2007","0.0638783","0.0452506","0.103774","0.0164794","0.0578574","0.0980392","0.0597295","0.0712144","0.0280794","0.0508858","0.0486507","0.0752162","0.0533233","0.0830174","0.104338","0.0484598","0.0422005","0.0446362","0.0501901","0.0616541","0.0282167","0.0287661","0.0477635","0.0362812","0.130451","0.0570143","0.0439189","0.0328972","0.051147","0.0695652","0.0817326","0.046003","0.0583776","0.10548","0.055409","0.0577217","0.0387364","0.130565","0.0627584","0.027027","0.0376506","0.0396675","0.0441176","0.032756","0.068431","0.0299356","0.106487","0.0350151","0.0339111","0.0744239","0.101086","0.0892655","0.050905","0.0623112","0.047927","0.0361991","0.0470852","0.0602637","0.0765732","0.0827664","0.0814787","0.0472087","0.115529","0.0414354","0.0464677","0.0628765","0.0940332","0.0710546","0.0883245","0.0525531","0.065839","0.0722846","0.0555142","0.061003","0.0598419","0.0973684","0.0308271","0.0419343","0.0887619","0.0787106","0.0811111","0.0736012","0.0301318","0.0876599","0.0440463","0.0373022","0.0687195","0.0348089","0.0391566","0.0286139","0.0866318","0.0793531","0.106135","0.0427971","0.0752566","0.108542","0.0435599","0.111405","0.0472618","0.0300526","0.0350615","0.0965594","0.0367179","0.0583554","0.0236575","0.0517372","0.0569167","0.044403","0.0317221","0.0585329","0.0645763","0.0309434","0.042344","0.0700492","0.066966","0.0471842","0.0849305","0.0995866","0.109636","0.0581307","0.0720721","0.0438531","0.0788104","0.0409805","0.0563063","0.0539326","0.0368144","0.0941839","0.0413845","0.0400899","0.0904335","0.0399695","0.106756","0.0471768","0.0473684","0.042585","0.0369254","0.0389951","0.0852187","0.0255735","0.0493967","0.0627803","0.0591337","0.0395928","0.0584051","0.0512725","0.0383739","0.0584024","0.0425292","0.0463898","0.0309471","0.0254016","0.0676946","0.0604002","0.0701162","0.058579","0.0635401","0.038633","0.0528501","0.0721262","0.0306354","0.0625234","0.0746437","0.0818692","0.080743","0.0560427","0.0904275","0.0369265","0.0528486","0.0688488","0.0509363","0.0698904","0.056","0.0973318","0.0357143","0.0473151","0.0368283","0.088081","0.033509","0.0436242","0.0477997","0.0515006","0.0921003","0.0731889","0.0515231","0.0584685","0.0941399","0.0579985","0.0658436","0.0540843","0.0395818","0.192465","0.0898876","0.0415264","0.0403738","0.0491004","0.0925508","0.0203774","0.0806873","0.142056"
"SLE42256","2008","0.0560855","0.0384185","0.0935496","0.0145794","0.0442445","0.0884789","0.0485693","0.0626172","0.0239252","0.0433962","0.0419026","0.0673692","0.0490381","0.0721572","0.0922385","0.0422746","0.0376506","0.0413068","0.0430676","0.0525328","0.0256217","0.0249716","0.0441568","0.0334712","0.114042","0.0475477","0.039548","0.0307116","0.0434457","0.0603774","0.0709459","0.0398633","0.0501139","0.0884758","0.0455916","0.0507634","0.0323673","0.115861","0.058096","0.0252976","0.0334084","0.0333333","0.0382431","0.0274127","0.0576194","0.0276201","0.0909769","0.031871","0.0270473","0.0661626","0.0881024","0.0800302","0.0394089","0.0511557","0.0395588","0.031871","0.0400299","0.050905","0.0677966","0.0671445","0.0739623","0.0396262","0.0993998","0.0372694","0.041966","0.0555347","0.0843691","0.0578947","0.078461","0.046607","0.0586246","0.0604824","0.0511767","0.0507084","0.0530705","0.0794007","0.0259887","0.0400302","0.0770398","0.0700112","0.0681481","0.0659176","0.0251313","0.0781893","0.0406321","0.0369672","0.0592399","0.0311913","0.0332462","0.0249349","0.0747943","0.0695127","0.0910117","0.039604","0.0668185","0.0986127","0.0411985","0.105798","0.0426094","0.0270473","0.0306657","0.0831786","0.0352113","0.0509434","0.0206689","0.0440346","0.0495461","0.0415419","0.026475","0.0495616","0.0576347","0.0285714","0.0363499","0.0606175","0.0636704","0.0430676","0.0773564","0.0889559","0.0943396","0.0514651","0.0601195","0.0378987","0.0691312","0.0383447","0.0513301","0.0463725","0.0323552","0.0817704","0.0355939","0.0333708","0.0768654","0.036673","0.0980172","0.0395375","0.0422642","0.0389951","0.034981","0.0347144","0.0702948","0.0246586","0.0453693","0.0528077","0.0541965","0.0376648","0.0530873","0.0436893","0.0346777","0.0522332","0.0334461","0.0408852","0.0282738","0.0247098","0.0534236","0.0520362","0.0605947","0.0524345","0.055408","0.0335422","0.0469925","0.0654135","0.0279035","0.0552632","0.066966","0.0711638","0.0696179","0.0484178","0.0734848","0.0346369","0.0449566","0.0592006","0.0441676","0.0643939","0.0494673","0.0829563","0.0322339","0.0423221","0.0313199","0.0764045","0.026178","0.0413408","0.0385055","0.0418692","0.0820166","0.0619172","0.0450789","0.0517567","0.0854863","0.0504935","0.0596347","0.0467186","0.0372578","0.171675","0.0777946","0.0402385","0.0355406","0.0442611","0.0830489","0.0187056","0.067994","0.119716"
"SLE42256","2009","0.0382431","0.0276429","0.0564546","0.00787992","0.0202855","0.0566038","0.0298001","0.0363977","0.0120165","0.0245006","0.029981","0.0419977","0.0277569","0.0377288","0.0456929","0.0258621","0.0232384","0.030303","0.0337249","0.0370509","0.0120165","0.0139939","0.0310345","0.0261976","0.0706402","0.0303712","0.0309201","0.0210843","0.0274746","0.0381243","0.0428305","0.0236101","0.0346386","0.0464511","0.0254777","0.0314871","0.0214447","0.0603546","0.037757","0.0178108","0.0205993","0.0231499","0.0282486","0.0169109","0.031927","0.0184003","0.0434783","0.023282","0.0182972","0.0377786","0.0501309","0.0460204","0.0223485","0.0276935","0.0246679","0.0254206","0.0221971","0.0301318","0.0366218","0.0381853","0.0462232","0.0296547","0.0495868","0.0274991","0.030543","0.0284644","0.0432819","0.0322948","0.0494938","0.0291698","0.0356875","0.0404153","0.0356741","0.0332835","0.0281048","0.0485618","0.0169875","0.0286684","0.0498668","0.0426168","0.0399408","0.041791","0.0158192","0.0438038","0.0284964","0.0191946","0.036167","0.0213084","0.0225394","0.0140897","0.0461019","0.0422801","0.0431034","0.0273038","0.0432309","0.0632248","0.0274333","0.0579326","0.0310842","0.0213244","0.0171706","0.0571109","0.0211738","0.0312262","0.012806","0.0225734","0.0297888","0.0295659","0.0143396","0.0318665","0.0401652","0.0215257","0.0205636","0.0333959","0.0318949","0.0309084","0.0480515","0.0590462","0.0511557","0.0315908","0.0319069","0.0266117","0.0425768","0.0264851","0.0255543","0.0304606","0.0184557","0.0458474","0.0258234","0.0205531","0.0493642","0.0219864","0.0549079","0.025103","0.0273204","0.0262271","0.0261364","0.0249071","0.0437736","0.0182302","0.0357009","0.0317638","0.0279879","0.024372","0.0327931","0.0280584","0.0237288","0.038651","0.0176162","0.0254777","0.0209581","0.0175112","0.0362538","0.0344183","0.0384906","0.0349572","0.0310724","0.0263353","0.031734","0.0421211","0.0191946","0.0368837","0.0408699","0.0421754","0.0361991","0.0327619","0.0436764","0.0269562","0.0257381","0.0394144","0.0278091","0.0369115","0.0334335","0.0458647","0.0205607","0.0284964","0.0212054","0.0488988","0.0194684","0.0273973","0.0224335","0.0259301","0.0492238","0.0339173","0.0258815","0.0353649","0.0425047","0.0304054","0.0384328","0.0349702","0.0227697","0.0955246","0.0460725","0.0327869","0.0254873","0.0329218","0.0480696","0.0123642","0.0394885","0.0639183"
