"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"SSD44378","2000","0.00844347","0.00740466","0.00447427","0.0116192","0.0108249","0.00916422","0.0115585","0.0158965","0.0089854","0.0209659","0.0151515","0.0118343","0.0118959","0.0168856","0.0100972","0.00673401","0.0111649","0.00782123","0.0122585","0.00864337","0.014574","0.0104556","0.0217873","0.0369951","0.0284568","0.0175242","0.0138369","0.0107887","0.00888231","0.00482375","0.0122041","0.0104869","0.0284974","0.0144605","0.0104517","0.0139809","0.00923532","0.0178838","0.0143288","0.0111441","0.00924898","0.0159555","0.0162482","0.00824279","0.00858209","0.00893189","0.0145143","0.00747105","0.0134178","0.0122722","0.0211503","0.00519095","0.00853432","0.0152473","0.00631266","0.0206338","0.0271577","0.0221811","0.00852799","0.00975976","0.00560748","0.0116061","0.00815419","0.0222469","0.0226345","0.00965466","0.0129774","0.00888231","0.0152416","0.00772343","0.00962963","0.0123134","0.00669394","0.0162842","0.0149589","0.0273921","0.0221811","0.0177384","0.0142536","0.0175832","0.00718336","0.00377358","0.0458101","0.0114815","0.0131086","0.0264432","0.00484171","0.0100334","0.00816024","0.0111193","0.01377","0.0122722","0.0161411","0.00448598","0.0130988","0.0235814","0.0368852","0.0133581","0.0185048","0.010483","0.0109064","0.0122358","0.00880411","0.028169","0.0208178","0.0187336","0.0130743","0.0165746","0.0144766","0.00968703","0.0105026","0.00954479","0.0111607","0.019483","0.0197099","0.0137189","0.00443623","0.0130208","0.0187829","0.0213235","0.0103704","0.00617508","0.00598802","0.0180383","0.0184843","0.0126866","0.0164547","0.0116018","0.033419","0.0100037","0.00884956","0.0182768","0.0171258","0.0114815","0.00890208","0.0116366","0.00956586","0.0133038","0.0142803","0.0122494","0.0439763","0.0165663","0.0137342","0.0152587","0.00969787","0.017056","0.0158672","0.016679","0.018128","0.0067441","0.00220669","0.0190512","0.0114645","0.0178174","0.0162903","0.0114433","0.00669892","0.00938791","0.00933532","0.0181213","0.0165624","0.0133383","0.0142909","0.0093006","0.00185254","0.013363","0.00706845","0.0111317","0.00888231","0.0115413","0.0093214","0.00848083","0.0119805","0.00634565","0.0144071","0.0141316","0.0151683","0.00778354","0.0149645","0.0186012","0.00884956","0.00629164","0.03125","0.00711078","0.00711877","0.00556793","0.0146067","0.0104361","0.0141159","0.0103704","0.0155671","0.00940203","0.0117604","0.0217793","0.0133829","0.0188609","0.0330364","0.00889218","0.0099963","0.00669643"
"SSD44378","2001","0.0088856","0.00817236","0.00447761","0.012696","0.0134028","0.0106461","0.0123272","0.015118","0.00862716","0.0212132","0.0147984","0.0114391","0.0119492","0.0168539","0.0101161","0.0071028","0.0115499","0.00821509","0.0122905","0.010101","0.0143613","0.0108941","0.0221402","0.0362127","0.026691","0.0168413","0.0135034","0.0104322","0.00855973","0.00485437","0.0122313","0.0105105","0.026997","0.0138008","0.0097561","0.0143646","0.0096475","0.0168036","0.0158192","0.0115413","0.0100822","0.0144928","0.0163751","0.00866943","0.00823045","0.00894855","0.0134078","0.00745156","0.0127246","0.0123088","0.0200297","0.00520253","0.00819978","0.0152814","0.00628466","0.0205656","0.025622","0.0226935","0.00852483","0.010566","0.0044843","0.0116498","0.00629863","0.0216337","0.0219331","0.00926956","0.0129582","0.00887574","0.0137393","0.0074129","0.0108088","0.0122814","0.0070632","0.0163447","0.0149421","0.0252449","0.023394","0.0181818","0.0146617","0.0175635","0.00677456","0.00490381","0.0484352","0.0129582","0.0128788","0.0258876","0.00485618","0.00973418","0.00786517","0.0114943","0.0141633","0.0126629","0.0165538","0.0052592","0.0137905","0.0228361","0.0357276","0.0132939","0.0177778","0.0104478","0.0108941","0.0111483","0.00814513","0.0292918","0.0209974","0.0172673","0.0126818","0.0167535","0.0126866","0.00971963","0.0101772","0.0102866","0.010355","0.0187056","0.02053","0.0142536","0.00443951","0.0127436","0.0187829","0.0226093","0.00965108","0.00510204","0.00598355","0.0199849","0.0180545","0.0127389","0.0175177","0.011257","0.0319032","0.00965108","0.00990099","0.0182021","0.0168287","0.0111524","0.00814815","0.0108411","0.00882353","0.0114772","0.0158491","0.0119492","0.0426242","0.0162879","0.0156134","0.01377","0.0108048","0.0163084","0.0176991","0.0174981","0.0174981","0.00789177","0.00221976","0.0213964","0.0104051","0.0170497","0.0160568","0.0129726","0.00592373","0.0094518","0.00970511","0.0175439","0.0166052","0.013368","0.0155325","0.00965466","0.00223964","0.0130208","0.00667904","0.0122951","0.0099926","0.0107887","0.0078329","0.00923191","0.0131184","0.00636704","0.0156425","0.0137649","0.015997","0.00708691","0.0175635","0.0200297","0.00922509","0.00746269","0.0287313","0.00636943","0.00635277","0.0063197","0.0149477","0.00967622","0.0130112","0.0104051","0.0156951","0.0090566","0.0125926","0.0206871","0.0141159","0.0181616","0.0326895","0.00971236","0.0111483","0.00777778"
"SSD44378","2002","0.00892525","0.00747664","0.00448598","0.0116148","0.0100784","0.0096475","0.0123411","0.0148588","0.00971963","0.0193596","0.0163569","0.0118519","0.0138733","0.0179506","0.00934929","0.00671391","0.0127103","0.00858209","0.0123411","0.00859492","0.0139781","0.0113464","0.0228361","0.0360496","0.0290395","0.017991","0.0121029","0.0112108","0.0085693","0.00486527","0.0126866","0.012012","0.0258303","0.0141316","0.00908059","0.0129678","0.00887902","0.0155671","0.0180723","0.0104051","0.0108696","0.0141791","0.0157244","0.00946253","0.00900225","0.00784753","0.0141897","0.00782706","0.0128109","0.0118519","0.0215774","0.00520059","0.0074599","0.01671","0.00589971","0.0218519","0.0253637","0.0228208","0.00777778","0.0105541","0.00483451","0.0124858","0.00781832","0.0201643","0.020202","0.00923191","0.0133879","0.00858529","0.0141685","0.00892857","0.010829","0.0118782","0.00669643","0.0171642","0.0138837","0.0242057","0.0230056","0.0180655","0.0141791","0.0184211","0.00784167","0.00491493","0.0524541","0.0126019","0.0140098","0.0271375","0.00446429","0.0101772","0.00755002","0.0104205","0.0141633","0.012758","0.0169683","0.00525526","0.0141791","0.0245536","0.035206","0.0129822","0.0167224","0.0111649","0.00941974","0.0122177","0.0081663","0.0294008","0.0218456","0.0172543","0.0137649","0.0179372","0.0142109","0.00897532","0.011274","0.0107687","0.0103742","0.0188395","0.0192018","0.0155598","0.00482554","0.0119403","0.0195709","0.0192163","0.00972326","0.00547445","0.00601956","0.0195562","0.0180479","0.0131234","0.0167973","0.011641","0.0312385","0.0096332","0.0106893","0.0182836","0.0168036","0.011215","0.00778643","0.0104908","0.00812108","0.012574","0.0154951","0.0112824","0.0424265","0.0176891","0.0150094","0.0144928","0.0111607","0.0163265","0.0174786","0.0172027","0.0182495","0.00793651","0.0014782","0.0228721","0.0100859","0.018236","0.0163996","0.0130305","0.00558036","0.00944822","0.00976342","0.0182768","0.0175308","0.0129822","0.0171578","0.0100446","0.00224719","0.0127055","0.00739098","0.0123735","0.0101124","0.0108371","0.00857249","0.00892857","0.0135084","0.0056243","0.0156658","0.0145577","0.0148865","0.00669643","0.0164363","0.0187126","0.00890869","0.00822737","0.0267658","0.00712411","0.00638138","0.00631501","0.0157658","0.0093006","0.011308","0.0107567","0.0175047","0.00911162","0.0134328","0.0190228","0.0134228","0.0178838","0.0325112","0.00938438","0.0108169","0.00740192"
"SSD44378","2003","0.00933184","0.00715092","0.00520833","0.0119716","0.00894521","0.00969787","0.0131579","0.0149254","0.00932488","0.0183865","0.0164363","0.0115628","0.0150546","0.0182768","0.00862392","0.00635752","0.0116061","0.0081754","0.0120346","0.0070975","0.0139412","0.0109682","0.0225926","0.0346647","0.0290719","0.0180383","0.0113809","0.0123134","0.00940557","0.00483451","0.0119358","0.0116279","0.0252319","0.0137751","0.00868908","0.0126019","0.0092285","0.0141738","0.0170455","0.0100521","0.0108941","0.0142482","0.0164918","0.00869565","0.00899888","0.00712678","0.0123874","0.00746826","0.0127724","0.0130015","0.0198651","0.00411215","0.00783582","0.0160089","0.00664452","0.0193957","0.0257848","0.0220726","0.00819367","0.0109105","0.00521221","0.0128934","0.00816024","0.0209581","0.0211082","0.00929368","0.0126629","0.00745434","0.0119895","0.00933184","0.0135695","0.0115888","0.00821202","0.015544","0.0144103","0.0246026","0.0232384","0.0191011","0.0130305","0.0184836","0.00744879","0.00452659","0.0545455","0.0122268","0.0143505","0.0285608","0.00447427","0.00983359","0.00789771","0.0105224","0.0133929","0.0120618","0.0172285","0.00598131","0.0130743","0.0259548","0.0349493","0.0130743","0.01592","0.0100671","0.0109187","0.0114645","0.00818148","0.0271476","0.0203697","0.0161351","0.0123549","0.0171898","0.0146232","0.00868908","0.0109682","0.00970874","0.0107487","0.0193916","0.0203543","0.0144377","0.00520833","0.0131827","0.0187758","0.0207547","0.0101695","0.00478645","0.00603091","0.0191083","0.018695","0.0132125","0.0146287","0.0120573","0.0326773","0.00862392","0.0110375","0.0183246","0.0164856","0.0108655","0.00705533","0.0101048","0.00890869","0.0134178","0.014318","0.0116893","0.0399105","0.0207547","0.0142803","0.0137291","0.0112191","0.0178108","0.0172608","0.0165351","0.0184003","0.00753864","0.00223797","0.0232645","0.0109146","0.0186081","0.0171514","0.0138473","0.00559701","0.00829876","0.00899888","0.0193813","0.0179171","0.0140741","0.0179775","0.00823353","0.00186986","0.0115845","0.00782706","0.0123967","0.0101887","0.0101161","0.0101466","0.00819062","0.0130548","0.0052592","0.0157539","0.015997","0.0152473","0.00635277","0.0169046","0.0191874","0.00966184","0.00789771","0.0261097","0.00712678","0.00710546","0.00633383","0.0172349","0.00820589","0.0117025","0.0122677","0.0169237","0.00953471","0.0141897","0.0202855","0.0130451","0.0186986","0.0332586","0.00791258","0.00975976","0.00780959"
"SSD44378","2004","0.00901578","0.00831758","0.00487439","0.0131135","0.00856611","0.00938438","0.0124622","0.0157421","0.00900563","0.0175439","0.0175373","0.0122905","0.0161959","0.0179439","0.00863363","0.00595017","0.0112444","0.0074129","0.0128012","0.00863688","0.0120846","0.011274","0.0222883","0.0337331","0.0295548","0.0179104","0.0117781","0.0130451","0.00865964","0.00410295","0.00861423","0.0117114","0.0255745","0.0137291","0.00979653","0.0116541","0.00890538","0.0142056","0.0170004","0.0104244","0.010829","0.0138473","0.0183727","0.0083113","0.00787697","0.00790365","0.0124387","0.0070975","0.0142643","0.0123735","0.0192308","0.00487988","0.00789474","0.0173062","0.00630564","0.0190868","0.0256507","0.0237826","0.00889878","0.0105026","0.00599925","0.0125047","0.00893522","0.0209738","0.0209046","0.0105224","0.0130792","0.00562219","0.0127724","0.00899213","0.0135849","0.0116018","0.00747384","0.0179775","0.0139465","0.0243446","0.0229237","0.0198428","0.0135287","0.0180655","0.00710015","0.00451977","0.0511751","0.012318","0.0123827","0.0279018","0.0059657","0.00984848","0.00796058","0.0109228","0.0123318","0.0128205","0.0165165","0.00561377","0.0126771","0.0236575","0.0356205","0.0127484","0.0157127","0.00860778","0.010602","0.0130112","0.00861423","0.0263941","0.0203697","0.0166163","0.0138837","0.0161049","0.0163812","0.00906002","0.0102041","0.00934929","0.0104012","0.0193475","0.0185255","0.0136209","0.00483631","0.0127772","0.0183727","0.0205245","0.00906002","0.0059106","0.00677456","0.0172608","0.0193093","0.0128447","0.0161533","0.0120437","0.0363705","0.00828625","0.0107368","0.0193957","0.0185466","0.00939144","0.00747105","0.0101237","0.00815419","0.0135237","0.0154077","0.0120846","0.0399698","0.0202779","0.015855","0.012254","0.0108941","0.0169993","0.0179574","0.0157658","0.0165913","0.00793951","0.00224635","0.0228293","0.0112909","0.0172156","0.0154251","0.0150094","0.00488355","0.00867597","0.00827379","0.0189944","0.0183178","0.0164118","0.0167046","0.00787992","0.00188466","0.0105145","0.0089854","0.0124528","0.0101161","0.00944822","0.0100972","0.00750751","0.0126535","0.00562219","0.0170068","0.0159911","0.0160808","0.0056243","0.0173913","0.0184766","0.0097269","0.00642722","0.0260611","0.00718065","0.00864987","0.00591497","0.0165227","0.0078125","0.0116937","0.0119895","0.0188111","0.00987467","0.0143126","0.0217718","0.0134328","0.0191154","0.030597","0.0075643","0.0104948","0.00705009"
"SSD44378","2005","0.0086629","0.00831758","0.00522778","0.0119805","0.00973418","0.0113422","0.0121581","0.0161049","0.00935629","0.0183315","0.0172738","0.0120075","0.0176891","0.018797","0.00791855","0.00633383","0.012012","0.00671892","0.0127484","0.0089955","0.0117469","0.0105501","0.0226935","0.0343668","0.0295659","0.0175898","0.013369","0.0146727","0.00794552","0.00487805","0.00859492","0.0101351","0.0261194","0.0141791","0.00907716","0.0124387","0.00860778","0.0146177","0.019238","0.0104634","0.0104987","0.0134429","0.0192018","0.00835549","0.00785047","0.00715361","0.012869","0.00675676","0.0132225","0.0132225","0.019399","0.00489642","0.00793651","0.0162448","0.00634092","0.0188111","0.0245376","0.0220281","0.00932836","0.0101275","0.00598355","0.0128934","0.00969064","0.0217391","0.0205323","0.00949487","0.012392","0.00448766","0.0132928","0.00865638","0.0131976","0.0120075","0.0078446","0.0175898","0.0144213","0.0255447","0.0214689","0.0213964","0.0123411","0.0184003","0.00710546","0.00415408","0.0508346","0.0130792","0.01242","0.0287635","0.00633855","0.0102467","0.00757863","0.0113293","0.0119626","0.0116937","0.0169046","0.00488538","0.0132026","0.0221471","0.0316928","0.0125095","0.0158073","0.00974513","0.010931","0.0131628","0.0093985","0.0275093","0.0191946","0.0155421","0.0130792","0.0163064","0.0174916","0.00941974","0.0109932","0.00828002","0.0089854","0.0194954","0.0212685","0.0124858","0.00487439","0.0131926","0.0176294","0.0198625","0.00949127","0.00596125","0.00678222","0.0179038","0.0197319","0.0143505","0.0153962","0.0117291","0.034444","0.00861101","0.0104244","0.0183383","0.0185958","0.0105026","0.00780959","0.0112275","0.00819062","0.0142643","0.0173323","0.0117513","0.0384181","0.0217636","0.0155303","0.0107647","0.0120301","0.0168602","0.0177024","0.0154542","0.0177225","0.00757863","0.0026178","0.0238539","0.0124528","0.0165913","0.013915","0.0153788","0.00449607","0.00721884","0.00828937","0.0203008","0.0180791","0.0160748","0.0174905","0.00789771","0.00264951","0.0101542","0.0108452","0.01208","0.00935279","0.00988593","0.0101161","0.00678477","0.0119314","0.00565824","0.0155362","0.0157186","0.0161654","0.00563063","0.0190441","0.0191298","0.00904977","0.00644183","0.0266017","0.00752162","0.00863363","0.00628001","0.0157539","0.00782123","0.0117781","0.0127772","0.0191011","0.0102157","0.014345","0.0244086","0.0134781","0.0205838","0.0309933","0.00759013","0.010181","0.00674663"
"SSD44378","2006","0.00977076","0.00830816","0.00560538","0.0120618","0.00982244","0.0114286","0.0109724","0.0160149","0.0100709","0.0195195","0.0163751","0.0132325","0.0164918","0.0183727","0.00830189","0.00637181","0.0116498","0.00749906","0.0116761","0.00786812","0.0124575","0.0109517","0.022338","0.0367454","0.0293896","0.0179171","0.0140364","0.0160448","0.00717794","0.00448934","0.00824588","0.010931","0.0248214","0.0134579","0.00938086","0.0109848","0.0100297","0.0142536","0.0218291","0.00940203","0.0108574","0.013468","0.0175767","0.00834598","0.00748783","0.00714286","0.0136003","0.00677456","0.0124669","0.0124528","0.0170584","0.00532117","0.00877193","0.0166667","0.00679245","0.0188324","0.0229582","0.0237378","0.00857249","0.00895857","0.0060015","0.0132979","0.0105184","0.0209346","0.0223994","0.00914634","0.0120527","0.00521999","0.0121396","0.00828002","0.0143396","0.012392","0.00862069","0.0176294","0.0132676","0.0238895","0.0230537","0.0217066","0.0130208","0.0170132","0.00751033","0.00414938","0.0540335","0.0123874","0.0146837","0.0281955","0.00670641","0.012406","0.00713213","0.0121029","0.0112909","0.0109146","0.0157539","0.00487439","0.0124764","0.0220891","0.0314136","0.0128447","0.0161169","0.00974513","0.0105224","0.0138785","0.00863688","0.0269159","0.0202931","0.0159393","0.0120482","0.0156131","0.0181481","0.00903614","0.0117202","0.0075815","0.00793951","0.0176516","0.0209444","0.0128157","0.0048909","0.0131283","0.0175767","0.022927","0.00833333","0.00560748","0.00640543","0.0168476","0.018615","0.0140045","0.0151229","0.0116937","0.0358897","0.00821202","0.0108818","0.0207234","0.0181887","0.0116192","0.00965108","0.0108859","0.00938438","0.0141897","0.0176559","0.0124858","0.0390152","0.0213643","0.0155598","0.0111441","0.0116585","0.0172543","0.0151286","0.0157776","0.0185466","0.00911508","0.00337205","0.023525","0.010602","0.0165476","0.0133978","0.0150207","0.00414001","0.00793051","0.00833965","0.0206534","0.0169619","0.0156018","0.0149083","0.00866943","0.00189466","0.010101","0.0112444","0.011738","0.0101275","0.00987842","0.0102623","0.00789771","0.0130451","0.00562008","0.0151229","0.0161776","0.0154542","0.00526316","0.0183178","0.0172608","0.00829876","0.00754432","0.0254491","0.00867597","0.0094162","0.00663962","0.0165538","0.00786812","0.013626","0.0124107","0.0190654","0.00870223","0.0142857","0.0233434","0.0135237","0.0209189","0.0291153","0.0071644","0.00947329","0.00673905"
"SSD44378","2007","0.0101695","0.00787992","0.00634092","0.0112782","0.0102157","0.0114025","0.0106101","0.0152021","0.00900563","0.0190797","0.01671","0.0125142","0.0161411","0.0188041","0.00566465","0.00677201","0.0101504","0.00747943","0.0113507","0.00749064","0.0121396","0.0108736","0.0220149","0.0368283","0.0291916","0.0178904","0.0144158","0.0163751","0.00757863","0.00374672","0.00714554","0.010598","0.0252544","0.0150943","0.0104948","0.0106545","0.00973783","0.0143234","0.0224383","0.00865638","0.0100074","0.0130112","0.0190583","0.00794852","0.00712411","0.00789474","0.0121212","0.00673401","0.0135798","0.0110015","0.0177358","0.00573614","0.00993884","0.0163747","0.00753864","0.0165663","0.0245468","0.0244545","0.00935629","0.00859813","0.00714286","0.0132175","0.00902256","0.021658","0.0198398","0.0102896","0.0117158","0.00595681","0.0121488","0.00749906","0.015186","0.0128399","0.00865638","0.0171898","0.0124341","0.0253259","0.0197568","0.0215293","0.013915","0.0155185","0.00752162","0.00337711","0.0508732","0.0127772","0.0150319","0.0268757","0.00599251","0.0115845","0.00862392","0.0124764","0.0127628","0.010479","0.0153271","0.00490011","0.0114068","0.0217391","0.0309125","0.012112","0.0164425","0.00934929","0.011308","0.0135034","0.00937031","0.024033","0.0206534","0.0148176","0.0128544","0.0152091","0.0173945","0.0101964","0.0116893","0.00643696","0.00756144","0.0160244","0.0209046","0.0132075","0.0044927","0.0135798","0.0179641","0.0215338","0.00829876","0.00560957","0.00676946","0.0190299","0.017557","0.0144049","0.0152091","0.0105342","0.032967","0.00826136","0.011274","0.0217718","0.0192163","0.012021","0.0108371","0.0108941","0.0104948","0.0149589","0.0169683","0.0116235","0.0403469","0.0195931","0.0139675","0.0104556","0.0116148","0.0192235","0.0160988","0.0171514","0.0177425","0.00794552","0.00413378","0.0219657","0.0105422","0.0157303","0.0131037","0.01546","0.0045062","0.0075358","0.00791557","0.0209816","0.0168161","0.0156658","0.0171038","0.00940911","0.00226929","0.0104595","0.00973783","0.0112994","0.0100746","0.00908747","0.0106141","0.00821815","0.0104167","0.00524541","0.0143667","0.0158014","0.0146893","0.00489642","0.0157835","0.018428","0.00829876","0.00713213","0.0259106","0.00869894","0.010586","0.00479528","0.0175308","0.00869894","0.0157835","0.0109599","0.0190797","0.00983359","0.0145251","0.02397","0.0138421","0.021666","0.0281795","0.00676183","0.00978916","0.0067441"
"SSD44378","2008","0.0108941","0.0079096","0.00672646","0.0127964","0.00913938","0.0124669","0.00947329","0.0145035","0.00946253","0.0213244","0.0156076","0.0132576","0.017991","0.0187899","0.0071888","0.00638858","0.0120391","0.00672897","0.0113422","0.00743494","0.0140899","0.0109228","0.0201643","0.0412603","0.0293233","0.0178306","0.0140471","0.0164179","0.00788288","0.00454201","0.00642722","0.0125523","0.02535","0.015163","0.0105184","0.0117647","0.0101657","0.0154309","0.0205454","0.00788881","0.00967262","0.0115199","0.0187477","0.0090978","0.00672646","0.00787402","0.0124717","0.00635039","0.0127964","0.0110141","0.0183589","0.00493733","0.0102975","0.0159817","0.00754717","0.0154251","0.0229928","0.0248588","0.0082243","0.00937734","0.00712144","0.0128447","0.00944109","0.0205838","0.0189036","0.00950932","0.012406","0.00597907","0.0139887","0.00863363","0.0159151","0.0131728","0.00938086","0.0162509","0.0150432","0.0242356","0.0206922","0.0238184","0.0120664","0.0162694","0.0078534","0.00337584","0.0513789","0.0120846","0.0145958","0.0250561","0.00562641","0.011537","0.00753296","0.0104751","0.0120892","0.010483","0.0164302","0.00486891","0.0114242","0.0214528","0.0326087","0.0121258","0.0175964","0.0089854","0.01059","0.0127724","0.00974878","0.024033","0.0202551","0.016585","0.01208","0.0155953","0.0165929","0.00941974","0.0124247","0.00643208","0.00680015","0.0178504","0.0208967","0.0125","0.00449102","0.0131037","0.0184488","0.0204545","0.00898876","0.00822737","0.00716981","0.018236","0.0181132","0.0139255","0.0151688","0.0105461","0.0334838","0.00823353","0.0112613","0.0209346","0.0218373","0.0120256","0.0131431","0.0112655","0.00982244","0.014195","0.0154542","0.0108088","0.0373726","0.0227445","0.0142589","0.0100746","0.011236","0.0203851","0.0157244","0.017824","0.0175701","0.00865312","0.00412139","0.0226513","0.0101275","0.0164979","0.0142429","0.0158252","0.00486527","0.00790365","0.0071617","0.0191441","0.0179978","0.0164732","0.0160428","0.00824588","0.00189036","0.00971599","0.00898876","0.0125095","0.010158","0.00797267","0.010235","0.00786222","0.0116148","0.00597907","0.01661","0.0150943","0.015186","0.00413223","0.0165414","0.0180248","0.00903955","0.00860778","0.0246914","0.0094162","0.00944109","0.00518519","0.0164118","0.00976709","0.0177225","0.0120709","0.0186289","0.00942329","0.0153042","0.0237467","0.0143018","0.0237389","0.0315985","0.00713481","0.0112697","0.00710812"
"SSD44378","2009","0.0112867","0.00787992","0.00749625","0.0131976","0.00950209","0.0139781","0.0102545","0.0141211","0.00904636","0.0212291","0.0153501","0.012112","0.0184766","0.0184349","0.00793351","0.00639579","0.0108452","0.00562219","0.0129672","0.00703183","0.0125858","0.01059","0.0202399","0.0382883","0.0281743","0.0184488","0.0144158","0.0160868","0.00745712","0.00453001","0.00529101","0.0120937","0.0262657","0.0163374","0.00971599","0.0109558","0.01059","0.0173716","0.0212607","0.00680015","0.0109105","0.0119225","0.0184627","0.00793351","0.00671642","0.00864012","0.0124811","0.00637899","0.0131926","0.010931","0.0175635","0.00533944","0.0106707","0.0151515","0.0071161","0.0149701","0.024812","0.0241145","0.00790365","0.0101772","0.00710546","0.0132626","0.00946253","0.0199173","0.0199774","0.00833965","0.0112697","0.00522973","0.0150773","0.00826446","0.0159514","0.0131234","0.0100897","0.0176758","0.0150094","0.0265123","0.021021","0.0252788","0.0146177","0.0159393","0.00778932","0.00375235","0.0511364","0.0124107","0.0139098","0.0234812","0.00528103","0.0137803","0.00786812","0.0116366","0.0124622","0.0104439","0.0159733","0.00375094","0.0118185","0.0205224","0.0321726","0.0110518","0.0178838","0.00901578","0.0113122","0.0123642","0.0105026","0.024519","0.0200076","0.0154135","0.0117025","0.0155068","0.0144284","0.00978547","0.0124481","0.00605373","0.00602864","0.01673","0.0212847","0.0128496","0.00490751","0.0134529","0.0188964","0.0207078","0.0101466","0.00603774","0.00676437","0.0211189","0.0157895","0.0149757","0.0124858","0.0112824","0.0325721","0.0081754","0.0116192","0.0187688","0.0200968","0.0135542","0.0119716","0.0116454","0.0102428","0.0153558","0.0154951","0.0108169","0.0349624","0.0238908","0.014345","0.00973418","0.0119537","0.0208491","0.012782","0.019037","0.0153271","0.00864012","0.00413223","0.0212291","0.00977076","0.0165414","0.0138889","0.0162325","0.00635277","0.00718336","0.00790365","0.0187477","0.0184349","0.0160388","0.0155657","0.00863363","0.00150432","0.0101466","0.00823045","0.0112909","0.0105382","0.00792752","0.0121673","0.00930406","0.0112486","0.00598802","0.0154135","0.0143072","0.0151114","0.00373972","0.0185185","0.0177024","0.0105105","0.0082397","0.0245993","0.00899213","0.00906002","0.00638618","0.0164179","0.00943396","0.0192963","0.0120937","0.0186986","0.010598","0.0141211","0.0260279","0.0138993","0.0248886","0.0317757","0.00674663","0.0108736","0.00788584"
