"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"TCD10698","2000","0.0107368","0.0130112","0.00552079","0.0022363","0.00904295","0.00790663","0.00957996","0.0066568","0.00484171","0.00708163","0.00671391","0.0014892","0.0103207","0.00148258","0.00371058","0.0104128","0.00854383","0.00823353","0.00668151","0.00442641","0.0037092","0.0097269","0.000372301","0.00630564","0.00882677","0.0025878","0.0133531","0.0100446","0.0104908","0.00566679","0.0130354","0.00484894","0","0.00480414","0.00259163","0.00147765","0.00562641","0.0130451","0.00187758","0.00662008","0.00854701","0.00748503","0.0103627","0.00259163","0.00630564","0.00780379","0.00593912","0.00809419","0.00628698","0.00635277","0.0100074","0.00776915","0.00663962","0.00558451","0.0103589","0.00516224","0.00551065","0.00669643","0.0096475","0.00522778","0.0114349","0.00223131","0.00864337","0.0100446","0.00931793","0.00750469","0.00713213","0.00633855","0.00623396","0.00660308","0.0245152","0.00778354","0.00557414","0.00486709","0.00599475","0.00632205","0.00929714","0.0122722","0.00969787","0.0102227","0","0.00631032","0.000735294","0.00816933","0.00484171","0.00769231","0.00667408","0.00990099","0.00409378","0.00776627","0.00558036","0.00518327","0.00844657","0.00703964","0.0123272","0.00407407","0.00299065","0.00931446","0.00295967","0.00746826","0.0018622","0.0115284","0.0115801","0.00851221","0.00559284","0.00223547","0.00778932","0.00446927","0.00894855","0.00480769","0.00629397","0.00371747","0","0.00707108","0.00736106","0.00629397","0.0136632","0.00561167","0.00628001","0.00487439","0.00676437","0.00553097","0.00484352","0.00971236","0.00408466","0.00925926","0.00674663","0.00404412","0.0157856","0.0122358","0.00783875","0.0100037","0.00551065","0.0129582","0.00806747","0.00335696","0.0137393","0.000738007","0.00516796","0.00930752","0.00710015","0.00298507","0.0118562","0.00332226","0.00703964","0.00482554","0.00812408","0.00962606","0.0129294","0","0.00449775","0.0056243","0.00591716","0.00785634","0.00591716","0.0037092","0.0144928","0.00412294","0.00669643","0","0.00410448","0.0104051","0.00894521","0.00704486","0.0084621","0.0119403","0.00737463","0.00110988","0.00632205","0.00295421","0.00225141","0.00592812","0.0132743","0.00783875","0.0103973","0.0138266","0.00707899","0.00559493","0.00590842","0.0151852","0.0122222","0.00221893","0.00147275","0.00373692","0.00148865","0.00261389","0.00992282","0.00560748","0.00261878","0.0171004","0.00369413","0.00371609","0.00258589","0.00368189","0.0133879","0.00406955","0.00747943","0.00555967","0.00297841","0.00593032"
"TCD10698","2001","0.010479","0.0134933","0.00554529","0.00224383","0.0089955","0.0079096","0.0103819","0.006684","0.004456","0.00744048","0.00636943","0.00149309","0.0111649","0.00299065","0.00299065","0.00973054","0.00895857","0.0093423","0.00669892","0.00406354","0.00333952","0.00897196","0.000374953","0.00593032","0.0088856","0.00332963","0.0130695","0.00997046","0.00977811","0.00565824","0.0125926","0.00447594","0","0.00445931","0.00261194","0.00147765","0.00641509","0.0137854","0.00149421","0.00705533","0.00862716","0.00854701","0.0125833","0.00299177","0.00666914","0.00779221","0.00594575","0.00856611","0.00668151","0.0078534","0.00927644","0.00747384","0.00630798","0.00522193","0.00997414","0.00483451","0.00590188","0.00669643","0.00929714","0.00523169","0.0099631","0.0022214","0.00935629","0.0112444","0.00900563","0.00708955","0.00677711","0.00675422","0.0059106","0.00668648","0.0271261","0.00664943","0.00561798","0.00448934","0.00602183","0.00665188","0.00890869","0.0111566","0.00934929","0.0103283","0","0.00634328","0.000736648","0.00818757","0.00412448","0.00770925","0.00707108","0.00777202","0.00372301","0.00809121","0.00485075","0.00521804","0.0077036","0.00669892","0.0132576","0.00371609","0.00299963","0.00967262","0.00298285","0.00749064","0.00149198","0.0126535","0.0111483","0.00812408","0.00450281","0.00224635","0.00738825","0.00446263","0.00818452","0.00483451","0.00587587","0.00336449","0","0.0070975","0.00738007","0.00591716","0.0148038","0.00566251","0.00664452","0.00527903","0.00752445","0.00702923","0.00448263","0.00931793","0.00409836","0.00894855","0.00707108","0.00444774","0.0137444","0.0107288","0.0078446","0.00968703","0.0055269","0.0114985","0.0074184","0.00225225","0.0141633","0.00111359","0.00556174","0.0118915","0.00672394","0.0025974","0.0104012","0.00406805","0.0078329","0.00484171","0.0091878","0.00971599","0.0118606","0","0.00413223","0.0056243","0.00592373","0.00786812","0.00557621","0.00446097","0.0134228","0.00340008","0.00819367","0","0.00375235","0.0112066","0.00900225","0.00666914","0.00849963","0.0123318","0.00702663","0.00111566","0.00595681","0.00296736","0.00187899","0.00517178","0.0125786","0.00862069","0.0100822","0.0142162","0.0070922","0.00559493","0.00816024","0.0148976","0.0107727","0.00223464","0.00147874","0.00372717","0.00112066","0.00223797","0.00955531","0.00562008","0.00299177","0.0156425","0.00405157","0.00374392","0.00297841","0.00296956","0.0133531","0.00445104","0.00713481","0.00522778","0.00298285","0.00633383"
"TCD10698","2002","0.00973418","0.0130841","0.0055991","0.00263952","0.00830189","0.00785047","0.0104244","0.00706057","0.00408012","0.00629397","0.0060241","0.00185943","0.0112275","0.00297841","0.00263257","0.00788881","0.00787697","0.00942685","0.00711078","0.00298842","0.00483271","0.00969426","0.000376223","0.00637659","0.00895522","0.00223297","0.0127008","0.00849963","0.00869565","0.00606061","0.0129247","0.00414469","0","0.00411369","0.00226159","0.0018546","0.00568828","0.0127198","0.00187899","0.00628931","0.00754148","0.00855019","0.0130063","0.00224719","0.00742115","0.00862069","0.0063197","0.00906002","0.00742942","0.00673401","0.0081663","0.00642965","0.00671141","0.00450281","0.00966543","0.00486709","0.00628001","0.00598578","0.0100972","0.00525328","0.0104205","0.00260417","0.00933532","0.0105263","0.00599251","0.00823045","0.00602637","0.00641994","0.00519866","0.00599251","0.0282569","0.0063033","0.00636943","0.00410908","0.00603091","0.00706057","0.00965825","0.0118606","0.0100671","0.0114857","0.00447261","0.00567108","0.000368053","0.00637181","0.00410601","0.00776915","0.00708163","0.00709485","0.00373832","0.00883978","0.00522778","0.00374251","0.00701884","0.00669643","0.0124622","0.0033358","0.00300865","0.0119537","0.00337079","0.00751315","0.0014782","0.0130743","0.00997046","0.00883327","0.00451297","0.00149925","0.00739919","0.00409074","0.00861423","0.00519866","0.00628001","0.00299065","0","0.00747664","0.0074184","0.00593692","0.0152303","0.00564334","0.0063244","0.00529501","0.00783875","0.00630096","0.00450113","0.0093214","0.00448096","0.0071161","0.00707372","0.00409378","0.012318","0.011456","0.00785928","0.00973418","0.00631501","0.0126019","0.00739919","0.00262271","0.0148644","0.00111607","0.00560329","0.0105263","0.00638138","0.00335071","0.0093423","0.00482017","0.00787992","0.00481303","0.00953778","0.00937031","0.0104283","0.00112655","0.00376932","0.00525723","0.00667656","0.00641267","0.00591279","0.00448096","0.0127103","0.00338728","0.00855973","0","0.0045062","0.0105026","0.00902935","0.00674663","0.0074599","0.0113422","0.00711078","0.0014892","0.00520833","0.00298174","0.00113464","0.00595238","0.0125926","0.00821815","0.00973054","0.0138889","0.00599475","0.0052356","0.0104634","0.0156833","0.00977444","0.00225141","0.00149031","0.00299401","0.0011215","0.00224635","0.00956938","0.00599027","0.00261194","0.0163205","0.0033358","0.00336449","0.00297398","0.00337711","0.012963","0.0044927","0.00788288","0.00522193","0.00332963","0.00600601"
"TCD10698","2003","0.00974878","0.0128399","0.00488538","0.00261682","0.00868252","0.00818757","0.0104244","0.00708427","0.00333828","0.00555556","0.00525131","0.00186637","0.0117069","0.00259837","0.00301432","0.00709485","0.00748503","0.00870223","0.00747384","0.00297398","0.00371333","0.00932488","0","0.00567108","0.0111857","0.00223881","0.0145794","0.00814815","0.00788584","0.00491493","0.0133333","0.00377786","0","0.00413378","0.00188253","0.00187126","0.00610221","0.013148","0.00152207","0.00635039","0.00824279","0.00780379","0.0127008","0.00224383","0.00855655","0.0079096","0.00705271","0.00720243","0.00735565","0.00749625","0.00708691","0.00646634","0.00675676","0.00523952","0.00931446","0.00453001","0.00552893","0.00560748","0.0112867","0.00524345","0.0108777","0.0025974","0.0111857","0.0108859","0.00449438","0.00898204","0.00376223","0.00675929","0.00448934","0.00678222","0.0269572","0.0059546","0.00600375","0.00413689","0.00675422","0.00750751","0.00933184","0.012254","0.0101504","0.0122997","0.00599251","0.00682077","0.000368324","0.00637181","0.00527506","0.00818452","0.0070975","0.00563275","0.00372995","0.00933532","0.00484352","0.00371885","0.00703964","0.00751033","0.0132526","0.00260126","0.00263554","0.0115931","0.003367","0.00751315","0.00184911","0.0120391","0.0100409","0.00886918","0.00413845","0.00149421","0.00707372","0.00299738","0.0104478","0.00523756","0.00630096","0.0026178","0","0.00747943","0.00706845","0.00595681","0.01592","0.00562641","0.00671892","0.00490937","0.00748503","0.00739372","0.00417299","0.00901917","0.00448766","0.00676946","0.00670891","0.00448096","0.0123364","0.0115242","0.00751315","0.00828937","0.0059657","0.0122768","0.0062963","0.00337331","0.0152587","0.000374532","0.00672646","0.011274","0.00639338","0.00336574","0.00859171","0.00407861","0.00793951","0.00372162","0.0103169","0.0093633","0.010101","0.00264151","0.00375235","0.00451807","0.00631501","0.00677456","0.00558867","0.00409226","0.0131135","0.00337965","0.00968703","0","0.00453172","0.00975976","0.0104517","0.00714286","0.00825206","0.0113938","0.0071028","0.00185322","0.00520446","0.00298842","0.00152207","0.00559701","0.0144444","0.00862069","0.00938086","0.0120482","0.0044927","0.005997","0.0120664","0.0153042","0.0112655","0.00263653","0.00150319","0.00340393","0.00149365","0.00225141","0.00960473","0.00599251","0.00261584","0.017145","0.00371471","0.00413534","0.00261487","0.00300526","0.0115327","0.00372995","0.0079096","0.00524345","0.00332963","0.00641026"
"TCD10698","2004","0.00906002","0.0124669","0.00452659","0.00262467","0.00901917","0.00858209","0.0104283","0.0074599","0.00334821","0.00521804","0.00527506","0.00223964","0.0128642","0.00223048","0.00263356","0.00598578","0.0078446","0.00798479","0.00863688","0.00260999","0.00411831","0.00969064","0","0.00567322","0.0127198","0.00187547","0.0153558","0.00855973","0.0082769","0.00485981","0.013016","0.00375799","0","0.00525526","0.000755002","0.0018797","0.00681044","0.01089","0.00191571","0.00562641","0.00785634","0.00930752","0.0120527","0.00224972","0.0085693","0.00750751","0.00707635","0.00682335","0.00701884","0.00829563","0.0074599","0.00683112","0.0056243","0.00525131","0.00902595","0.00381243","0.00517751","0.00561377","0.0102041","0.00487622","0.0112655","0.00297287","0.0112191","0.00982615","0.00376932","0.00902256","0.00413689","0.00640301","0.00494297","0.0060629","0.0262768","0.00561167","0.00561167","0.00415565","0.00676437","0.00638378","0.0100972","0.0134228","0.010566","0.0119626","0.01057","0.00643452","0.00036914","0.00600601","0.00528103","0.00674157","0.00783875","0.00487988","0.00373413","0.00938438","0.00523169","0.00445765","0.00671642","0.0082925","0.0132475","0.00373134","0.00263356","0.0130743","0.00335946","0.00639579","0.00185185","0.0124107","0.00968343","0.00896191","0.00417299","0.00149421","0.00670391","0.00340651","0.011985","0.00487805","0.00597684","0.00224719","0","0.00783582","0.00707108","0.00489274","0.0153328","0.00670891","0.00708163","0.00454201","0.0071617","0.00780089","0.00417299","0.00864662","0.00410754","0.00796058","0.00714286","0.00411061","0.0147281","0.0108209","0.00862392","0.00826446","0.00672897","0.0119581","0.00558451","0.00337458","0.0156192","0.000375657","0.0063742","0.0113593","0.00641994","0.00338092","0.00898204","0.00446595","0.00901578","0.00413378","0.0114307","0.00864662","0.00864337","0.00342075","0.00451467","0.0044927","0.00596347","0.00679245","0.00519481","0.00408922","0.0127532","0.0022531","0.0100372","0.000377358","0.00340393","0.0100972","0.0097269","0.0063599","0.00789177","0.0117602","0.00749906","0.00186012","0.00484894","0.00337079","0.00152381","0.00521804","0.0148976","0.00751315","0.00789177","0.0132576","0.00374813","0.00595017","0.0139517","0.0138681","0.0117247","0.00187899","0.00188537","0.00299738","0.00112317","0.00187336","0.010479","0.00634802","0.00263158","0.0153616","0.00409226","0.00411677","0.00339111","0.00264151","0.0122585","0.00451128","0.00789771","0.00563063","0.0040877","0.00683891"
"TCD10698","2005","0.00906002","0.0117424","0.00414313","0.00263653","0.00901239","0.00861423","0.0116192","0.00790068","0.00337584","0.004858","0.00565398","0.00224803","0.0120983","0.00186637","0.00227445","0.00599925","0.00790365","0.00677966","0.00865638","0.00301091","0.00414157","0.0093985","0","0.00491493","0.0109023","0.00225649","0.0161715","0.00703183","0.00676437","0.00487256","0.0115628","0.00489642","0","0.00491493","0.00076365","0.00188041","0.00676946","0.0109434","0.00151976","0.0045489","0.00864662","0.00893189","0.0116761","0.00225904","0.00856292","0.00750469","0.00634565","0.00685453","0.00666173","0.00830816","0.00680015","0.00729087","0.0045403","0.00522583","0.00790365","0.00381534","0.00521804","0.00490751","0.0106302","0.00454201","0.0115975","0.00296516","0.00974148","0.00989722","0.00301887","0.00786517","0.00375657","0.0060629","0.00494673","0.00534147","0.0262172","0.00451467","0.00636228","0.00415408","0.00676437","0.00643208","0.0100935","0.0141791","0.00978916","0.0123688","0.0133333","0.00642479","0.000372717","0.00671391","0.00528103","0.00641994","0.00897532","0.0052592","0.00301432","0.00790365","0.00527903","0.00337079","0.00718336","0.00643939","0.0132225","0.00336826","0.00226757","0.0130988","0.00374111","0.00678989","0.00223048","0.013468","0.0104634","0.00861423","0.00379795","0.00111857","0.00637659","0.00302457","0.0116235","0.00491122","0.00676437","0.00226501","0","0.00752445","0.00672646","0.00379363","0.0153271","0.0059546","0.00710015","0.00568182","0.00792752","0.0081754","0.00495238","0.0078446","0.0040877","0.00830816","0.00716981","0.00375094","0.0147504","0.0105105","0.00862392","0.00754148","0.00635752","0.0109105","0.00675676","0.00336952","0.0148588","0.000375094","0.0075188","0.0118005","0.00641026","0.00376648","0.00862069","0.00487256","0.00793951","0.00376648","0.0104361","0.00900563","0.00714823","0.00379219","0.00568613","0.0045283","0.00633855","0.00643452","0.00483092","0.00522973","0.0120301","0.00224888","0.00895857","0.000751033","0.00380373","0.00932488","0.01057","0.00601504","0.00826446","0.012913","0.00825826","0.00111193","0.00448263","0.00374672","0.00151803","0.00524345","0.014195","0.00713749","0.00641509","0.012806","0.00302457","0.00525723","0.0144432","0.0146948","0.0106504","0.0018875","0.00150886","0.00338219","0.00188395","0.00224215","0.0105382","0.00598355","0.00263852","0.0150546","0.00486527","0.00445931","0.00380662","0.00266972","0.0122814","0.00378358","0.0086727","0.0060241","0.00408466","0.00645897"
"TCD10698","2006","0.00977444","0.0113679","0.00454545","0.00265252","0.00865312","0.00862069","0.0120075","0.0078446","0.00339239","0.00487256","0.00529301","0.00224048","0.0124669","0.00112108","0.00186916","0.00564972","0.00826446","0.00793351","0.00828313","0.0026465","0.00414938","0.0094162","0","0.00490196","0.0112402","0.0022531","0.0157954","0.00743771","0.00640301","0.00488355","0.0127341","0.0052691","0","0.00524738","0.000763942","0.00226244","0.00750469","0.0102234","0.00227618","0.0045403","0.0078534","0.00969426","0.013936","0.00224635","0.00823353","0.00793351","0.00674916","0.00605373","0.00591716","0.00867597","0.0075815","0.00724638","0.0052691","0.00522583","0.00761615","0.00379363","0.0052356","0.00534351","0.00987467","0.00454201","0.0116061","0.00223131","0.00944822","0.00986343","0.00338473","0.00675929","0.00375094","0.00645161","0.0049505","0.00458365","0.0272109","0.00565185","0.00595903","0.00454718","0.00677456","0.00646142","0.0101351","0.0123688","0.01089","0.0119537","0.015873","0.00642965","0.000374251","0.00595017","0.00525328","0.00604686","0.0100822","0.00411677","0.00339623","0.00865964","0.00563486","0.00338728","0.00720243","0.00606061","0.0142216","0.00375516","0.00262763","0.0130988","0.00487439","0.00642965","0.0018622","0.011274","0.0101618","0.0093985","0.00302801","0.00112191","0.00525526","0.00341815","0.0119626","0.00489827","0.0068156","0.00225141","0","0.00717794","0.00676437","0.00341556","0.0135135","0.00553097","0.00714823","0.00566038","0.00752445","0.00670391","0.00530504","0.00896861","0.00412294","0.0075358","0.00717523","0.00374813","0.0135389","0.0101848","0.00862716","0.00789474","0.00632205","0.0109517","0.0064006","0.00485437","0.0159673","0.000375375","0.00788288","0.00988217","0.00529902","0.00488171","0.0105066","0.00486891","0.00755287","0.00300075","0.0108574","0.00938438","0.00643452","0.00416194","0.00492984","0.00491308","0.00561587","0.0060423","0.0052064","0.00526514","0.0108452","0.00261976","0.00861423","0.00113293","0.00342596","0.00933184","0.0104869","0.00679245","0.0082397","0.0117602","0.00862392","0.00148644","0.00411369","0.00301545","0.00189538","0.00563275","0.0130939","0.00676692","0.00825826","0.012392","0.00227359","0.00451467","0.0143396","0.0135389","0.010594","0.00189179","0.00188182","0.00374532","0.00189107","0.00224635","0.00985595","0.00595017","0.00224888","0.0143776","0.00411523","0.00447761","0.00416351","0.00192012","0.0116761","0.00380518","0.00717252","0.00639098","0.00444115","0.00645161"
"TCD10698","2007","0.010594","0.00987842","0.00491493","0.00301432","0.00787402","0.00785928","0.0100709","0.00825516","0.00339751","0.00527704","0.00600375","0.00187547","0.0117469","0.000749625","0.0018622","0.00523952","0.0086629","0.00755002","0.00748783","0.0030303","0.00453172","0.0106262","0","0.00523169","0.0107727","0.00225056","0.0154309","0.00744325","0.00642965","0.00411369","0.0139098","0.00521221","0","0.00635039","0.000762195","0.00188822","0.00712144","0.00940911","0.00226929","0.00455063","0.00706057","0.0115542","0.0139834","0.0022338","0.00818452","0.00793951","0.00712678","0.00636943","0.00555967","0.00864012","0.00831444","0.00832387","0.00490196","0.00487988","0.00795153","0.00416194","0.0056391","0.00494673","0.00798479","0.00489827","0.0112191","0.00186359","0.00944822","0.0094162","0.00150886","0.0075358","0.00335196","0.00603091","0.00532927","0.00498084","0.0269859","0.00487988","0.00632205","0.00419207","0.00672143","0.0060241","0.00977811","0.0116148","0.010594","0.011865","0.0181612","0.00637181","0.000374953","0.00663717","0.00529101","0.0060423","0.00970511","0.00373692","0.00340651","0.0094697","0.00598578","0.00338346","0.00716711","0.00645406","0.0133779","0.00263753","0.00302686","0.013148","0.00487439","0.00608134","0.00187829","0.0112697","0.0101657","0.0101848","0.00451807","0.00111607","0.00756144","0.00302916","0.011236","0.00454373","0.00639579","0.00188893","0","0.00759013","0.00710015","0.00417299","0.0142965","0.00480236","0.00828937","0.00713213","0.00755287","0.00672897","0.00531511","0.0093985","0.00485075","0.00750751","0.00757863","0.00486709","0.0135593","0.0101427","0.00790365","0.00754148","0.00669643","0.0106061","0.00681044","0.00485075","0.0175112","0.000375799","0.00750751","0.00828937","0.00604915","0.00486163","0.00788584","0.00524934","0.00717252","0.00226074","0.0108411","0.00932836","0.00640301","0.00453858","0.00527307","0.00417774","0.00487256","0.00566038","0.00487256","0.00490937","0.0104361","0.00225649","0.00863688","0.00152033","0.00341556","0.0108655","0.0112824","0.00787992","0.00786517","0.0117247","0.00823662","0.00111773","0.0037679","0.00337711","0.00150094","0.00638378","0.0135952","0.00829563","0.00830189","0.0138266","0.00152091","0.00374813","0.0131579","0.0116761","0.0109807","0.00150886","0.00188253","0.00485256","0.00227531","0.00225056","0.00949487","0.00560119","0.00225056","0.0144597","0.00372578","0.00484532","0.00379939","0.00191718","0.0117025","0.00415408","0.00792154","0.00602183","0.00406805","0.00717523"
"TCD10698","2008","0.0102002","0.00909435","0.00489827","0.00303721","0.00791557","0.0082397","0.0108371","0.00787697","0.00339751","0.00491308","0.00603774","0.0015015","0.0113636","0.000751597","0.00262369","0.00673653","0.00828002","0.00788881","0.0075188","0.00303721","0.00415879","0.00951294","0","0.0052064","0.0115628","0.00224551","0.0151745","0.00822123","0.00682594","0.00299513","0.0138837","0.00557","0","0.00597238","0.000767165","0.00188041","0.00597238","0.0101733","0.00261682","0.0045283","0.00598802","0.0108655","0.0147225","0.00225056","0.00855337","0.00871542","0.00712678","0.00637899","0.00449102","0.00898876","0.00799391","0.00712946","0.00604002","0.00490937","0.00835549","0.00417774","0.00492798","0.00572082","0.00873528","0.00491122","0.0115499","0.00186986","0.00909091","0.00979653","0.000753012","0.00681818","0.00409226","0.00528302","0.00495994","0.00494861","0.0263455","0.00446429","0.00669145","0.0060675","0.00637899","0.00597684","0.00977811","0.0104634","0.00985222","0.0103627","0.0177292","0.00636943","0.000375375","0.00597461","0.00561377","0.00641752","0.00971236","0.00336323","0.00377358","0.00939144","0.00635277","0.00301318","0.00566251","0.00641994","0.012963","0.00263952","0.00264851","0.0131431","0.00491122","0.00569909","0.00224803","0.00935629","0.0116717","0.010566","0.00452489","0.0011194","0.0079096","0.00337458","0.00973418","0.00488355","0.00603546","0.00304067","0","0.00721336","0.00711078","0.00377644","0.0136882","0.00445931","0.00790365","0.00752445","0.00757576","0.00673653","0.00453172","0.0082769","0.00485437","0.00640543","0.00688073","0.00564334","0.0146893","0.0093633","0.00675169","0.00677456","0.00705795","0.0102584","0.00642479","0.00595681","0.0167348","0.000375094","0.00748783","0.00832702","0.00641752","0.00446595","0.00902935","0.00487622","0.00675422","0.00151343","0.00973418","0.00938086","0.00638618","0.00564759","0.00489274","0.0045489","0.00599475","0.00529902","0.00522973","0.00529501","0.00895188","0.00225479","0.00901917","0.00226757","0.00341945","0.010101","0.0110392","0.00713481","0.00708427","0.0113165","0.0082397","0.00112402","0.00487439","0.00375094","0.00298954","0.00638618","0.0132928","0.0075188","0.00753864","0.0127055","0.00114504","0.0037594","0.0152985","0.0116981","0.00981873","0.00151286","0.00187688","0.00520059","0.00226757","0.00225904","0.0106504","0.00673653","0.00300865","0.0128642","0.00374813","0.00520446","0.00378644","0.00191498","0.0116541","0.00490381","0.00790663","0.00639098","0.00407861","0.00721336"
"TCD10698","2009","0.0090566","0.0102311","0.00486891","0.00340265","0.0071617","0.00782414","0.010931","0.00749064","0.00340265","0.00378215","0.00641026","0.0015015","0.0117469","0.000376506","0.00224635","0.00563486","0.00758725","0.0078329","0.0075358","0.00266059","0.00338983","0.00915332","0","0.00521999","0.0142109","0.00225819","0.0129721","0.00827379","0.00684411","0.00300978","0.0134178","0.00558243","0","0.00486163","0.000761905","0.00225819","0.00680529","0.0113636","0.00259933","0.00525526","0.00489274","0.0115672","0.0146506","0.00225819","0.00929023","0.0090978","0.00673653","0.00712411","0.00483991","0.00895857","0.00874192","0.00641509","0.00605373","0.00491865","0.00794251","0.00416825","0.00529701","0.00574493","0.00909435","0.00413845","0.0104948","0.0011236","0.00942329","0.00981873","0.000750751","0.00753296","0.00333457","0.00528901","0.00533537","0.00493546","0.0252544","0.00371058","0.00670141","0.00645897","0.0064006","0.00711344","0.012021","0.0108614","0.00984103","0.0104244","0.0176758","0.00676183","0.000751597","0.00637899","0.00563275","0.00721884","0.00978547","0.00300752","0.00377929","0.00943752","0.00673653","0.00301091","0.00604458","0.00680272","0.0123134","0.00225479","0.00304298","0.0131037","0.00527903","0.00644183","0.00224467","0.00942329","0.011236","0.0105621","0.00488906","0.0011236","0.00827379","0.00334448","0.00971236","0.00491679","0.00598578","0.00303375","0","0.00760746","0.00676692","0.00416351","0.015897","0.00412139","0.00793351","0.0093633","0.00753296","0.00636466","0.00414781","0.00904977","0.00487988","0.00708691","0.00685976","0.00564972","0.013544","0.0108169","0.0075358","0.00679502","0.0070975","0.00834598","0.00683112","0.00594354","0.0164302","0.000375235","0.00786222","0.00792154","0.00604458","0.00409074","0.0101964","0.00449944","0.00602637","0.00113208","0.00977811","0.00864662","0.00673149","0.0063742","0.0048909","0.00378931","0.00377074","0.00529501","0.00562641","0.00492611","0.00939496","0.00263653","0.00974513","0.00227187","0.00378215","0.00938791","0.0102506","0.0079096","0.0063197","0.011738","0.00753864","0.000749625","0.00451128","0.00412448","0.00298954","0.0060423","0.0117871","0.0071644","0.00757289","0.0105145","0.00114373","0.0037679","0.0134529","0.0116761","0.0101618","0.00151745","0.00187758","0.00596792","0.00226159","0.00225989","0.0106061","0.00638138","0.00264051","0.0131431","0.00336952","0.00448096","0.00341945","0.00228571","0.01089","0.00489458","0.00714286","0.00601052","0.00370645","0.0071617"
