"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"TZA46467","2000","0.112191","0.0539555","0.120612","0.0591738","0.111825","0.109801","0.0711914","0.0820096","0.0961107","0.101149","0.0994803","0.0797342","0.0980684","0.130631","0.102699","0.102488","0.147048","0.112933","0.109044","0.132517","0.136569","0.171077","0.145347","0.0977977","0.117845","0.0969764","0.139023","0.0958955","0.116927","0.0992593","0.106944","0.115285","0.109797","0.0994803","0.141904","0.11684","0.105987","0.117844","0.167656","0.0944444","0.149945","0.175212","0.0873427","0.0553301","0.0839525","0.129588","0.180643","0.117164","0.0875421","0.105009","0.0754294","0.090538","0.0612626","0.0811518","0.192509","0.0887816","0.0624077","0.11173","0.0971914","0.11373","0.10784","0.0757016","0.0976244","0.202693","0.16821","0.117188","0.118001","0.143496","0.111152","0.112681","0.090167","0.0847584","0.102621","0.140201","0.0824666","0.150186","0.110821","0.0539326","0.107435","0.119658","0.125","0.119101","0.0971599","0.0683161","0.123562","0.126149","0.116685","0.0870683","0.143123","0.161948","0.10324","0.192924","0.0981979","0.113235","0.092159","0.17632","0.158879","0.146088","0.0917874","0.139055","0.0827233","0.09375","0.137713","0.0900667","0.154103","0.10905","0.090167","0.169485","0.0961969","0.106112","0.0913208","0.0817704","0.107049","0.12542","0.132061","0.0587579","0.0601113","0.120194","0.194849","0.106862","0.0823045","0.0815177","0.109829","0.110319","0.133779","0.0946502","0.0655859","0.156564","0.110251","0.106201","0.14017","0.0662695","0.111152","0.133482","0.125744","0.0967016","0.0982508","0.187106","0.0970011","0.0974972","0.103435","0.106152","0.132694","0.0935305","0.139448","0.112933","0.113277","0.158188","0.121788","0.102717","0.240563","0.0927796","0.0671614","0.08125","0.0446761","0.0759211","0.0854106","0.0778553","0.0873786","0.130952","0.0920564","0.147787","0.141007","0.130451","0.110201","0.144771","0.183734","0.126526","0.153557","0.173284","0.116193","0.0926541","0.0612245","0.133333","0.117406","0.120104","0.0912832","0.0917226","0.119297","0.108371","0.104517","0.177504","0.0652335","0.125506","0.115626","0.20771","0.114265","0.0998145","0.0442544","0.083612","0.182395","0.205013","0.0706402","0.135035","0.0962389","0.170822","0.145264","0.150741","0.0733605","0.0779269"
"TZA46467","2001","0.115127","0.0572687","0.125929","0.0595017","0.118116","0.111152","0.0709773","0.0816704","0.0955224","0.103127","0.0969787","0.0772086","0.101308","0.13024","0.101204","0.101006","0.147092","0.112771","0.110491","0.130112","0.135389","0.167414","0.142751","0.0941265","0.115414","0.0980977","0.138837","0.0924055","0.119225","0.0995173","0.109579","0.116081","0.106399","0.0986547","0.142698","0.119895","0.11033","0.116835","0.158605","0.0938427","0.146799","0.179165","0.088463","0.0559259","0.0852655","0.126877","0.18","0.121415","0.0951667","0.108429","0.075997","0.0918519","0.0593985","0.0764618","0.19328","0.0823928","0.062384","0.107407","0.0969049","0.114339","0.105787","0.0748603","0.100037","0.199625","0.16293","0.119101","0.119263","0.142536","0.117188","0.108249","0.0911119","0.0830838","0.102163","0.142804","0.0836133","0.158641","0.10962","0.0559076","0.104267","0.122939","0.123927","0.116932","0.0929535","0.0707865","0.127542","0.125973","0.116729","0.0871324","0.140613","0.159355","0.10479","0.19433","0.0971196","0.110825","0.0873281","0.169956","0.159236","0.144449","0.0936455","0.134457","0.0800147","0.0993279","0.141481","0.0898159","0.161171","0.113764","0.0890462","0.162869","0.0967742","0.0985757","0.0882576","0.0853063","0.106727","0.129895","0.129153","0.0592841","0.0626855","0.12021","0.191561","0.104906","0.081243","0.079743","0.112435","0.107652","0.134201","0.0891199","0.0660517","0.155864","0.112177","0.104851","0.140945","0.0638775","0.109152","0.139002","0.120135","0.0945441","0.0966529","0.188244","0.0999628","0.0965337","0.0983973","0.104018","0.133039","0.0961753","0.136449","0.114687","0.110577","0.160119","0.118107","0.097786","0.241791","0.088764","0.0713755","0.0799851","0.0457271","0.07603","0.084658","0.0716661","0.0898918","0.133383","0.0962186","0.151458","0.140845","0.132096","0.110322","0.137416","0.183742","0.124486","0.1478","0.174319","0.122259","0.0933924","0.0632865","0.130532","0.119776","0.116642","0.0869565","0.0894461","0.117625","0.107957","0.109661","0.189351","0.0653304","0.12662","0.116691","0.203752","0.108801","0.104734","0.0459298","0.0831477","0.178026","0.202247","0.0723026","0.139881","0.0945644","0.176185","0.145373","0.146197","0.075249","0.0784678"
"TZA46467","2002","0.110119","0.0547945","0.130322","0.0614525","0.11661","0.112177","0.0698625","0.0849478","0.0954341","0.106677","0.0976066","0.0721765","0.100866","0.127484","0.100376","0.100337","0.145325","0.116917","0.114243","0.129692","0.131431","0.167225","0.139344","0.0954357","0.120391","0.0957526","0.142318","0.0907387","0.12067","0.0963677","0.109568","0.118915","0.114968","0.0975976","0.140724","0.122892","0.105751","0.118195","0.156039","0.0967982","0.145191","0.17553","0.0866988","0.0566179","0.0853704","0.130565","0.17885","0.113264","0.0870712","0.109281","0.0755071","0.0946856","0.0549034","0.0745598","0.190314","0.0781661","0.0594796","0.106352","0.0943257","0.107531","0.101481","0.077728","0.10332","0.20691","0.167293","0.118905","0.115659","0.143715","0.127273","0.108533","0.0938438","0.0846759","0.10412","0.139829","0.083054","0.161036","0.110902","0.0538809","0.105987","0.120925","0.123415","0.122007","0.0895802","0.0703214","0.125323","0.127794","0.118128","0.0880503","0.13916","0.157046","0.107317","0.193233","0.0934025","0.110082","0.0847899","0.168884","0.156892","0.148559","0.100261","0.127396","0.0785476","0.0955224","0.13694","0.095616","0.158445","0.112765","0.0882462","0.163548","0.100113","0.104159","0.082829","0.0891648","0.105599","0.13116","0.128224","0.0576563","0.0631501","0.112495","0.198576","0.101014","0.0788382","0.0739623","0.115915","0.108982","0.132937","0.0864885","0.063893","0.1526","0.117216","0.109486","0.138743","0.065967","0.108068","0.138404","0.118778","0.0952559","0.0934791","0.191949","0.0961826","0.098581","0.096003","0.0974244","0.128328","0.0934475","0.139055","0.111976","0.113891","0.15165","0.123262","0.0996269","0.239731","0.0867939","0.0748148","0.0796724","0.0451999","0.0753656","0.0856292","0.0794948","0.0898496","0.136364","0.0936795","0.1483","0.144717","0.137342","0.106462","0.140384","0.180556","0.120974","0.150038","0.171269","0.120908","0.0887902","0.0599112","0.126866","0.118638","0.111771","0.0868263","0.0794183","0.120045","0.105067","0.10489","0.191298","0.0653717","0.123933","0.113082","0.206361","0.105302","0.101082","0.0447261","0.0807592","0.182226","0.201274","0.0728972","0.144981","0.0970037","0.177753","0.146004","0.143123","0.0727543","0.0831469"
"TZA46467","2003","0.108833","0.0536113","0.131618","0.0598194","0.112279","0.113999","0.0702016","0.0850825","0.0913877","0.109579","0.0995851","0.071482","0.0992424","0.122979","0.101772","0.102324","0.140909","0.116262","0.116384","0.136414","0.131955","0.165481","0.141524","0.0904295","0.117891","0.0966165","0.141172","0.0869074","0.114339","0.0899925","0.11236","0.119792","0.110034","0.0950943","0.143232","0.121098","0.11107","0.123596","0.155912","0.092233","0.148385","0.172504","0.0839213","0.0573801","0.0867769","0.130191","0.1773","0.11341","0.0887886","0.109651","0.0737674","0.0963493","0.0531511","0.0727204","0.187712","0.0729323","0.0621511","0.108461","0.096882","0.108159","0.0997395","0.0778195","0.107398","0.210526","0.172452","0.116498","0.115154","0.144365","0.128024","0.10907","0.096835","0.078908","0.0978756","0.132287","0.084507","0.1646","0.113534","0.0537916","0.109084","0.118027","0.117293","0.11796","0.0881356","0.0692771","0.129712","0.130272","0.116479","0.0893458","0.136755","0.158091","0.112069","0.191714","0.0943887","0.107635","0.0891126","0.170141","0.154977","0.148559","0.10287","0.120045","0.079537","0.0964715","0.137043","0.0939977","0.163861","0.116505","0.0910112","0.163916","0.101708","0.10268","0.0781955","0.0859695","0.106902","0.129496","0.126824","0.0540947","0.0641073","0.109381","0.200528","0.103097","0.0725291","0.0750943","0.114435","0.111778","0.127929","0.0871184","0.0658972","0.155898","0.114243","0.105758","0.142054","0.0643841","0.0981203","0.138692","0.114081","0.0925719","0.0925227","0.196502","0.0984962","0.0941132","0.0933032","0.0997758","0.126488","0.0918557","0.131955","0.108922","0.109779","0.147407","0.116218","0.0969674","0.229669","0.0883234","0.0726464","0.0821711","0.0485693","0.0714823","0.0816403","0.0807967","0.0928302","0.134501","0.0947921","0.149498","0.145155","0.144673","0.111946","0.139183","0.18432","0.119352","0.146497","0.174484","0.122418","0.0865169","0.0662202","0.128262","0.122571","0.10834","0.0817326","0.0736724","0.119509","0.107744","0.100075","0.193901","0.066791","0.124441","0.115028","0.204382","0.102996","0.101237","0.0455916","0.0839213","0.180432","0.199925","0.0717236","0.143764","0.105342","0.177401","0.147114","0.144252","0.0743369","0.0837989"
"TZA46467","2004","0.112598","0.0505051","0.134384","0.0584708","0.111528","0.115699","0.0692365","0.0829891","0.0932779","0.102717","0.100567","0.0694705","0.0940106","0.129973","0.104308","0.100265","0.139842","0.115888","0.114307","0.132336","0.129008","0.161254","0.143991","0.0922147","0.120196","0.0957407","0.140304","0.0842782","0.111982","0.084803","0.112939","0.123503","0.106637","0.0900492","0.136655","0.119713","0.113425","0.114489","0.157954","0.0888723","0.151836","0.168856","0.0843913","0.0509893","0.0869402","0.127572","0.183452","0.113222","0.0916981","0.112723","0.0776187","0.0974688","0.054878","0.0719397","0.177652","0.0689914","0.0603675","0.105322","0.0964847","0.109159","0.100634","0.0737674","0.107547","0.211495","0.170093","0.112448","0.117669","0.145331","0.13154","0.108777","0.0959424","0.0779851","0.0932171","0.13633","0.0787313","0.168688","0.112364","0.0556182","0.108712","0.114524","0.119012","0.119694","0.0882353","0.0666417","0.123048","0.135095","0.116392","0.0858529","0.132435","0.156972","0.114135","0.19526","0.0909772","0.103255","0.0866792","0.170988","0.149017","0.149519","0.104455","0.120554","0.0772983","0.0983545","0.132836","0.096823","0.161109","0.119342","0.0927602","0.156509","0.0987092","0.104551","0.0766341","0.0910108","0.102783","0.12886","0.131707","0.051059","0.0635882","0.104545","0.202421","0.105422","0.0749247","0.073115","0.120858","0.106399","0.128743","0.0869565","0.0636161","0.15891","0.113645","0.100834","0.142643","0.065193","0.0999243","0.142537","0.109651","0.0868748","0.0981061","0.199102","0.096933","0.0943964","0.0944319","0.100188","0.127348","0.0873606","0.123452","0.108542","0.113115","0.149515","0.112639","0.0945236","0.229379","0.0851463","0.0696721","0.0872027","0.0481746","0.0730972","0.0823308","0.0786092","0.0876795","0.136075","0.096544","0.150782","0.144148","0.151128","0.114564","0.1375","0.183643","0.118695","0.146241","0.171622","0.119442","0.0856927","0.0699405","0.13081","0.122985","0.10705","0.08","0.0778488","0.122434","0.108452","0.0974148","0.190405","0.0688623","0.121586","0.119731","0.205706","0.10098","0.10268","0.0470455","0.0828688","0.176822","0.198205","0.069434","0.150169","0.109729","0.172388","0.145306","0.142749","0.0738104","0.0830527"
"TZA46467","2005","0.114572","0.0535041","0.131777","0.062149","0.109697","0.111985","0.0673692","0.08349","0.0893263","0.103852","0.094697","0.0683793","0.092997","0.120105","0.103435","0.0980762","0.138113","0.117471","0.113895","0.133058","0.126601","0.161737","0.142261","0.09084","0.114729","0.0923892","0.142103","0.0864804","0.10725","0.0798493","0.111403","0.122326","0.112402","0.090566","0.140578","0.118003","0.110822","0.117758","0.152893","0.0888639","0.148582","0.168548","0.0814344","0.0528316","0.0865457","0.13468","0.183925","0.110528","0.0937147","0.112111","0.0732905","0.0928921","0.0593607","0.0703801","0.173962","0.0694078","0.0596847","0.104612","0.093198","0.106742","0.0993253","0.0695127","0.113359","0.206664","0.169811","0.111702","0.120346","0.135247","0.136775","0.105283","0.0976444","0.0755988","0.0929878","0.124812","0.0783427","0.165089","0.110481","0.0524726","0.107023","0.11361","0.118043","0.116208","0.0877127","0.064275","0.126072","0.134284","0.117358","0.0845176","0.134356","0.156892","0.113286","0.19225","0.0902622","0.103345","0.0828604","0.173864","0.145881","0.146177","0.106631","0.122123","0.0755071","0.0959007","0.136483","0.0936795","0.161765","0.118178","0.0959215","0.158527","0.0973854","0.103745","0.0809595","0.0955937","0.0989622","0.12624","0.131549","0.0513894","0.0618127","0.10354","0.203942","0.0987934","0.0735849","0.0737643","0.119985","0.109579","0.130026","0.0885981","0.0652908","0.153437","0.110064","0.0996577","0.144742","0.0616541","0.0955657","0.146369","0.105882","0.0922385","0.0974125","0.202763","0.0994329","0.092544","0.0933633","0.100037","0.128754","0.0922731","0.121418","0.108199","0.108933","0.14195","0.106876","0.0941132","0.226945","0.0794901","0.0683601","0.0858872","0.04561","0.0708632","0.0803639","0.077157","0.086973","0.1359","0.0967133","0.149963","0.141349","0.161815","0.113278","0.132398","0.189458","0.117625","0.144732","0.169057","0.118158","0.085389","0.0711078","0.132904","0.123216","0.1035","0.0799545","0.0741717","0.124063","0.110696","0.0968832","0.196388","0.0693554","0.121064","0.12069","0.203019","0.0998481","0.101862","0.0455927","0.0814344","0.178222","0.198493","0.0708602","0.150169","0.111069","0.173172","0.144944","0.140904","0.0712411","0.0796226"
"TZA46467","2006","0.116374","0.0554299","0.132503","0.059417","0.108088","0.110154","0.0686164","0.0818182","0.0927127","0.101574","0.093691","0.0652338","0.0930931","0.115356","0.0990211","0.0967498","0.13565","0.113806","0.116977","0.133083","0.119325","0.160508","0.141449","0.0874811","0.111822","0.0913877","0.137396","0.0865312","0.105283","0.077302","0.117691","0.126729","0.111778","0.0865169","0.13416","0.115183","0.116374","0.109861","0.154856","0.0921399","0.143292","0.1646","0.081808","0.0522925","0.0876133","0.131324","0.184685","0.110233","0.0894461","0.110236","0.0704648","0.0863499","0.0568953","0.069121","0.166855","0.0694444","0.0583365","0.103019","0.0932075","0.105896","0.0993202","0.0691469","0.111997","0.207836","0.167795","0.10594","0.126028","0.127109","0.142101","0.102468","0.0961757","0.0716418","0.0847264","0.124151","0.0773543","0.163829","0.110524","0.0537757","0.111153","0.11575","0.114447","0.116501","0.0821764","0.0628486","0.124953","0.135004","0.117447","0.0813343","0.130533","0.156892","0.115181","0.19137","0.0894065","0.0977528","0.0837121","0.167806","0.141563","0.139894","0.102149","0.127327","0.0752729","0.0987979","0.132061","0.0867614","0.153846","0.118886","0.0952202","0.152141","0.0965178","0.1035","0.0800898","0.0975976","0.100334","0.12843","0.121988","0.0516325","0.0590476","0.108374","0.198341","0.0967742","0.0699697","0.0697763","0.120106","0.102783","0.125946","0.088081","0.0639338","0.156203","0.107862","0.101328","0.14146","0.0642857","0.0907365","0.140411","0.108745","0.0913191","0.0929791","0.209268","0.0964813","0.0899511","0.0962327","0.100412","0.130859","0.0913516","0.116592","0.109008","0.100151","0.137566","0.109234","0.0942468","0.216421","0.0752246","0.0654206","0.0820106","0.0475651","0.0694444","0.0780952","0.0805902","0.085195","0.137827","0.0984848","0.147246","0.145119","0.157619","0.110613","0.130451","0.186002","0.108941","0.143392","0.167419","0.120735","0.0839637","0.0692106","0.130961","0.12261","0.109492","0.0780837","0.076284","0.123824","0.10903","0.0936795","0.192916","0.0673692","0.119537","0.123774","0.198042","0.0942249","0.0992018","0.0471662","0.0767797","0.17751","0.19526","0.0676493","0.157442","0.115587","0.174754","0.142373","0.139614","0.0733634","0.0775927"
"TZA46467","2007","0.108068","0.0526712","0.117001","0.0567243","0.0950056","0.101161","0.0637181","0.0754432","0.0799391","0.0971857","0.0805598","0.0631304","0.0862849","0.108556","0.0887798","0.0857899","0.120625","0.106487","0.100493","0.121795","0.100487","0.133482","0.129806","0.0754221","0.100264","0.0783427","0.12902","0.0803303","0.0949721","0.068156","0.105145","0.116071","0.0911488","0.0827124","0.118905","0.10733","0.100262","0.100603","0.138099","0.0821402","0.129425","0.138816","0.0732984","0.0496241","0.0821092","0.118107","0.164157","0.0943254","0.077961","0.0961252","0.0652908","0.0819857","0.0557635","0.0653644","0.152428","0.0586697","0.0557019","0.0932427","0.0878327","0.097405","0.0916981","0.0600453","0.106423","0.188341","0.141785","0.0853474","0.116567","0.104534","0.133635","0.0949533","0.0838685","0.0660728","0.0727824","0.103631","0.0689397","0.142205","0.0966767","0.0484665","0.0988722","0.102758","0.101438","0.0979871","0.0711078","0.0588671","0.11257","0.117426","0.107617","0.0756838","0.12012","0.141097","0.0976533","0.170723","0.08","0.0910453","0.0766327","0.149316","0.125523","0.120846","0.0912505","0.111485","0.0684468","0.0871525","0.120509","0.0792706","0.131549","0.106335","0.089603","0.130582","0.091626","0.0929451","0.0726592","0.092244","0.0871833","0.11446","0.108483","0.0459901","0.0503241","0.093076","0.174471","0.08605","0.061109","0.0636295","0.102359","0.092365","0.107156","0.0792935","0.0602864","0.135695","0.1","0.0919062","0.129008","0.0593573","0.0834286","0.122449","0.0937853","0.0834581","0.0782972","0.195954","0.0870712","0.0863174","0.0855214","0.0874766","0.116105","0.083742","0.102947","0.0999621","0.0876076","0.122688","0.0943467","0.0840241","0.191037","0.0689914","0.0625468","0.0773002","0.0439061","0.0619137","0.0687571","0.0712661","0.074717","0.123715","0.086907","0.129178","0.126792","0.144295","0.100825","0.113456","0.16527","0.0966292","0.126692","0.150413","0.107987","0.0743116","0.0648912","0.115152","0.106511","0.0905689","0.0683793","0.0699169","0.108892","0.100935","0.0890643","0.178786","0.0643825","0.0973054","0.114038","0.181102","0.0845337","0.0944043","0.0459203","0.0712421","0.161315","0.174357","0.061008","0.143072","0.112153","0.164332","0.130943","0.124433","0.066867","0.0752729"
"TZA46467","2008","0.0969925","0.0476551","0.106383","0.0511194","0.0824859","0.0894065","0.0596451","0.0684725","0.0685346","0.0834893","0.0723164","0.0587355","0.0775895","0.0921102","0.0831758","0.0782838","0.107343","0.0903637","0.0872356","0.111448","0.0933032","0.113011","0.114548","0.065389","0.0883019","0.0691729","0.111488","0.0745482","0.0869888","0.0601817","0.0931886","0.11082","0.0785795","0.0748783","0.102814","0.0967862","0.0855214","0.0886885","0.123031","0.0764862","0.116917","0.113243","0.0679429","0.0454716","0.0737397","0.103795","0.151286","0.0893601","0.0696108","0.0865672","0.0626407","0.0774169","0.0536913","0.0612322","0.129483","0.0490086","0.0509312","0.0851866","0.0809469","0.0834893","0.083113","0.0542577","0.0939163","0.170595","0.123634","0.0796226","0.106647","0.0893792","0.120409","0.0826786","0.0735571","0.0560748","0.0651685","0.0908748","0.0632959","0.125331","0.0857251","0.0443425","0.0905319","0.0885023","0.0885221","0.0907029","0.0666417","0.0550425","0.10101","0.105918","0.0946408","0.0682072","0.105737","0.126871","0.0875","0.14912","0.0736522","0.078424","0.0734014","0.129474","0.112897","0.100527","0.0816785","0.0982009","0.0657452","0.0801342","0.107773","0.0673614","0.114847","0.0959577","0.0822381","0.118087","0.0868748","0.0810004","0.0638618","0.08867","0.0746547","0.100379","0.0946813","0.0450587","0.0446669","0.0856075","0.158683","0.0782543","0.0505807","0.0565755","0.0926348","0.0803571","0.0923543","0.0693143","0.0514178","0.123117","0.0918406","0.0812947","0.117647","0.055724","0.0749432","0.105382","0.0799397","0.0742129","0.0689655","0.171698","0.0752363","0.0782543","0.0714552","0.079075","0.108057","0.0791476","0.0913174","0.0880361","0.0801198","0.104292","0.0828313","0.078461","0.167551","0.0623591","0.0560748","0.0672427","0.0418394","0.0532234","0.0603222","0.0648567","0.0643452","0.106913","0.0774782","0.117691","0.111949","0.123834","0.0865638","0.0961683","0.145613","0.081224","0.112618","0.132203","0.0930146","0.0656604","0.0550768","0.106641","0.0960814","0.0775571","0.0606175","0.0610774","0.0988636","0.0894126","0.082774","0.152288","0.0591114","0.0878049","0.103332","0.161605","0.0754717","0.08327","0.0406168","0.0676636","0.137471","0.150758","0.0561883","0.131086","0.0980098","0.152018","0.121304","0.110859","0.0594615","0.0666416"
"TZA46467","2009","0.0910802","0.0460899","0.101213","0.0487074","0.0760256","0.0873823","0.0578231","0.0672427","0.0666919","0.0789278","0.0691088","0.0566392","0.0730885","0.0868748","0.0766917","0.0727753","0.104027","0.0853293","0.0838977","0.107681","0.0868082","0.10538","0.107955","0.064431","0.0848736","0.0684725","0.107576","0.0730697","0.0808081","0.0590015","0.090296","0.109579","0.0714017","0.0703801","0.0997024","0.0932739","0.0852187","0.0841509","0.118516","0.0695553","0.110363","0.104534","0.0630597","0.043055","0.0715092","0.0989583","0.138785","0.085961","0.0653473","0.0807967","0.0594208","0.0767503","0.0515695","0.0600826","0.120423","0.0475834","0.0474934","0.0780249","0.0770404","0.0841436","0.0787072","0.0526712","0.0889814","0.1638","0.118715","0.071644","0.101835","0.0850746","0.115181","0.0755423","0.0696012","0.0533434","0.0629449","0.0852655","0.0611484","0.115428","0.0854119","0.0449136","0.0860902","0.0828582","0.0875141","0.0849624","0.0618209","0.0517306","0.0939247","0.103124","0.0923664","0.0683346","0.102303","0.122281","0.0822021","0.143661","0.0679059","0.0747278","0.0717506","0.123954","0.103687","0.0946456","0.0741573","0.0968105","0.0650467","0.076779","0.109944","0.0670867","0.111698","0.0898749","0.0768078","0.112481","0.0856821","0.0755423","0.065389","0.0890072","0.0749344","0.100038","0.0827664","0.0476911","0.0405975","0.0769808","0.151763","0.0763732","0.0498314","0.0553903","0.0882801","0.0747278","0.0904295","0.0661682","0.051106","0.117471","0.0883137","0.0818318","0.113043","0.0551151","0.0708632","0.0971493","0.0804381","0.0744482","0.0657845","0.170668","0.075066","0.0749432","0.0718563","0.0748325","0.106742","0.0752852","0.0844229","0.0779661","0.0737275","0.0991704","0.0787282","0.0726997","0.157477","0.0586246","0.0549906","0.0667169","0.0405253","0.04705","0.0605719","0.0638858","0.0575188","0.100793","0.0740319","0.109605","0.10214","0.117077","0.0822642","0.0873494","0.140477","0.0746495","0.10473","0.123503","0.089955","0.0654628","0.0534236","0.101323","0.0889224","0.0751683","0.0573893","0.0630903","0.0950226","0.0892587","0.0783582","0.140226","0.0561628","0.0820106","0.0961467","0.156966","0.0694078","0.0777104","0.0407701","0.0632248","0.131429","0.148458","0.0534496","0.123447","0.0940203","0.147714","0.11575","0.107438","0.0546265","0.0639579"
