"IUID","year","draw_0","draw_1","draw_2","draw_3","draw_4","draw_5","draw_6","draw_7","draw_8","draw_9","draw_10","draw_11","draw_12","draw_13","draw_14","draw_15","draw_16","draw_17","draw_18","draw_19","draw_20","draw_21","draw_22","draw_23","draw_24","draw_25","draw_26","draw_27","draw_28","draw_29","draw_30","draw_31","draw_32","draw_33","draw_34","draw_35","draw_36","draw_37","draw_38","draw_39","draw_40","draw_41","draw_42","draw_43","draw_44","draw_45","draw_46","draw_47","draw_48","draw_49","draw_50","draw_51","draw_52","draw_53","draw_54","draw_55","draw_56","draw_57","draw_58","draw_59","draw_60","draw_61","draw_62","draw_63","draw_64","draw_65","draw_66","draw_67","draw_68","draw_69","draw_70","draw_71","draw_72","draw_73","draw_74","draw_75","draw_76","draw_77","draw_78","draw_79","draw_80","draw_81","draw_82","draw_83","draw_84","draw_85","draw_86","draw_87","draw_88","draw_89","draw_90","draw_91","draw_92","draw_93","draw_94","draw_95","draw_96","draw_97","draw_98","draw_99","draw_100","draw_101","draw_102","draw_103","draw_104","draw_105","draw_106","draw_107","draw_108","draw_109","draw_110","draw_111","draw_112","draw_113","draw_114","draw_115","draw_116","draw_117","draw_118","draw_119","draw_120","draw_121","draw_122","draw_123","draw_124","draw_125","draw_126","draw_127","draw_128","draw_129","draw_130","draw_131","draw_132","draw_133","draw_134","draw_135","draw_136","draw_137","draw_138","draw_139","draw_140","draw_141","draw_142","draw_143","draw_144","draw_145","draw_146","draw_147","draw_148","draw_149","draw_150","draw_151","draw_152","draw_153","draw_154","draw_155","draw_156","draw_157","draw_158","draw_159","draw_160","draw_161","draw_162","draw_163","draw_164","draw_165","draw_166","draw_167","draw_168","draw_169","draw_170","draw_171","draw_172","draw_173","draw_174","draw_175","draw_176","draw_177","draw_178","draw_179","draw_180","draw_181","draw_182","draw_183","draw_184","draw_185","draw_186","draw_187","draw_188","draw_189","draw_190","draw_191","draw_192","draw_193","draw_194","draw_195","draw_196","draw_197","draw_198","draw_199"
"TZZ51894","2000","0.126634","0.233172","0.168335","0.179392","0.177056","0.0988157","0.176646","0.0677335","0.129443","0.124348","0.122533","0.0826845","0.10963","0.146513","0.132544","0.114371","0.204469","0.118175","0.0676383","0.190018","0.143708","0.0887574","0.14254","0.231201","0.127172","0.0856721","0.177528","0.150469","0.0937849","0.153046","0.110443","0.0468867","0.231029","0.0851301","0.226302","0.138681","0.155376","0.117147","0.0702723","0.148644","0.0896628","0.172646","0.1356","0.199702","0.146993","0.0946899","0.129272","0.11223","0.148733","0.145155","0.107858","0.163548","0.0584295","0.11223","0.172632","0.0797366","0.0761029","0.0751573","0.117188","0.213967","0.161961","0.169825","0.148066","0.0911103","0.057955","0.139813","0.0786934","0.125606","0.141642","0.0729679","0.102925","0.0822785","0.152206","0.132789","0.101508","0.0633671","0.160907","0.130806","0.0859375","0.103968","0.140829","0.137027","0.141107","0.195514","0.142804","0.163197","0.0694853","0.127864","0.198589","0.144195","0.201493","0.0544703","0.104595","0.142963","0.123196","0.139114","0.101626","0.173278","0.117647","0.0535055","0.161255","0.0990026","0.0829322","0.143861","0.0884658","0.0766962","0.102727","0.145841","0.108859","0.0835198","0.104911","0.16399","0.098607","0.153502","0.164135","0.167033","0.101732","0.112796","0.0581222","0.129127","0.111484","0.0802079","0.104643","0.115116","0.144587","0.104821","0.20895","0.149165","0.103935","0.087117","0.145695","0.126479","0.192166","0.117932","0.131381","0.108889","0.294623","0.157954","0.0995191","0.184355","0.119658","0.0748425","0.096475","0.0724638","0.199926","0.141373","0.101384","0.173378","0.204349","0.133209","0.103997","0.11653","0.148588","0.138662","0.0970011","0.170606","0.189911","0.148999","0.100706","0.131196","0.16859","0.076047","0.111818","0.131081","0.0626622","0.137439","0.127509","0.126437","0.114114","0.131835","0.0951673","0.0733979","0.1093","0.083801","0.159328","0.0797753","0.110289","0.0775541","0.214232","0.101036","0.0919926","0.0783222","0.10685","0.150205","0.187056","0.0882682","0.0901304","0.119171","0.075028","0.115385","0.125323","0.0882243","0.0714286","0.132687","0.145072","0.129568","0.103347","0.15632","0.129224","0.0821202"
"TZZ51894","2001","0.128157","0.231368","0.17094","0.178664","0.176449","0.102018","0.179372","0.0665669","0.127014","0.127144","0.126035","0.0816555","0.113509","0.140897","0.136279","0.11165","0.203137","0.110532","0.0672174","0.193073","0.13925","0.0885513","0.138827","0.229478","0.122872","0.0840118","0.17892","0.146561","0.0858965","0.151414","0.108974","0.0445359","0.235161","0.089013","0.225843","0.132657","0.153336","0.122069","0.068787","0.145137","0.0887728","0.166292","0.132413","0.205243","0.150167","0.0931354","0.128386","0.113526","0.143437","0.1507","0.112551","0.171107","0.0582488","0.108833","0.172168","0.0794824","0.0791128","0.0762933","0.120105","0.213723","0.164501","0.170387","0.150407","0.0920223","0.0588889","0.137594","0.0825586","0.126913","0.144556","0.0710238","0.10548","0.0812221","0.149719","0.131019","0.105982","0.0654628","0.154651","0.127293","0.0885087","0.103461","0.138806","0.14012","0.148729","0.197831","0.146721","0.166914","0.0697588","0.133632","0.195022","0.14759","0.199548","0.0533233","0.105676","0.15223","0.12282","0.138519","0.101927","0.16773","0.120045","0.0521257","0.161433","0.100111","0.0811903","0.14745","0.0845384","0.0751488","0.100409","0.142058","0.106471","0.0854478","0.103706","0.168284","0.0956938","0.146369","0.161447","0.174329","0.105009","0.113417","0.058604","0.126526","0.10961","0.0789572","0.109963","0.110454","0.137017","0.102056","0.207372","0.149464","0.106691","0.0850037","0.147807","0.124861","0.192436","0.112801","0.133034","0.109996","0.296255","0.151343","0.102383","0.182554","0.115669","0.078614","0.0962825","0.0714818","0.203779","0.13743","0.0983483","0.170787","0.20481","0.132485","0.100148","0.116505","0.147267","0.143706","0.0975791","0.167592","0.19356","0.14382","0.0992934","0.12762","0.170822","0.0770081","0.112734","0.13006","0.0645401","0.139421","0.128464","0.128119","0.118599","0.128646","0.0955746","0.06684","0.110573","0.0856075","0.156528","0.0852742","0.11033","0.0773522","0.210724","0.10247","0.0887397","0.0782706","0.103089","0.158486","0.18527","0.0909772","0.0874766","0.114456","0.0757919","0.110987","0.127817","0.0929104","0.0728012","0.131411","0.139432","0.130306","0.101224","0.15302","0.137079","0.0838346"
"TZZ51894","2002","0.0740181","0.139518","0.0980466","0.117472","0.108915","0.0657154","0.0954512","0.0476548","0.0729981","0.064432","0.065819","0.0581614","0.0693254","0.084507","0.0834273","0.0711877","0.118931","0.0714818","0.0432997","0.121807","0.0769231","0.0595283","0.0802538","0.134673","0.0764378","0.0523969","0.0989505","0.0883686","0.0473126","0.0827405","0.0670201","0.0337458","0.149242","0.0478505","0.133955","0.08694","0.0932988","0.0795964","0.0517691","0.0806271","0.055994","0.0968963","0.0751121","0.114925","0.0933433","0.0651526","0.071243","0.0672646","0.0829322","0.088972","0.0806092","0.097029","0.0468101","0.0661654","0.110903","0.0528065","0.052476","0.0492481","0.0598578","0.16979","0.102033","0.0907055","0.0872928","0.0614693","0.0464684","0.0798193","0.0589325","0.0707108","0.0909772","0.0472769","0.0714286","0.0580573","0.0891983","0.0766917","0.0722758","0.0495836","0.0870703","0.0779269","0.0499069","0.0569853","0.0800599","0.0779955","0.0854573","0.116854","0.083859","0.0931538","0.0474412","0.0933633","0.116679","0.0766906","0.117137","0.040702","0.0634861","0.0910781","0.073207","0.0903369","0.0618748","0.0956522","0.0664179","0.0366218","0.0995208","0.0604375","0.0575009","0.0899925","0.0513011","0.0455556","0.0579495","0.0826168","0.0687711","0.053418","0.0573034","0.103925","0.06637","0.0939948","0.0952381","0.10573","0.064877","0.0649926","0.0439189","0.0788984","0.0639338","0.0529061","0.0728427","0.0642168","0.0786934","0.06674","0.12196","0.0793887","0.0756052","0.045776","0.0905045","0.0756616","0.110289","0.072119","0.0765211","0.0615271","0.158623","0.0845979","0.0686055","0.110906","0.0754438","0.0506187","0.0536913","0.0530219","0.120178","0.0774701","0.0584051","0.106527","0.125895","0.0801498","0.0673149","0.0720149","0.0888146","0.0879733","0.0610945","0.0981413","0.116537","0.0849305","0.0640835","0.0723881","0.0946548","0.0509413","0.0758879","0.0787697","0.0464339","0.0735017","0.0851064","0.0695943","0.0718585","0.0770089","0.0650467","0.0463994","0.0703443","0.0531169","0.0940171","0.0554926","0.0683761","0.0548917","0.11976","0.0548148","0.0634802","0.0554515","0.0665675","0.0957207","0.117937","0.0617005","0.0621257","0.0603222","0.0480515","0.0695426","0.0835189","0.0619137","0.0542836","0.0828002","0.0814429","0.0816174","0.0674157","0.0842969","0.0831772","0.0510204"
"TZZ51894","2003","0.050171","0.0958395","0.0717775","0.0759494","0.0713219","0.0456776","0.0638138","0.0403165","0.0584104","0.0402235","0.0487439","0.0484598","0.0512341","0.0616691","0.0632768","0.0549944","0.0851545","0.0513493","0.0307231","0.0828977","0.0527695","0.0465815","0.0560119","0.0887067","0.06171","0.0422588","0.0618868","0.0615034","0.0375","0.0527506","0.0483257","0.0257559","0.0937618","0.0306199","0.0867138","0.0620272","0.0641552","0.0637255","0.0386905","0.0547486","0.0383459","0.0700038","0.0492666","0.0813648","0.0659918","0.051666","0.0503704","0.047619","0.0572065","0.0680374","0.064564","0.0642236","0.0375799","0.0540643","0.073798","0.0408618","0.0379888","0.037679","0.0409313","0.13841","0.0710565","0.0573984","0.0647562","0.0416198","0.0375516","0.0593985","0.0492354","0.0526316","0.0633007","0.0390977","0.0537998","0.0420263","0.0650132","0.0583145","0.0460745","0.0403317","0.0591096","0.0561377","0.036167","0.0441339","0.0553478","0.0596847","0.0544703","0.0793592","0.0551239","0.0546612","0.0352985","0.0673905","0.0777903","0.0557019","0.0679429","0.0317401","0.0449775","0.0691193","0.0515888","0.0645041","0.0453195","0.0591806","0.0460502","0.0311679","0.0584752","0.0429907","0.0458101","0.0626642","0.0379888","0.0327869","0.0421642","0.0563643","0.0502061","0.0431358","0.0397301","0.0712953","0.0485905","0.0697324","0.0646971","0.0752688","0.0543964","0.0460282","0.0375799","0.0587142","0.0449944","0.0419948","0.0571643","0.0407172","0.0554109","0.0498891","0.0797156","0.0539234","0.0557635","0.0331471","0.0677335","0.0549738","0.0723562","0.054437","0.0537916","0.04769","0.100752","0.0581571","0.0520404","0.0675074","0.0593505","0.0384036","0.0343028","0.0392593","0.0821561","0.0483871","0.0481343","0.0777861","0.0790274","0.0604354","0.052295","0.053239","0.0589993","0.0574841","0.0440463","0.071482","0.0810211","0.0563063","0.0473151","0.0474412","0.067037","0.0367211","0.0595952","0.0634623","0.0327138","0.0493171","0.059067","0.0485365","0.0569075","0.0526709","0.0538117","0.0341373","0.0561798","0.0365989","0.058604","0.0425772","0.0516345","0.0446194","0.0838661","0.0399704","0.0480984","0.0435435","0.0488259","0.0670181","0.0785579","0.0498489","0.0477085","0.038912","0.0355119","0.0541651","0.0637109","0.0455564","0.0435106","0.0594472","0.058296","0.0612782","0.0522556","0.0594393","0.053719","0.0384615"
"TZZ51894","2004","0.039725","0.0699145","0.0551568","0.0560538","0.0502437","0.0357823","0.0473151","0.0315671","0.0495345","0.031622","0.0353916","0.0403926","0.0368852","0.0523774","0.0529902","0.0431034","0.0665406","0.043609","0.0274436","0.0605036","0.0431491","0.0417922","0.0409929","0.0668909","0.0494056","0.0346255","0.0495274","0.0446462","0.0308337","0.0398331","0.0415555","0.0200682","0.06319","0.0240602","0.0605273","0.0503026","0.0521772","0.0507576","0.0320896","0.0432982","0.0320997","0.0515619","0.0316742","0.06574","0.0513301","0.044586","0.0406565","0.0347301","0.0504296","0.0521968","0.055121","0.0488266","0.0256217","0.044697","0.0530075","0.036194","0.0328849","0.0334838","0.0349099","0.117603","0.052354","0.0424739","0.0483871","0.0353649","0.0280409","0.0472264","0.0380313","0.0432373","0.0518743","0.0271391","0.0450587","0.0335821","0.0481164","0.0426094","0.0389513","0.0328054","0.0445193","0.0462406","0.0289963","0.0339734","0.0433308","0.0443776","0.0435276","0.0564846","0.0404003","0.041573","0.0280728","0.0540947","0.0639491","0.0418394","0.0528486","0.0265024","0.0334964","0.0543964","0.0419319","0.0515118","0.0339426","0.0498866","0.0338855","0.0255351","0.0418984","0.0345345","0.0351928","0.0486976","0.0303826","0.0266217","0.0332835","0.043609","0.042585","0.0367592","0.0306771","0.0563172","0.0373692","0.0556818","0.047619","0.0622438","0.0464942","0.0357143","0.0325019","0.0485981","0.0370787","0.0341848","0.0472381","0.0314961","0.0379271","0.0396114","0.0541854","0.0466941","0.0459298","0.0261292","0.0557218","0.0424972","0.0589118","0.0469572","0.0385191","0.0385768","0.0710812","0.0468809","0.0431358","0.0460111","0.0492721","0.0294785","0.0281955","0.0324748","0.0619866","0.0371353","0.0366766","0.0557019","0.0597128","0.0493967","0.040678","0.0475477","0.0418848","0.0458271","0.0333704","0.056703","0.0588889","0.0440463","0.0402407","0.0330951","0.0564697","0.0311328","0.0425292","0.049434","0.0282167","0.0392305","0.043771","0.0348794","0.0457419","0.0413068","0.041791","0.0290936","0.0463451","0.029368","0.0424333","0.0328178","0.0406168","0.0353251","0.0707299","0.0286033","0.0401935","0.0365073","0.0369955","0.055997","0.0567403","0.0386803","0.0427767","0.0257869","0.0288425","0.0434457","0.0509745","0.0378338","0.0356745","0.0453686","0.0479401","0.0529478","0.0441843","0.047138","0.0434946","0.0312382"
"TZZ51894","2005","0.031619","0.0544979","0.0419026","0.0455916","0.0421252","0.0288754","0.0371072","0.0226244","0.0413068","0.0267758","0.0276097","0.0298564","0.0285178","0.0423949","0.0392601","0.0361718","0.0522727","0.0354985","0.0221057","0.0487897","0.0324896","0.0364936","0.033195","0.0514264","0.0400299","0.0270068","0.0333966","0.0369102","0.0244461","0.0306354","0.0339177","0.0140578","0.0414606","0.0203697","0.0457419","0.0359304","0.0400151","0.0440562","0.0219903","0.034444","0.0245654","0.0409006","0.0265421","0.0560361","0.0440678","0.0360767","0.0324869","0.0278405","0.0401049","0.0451297","0.0426009","0.0367285","0.021164","0.0366176","0.0392453","0.031355","0.0270575","0.0247376","0.0299401","0.0928412","0.0423121","0.0344311","0.0405918","0.0290785","0.0222642","0.0365073","0.0321616","0.0352766","0.0392601","0.0218291","0.0367982","0.0254968","0.0383042","0.0370791","0.0316503","0.0291336","0.0385925","0.0379271","0.0267559","0.0290828","0.0333586","0.0339239","0.0342335","0.0404603","0.0320896","0.0329465","0.0209524","0.0429702","0.0535982","0.0309551","0.0413378","0.0205993","0.0301659","0.0403107","0.0320513","0.0439519","0.0278091","0.0426254","0.0257186","0.0225734","0.02754","0.0282912","0.026296","0.0363086","0.025833","0.0206612","0.0255064","0.0346125","0.0377711","0.0288606","0.0239521","0.0445434","0.0308968","0.0471876","0.0395588","0.0531238","0.0367285","0.0301564","0.0242424","0.0388386","0.0311562","0.0254396","0.0353612","0.025169","0.0314037","0.0324284","0.0453858","0.0365073","0.0348576","0.0201192","0.047138","0.0336484","0.0477264","0.0389805","0.0298396","0.0330579","0.0560748","0.0428355","0.0353383","0.0332338","0.0410392","0.022281","0.0223485","0.0235602","0.0503356","0.0293669","0.0322944","0.0469341","0.0451637","0.0411166","0.0322944","0.0382452","0.0356875","0.0400899","0.0263353","0.0454034","0.0498327","0.0353949","0.0360225","0.0222222","0.0458442","0.026186","0.0385912","0.0406072","0.0255639","0.0305085","0.0394737","0.0292593","0.0392523","0.0320151","0.0343925","0.0220478","0.0377501","0.0241546","0.0311679","0.0235426","0.0342234","0.0277882","0.0514651","0.0237565","0.0315197","0.026186","0.0314371","0.0433962","0.0466539","0.0314275","0.0343925","0.0187094","0.0251333","0.0355119","0.0444444","0.0344183","0.0276429","0.0411115","0.0363705","0.0426487","0.0358355","0.0360902","0.0357412","0.026465"
"TZZ51894","2006","0.0267722","0.0365535","0.032343","0.0334712","0.0310606","0.0210004","0.0306122","0.0187829","0.0379414","0.0220231","0.0184557","0.0230973","0.0220478","0.0332959","0.03177","0.026742","0.0408318","0.0296691","0.0201267","0.0368121","0.0283876","0.0271186","0.0264251","0.039745","0.0306657","0.0220396","0.0243069","0.0270682","0.0209364","0.0266917","0.0288973","0.0103132","0.0306354","0.0168729","0.0317046","0.0285714","0.0321726","0.0332075","0.0178771","0.0304168","0.0214286","0.0334448","0.0221638","0.0451128","0.0348353","0.0282273","0.0278405","0.0235514","0.0348837","0.0364603","0.0319549","0.0312382","0.0176294","0.0304855","0.0297104","0.0230655","0.0232123","0.0205761","0.0247232","0.0757238","0.0323071","0.0268958","0.0354016","0.0267622","0.016994","0.0308155","0.0260999","0.0272693","0.0348089","0.016654","0.0310606","0.0206845","0.0296736","0.0298226","0.0251596","0.0245561","0.0328922","0.0304946","0.021658","0.0264629","0.0287443","0.0290128","0.0280835","0.0327625","0.0276326","0.0256217","0.0152614","0.0361991","0.0439354","0.026296","0.0336574","0.0172738","0.0242424","0.0327016","0.0248027","0.0369115","0.0218456","0.0313316","0.0223739","0.017991","0.0230569","0.0233786","0.0199398","0.0280409","0.0220197","0.0160628","0.0207391","0.0281849","0.0265024","0.0234462","0.0202551","0.0331101","0.0259887","0.0395588","0.0280197","0.0421053","0.027704","0.0246637","0.0233698","0.0286468","0.0231343","0.0186637","0.0269347","0.0187547","0.0260476","0.0252164","0.0335722","0.030474","0.0287099","0.0179708","0.0359416","0.0245933","0.0390004","0.0281955","0.0243263","0.026435","0.042117","0.0354316","0.0272109","0.0253637","0.0355119","0.0165787","0.0181818","0.0183246","0.035206","0.021706","0.0259009","0.0367424","0.0336574","0.0314275","0.0277778","0.0324284","0.0282843","0.0299513","0.01955","0.0349361","0.0386617","0.0282004","0.0276739","0.0169683","0.036194","0.0204468","0.0344311","0.0328302","0.0210685","0.0238365","0.0317757","0.0239587","0.0306771","0.0268634","0.0287313","0.0175635","0.0319789","0.0190726","0.023282","0.017991","0.027705","0.0199024","0.0385047","0.0201643","0.0274127","0.0208333","0.024024","0.0350679","0.0392601","0.0263852","0.0285071","0.016381","0.020091","0.0315469","0.0344306","0.0300752","0.0221057","0.032344","0.0281426","0.0359168","0.0285285","0.0294229","0.0287958","0.0225056"
"TZZ51894","2007","0.0166226","0.0276222","0.0254968","0.026552","0.0233786","0.014526","0.02427","0.0178368","0.0299177","0.0175308","0.0169364","0.0189179","0.018018","0.0254682","0.0266217","0.0215094","0.0289365","0.0236101","0.0171963","0.0266972","0.0226843","0.0217473","0.0215582","0.0324284","0.026936","0.021166","0.0160244","0.0258261","0.0173847","0.0224299","0.0219033","0.00955657","0.0226672","0.0146177","0.0228721","0.0231343","0.0246119","0.0253021","0.0157009","0.0232471","0.0165103","0.0268976","0.0161472","0.0367285","0.0258162","0.0221139","0.0241055","0.0201869","0.0270473","0.0268736","0.0242057","0.0244361","0.0135338","0.0265719","0.0244086","0.0194684","0.0184697","0.0164856","0.0196006","0.0594615","0.0252005","0.0197687","0.0294005","0.0198205","0.0120618","0.0259691","0.0205607","0.0208644","0.0253117","0.0151286","0.0250951","0.0203237","0.0221976","0.0244177","0.0210289","0.0188324","0.0254463","0.0235514","0.0175635","0.0205071","0.0222222","0.0218373","0.0228484","0.0265123","0.0198057","0.0210053","0.0148233","0.0301432","0.0344311","0.0180248","0.0274746","0.014756","0.0213483","0.022214","0.0165787","0.0314752","0.0188324","0.0267459","0.0163997","0.0168036","0.0175373","0.0185185","0.0147448","0.021731","0.0181818","0.0138577","0.0174045","0.0236309","0.0197835","0.0186776","0.0157835","0.0263353","0.0203774","0.0298677","0.0233258","0.0342105","0.0244742","0.0199173","0.0187196","0.0214044","0.0189873","0.0149925","0.0207547","0.0162142","0.0199098","0.0207547","0.0271801","0.0261194","0.0246085","0.0139465","0.0304168","0.0206224","0.0332951","0.0227527","0.0188466","0.0192598","0.0337458","0.0252449","0.0214366","0.0175504","0.0260574","0.0120482","0.0132225","0.0157009","0.0281004","0.0172738","0.0191874","0.0283447","0.029985","0.0262258","0.0220149","0.0261364","0.0245627","0.0253731","0.0151124","0.0286145","0.0343925","0.0226682","0.0234987","0.0120346","0.0265918","0.0151","0.025028","0.027568","0.0153271","0.0176162","0.0232036","0.0210721","0.0247655","0.0229621","0.0232123","0.0164609","0.0253692","0.0161351","0.0195783","0.016123","0.0230655","0.0164856","0.0330083","0.0156541","0.0233258","0.0173913","0.0173519","0.0295119","0.032343","0.020362","0.0213964","0.0129524","0.0172608","0.0236551","0.0303605","0.0273408","0.0218785","0.0249245","0.0255543","0.0236486","0.0197983","0.0224719","0.0231689","0.0164918"
"TZZ51894","2008","0.0175898","0.0257367","0.0267018","0.0254111","0.0240964","0.0141654","0.0242424","0.0171429","0.0310396","0.0189591","0.0149925","0.0193843","0.0186359","0.025804","0.0278707","0.023282","0.0273818","0.0262857","0.0178571","0.0270167","0.023045","0.0224215","0.021188","0.0318352","0.0259594","0.0212211","0.0155009","0.0241783","0.0155127","0.0216418","0.0224131","0.0110182","0.021978","0.0153962","0.0246914","0.0250093","0.025169","0.0252544","0.0164794","0.0271084","0.0169237","0.0299335","0.0164979","0.0363774","0.0253212","0.0216741","0.0242149","0.0198502","0.0283019","0.0262058","0.0245098","0.0224803","0.01359","0.0278914","0.0245933","0.0196078","0.0176958","0.0183041","0.0188679","0.0635277","0.0239362","0.0205684","0.0282551","0.0203008","0.0126913","0.0266517","0.0189521","0.020202","0.0259009","0.01546","0.0259048","0.0188679","0.0228951","0.0247098","0.0225819","0.0189825","0.0272934","0.022363","0.0165351","0.0212607","0.0221638","0.0221805","0.0231061","0.0257655","0.0208877","0.0213964","0.0148402","0.030566","0.0311913","0.0187688","0.0267219","0.0147003","0.0206767","0.0241009","0.0164856","0.0319513","0.0181887","0.0284448","0.0159272","0.0171322","0.0168729","0.0192453","0.0151458","0.0232384","0.0184766","0.013153","0.0166289","0.0243994","0.0202171","0.0175439","0.0157895","0.0258621","0.0218703","0.0292463","0.0224972","0.033346","0.025297","0.0188324","0.0193524","0.0226586","0.0198353","0.0145522","0.0207861","0.01661","0.018428","0.0204701","0.0274849","0.0265321","0.0265123","0.0128205","0.0315079","0.0217066","0.0333973","0.0235867","0.0195783","0.0195857","0.0346369","0.0260476","0.0232297","0.0168792","0.0256701","0.0112697","0.013936","0.0158073","0.0267219","0.0165663","0.0181132","0.0281797","0.0297952","0.0258359","0.0219985","0.0276097","0.0245353","0.026178","0.0148038","0.0290785","0.0340441","0.0234637","0.0242356","0.0119626","0.0284112","0.0161169","0.0246361","0.0278719","0.015748","0.0185943","0.0222883","0.0207484","0.0255351","0.0237094","0.0236398","0.017603","0.0244545","0.0164425","0.0195931","0.0153501","0.0243172","0.0169683","0.0323552","0.0156483","0.0236575","0.0189179","0.0185115","0.0287226","0.0325721","0.0196672","0.0232645","0.0124481","0.0179439","0.0236011","0.0306702","0.0254873","0.0222306","0.0248027","0.0229496","0.0244821","0.0204309","0.0227697","0.0231949","0.01656"
"TZZ51894","2009","0.0182972","0.0243263","0.0255159","0.0239074","0.0218291","0.0132827","0.0223147","0.0178504","0.0311573","0.0178771","0.0145958","0.0189538","0.0171706","0.0261389","0.0274889","0.0218045","0.0264251","0.0255433","0.0182495","0.0249245","0.025028","0.0213884","0.0210526","0.0299963","0.0258621","0.0201869","0.014383","0.0246399","0.0151688","0.0209502","0.0217473","0.0105621","0.0207391","0.016123","0.0256121","0.0249627","0.0239611","0.0245561","0.0172608","0.0266017","0.0153788","0.0296406","0.0164609","0.0346386","0.026087","0.0220314","0.0226159","0.0190583","0.0290019","0.0250665","0.0241966","0.0224888","0.0136622","0.0274481","0.024519","0.0188822","0.0170519","0.0179978","0.0177844","0.0657154","0.024006","0.020607","0.0268736","0.020339","0.0144981","0.0256121","0.0201568","0.020339","0.0253542","0.0161654","0.0275992","0.0189609","0.0226597","0.0231689","0.0224383","0.0192525","0.0286807","0.0231949","0.0185325","0.0220067","0.0206224","0.0229065","0.0253117","0.0256604","0.0195195","0.0224803","0.0177292","0.0286901","0.0283661","0.0179104","0.0260083","0.0132175","0.0197761","0.0245902","0.0154135","0.0320122","0.0182648","0.0274583","0.0159514","0.0167286","0.0168036","0.0162142","0.0163498","0.023979","0.0188324","0.0142803","0.0155127","0.0228293","0.0203084","0.0179708","0.0160928","0.0251124","0.0222558","0.0285929","0.0212925","0.0340136","0.0236461","0.0195562","0.0196442","0.0208333","0.0191657","0.0141738","0.0206922","0.016673","0.0190512","0.0208412","0.0279879","0.0261194","0.0261976","0.0113852","0.0327684","0.0232995","0.0332442","0.0243263","0.0181269","0.0191513","0.0330978","0.0252449","0.0248027","0.016585","0.0252069","0.012392","0.0138733","0.0161472","0.0255928","0.018018","0.0184906","0.0269552","0.0295438","0.026087","0.021731","0.0253021","0.0243082","0.0260279","0.0148976","0.0286792","0.0323065","0.0227019","0.0238895","0.011169","0.0275913","0.0145794","0.0255178","0.0277569","0.0149701","0.0186359","0.0223797","0.0222058","0.0263653","0.0235205","0.0218127","0.0176758","0.023711","0.0149309","0.0210289","0.0157717","0.0241815","0.016325","0.0316384","0.0153731","0.0249433","0.0177963","0.0188964","0.0267722","0.0314961","0.0196597","0.0215094","0.0120618","0.0178571","0.0212282","0.0284091","0.0229237","0.0219116","0.0247841","0.0234051","0.0230015","0.0199778","0.0224131","0.0236132","0.0165351"
