IU_ID,IU_ID_Full
1045,DZA01045
1022,DZA01022
1011,DZA01011
1040,DZA01040
1008,DZA01008
1031,DZA01031
1037,DZA01037
1010,DZA01010
1014,DZA01014
1013,DZA01013
1002,DZA01002
1003,DZA01003
1035,DZA01035
1006,DZA01006
1032,DZA01032
1043,DZA01043
1023,DZA01023
1020,DZA01020
1046,DZA01046
1007,DZA01007
1027,DZA01027
1039,DZA01039
1004,DZA01004
1034,DZA01034
1015,DZA01015
1026,DZA01026
1028,DZA01028
1018,DZA01018
1025,DZA01025
1036,DZA01036
1048,DZA01048
1024,DZA01024
1017,DZA01017
1030,DZA01030
1021,DZA01021
1012,DZA01012
1044,DZA01044
1038,DZA01038
1016,DZA01016
1001,DZA01001
1047,DZA01047
1041,DZA01041
1033,DZA01033
1042,DZA01042
1019,DZA01019
1009,DZA01009
1005,DZA01005
1029,DZA01029
2049,AGO02049
2050,AGO02050
2051,AGO02051
2052,AGO02052
2053,AGO02053
2054,AGO02054
2055,AGO02055
2056,AGO02056
2057,AGO02057
2061,AGO02061
2058,AGO02058
2059,AGO02059
2060,AGO02060
2062,AGO02062
2063,AGO02063
2066,AGO02066
2067,AGO02067
2064,AGO02064
2065,AGO02065
2068,AGO02068
2070,AGO02070
2069,AGO02069
2071,AGO02071
2072,AGO02072
2073,AGO02073
2074,AGO02074
2213,AGO02213
2078,AGO02078
2076,AGO02076
2079,AGO02079
2080,AGO02080
2077,AGO02077
2081,AGO02081
2082,AGO02082
2083,AGO02083
2084,AGO02084
2085,AGO02085
2086,AGO02086
2087,AGO02087
2088,AGO02088
2091,AGO02091
2092,AGO02092
2089,AGO02089
2090,AGO02090
2094,AGO02094
2217,AGO02217
2096,AGO02096
2093,AGO02093
2097,AGO02097
2098,AGO02098
2100,AGO02100
2103,AGO02103
2099,AGO02099
2104,AGO02104
2105,AGO02105
2106,AGO02106
2101,AGO02101
2102,AGO02102
2107,AGO02107
2108,AGO02108
2167,AGO02167
2110,AGO02110
2113,AGO02113
2111,AGO02111
2112,AGO02112
2114,AGO02114
2115,AGO02115
2133,AGO02133
2134,AGO02134
2127,AGO02127
2128,AGO02128
2129,AGO02129
2130,AGO02130
2131,AGO02131
2132,AGO02132
2136,AGO02136
2137,AGO02137
2138,AGO02138
2135,AGO02135
2221,AGO02221
2116,AGO02116
2120,AGO02120
2121,AGO02121
2118,AGO02118
2119,AGO02119
2122,AGO02122
2123,AGO02123
2124,AGO02124
2125,AGO02125
2117,AGO02117
2126,AGO02126
2140,AGO02140
2219,AGO02219
2212,AGO02212
2148,AGO02148
2150,AGO02150
2151,AGO02151
2152,AGO02152
2224,AGO02224
2153,AGO02153
2154,AGO02154
2155,AGO02155
2156,AGO02156
2157,AGO02157
2159,AGO02159
2158,AGO02158
2160,AGO02160
2161,AGO02161
2163,AGO02163
2164,AGO02164
2165,AGO02165
2166,AGO02166
2162,AGO02162
2169,AGO02169
2170,AGO02170
2171,AGO02171
2172,AGO02172
2173,AGO02173
2174,AGO02174
2215,AGO02215
2222,AGO02222
2168,AGO02168
2176,AGO02176
2177,AGO02177
2220,AGO02220
2179,AGO02179
2181,AGO02181
2180,AGO02180
2183,AGO02183
2182,AGO02182
2184,AGO02184
2185,AGO02185
2186,AGO02186
2187,AGO02187
2188,AGO02188
2189,AGO02189
2195,AGO02195
2190,AGO02190
2191,AGO02191
2192,AGO02192
2193,AGO02193
2194,AGO02194
2198,AGO02198
2199,AGO02199
2200,AGO02200
2201,AGO02201
2202,AGO02202
2196,AGO02196
2197,AGO02197
2203,AGO02203
2204,AGO02204
2205,AGO02205
2206,AGO02206
2207,AGO02207
2209,AGO02209
2208,AGO02208
2210,AGO02210
2211,AGO02211
2216,AGO02216
2214,AGO02214
2143,AGO02143
2223,AGO02223
2149,AGO02149
2141,AGO02141
3288,BEN03288
3219,BEN03219
3226,BEN03226
3263,BEN03263
3216,BEN03216
3236,BEN03236
3259,BEN03259
3286,BEN03286
3218,BEN03218
3283,BEN03283
3289,BEN03289
3217,BEN03217
3274,BEN03274
3245,BEN03245
3239,BEN03239
3264,BEN03264
3287,BEN03287
3220,BEN03220
3269,BEN03269
3284,BEN03284
3278,BEN03278
3234,BEN03234
3249,BEN03249
3214,BEN03214
3268,BEN03268
3244,BEN03244
3221,BEN03221
3262,BEN03262
3272,BEN03272
3277,BEN03277
3243,BEN03243
3213,BEN03213
3215,BEN03215
3231,BEN03231
3265,BEN03265
3246,BEN03246
3270,BEN03270
3282,BEN03282
3281,BEN03281
3230,BEN03230
3248,BEN03248
3222,BEN03222
3224,BEN03224
3235,BEN03235
3241,BEN03241
3251,BEN03251
3255,BEN03255
3250,BEN03250
3232,BEN03232
3229,BEN03229
3271,BEN03271
3252,BEN03252
3225,BEN03225
3279,BEN03279
3257,BEN03257
3254,BEN03254
3212,BEN03212
3285,BEN03285
3227,BEN03227
3242,BEN03242
3273,BEN03273
3267,BEN03267
3228,BEN03228
3223,BEN03223
3237,BEN03237
3258,BEN03258
3276,BEN03276
3240,BEN03240
3275,BEN03275
3266,BEN03266
3280,BEN03280
3256,BEN03256
3261,BEN03261
3238,BEN03238
3233,BEN03233
3247,BEN03247
3260,BEN03260
4290,BWA04290
4291,BWA04291
4313,BWA04313
4318,BWA04318
4304,BWA04304
4302,BWA04302
4307,BWA04307
4314,BWA04314
4297,BWA04297
4299,BWA04299
4308,BWA04308
4303,BWA04303
4305,BWA04305
4293,BWA04293
4309,BWA04309
4292,BWA04292
4306,BWA04306
4300,BWA04300
4298,BWA04298
4311,BWA04311
4301,BWA04301
4310,BWA04310
4317,BWA04317
4295,BWA04295
4319,BWA04319
4315,BWA04315
4316,BWA04316
6393,BDI06393
6419,BDI06419
6395,BDI06395
6387,BDI06387
6386,BDI06386
6382,BDI06382
6380,BDI06380
6381,BDI06381
6377,BDI06377
6406,BDI06406
6379,BDI06379
6378,BDI06378
6405,BDI06405
6410,BDI06410
6411,BDI06411
6390,BDI06390
6376,BDI06376
6391,BDI06391
6383,BDI06383
6385,BDI06385
6404,BDI06404
6403,BDI06403
6416,BDI06416
6415,BDI06415
6407,BDI06407
6401,BDI06401
6425,BDI06425
6417,BDI06417
6409,BDI06409
6394,BDI06394
6392,BDI06392
6414,BDI06414
6412,BDI06412
6413,BDI06413
6402,BDI06402
6400,BDI06400
6408,BDI06408
6399,BDI06399
6423,BDI06423
6422,BDI06422
6375,BDI06375
6397,BDI06397
6384,BDI06384
6398,BDI06398
6396,BDI06396
6420,BDI06420
6421,BDI06421
9665,CAF09665
9663,CAF09663
9671,CAF09671
9669,CAF09669
9666,CAF09666
9668,CAF09668
9674,CAF09674
9675,CAF09675
9672,CAF09672
9681,CAF09681
9683,CAF09683
9679,CAF09679
9678,CAF09678
9673,CAF09673
9676,CAF09676
9686,CAF09686
9684,CAF09684
9685,CAF09685
9689,CAF09689
9688,CAF09688
9692,CAF09692
9662,CAF09662
9680,CAF09680
9661,CAF09661
9664,CAF09664
9682,CAF09682
9691,CAF09691
9687,CAF09687
9667,CAF09667
9690,CAF09690
9677,CAF09677
9670,CAF09670
9695,CAF09695
9693,CAF09693
9694,CAF09694
11744,COM11744
11753,COM11753
11755,COM11755
11745,COM11745
11746,COM11746
11747,COM11747
11748,COM11748
11749,COM11749
11750,COM11750
11751,COM11751
11754,COM11754
11756,COM11756
11757,COM11757
11758,COM11758
11759,COM11759
11760,COM11760
11752,COM11752
15342,CIV15342
15419,CIV15419
15443,CIV15443
15441,CIV15441
15367,CIV15367
15368,CIV15368
15370,CIV15370
15437,CIV15437
15434,CIV15434
15372,CIV15372
15435,CIV15435
15436,CIV15436
15377,CIV15377
15378,CIV15378
15348,CIV15348
15350,CIV15350
15347,CIV15347
15344,CIV15344
15330,CIV15330
15345,CIV15345
15331,CIV15331
15332,CIV15332
15388,CIV15388
15389,CIV15389
15390,CIV15390
15355,CIV15355
15406,CIV15406
15408,CIV15408
15407,CIV15407
15357,CIV15357
15356,CIV15356
15360,CIV15360
15379,CIV15379
15381,CIV15381
15380,CIV15380
15446,CIV15446
