IU_NAME,ESPEN_IU_ID,Parent1_IU_Name,Parent1_IU_ID,Start_Date,End_Date
Catchiungo,2121,Huambo,2119,2016,3000
Tchikala Tcholohanga,2125,Huambo,2119,2016,3000
Kilamba Kiaxi,2143,Luanda,2219,2016,3000
Cuimba,2206,Mbanza Kongo,2207,2016,3000
Talatona,2223,Luanda,2219,2016,3000
Lovua,2224,Chitato,2149,2016,3000
Ghanzi,4314,Gantsi Charleshill,4296,2020,3000
Charleshill,4315,Gantsi Charleshill,4296,2020,3000
Kanye,4316,Kanye Moshupa,4312,2020,3000
Moshupa,4317,Kanye Moshupa,4312,2020,3000
Serowe,4318,Serowe Palapye,4294,2020,3000
Palapye,4319,Serowe Palapye,4294,2020,3000
Boussouma,53001,Kaya,5335,2016,3000
Tougouri,53002,Boulsa,5334,2016,3000
Sabou,53003,Koudougou,5337,2016,3000
Tenado,53004,Réo,5340,2016,3000
N'Dorola,53005,Orodara,5358,2016,3000
Thiou,53006,Ouahigouya,5360,2016,3000
Kampti,53007,Gaoua,5374,2016,3000
Bukinanyana,6421,Cibitoke,6388,2019,3000
Cibitoke,6422,Cibitoke,6388,2019,3000
Mabayi,6423,Mabayi,6389,2019,3000
Rutovu,6424,Matana,6384,2021,3000
Gisuru,6425,Kinyinya,6418,2021,3000
Gazawa,7475,Maroua Rural,7609,2014,3000
MAROUA 1,7488,Maroua Urbain,7610,2014,3000
MAROUA 2,7489,Maroua Urbain,7610,2014,3000
MAROUA 3,7490,Maroua Rural,7609,2014,3000
ABO,7503,Dibombari,7508,2014,3000
BOKO,7504,Nylon,7524,2014,3000
JAPOMA,7510,Logbaba,7511,2014,3000
Mbangue,7516,Cité Des Palmiers,7506,2014,3000
NJOMBE PENJA,7521,Loum,7512,2014,3000
OKU,7557,Kumbo Ouest,7550,2014,3000
Fotokol,7609,MAKARY,7487,2021,3000
Mvog-Ada,7610,NKOLNDONGO,7452,2021,3000
Odza,7611,NKOLNDONGO,7452,2021,3000
Belabo,7612,BERTOUA,7461,2021,3000
Dang,7613,NGAOUNDERE RURAL,7425,2021,3000
Mozogo,7614,KOZA,7484,2021,3000
Bamenda 3,7615,BAMENDA,7545,2021,3000
Kumba-North,7616,KUMBA,7599,2021,3000
BEGOUA,9661,Ombella M'Poko,9654,2019,3000
BIMBO,9662,Ombella M'Poko,9654,2019,3000
BODA,9663,Lobaye,9649,2019,3000
BOSSEMBELE,9664,Ombella M'Poko,9654,2019,3000
MBAIKI,9665,Lobaye,9649,2019,3000
BABOUA-ABBA,9666,Nana-Mambéré,9653,2019,3000
BERBERATI,9667,Mambéré-Kadéï,9650,2019,3000
BOUAR-BAORO,9668,Nana-Mambéré,9653,2019,3000
CARNOT-GADZI,9669,Mambéré-Kadéï,9650,2019,3000
GAMBOULA,9670,Mambéré-Kadéï,9650,2019,3000
SANGHA-MBAERE,9671,Sangha-Mbaéré,9658,2019,3000
BATANGAFO,9672,Ouham,9656,2019,3000
BOCARANGA-KOUI,9673,Ouham Pendé,9657,2019,3000
BOSSANGOA,9674,Ouham,9656,2019,3000
BOUCA,9675,Ouham,9656,2019,3000
BOZOUM-BOSSEMPTELE,9676,Ouham Pendé,9657,2019,3000
NANGA-BOGUILA,9677,Ouham,9656,2019,3000
NGAOUNDAYE,9678,Ouham Pendé,9657,2019,3000
PAOUA,9679,Ouham Pendé,9657,2019,3000
BAMBARI,9680,Ouaka,9655,2019,3000
KEMO,9681,Kémo,9648,2019,3000
KOUANGO-GRIMARI,9682,Ouaka,9655,2019,3000
NANA-GRIBIZI,9683,Nana-Gribizi,9652,2019,3000
BAMINGUI-BANGORAN,9684,Bamingui-Bangoran,9636,2019,3000
HAUTE-KOTTO,9685,Haute-Kotto,9647,2019,3000
VAKAGA,9686,Vakaga,9659,2019,3000
ALINDAO MINGALA,9687,Basse-Kotto,9645,2019,3000
BANGASSOU,9688,Mbomou,9651,2019,3000
HAUT-MBOMOU,9689,Haut-Mbomou,9646,2019,3000
KEMBE SATEMA,9690,Basse-Kotto,9645,2019,3000
MOBAYE-ZANGBA,9691,Basse-Kotto,9645,2019,3000
