"IU_ID","IU_ID_Full","IU_CODE"
1045,"DZA01045","DZA0014501045"
1022,"DZA01022","DZA0012201022"
1011,"DZA01011","DZA0011101011"
1040,"DZA01040","DZA0014001040"
1008,"DZA01008","DZA0010801008"
1031,"DZA01031","DZA0013101031"
1037,"DZA01037","DZA0013701037"
1010,"DZA01010","DZA0011001010"
1014,"DZA01014","DZA0011401014"
1013,"DZA01013","DZA0011301013"
1002,"DZA01002","DZA0010201002"
1003,"DZA01003","DZA0010301003"
1035,"DZA01035","DZA0013501035"
1006,"DZA01006","DZA0010601006"
1032,"DZA01032","DZA0013201032"
1043,"DZA01043","DZA0014301043"
1023,"DZA01023","DZA0012301023"
1020,"DZA01020","DZA0012001020"
1046,"DZA01046","DZA0014601046"
1007,"DZA01007","DZA0010701007"
1027,"DZA01027","DZA0012701027"
1039,"DZA01039","DZA0013901039"
1004,"DZA01004","DZA0010401004"
1034,"DZA01034","DZA0013401034"
1015,"DZA01015","DZA0011501015"
1026,"DZA01026","DZA0012601026"
1028,"DZA01028","DZA0012801028"
1018,"DZA01018","DZA0011801018"
1025,"DZA01025","DZA0012501025"
1036,"DZA01036","DZA0013601036"
1048,"DZA01048","DZA0014801048"
1024,"DZA01024","DZA0012401024"
1017,"DZA01017","DZA0011701017"
1030,"DZA01030","DZA0013001030"
1021,"DZA01021","DZA0012101021"
1012,"DZA01012","DZA0011201012"
1044,"DZA01044","DZA0014401044"
1038,"DZA01038","DZA0013801038"
1016,"DZA01016","DZA0011601016"
1001,"DZA01001","DZA0010101001"
1047,"DZA01047","DZA0014701047"
1041,"DZA01041","DZA0014101041"
1033,"DZA01033","DZA0013301033"
1042,"DZA01042","DZA0014201042"
1019,"DZA01019","DZA0011901019"
1009,"DZA01009","DZA0010901009"
1005,"DZA01005","DZA0010501005"
1029,"DZA01029","DZA0012901029"
2049,"AGO02049","AGO0024902049"
2050,"AGO02050","AGO0024902050"
2051,"AGO02051","AGO0025902051"
2052,"AGO02052","AGO0025902052"
2053,"AGO02053","AGO0024902053"
2054,"AGO02054","AGO0025002054"
2055,"AGO02055","AGO0025002055"
2056,"AGO02056","AGO0025002056"
2057,"AGO02057","AGO0025002057"
2061,"AGO02061","AGO0025002061"
2058,"AGO02058","AGO0025002058"
2059,"AGO02059","AGO0025002059"
2060,"AGO02060","AGO0025002060"
2062,"AGO02062","AGO0025002062"
2063,"AGO02063","AGO0025102063"
2066,"AGO02066","AGO0025102066"
2067,"AGO02067","AGO0025102067"
2064,"AGO02064","AGO0025102064"
2065,"AGO02065","AGO0025102065"
2068,"AGO02068","AGO0025102068"
2070,"AGO02070","AGO0025102070"
2069,"AGO02069","AGO0025102069"
